# 2Theta,Intensity
1.000000000000000000e+01,3.292476411010139548e-01
1.001999999999999957e+01,7.718953743092772379e-01
1.003999999999999915e+01,2.249224907186126443e-01
1.006000000000000050e+01,5.349435487196956274e-01
1.008000000000000007e+01,2.981329269173030871e-01
1.009999999999999964e+01,5.340009056898140649e-01
1.011999999999999922e+01,6.602211090027559903e-01
1.014000000000000057e+01,1.918888918202586447e-01
1.016000000000000014e+01,6.559570769740367124e-01
1.017999999999999972e+01,5.190464314547641456e-01
1.019999999999999929e+01,5.507410571011631673e-01
1.022000000000000064e+01,5.770151840661417175e-01
1.024000000000000021e+01,5.291122021122669494e-01
1.025999999999999979e+01,4.200925899140543485e-01
1.027999999999999936e+01,9.579450398807423106e-01
1.030000000000000071e+01,5.063901266624016850e-01
1.032000000000000028e+01,6.766270073809564911e-01
1.033999999999999986e+01,8.285202200245480597e-01
1.035999999999999943e+01,4.047007442869680061e-01
1.038000000000000078e+01,5.072488503397994952e-01
1.040000000000000036e+01,6.032347099016823755e-01
1.041999999999999993e+01,6.997983025221087283e-01
1.043999999999999950e+01,6.050179014955472390e-01
1.046000000000000085e+01,7.755253139503848203e-01
1.048000000000000043e+01,6.234735953045265067e-01
1.050000000000000000e+01,8.640973318953417692e-01
1.051999999999999957e+01,6.417098176863081926e-01
1.053999999999999915e+01,4.880063193915830655e-01
1.056000000000000050e+01,4.820105630536487551e-01
1.058000000000000007e+01,6.125630972658138163e-01
1.059999999999999964e+01,8.123694785557038500e-01
1.061999999999999922e+01,5.751932394692609307e-01
1.064000000000000057e+01,8.239248904784236549e-01
1.066000000000000014e+01,6.235585152409340859e-01
1.067999999999999972e+01,3.325426361956025922e-01
1.069999999999999929e+01,5.229635465518304160e-01
1.072000000000000064e+01,8.011739314039065807e-01
1.074000000000000021e+01,7.537535342740332434e-01
1.075999999999999979e+01,7.570756316146181053e-01
1.077999999999999936e+01,1.043506881479942638e+00
1.080000000000000071e+01,4.754743505554938632e-01
1.082000000000000028e+01,5.862402674478670583e-01
1.083999999999999986e+01,9.359107070395497052e-01
1.085999999999999943e+01,7.056521497465039205e-01
1.088000000000000078e+01,5.525615210132278632e-01
1.090000000000000036e+01,3.286096754397778152e-01
1.091999999999999993e+01,6.589472194369150326e-01
1.093999999999999950e+01,8.325804569397733390e-01
1.096000000000000085e+01,7.054067266442071160e-01
1.098000000000000043e+01,7.512188024470597414e-01
1.100000000000000000e+01,7.849895999781740796e-01
1.101999999999999957e+01,4.948815507273195413e-01
1.103999999999999915e+01,6.509190902742739704e-01
1.106000000000000050e+01,6.575014877680895875e-01
1.108000000000000007e+01,4.602043367471949642e-01
1.109999999999999964e+01,5.783898678106206281e-01
1.112000000000000099e+01,8.197842324272739400e-01
1.114000000000000057e+01,1.502787984820146139e-01
1.116000000000000014e+01,7.558507383095267596e-01
1.117999999999999972e+01,8.708592606572144179e-01
1.119999999999999929e+01,6.785644181076030401e-01
1.122000000000000064e+01,4.999100734199569684e-01
1.124000000000000021e+01,7.567100390852424807e-01
1.125999999999999979e+01,3.952408988235066034e-01
1.127999999999999936e+01,6.268587517782929774e-01
1.130000000000000071e+01,8.301484664217280152e-01
1.132000000000000028e+01,6.002349752927769178e-01
1.133999999999999986e+01,4.098827422782407304e-01
1.135999999999999943e+01,5.802379061627123136e-01
1.138000000000000078e+01,7.321731012464861577e-01
1.140000000000000036e+01,7.337815255569229977e-01
