# 2Theta,Intensity
1.000000000000000000e+01,1.263801116173478845e-01
1.001999999999999957e+01,7.389675602264909882e-02
1.003999999999999915e+01,2.264123521285444640e-01
1.006000000000000050e+01,1.696654236600031174e-01
1.008000000000000007e+01,2.466597057397227621e-01
1.009999999999999964e+01,2.926800047074366584e-01
1.011999999999999922e+01,1.101272191964330488e-01
1.014000000000000057e+01,1.741070135875074087e-01
1.016000000000000014e+01,1.351757060761196172e-01
1.017999999999999972e+01,9.948438975317284994e-02
1.019999999999999929e+01,-8.220729320649507177e-02
1.022000000000000064e+01,1.472595336871396210e-01
1.024000000000000021e+01,1.174271265529361064e-01
1.025999999999999979e+01,9.984668250992508043e-02
1.027999999999999936e+01,3.809038798823123628e-02
1.030000000000000071e+01,1.795317676930047734e-01
1.032000000000000028e+01,2.003443712042604630e-01
1.033999999999999986e+01,1.289166540610728329e-01
1.035999999999999943e+01,6.353972914412987782e-02
1.038000000000000078e+01,3.100111693700716500e-02
1.040000000000000036e+01,2.674383855147695610e-01
1.041999999999999993e+01,-2.132344122482565663e-02
1.043999999999999950e+01,-8.586318465916180365e-02
1.046000000000000085e+01,7.229525164689350365e-03
1.048000000000000043e+01,3.206057012339338375e-01
1.050000000000000000e+01,9.626908143601581314e-02
1.051999999999999957e+01,4.437692019651079400e-02
1.053999999999999915e+01,2.071116799651797624e-01
1.056000000000000050e+01,3.804387549071150398e-01
1.058000000000000007e+01,-8.734548294802281510e-03
1.059999999999999964e+01,3.135466651541281569e-01
1.061999999999999922e+01,3.495865546869939000e-02
1.064000000000000057e+01,-5.902841914410739826e-02
1.066000000000000014e+01,6.776201415305835307e-02
1.067999999999999972e+01,-3.809079852014632395e-02
1.069999999999999929e+01,3.841053046250050285e-01
1.072000000000000064e+01,1.706491101341234828e-01
1.074000000000000021e+01,1.087339155891882125e-01
1.075999999999999979e+01,1.755481460469125732e-01
1.077999999999999936e+01,3.631136845061061491e-01
1.080000000000000071e+01,-6.713009392092596922e-03
1.082000000000000028e+01,2.462359492662249405e-01
1.083999999999999986e+01,3.791672497694842936e-01
1.085999999999999943e+01,1.669112299527996668e-01
1.088000000000000078e+01,1.983357328903545269e-01
1.090000000000000036e+01,2.761428429293479869e-01
1.091999999999999993e+01,2.506678155016675014e-01
1.093999999999999950e+01,2.514096169843179629e-01
1.096000000000000085e+01,1.786200710927075275e-01
1.098000000000000043e+01,3.431656212870578537e-01
1.100000000000000000e+01,2.300298504087734675e-01
1.101999999999999957e+01,8.702662348956413663e-02
1.103999999999999915e+01,3.220170023409666404e-01
1.106000000000000050e+01,4.480465414750912229e-02
1.108000000000000007e+01,5.131768958950039955e-02
1.109999999999999964e+01,-3.180568901609526211e-02
1.112000000000000099e+01,1.713761497102137821e-01
1.114000000000000057e+01,1.422882080219706469e-01
1.116000000000000014e+01,-2.421116132128849768e-02
1.117999999999999972e+01,1.585696225120621639e-01
1.119999999999999929e+01,1.295205875127533046e-01
1.122000000000000064e+01,1.415941260186606362e-02
1.124000000000000021e+01,7.599639834039441377e-02
1.125999999999999979e+01,-2.623901392501954560e-02
1.127999999999999936e+01,1.845813424677777426e-01
1.130000000000000071e+01,-4.573894258625911535e-02
1.132000000000000028e+01,2.363821245989476960e-01
1.133999999999999986e+01,8.256556687996993715e-02
1.135999999999999943e+01,2.538283006771704930e-01
1.138000000000000078e+01,1.174492950349431963e-01
1.140000000000000036e+01,1.795975419486318669e-01
1.141999999999999993e+01,-2.048430246003625776e-01
1.143999999999999950e+01,1.023325010462849405e-01
1.146000000000000085e+01,1.432167898771230241e-01
