# 2Theta,Intensity
1.000000000000000000e+01,7.069405156398851364e-01
1.001999999999999957e+01,7.416910221111133739e-01
1.003999999999999915e+01,4.507760515697684656e-01
1.006000000000000050e+01,7.939412365511452352e-01
1.008000000000000007e+01,5.409696024218145771e-01
1.009999999999999964e+01,7.559156488272834595e-01
1.011999999999999922e+01,4.134125762684469074e-01
1.014000000000000057e+01,7.090345786080651802e-01
1.016000000000000014e+01,6.719442163025404202e-01
1.017999999999999972e+01,6.756048070789242299e-01
1.019999999999999929e+01,7.527654705231282550e-01
1.022000000000000064e+01,8.135601709095339196e-01
1.024000000000000021e+01,5.447308297167217095e-01
1.025999999999999979e+01,6.718330457511711984e-01
1.027999999999999936e+01,4.528740415866843172e-01
1.030000000000000071e+01,6.505710188235568348e-01
1.032000000000000028e+01,6.028032063243931038e-01
1.033999999999999986e+01,5.269532850019050807e-01
1.035999999999999943e+01,6.051518241683616628e-01
1.038000000000000078e+01,5.267624707910936177e-01
1.040000000000000036e+01,8.155294922744489305e-01
1.041999999999999993e+01,2.725210243656964737e-01
1.043999999999999950e+01,6.455018618512667894e-01
1.046000000000000085e+01,6.854070624004098278e-01
1.048000000000000043e+01,8.161484210394014394e-01
1.050000000000000000e+01,5.710961147278950101e-01
1.051999999999999957e+01,8.351097103748263972e-01
1.053999999999999915e+01,4.139415771435971392e-01
1.056000000000000050e+01,7.313725405516174893e-01
1.058000000000000007e+01,7.776413117523861551e-01
1.059999999999999964e+01,6.946701508764959732e-01
1.061999999999999922e+01,5.758987080943045456e-01
1.064000000000000057e+01,5.464676097863431226e-01
1.066000000000000014e+01,4.500396672598750980e-01
1.067999999999999972e+01,1.056273210762558534e+00
1.069999999999999929e+01,6.556741359150296544e-01
1.072000000000000064e+01,7.424110462209989603e-01
1.074000000000000021e+01,6.196912725974628167e-01
1.075999999999999979e+01,5.526599419809652414e-01
1.077999999999999936e+01,3.902263366045966020e-01
1.080000000000000071e+01,4.848701643059116773e-01
1.082000000000000028e+01,6.569490432376156042e-01
1.083999999999999986e+01,7.343694147953966356e-01
1.085999999999999943e+01,8.217234001327209381e-01
1.088000000000000078e+01,7.397008136606083584e-01
1.090000000000000036e+01,6.928004225413788575e-01
1.091999999999999993e+01,7.082769256305184724e-01
1.093999999999999950e+01,8.070670122371125244e-01
1.096000000000000085e+01,6.268656674775835436e-01
1.098000000000000043e+01,6.915344032560323262e-01
1.100000000000000000e+01,5.664726849451071633e-01
1.101999999999999957e+01,5.166441591635696495e-01
1.103999999999999915e+01,4.771456891998639982e-01
1.106000000000000050e+01,5.196725805180741897e-01
1.108000000000000007e+01,8.386583305143562317e-01
1.109999999999999964e+01,1.009015428480600329e+00
1.112000000000000099e+01,7.963813962027763704e-01
1.114000000000000057e+01,5.730034927921464627e-01
1.116000000000000014e+01,7.086325555008331500e-01
1.117999999999999972e+01,4.607278825279640944e-01
1.119999999999999929e+01,5.195914781615587064e-01
1.122000000000000064e+01,6.602636234840888463e-01
1.124000000000000021e+01,6.247647595322950442e-01
1.125999999999999979e+01,5.837033603648675850e-01
1.127999999999999936e+01,6.881089966972155914e-01
1.130000000000000071e+01,4.888191495680376808e-01
1.132000000000000028e+01,6.873059623199276880e-01
1.133999999999999986e+01,4.892627109934713503e-01
1.135999999999999943e+01,6.830148611864715891e-01
1.138000000000000078e+01,4.914717415398396350e-01
1.140000000000000036e+01,7.003102247999836161e-01
1.141999999999999993e+01,6.884535125186554971e-01
1.143999999999999950e+01,4.830463368963932580e-01
1.146000000000000085e+01,6.057095289667595583e-01
1.148000000000000043e+01,9.072485800394436417e-01
1.150000000000000000e+01,6.922916498615525605e-01
1.151999999999999957e+01,5.473391409233977489e-01
1.153999999999999915e+01,7.129274452835138165e-01
1.156000000000000050e+01,5.324099249750801066e-01
1.158000000000000007e+01,6.945828540775283999e-01
1.159999999999999964e+01,3.954496597408895253e-01
1.162000000000000099e+01,6.648141160952277806e-01
1.164000000000000057e+01,3.767612682746904196e-01
1.166000000000000014e+01,7.035277313271801614e-01
1.167999999999999972e+01,3.661542924141605315e-01
1.169999999999999929e+01,5.339978348265841390e-01
1.172000000000000064e+01,6.750389360310867781e-01
1.174000000000000021e+01,4.686968735548178722e-01
1.175999999999999979e+01,8.704789658561218335e-01
1.177999999999999936e+01,4.345326655861443954e-01
1.180000000000000071e+01,8.290157778200805128e-01
1.182000000000000028e+01,7.161437867394483403e-01
1.183999999999999986e+01,6.621593166727368640e-01
1.185999999999999943e+01,5.334535412379225461e-01
1.188000000000000078e+01,6.267949412938715881e-01
1.190000000000000036e+01,4.625018147312986994e-01
1.191999999999999993e+01,5.793375775579178155e-01
1.193999999999999950e+01,7.257887581248660958e-01
1.196000000000000085e+01,7.677949506316836814e-01
1.198000000000000043e+01,4.504762485382363679e-01
1.200000000000000000e+01,3.059099630042108608e-01
1.201999999999999957e+01,6.327450502829038426e-01
1.203999999999999915e+01,3.951846941804595392e-01
1.206000000000000050e+01,8.408558587824214170e-01
1.208000000000000007e+01,5.282256744962321449e-01
1.209999999999999964e+01,4.353847040722833017e-01
1.212000000000000099e+01,5.804208491857811847e-01
1.214000000000000057e+01,7.747499126554671101e-01
1.216000000000000014e+01,5.596378730011243308e-01
1.217999999999999972e+01,8.827094316609546132e-01
1.219999999999999929e+01,4.073094591802196573e-01
1.222000000000000064e+01,7.772738008589400449e-01
1.224000000000000021e+01,4.524652257905597552e-01
1.225999999999999979e+01,5.941725870876397586e-01
1.228000000000000114e+01,7.484472197255913617e-01
1.230000000000000071e+01,4.589911989798000080e-01
1.232000000000000028e+01,6.004824760899734049e-01
1.233999999999999986e+01,9.075650674961808217e-01
1.235999999999999943e+01,9.470581381070730664e-01
1.237999999999999901e+01,4.808977466469564477e-01
1.240000000000000036e+01,7.880771755885241925e-01
1.241999999999999993e+01,5.472971480640588249e-01
1.243999999999999950e+01,7.417527498086438076e-01
1.246000000000000085e+01,9.661760980165391421e-01
1.248000000000000043e+01,6.588994319603038718e-01
1.250000000000000000e+01,8.440666722667520272e-01
1.251999999999999957e+01,4.609492368808045248e-01
1.253999999999999915e+01,5.670586176270476786e-01
1.256000000000000050e+01,6.305460054757138222e-01
1.258000000000000007e+01,5.761882506186991604e-01
1.259999999999999964e+01,4.906041163480013845e-01
1.262000000000000099e+01,5.782569860924969829e-01
1.264000000000000057e+01,8.480109403769519050e-01
1.266000000000000014e+01,6.386927152905117477e-01
1.267999999999999972e+01,6.881798349964300954e-01
1.269999999999999929e+01,1.461847214557198127e+00
1.272000000000000064e+01,2.488491296330132219e+00
1.274000000000000021e+01,2.902090115474230458e+00
1.275999999999999979e+01,2.258813449884758739e+00
1.278000000000000114e+01,1.152480012985970248e+00
1.280000000000000071e+01,9.754619369095296477e-01
1.282000000000000028e+01,8.046411337818415443e-01
1.283999999999999986e+01,6.943686597254234982e-01
1.285999999999999943e+01,6.496873221292767120e-01
1.287999999999999901e+01,8.111412051364478293e-01
1.290000000000000036e+01,7.205030838985548858e-01
1.291999999999999993e+01,1.023983607705299725e+00
1.293999999999999950e+01,9.264084542767940800e-01
1.296000000000000085e+01,7.971902780414458212e-01
1.298000000000000043e+01,5.770495477720355426e-01
1.300000000000000000e+01,5.955959063793672126e-01
1.301999999999999957e+01,6.794669788521172649e-01
1.303999999999999915e+01,4.685526394337702905e-01
1.306000000000000050e+01,6.062058540616526159e-01
1.308000000000000007e+01,6.987327917226540119e-01
1.309999999999999964e+01,6.032935470469459327e-01
1.312000000000000099e+01,8.217930017244129415e-01
1.314000000000000057e+01,4.859586161175959429e-01
1.316000000000000014e+01,8.257585116107796219e-01
1.317999999999999972e+01,6.283742746344228580e-01
1.319999999999999929e+01,7.525771923014249465e-01
1.322000000000000064e+01,7.729627267099431487e-01
1.324000000000000021e+01,8.217854064336995723e-01
1.325999999999999979e+01,7.104895805984290380e-01
1.328000000000000114e+01,4.243260393401069863e-01
1.330000000000000071e+01,3.509617528468573777e-01
1.332000000000000028e+01,4.798082706544141152e-01
1.333999999999999986e+01,7.479623047936968527e-01
1.335999999999999943e+01,5.887254943862167966e-01
1.337999999999999901e+01,5.389608209458405241e-01
1.340000000000000036e+01,4.825921064386268222e-01
1.341999999999999993e+01,4.938400011252787047e-01
1.343999999999999950e+01,7.124351648711141349e-01
1.346000000000000085e+01,6.426140760507144112e-01
1.348000000000000043e+01,4.378220124867044927e-01
1.350000000000000000e+01,6.394882356982524163e-01
1.351999999999999957e+01,8.250548991138602073e-01
1.353999999999999915e+01,9.844401853205172470e-01
1.356000000000000050e+01,5.430540548731079831e-01
1.358000000000000007e+01,6.708595922123298250e-01
1.359999999999999964e+01,5.233557046804757640e-01
1.362000000000000099e+01,8.378925124438224570e-01
1.364000000000000057e+01,7.882025444186294694e-01
1.366000000000000014e+01,6.771166913379172980e-01
1.367999999999999972e+01,8.382283641743667468e-01
1.369999999999999929e+01,6.665817777126357146e-01
