# 2Theta,Intensity
1.000000000000000000e+01,6.126749852342630032e-01
1.001999999999999957e+01,8.813686048405378060e-01
1.003999999999999915e+01,5.185658965077188931e-01
1.006000000000000050e+01,8.535287082245018864e-01
1.008000000000000007e+01,7.280985375039078500e-01
1.009999999999999964e+01,5.822834315081049095e-01
1.011999999999999922e+01,4.611198946163058698e-01
1.014000000000000057e+01,7.548044342202565593e-01
1.016000000000000014e+01,7.191127262505812023e-01
1.017999999999999972e+01,8.411252772015905821e-01
1.019999999999999929e+01,3.214995589112457086e-01
1.022000000000000064e+01,4.463168097043360150e-01
1.024000000000000021e+01,6.264613952711699518e-01
1.025999999999999979e+01,6.388153671730948391e-01
1.027999999999999936e+01,7.230024825151916135e-01
1.030000000000000071e+01,4.736554535785563180e-01
1.032000000000000028e+01,7.826494133619320559e-01
1.033999999999999986e+01,4.345804881921622731e-01
1.035999999999999943e+01,7.036425027562120960e-01
1.038000000000000078e+01,3.662199326612718964e-01
1.040000000000000036e+01,6.403403950858689297e-01
1.041999999999999993e+01,5.251991966464401029e-01
1.043999999999999950e+01,5.064354316405588197e-01
1.046000000000000085e+01,5.966534797471072515e-01
1.048000000000000043e+01,6.918355718837898571e-01
1.050000000000000000e+01,5.110955092359291685e-01
1.051999999999999957e+01,5.993384269658647012e-01
1.053999999999999915e+01,4.192039999860502353e-01
1.056000000000000050e+01,4.301002067226642467e-01
1.058000000000000007e+01,5.950477831061745659e-01
1.059999999999999964e+01,6.722228402101267930e-01
1.061999999999999922e+01,2.607569676754861732e-01
1.064000000000000057e+01,5.097988613976542904e-01
1.066000000000000014e+01,5.731176733820698699e-01
1.067999999999999972e+01,3.572228559914592538e-01
1.069999999999999929e+01,6.848175354393883918e-01
1.072000000000000064e+01,2.832582552494091188e-01
1.074000000000000021e+01,6.519810500647802431e-01
1.075999999999999979e+01,5.232247085023897792e-01
1.077999999999999936e+01,5.416377124172269131e-01
1.080000000000000071e+01,5.024000030426545305e-01
1.082000000000000028e+01,7.210234985471006830e-01
1.083999999999999986e+01,5.719067432169625542e-01
1.085999999999999943e+01,4.791172091269969568e-01
1.088000000000000078e+01,4.841112428485905284e-01
1.090000000000000036e+01,7.777010003262500026e-01
1.091999999999999993e+01,2.757701528266454094e-01
1.093999999999999950e+01,6.505072899317326796e-01
1.096000000000000085e+01,5.129445514695849528e-01
1.098000000000000043e+01,6.231053882423128742e-01
1.100000000000000000e+01,3.770325410880321915e-01
1.101999999999999957e+01,6.419971148449719056e-01
1.103999999999999915e+01,5.590711559602390412e-01
1.106000000000000050e+01,9.683713904741511058e-01
1.108000000000000007e+01,5.805667466971248247e-01
1.109999999999999964e+01,3.275908551227628140e-01
1.112000000000000099e+01,8.002028818457099790e-01
1.114000000000000057e+01,4.214809952364466095e-01
1.116000000000000014e+01,5.042875739672835200e-01
1.117999999999999972e+01,8.795197938743969379e-01
1.119999999999999929e+01,2.801572335130320668e-01
1.122000000000000064e+01,4.398784791644193004e-01
1.124000000000000021e+01,6.714274062047841385e-01
1.125999999999999979e+01,5.349202273852077250e-01
1.127999999999999936e+01,6.783381417569367411e-01
1.130000000000000071e+01,6.311996870082532407e-01
1.132000000000000028e+01,4.617844008342095741e-01
1.133999999999999986e+01,4.438187894605651329e-01
1.135999999999999943e+01,6.045761965666170967e-01
1.138000000000000078e+01,6.651038133746638437e-01
1.140000000000000036e+01,5.790603995912396718e-01
1.141999999999999993e+01,3.779984021978649578e-01
1.143999999999999950e+01,6.140742674617648555e-01
1.146000000000000085e+01,4.927381761196563681e-01
1.148000000000000043e+01,4.747798541267338468e-01
1.150000000000000000e+01,7.910117990978418057e-01
1.151999999999999957e+01,2.926231194028450777e-01
1.153999999999999915e+01,4.382160371801595011e-01
1.156000000000000050e+01,6.414361174045850600e-01
1.158000000000000007e+01,6.546285315060033083e-01
1.159999999999999964e+01,6.043004421800893811e-01
1.162000000000000099e+01,3.910159332100935914e-01
1.164000000000000057e+01,5.164494718303640486e-01
1.166000000000000014e+01,2.262420992514451445e-01
1.167999999999999972e+01,2.144810477060730691e-01
1.169999999999999929e+01,6.386068798942197144e-01
1.172000000000000064e+01,3.589388402783681431e-01
1.174000000000000021e+01,7.130841151935551903e-01
1.175999999999999979e+01,3.857764717335016025e-01
1.177999999999999936e+01,5.002752572996793656e-01
1.180000000000000071e+01,6.633330134041957038e-01
1.182000000000000028e+01,5.811110914665972293e-01
1.183999999999999986e+01,5.104217145890168617e-01
1.185999999999999943e+01,5.372288351410279272e-01
1.188000000000000078e+01,5.798009515938287173e-01
1.190000000000000036e+01,5.642224897475089929e-01
1.191999999999999993e+01,5.821328417278009981e-01
1.193999999999999950e+01,6.816184093142042544e-01
1.196000000000000085e+01,4.226753796024963483e-01
1.198000000000000043e+01,6.375513380215838133e-01
1.200000000000000000e+01,8.791353109385100506e-01
1.201999999999999957e+01,5.322852632300156817e-01
1.203999999999999915e+01,4.896316515361548993e-01
1.206000000000000050e+01,4.144981539581670260e-01
1.208000000000000007e+01,6.377516815556818486e-01
1.209999999999999964e+01,6.273643389169574203e-01
1.212000000000000099e+01,7.191651681153866660e-01
1.214000000000000057e+01,6.733276863962309733e-01
1.216000000000000014e+01,4.032023806806532829e-01
1.217999999999999972e+01,4.402554436709686381e-01
1.219999999999999929e+01,5.219935802359816357e-01
1.222000000000000064e+01,5.961368011668422007e-01
1.224000000000000021e+01,4.319340731123060828e-01
1.225999999999999979e+01,4.087292749567683070e-01
1.228000000000000114e+01,4.779233994532755547e-01
1.230000000000000071e+01,6.410105737351319277e-01
1.232000000000000028e+01,5.882564066575290962e-01
1.233999999999999986e+01,4.902825269168358813e-01
1.235999999999999943e+01,7.774059261107261198e-01
1.237999999999999901e+01,6.293668664131593093e-01
1.240000000000000036e+01,5.284142796928708030e-01
1.241999999999999993e+01,6.454542236432991853e-01
1.243999999999999950e+01,5.132601561882581542e-01
1.246000000000000085e+01,5.092635193188991272e-01
1.248000000000000043e+01,6.358414839475162728e-01
1.250000000000000000e+01,6.094715286880222349e-01
1.251999999999999957e+01,6.509009081158674270e-01
1.253999999999999915e+01,5.095113447930094130e-01
1.256000000000000050e+01,3.101444831171198957e-01
1.258000000000000007e+01,4.950831275283557598e-01
1.259999999999999964e+01,7.655439692096248638e-01
1.262000000000000099e+01,6.041905615586059541e-01
1.264000000000000057e+01,5.629612136532671229e-01
1.266000000000000014e+01,5.246549281627777006e-01
1.267999999999999972e+01,5.341781787688840710e-01
1.269999999999999929e+01,4.450869346504810475e-01
1.272000000000000064e+01,4.418142768490522232e-01
1.274000000000000021e+01,3.024715439279097029e-01
1.275999999999999979e+01,5.610388690354390917e-01
1.278000000000000114e+01,6.706996096260477991e-01
1.280000000000000071e+01,4.055735202505686421e-01
1.282000000000000028e+01,4.209701396131244611e-01
