# 2Theta,Intensity
1.000000000000000000e+01,3.178358477513301694e-01
1.001999999999999957e+01,4.986391140617400519e-01
1.003999999999999915e+01,3.968248729559423760e-01
1.006000000000000050e+01,1.796103518905599605e-01
1.008000000000000007e+01,4.148378030626657109e-01
1.009999999999999964e+01,2.305715471017516505e-01
1.011999999999999922e+01,1.892436401388788436e-01
1.014000000000000057e+01,3.335515988034468138e-01
1.016000000000000014e+01,1.514733090679657168e-01
1.017999999999999972e+01,2.420066057562762496e-01
1.019999999999999929e+01,3.793609875091140116e-01
1.022000000000000064e+01,2.725218231456828510e-01
1.024000000000000021e+01,2.364503043405818961e-01
1.025999999999999979e+01,5.395526385185385188e-01
1.027999999999999936e+01,1.775351910729478233e-01
1.030000000000000071e+01,4.276445857439618026e-01
1.032000000000000028e+01,1.796334089834714098e-01
1.033999999999999986e+01,3.894394777053465928e-01
1.035999999999999943e+01,1.014004669650290513e-01
1.038000000000000078e+01,5.001904958707411586e-01
1.040000000000000036e+01,4.824598587111090797e-01
1.041999999999999993e+01,5.292653948579952722e-02
1.043999999999999950e+01,1.929586380713984028e-01
1.046000000000000085e+01,1.567130488638863450e-01
1.048000000000000043e+01,1.699030365511322027e-01
1.050000000000000000e+01,4.179074278056476022e-01
1.051999999999999957e+01,3.101163404939162316e-01
1.053999999999999915e+01,4.896136829185024353e-01
1.056000000000000050e+01,3.386460346120347409e-01
1.058000000000000007e+01,4.797147876620241336e-01
1.059999999999999964e+01,1.854663928957355976e-02
1.061999999999999922e+01,2.155334747888793534e-01
1.064000000000000057e+01,2.923018887646532948e-01
1.066000000000000014e+01,2.158403742948763748e-01
1.067999999999999972e+01,2.686615720306310129e-01
1.069999999999999929e+01,4.557416474892285185e-01
1.072000000000000064e+01,1.583710799231897448e-01
1.074000000000000021e+01,5.655177464314355973e-01
1.075999999999999979e+01,2.809233239395416692e-01
1.077999999999999936e+01,4.066715567673792608e-01
1.080000000000000071e+01,2.370615105106168574e-01
1.082000000000000028e+01,2.897992550664606481e-01
1.083999999999999986e+01,2.386980440340872311e-01
1.085999999999999943e+01,2.045763002482472448e-01
1.088000000000000078e+01,3.711163618505479156e-01
1.090000000000000036e+01,5.714401189325777342e-01
1.091999999999999993e+01,1.645032416608399606e-01
1.093999999999999950e+01,5.150948523665188628e-01
1.096000000000000085e+01,3.761666597035143167e-01
1.098000000000000043e+01,3.526379095747229631e-01
1.100000000000000000e+01,1.479212357896517727e-01
1.101999999999999957e+01,3.275267934453910956e-01
1.103999999999999915e+01,3.465359711284392574e-01
1.106000000000000050e+01,3.481271543466346596e-01
1.108000000000000007e+01,2.998380348628149616e-01
1.109999999999999964e+01,4.467256173704920452e-01
1.112000000000000099e+01,3.247363780649937803e-01
1.114000000000000057e+01,1.750407055498035269e-01
1.116000000000000014e+01,2.023242381154197467e-01
1.117999999999999972e+01,2.339385453053290931e-01
1.119999999999999929e+01,2.508643775264945974e-01
1.122000000000000064e+01,3.152713074561719342e-01
1.124000000000000021e+01,1.495921367337093022e-01
1.125999999999999979e+01,3.226438985815371918e-01
1.127999999999999936e+01,3.391773866648246094e-01
1.130000000000000071e+01,4.846452631196694338e-01
1.132000000000000028e+01,3.653357821482443035e-01
1.133999999999999986e+01,3.072410518229812815e-01
