# 2Theta,Intensity
1.000000000000000000e+01,9.792066538147818633e-02
1.001999999999999957e+01,-2.638433622545840671e-02
1.003999999999999915e+01,-1.479027920436916388e-01
1.006000000000000050e+01,1.389345646268470014e-01
1.008000000000000007e+01,-2.782030564879793208e-02
1.009999999999999964e+01,9.854740133173472971e-03
1.011999999999999922e+01,5.578914569513170377e-05
1.014000000000000057e+01,-1.198962336860622813e-01
1.016000000000000014e+01,4.738726540439971990e-02
1.017999999999999972e+01,1.391688693856774350e-01
1.019999999999999929e+01,3.220860196553101268e-02
1.022000000000000064e+01,-2.795489342531279342e-02
1.024000000000000021e+01,-6.845387414085372414e-03
1.025999999999999979e+01,-7.033487254270980732e-03
1.027999999999999936e+01,5.528822971927357943e-02
1.030000000000000071e+01,-6.437874939023868759e-02
1.032000000000000028e+01,1.183907434437158068e-01
1.033999999999999986e+01,-8.688036705995223763e-02
1.035999999999999943e+01,2.492847388946384246e-02
1.038000000000000078e+01,1.034674594224415690e-02
1.040000000000000036e+01,-6.481337777421725121e-02
1.041999999999999993e+01,-5.693188327033651269e-02
1.043999999999999950e+01,-3.132196136210397414e-02
1.046000000000000085e+01,-1.391437511883154565e-01
1.048000000000000043e+01,-7.358849892846509866e-02
1.050000000000000000e+01,-3.253284413932998331e-02
1.051999999999999957e+01,1.562679133199202375e-01
1.053999999999999915e+01,-8.907575995070869668e-02
1.056000000000000050e+01,-8.115241730161720790e-02
1.058000000000000007e+01,-1.540959865092080688e-02
1.059999999999999964e+01,1.380180775873451893e-01
1.061999999999999922e+01,5.594876799029738917e-02
1.064000000000000057e+01,2.357541839815568627e-02
1.066000000000000014e+01,6.855710961287674043e-02
1.067999999999999972e+01,1.006706751097170977e-01
1.069999999999999929e+01,-2.668324465180248184e-02
1.072000000000000064e+01,2.684225220049608618e-01
1.074000000000000021e+01,-7.171748726463834933e-02
1.075999999999999979e+01,1.174699482375807513e-01
1.077999999999999936e+01,6.991754271342245919e-02
1.080000000000000071e+01,6.801995465502795601e-02
1.082000000000000028e+01,2.426214397488013763e-01
1.083999999999999986e+01,-5.818906318304431502e-02
1.085999999999999943e+01,6.720548061758636893e-02
1.088000000000000078e+01,7.112609441228076590e-02
1.090000000000000036e+01,6.271743237836520379e-02
1.091999999999999993e+01,2.956361488802787818e-01
1.093999999999999950e+01,1.747431632468079143e-01
1.096000000000000085e+01,2.051368700892547761e-02
1.098000000000000043e+01,9.213132070183263633e-02
1.100000000000000000e+01,1.475229380044436886e-03
1.101999999999999957e+01,-8.259622040819497579e-02
1.103999999999999915e+01,-5.219251571194373496e-02
1.106000000000000050e+01,1.899030158568650387e-02
1.108000000000000007e+01,8.222885235891533307e-02
1.109999999999999964e+01,8.791921541146617558e-02
1.112000000000000099e+01,6.295937022292122376e-02
1.114000000000000057e+01,6.002762429588143905e-02
1.116000000000000014e+01,-1.200350905514299682e-02
1.117999999999999972e+01,-2.051012225561892055e-01
1.119999999999999929e+01,1.122099968305021594e-02
1.122000000000000064e+01,-3.360150599311529512e-02
1.124000000000000021e+01,4.299651809143578002e-02
1.125999999999999979e+01,1.161046404532916215e-01
1.127999999999999936e+01,2.072811906206962762e-01
1.130000000000000071e+01,-3.522620587495932376e-02
1.132000000000000028e+01,3.210400992800619968e-01
