# 2Theta,Intensity
1.000000000000000000e+01,4.846077895765566607e-02
1.001999999999999957e+01,1.688844606399226844e-01
1.003999999999999915e+01,6.392943027310513116e-02
1.006000000000000050e+01,1.521882030192740209e-01
1.008000000000000007e+01,1.486514148414307401e-01
1.009999999999999964e+01,3.171256216257846705e-01
1.011999999999999922e+01,1.274094500919373540e-01
1.014000000000000057e+01,2.980837562288700671e-01
1.016000000000000014e+01,2.795601140087941583e-01
1.017999999999999972e+01,3.304869219454880658e-01
1.019999999999999929e+01,1.581971482452535493e-01
1.022000000000000064e+01,1.645698490432089545e-01
1.024000000000000021e+01,5.275471578912441922e-02
1.025999999999999979e+01,2.726139700781149422e-02
1.027999999999999936e+01,2.337283349878472860e-01
1.030000000000000071e+01,1.971550911736685285e-01
1.032000000000000028e+01,8.442848228316755799e-02
1.033999999999999986e+01,1.771195625965238107e-01
1.035999999999999943e+01,8.247328334319760368e-02
1.038000000000000078e+01,2.224221472073310280e-01
1.040000000000000036e+01,1.325320145729445842e-01
1.041999999999999993e+01,9.435072611378977903e-02
1.043999999999999950e+01,1.399659992125391050e-01
1.046000000000000085e+01,5.246626829114650614e-02
1.048000000000000043e+01,3.634659621186797640e-02
1.050000000000000000e+01,1.615985874861423088e-01
1.051999999999999957e+01,2.800920104669160637e-01
1.053999999999999915e+01,3.326648775132480806e-01
1.056000000000000050e+01,1.622585283427879221e-01
1.058000000000000007e+01,2.548045715652015319e-01
1.059999999999999964e+01,6.651809379644367526e-02
1.061999999999999922e+01,2.392328678551937648e-01
1.064000000000000057e+01,-9.112497764104313114e-02
1.066000000000000014e+01,7.058776222656537591e-02
1.067999999999999972e+01,1.679322129129378061e-01
1.069999999999999929e+01,5.666777494711584123e-02
1.072000000000000064e+01,1.465144994680046137e-02
1.074000000000000021e+01,7.198725876788085454e-02
1.075999999999999979e+01,1.684176280232844436e-01
1.077999999999999936e+01,5.391823809913215415e-02
1.080000000000000071e+01,3.268414360256334805e-01
1.082000000000000028e+01,5.796414974126355701e-02
1.083999999999999986e+01,-1.235953671083214328e-01
1.085999999999999943e+01,3.950387198223347385e-01
1.088000000000000078e+01,2.222249301127461329e-01
1.090000000000000036e+01,2.690082809747423309e-01
1.091999999999999993e+01,1.498562860250166051e-01
1.093999999999999950e+01,3.123766573970019889e-01
1.096000000000000085e+01,1.621938404682441437e-01
1.098000000000000043e+01,-7.520640799577502089e-02
1.100000000000000000e+01,6.501856906143742287e-02
1.101999999999999957e+01,2.264389722464532628e-01
1.103999999999999915e+01,1.634786660649548695e-01
1.106000000000000050e+01,2.440161431586354568e-01
1.108000000000000007e+01,2.633160797975078737e-01
1.109999999999999964e+01,1.712710700010275644e-01
1.112000000000000099e+01,1.302606457678826546e-01
1.114000000000000057e+01,2.430819487945053148e-01
1.116000000000000014e+01,1.148169831778323852e-01
1.117999999999999972e+01,1.649046334870049313e-01
1.119999999999999929e+01,1.322445927547600819e-01
1.122000000000000064e+01,2.015433115074801718e-01
1.124000000000000021e+01,1.070468102459376653e-01
1.125999999999999979e+01,-8.757691865403987794e-03
1.127999999999999936e+01,3.621276841432871652e-01
1.130000000000000071e+01,1.414861489715850129e-01
1.132000000000000028e+01,3.642358419743753628e-01
1.133999999999999986e+01,-5.983978420980606144e-02
1.135999999999999943e+01,2.380866258126933532e-01
1.138000000000000078e+01,1.213595610987538848e-01
1.140000000000000036e+01,7.915694712543441813e-02
1.141999999999999993e+01,1.894565086374460361e-01
1.143999999999999950e+01,1.209411621242529322e-01
1.146000000000000085e+01,1.530909464663472164e-01
1.148000000000000043e+01,5.544265138568406359e-02
1.150000000000000000e+01,1.484352829992054146e-01
1.151999999999999957e+01,-9.011560260470577455e-02
1.153999999999999915e+01,-2.695217657599214417e-02
1.156000000000000050e+01,-7.695962518503494249e-03
1.158000000000000007e+01,-1.036345683247756749e-01
1.159999999999999964e+01,8.956297197016759026e-02
1.162000000000000099e+01,1.461722841464967726e-01
1.164000000000000057e+01,1.012739282159519638e-01
1.166000000000000014e+01,2.650412505201000801e-01
1.167999999999999972e+01,1.630959489014267016e-01
1.169999999999999929e+01,-1.340290460987864363e-01
1.172000000000000064e+01,2.187027786748776959e-01
1.174000000000000021e+01,3.438928054034087189e-01
1.175999999999999979e+01,1.494000945257033808e-01
1.177999999999999936e+01,9.399818609084320542e-02
1.180000000000000071e+01,2.202056394958480934e-01
1.182000000000000028e+01,-5.235904303143652100e-02
1.183999999999999986e+01,1.982431574921036666e-01
1.185999999999999943e+01,2.296559355885177678e-01
1.188000000000000078e+01,2.375542845860407343e-02
1.190000000000000036e+01,2.939931549367870711e-01
1.191999999999999993e+01,2.566387342483333889e-01
1.193999999999999950e+01,1.570005505539428525e-01
1.196000000000000085e+01,4.761675352087980234e-03
1.198000000000000043e+01,2.133141995165191984e-01
1.200000000000000000e+01,2.195472841685893184e-01
1.201999999999999957e+01,1.690017449628750945e-01
1.203999999999999915e+01,3.245009367894738372e-01
1.206000000000000050e+01,1.935565970166097383e-01
1.208000000000000007e+01,-1.031857019261793636e-02
1.209999999999999964e+01,2.564676457761967954e-01
1.212000000000000099e+01,1.764807121680689039e-01
1.214000000000000057e+01,-1.847948899192109196e-01
1.216000000000000014e+01,1.213009392768087946e-01
1.217999999999999972e+01,-7.204318108504568531e-03
1.219999999999999929e+01,2.354287043178247552e-01
1.222000000000000064e+01,1.780671497001698814e-02
1.224000000000000021e+01,1.954430259716328361e-02
1.225999999999999979e+01,2.167534014329410702e-02
1.228000000000000114e+01,2.799182285479877019e-01
1.230000000000000071e+01,1.669426332944652092e-01
1.232000000000000028e+01,1.898356682396505068e-01
1.233999999999999986e+01,1.545423239297371576e-01
1.235999999999999943e+01,2.448114234447160420e-01
1.237999999999999901e+01,2.857162342467455818e-01
1.240000000000000036e+01,1.186146389952469488e-01
1.241999999999999993e+01,-7.986648942664849662e-03
1.243999999999999950e+01,5.313139805568720814e-02
1.246000000000000085e+01,1.983486864716933473e-01
1.248000000000000043e+01,4.158458199702632502e-02
1.250000000000000000e+01,3.553354380008512392e-02
1.251999999999999957e+01,3.699785909113202931e-01
1.253999999999999915e+01,9.280543802394328190e-02
1.256000000000000050e+01,2.659779685929872239e-01
1.258000000000000007e+01,1.205694498353555300e-01
1.259999999999999964e+01,1.567948559560568000e-01
1.262000000000000099e+01,2.247381842176554012e-01
1.264000000000000057e+01,1.834711613797507523e-01
1.266000000000000014e+01,-9.806580884768736905e-02
1.267999999999999972e+01,2.430641046725063106e-02
1.269999999999999929e+01,2.489949588042656148e-01
1.272000000000000064e+01,1.720951754578594894e-01
1.274000000000000021e+01,1.466450667319791346e-01
1.275999999999999979e+01,-5.894884481532473852e-02
1.278000000000000114e+01,1.988669850719820484e-02
1.280000000000000071e+01,1.617262108605574678e-01
1.282000000000000028e+01,3.115078363272891226e-01
1.283999999999999986e+01,-9.362503761512229461e-03
1.285999999999999943e+01,7.202301489474070839e-02
1.287999999999999901e+01,3.251006479453368292e-01
1.290000000000000036e+01,1.366659455908524057e-01
1.291999999999999993e+01,1.461507345310683603e-01
1.293999999999999950e+01,1.842151735657548417e-01
1.296000000000000085e+01,2.232888080106149309e-01
1.298000000000000043e+01,1.861945656784712022e-01
1.300000000000000000e+01,4.201933149116354044e-02
1.301999999999999957e+01,4.404767918554103878e-01
1.303999999999999915e+01,5.990750287845290206e-02
1.306000000000000050e+01,3.227573085760843813e-02
1.308000000000000007e+01,5.284753075445007553e-02
1.309999999999999964e+01,1.037426647520976186e-01
1.312000000000000099e+01,4.948344588081952239e-02
1.314000000000000057e+01,1.278561274571938522e-01
1.316000000000000014e+01,1.554616213046703110e-01
1.317999999999999972e+01,1.996214521008485565e-01
1.319999999999999929e+01,2.911067110323563023e-01
1.322000000000000064e+01,1.501261169374536464e-01
1.324000000000000021e+01,1.009783503958614631e-01
