# 2Theta,Intensity
1.000000000000000000e+01,2.146520186864322444e-01
1.001999999999999957e+01,1.409433483044094347e-02
1.003999999999999915e+01,1.353844046878812102e-01
1.006000000000000050e+01,4.190397066800961162e-02
1.008000000000000007e+01,1.766273814751700144e-01
1.009999999999999964e+01,3.230434283605504442e-01
1.011999999999999922e+01,2.789098988362750942e-01
1.014000000000000057e+01,2.461271942594520645e-01
1.016000000000000014e+01,1.846993788822574867e-01
1.017999999999999972e+01,2.067211376196283479e-01
1.019999999999999929e+01,1.291988568809230298e-01
1.022000000000000064e+01,3.536135088099870982e-01
1.024000000000000021e+01,6.408560136181669364e-02
1.025999999999999979e+01,2.415886446629403328e-02
1.027999999999999936e+01,5.853432653126765250e-02
1.030000000000000071e+01,8.446561773382273153e-02
1.032000000000000028e+01,9.319649445748133532e-02
1.033999999999999986e+01,1.819465875891269346e-01
1.035999999999999943e+01,1.982535199685857286e-01
1.038000000000000078e+01,1.465719058099447802e-01
1.040000000000000036e+01,2.692423665908802999e-01
1.041999999999999993e+01,2.190222522341742362e-01
1.043999999999999950e+01,8.296447984022314870e-02
1.046000000000000085e+01,1.921071262415563197e-01
1.048000000000000043e+01,3.333630049753667779e-02
1.050000000000000000e+01,2.284814462379620714e-01
1.051999999999999957e+01,1.753658554764899458e-01
1.053999999999999915e+01,3.902125502847246241e-01
1.056000000000000050e+01,2.113770552409233450e-01
1.058000000000000007e+01,2.321575972021839851e-01
1.059999999999999964e+01,1.585182654523742685e-01
1.061999999999999922e+01,8.820319266974063765e-02
1.064000000000000057e+01,1.703400857419754555e-01
1.066000000000000014e+01,1.014741773458738283e-01
1.067999999999999972e+01,3.473471326872091813e-01
1.069999999999999929e+01,2.960049434558774673e-01
1.072000000000000064e+01,2.003078093062221274e-02
1.074000000000000021e+01,1.066029753801474023e-01
1.075999999999999979e+01,6.912257698244128612e-02
1.077999999999999936e+01,1.461838261068124922e-01
1.080000000000000071e+01,1.735517268721784301e-01
1.082000000000000028e+01,1.814292194723420570e-01
1.083999999999999986e+01,1.287958169866935121e-01
1.085999999999999943e+01,3.039429711253807120e-01
1.088000000000000078e+01,-4.185277945961448330e-03
1.090000000000000036e+01,6.023377401095598993e-02
1.091999999999999993e+01,3.871287147629057929e-02
1.093999999999999950e+01,6.116677008493546369e-02
1.096000000000000085e+01,2.875064577412651534e-01
1.098000000000000043e+01,3.371724271293335407e-01
1.100000000000000000e+01,1.902895170581651585e-01
1.101999999999999957e+01,1.050512733856630437e-01
1.103999999999999915e+01,2.177468119971638083e-01
1.106000000000000050e+01,1.875509620590319060e-01
1.108000000000000007e+01,1.525045144195707747e-01
1.109999999999999964e+01,1.516339608613245238e-01
1.112000000000000099e+01,1.331202974111632409e-01
1.114000000000000057e+01,2.288536008010922107e-01
1.116000000000000014e+01,-3.513972832198996449e-02
1.117999999999999972e+01,1.671120710545308807e-01
1.119999999999999929e+01,1.496593558120862810e-01
1.122000000000000064e+01,3.991864997108995894e-02
1.124000000000000021e+01,1.231073498807968708e-01
1.125999999999999979e+01,4.679157143125062257e-02
1.127999999999999936e+01,2.404416851902326513e-01
1.130000000000000071e+01,3.355207266216616580e-01
1.132000000000000028e+01,1.063057760226248684e-02
1.133999999999999986e+01,1.311022266128190339e-01
1.135999999999999943e+01,2.031689440274607183e-01
1.138000000000000078e+01,3.219140175650115898e-01
1.140000000000000036e+01,3.282966411204157192e-02
1.141999999999999993e+01,1.219824315608041831e-01
1.143999999999999950e+01,1.121186087722639835e-01
1.146000000000000085e+01,2.103115371967028691e-01
1.148000000000000043e+01,1.509569432652906606e-01
1.150000000000000000e+01,-8.227421105694699907e-03
1.151999999999999957e+01,1.788570784257728918e-01
1.153999999999999915e+01,2.479699345209248063e-01
1.156000000000000050e+01,7.569034388623219201e-02
1.158000000000000007e+01,1.773834080419565418e-01
1.159999999999999964e+01,1.586984818315330115e-01
1.162000000000000099e+01,3.428819794088931727e-02
1.164000000000000057e+01,9.671163768594480403e-02
1.166000000000000014e+01,2.402732597783109325e-01
1.167999999999999972e+01,4.039525913312236316e-01
1.169999999999999929e+01,3.746007836982883088e-01
1.172000000000000064e+01,8.128912443720566483e-02
1.174000000000000021e+01,1.460785366428250520e-01
1.175999999999999979e+01,2.095166461257747526e-01
1.177999999999999936e+01,5.553073363248836603e-02
1.180000000000000071e+01,2.733866074941465607e-01
1.182000000000000028e+01,1.425989024359597124e-01
1.183999999999999986e+01,8.692258847880388051e-02
1.185999999999999943e+01,-4.262006613027902874e-02
1.188000000000000078e+01,1.248036090863681724e-01
1.190000000000000036e+01,1.653862136501627889e-01
1.191999999999999993e+01,1.318842233001258323e-02
1.193999999999999950e+01,2.662372655412070244e-01
1.196000000000000085e+01,1.955307329313660802e-01
1.198000000000000043e+01,1.571942087068167460e-01
1.200000000000000000e+01,2.111785221481876085e-01
1.201999999999999957e+01,2.300520048475771795e-01
1.203999999999999915e+01,2.321605892246392244e-01
1.206000000000000050e+01,2.226397439877440820e-02
1.208000000000000007e+01,1.060314319147299400e-01
1.209999999999999964e+01,2.081779631222983873e-01
1.212000000000000099e+01,-1.047620204703808983e-01
1.214000000000000057e+01,2.784721185937064081e-01
1.216000000000000014e+01,1.676631570378389058e-01
1.217999999999999972e+01,-1.994316821041771173e-02
1.219999999999999929e+01,2.347037832119167611e-01
1.222000000000000064e+01,2.570569738769510892e-01
1.224000000000000021e+01,2.104420613868843437e-01
1.225999999999999979e+01,9.543558080808053901e-02
1.228000000000000114e+01,2.864464594567836531e-01
1.230000000000000071e+01,7.469664193352018589e-02
1.232000000000000028e+01,3.035978145257891003e-01
1.233999999999999986e+01,6.975355491286640286e-02
1.235999999999999943e+01,3.025618604872282180e-01
1.237999999999999901e+01,3.887949856137071225e-02
1.240000000000000036e+01,1.963795736820631022e-01
1.241999999999999993e+01,2.855654016698178643e-01
1.243999999999999950e+01,1.447490336704833902e-01
1.246000000000000085e+01,1.220489969717394596e-01
1.248000000000000043e+01,1.955064688192961198e-01
1.250000000000000000e+01,2.161710095453487079e-01
1.251999999999999957e+01,3.190411511521633603e-01
1.253999999999999915e+01,1.799245821087219477e-01
1.256000000000000050e+01,-1.053157178326599858e-01
1.258000000000000007e+01,2.043788637725338642e-01
1.259999999999999964e+01,1.588929971334648306e-01
1.262000000000000099e+01,2.629178777870443406e-01
1.264000000000000057e+01,-1.330721945507588357e-02
1.266000000000000014e+01,7.530275191289624581e-02
1.267999999999999972e+01,1.278443418782063135e-01
1.269999999999999929e+01,8.790407458845950206e-02
1.272000000000000064e+01,-8.236225454360296405e-02
1.274000000000000021e+01,1.991336020323289380e-01
1.275999999999999979e+01,2.509196582842690981e-01
1.278000000000000114e+01,2.565422270154367745e-01
1.280000000000000071e+01,-2.164987603736526212e-02
1.282000000000000028e+01,3.249487629337926564e-01
1.283999999999999986e+01,2.869160331438264655e-01
1.285999999999999943e+01,1.654097132344981846e-01
1.287999999999999901e+01,1.428769279645543955e-01
1.290000000000000036e+01,2.619479680792735979e-02
1.291999999999999993e+01,6.282594641439402661e-02
1.293999999999999950e+01,-1.060700306407812710e-01
1.296000000000000085e+01,6.146285515652281234e-02
1.298000000000000043e+01,1.180154527745451154e-01
1.300000000000000000e+01,1.006383904616081765e-01
1.301999999999999957e+01,1.449356530987489511e-01
1.303999999999999915e+01,2.455115970740525677e-01
1.306000000000000050e+01,-5.228548689866247684e-02
1.308000000000000007e+01,1.936887146726673781e-01
