# 2Theta,Intensity
1.000000000000000000e+01,1.971769888340786370e-01
1.001999999999999957e+01,2.689004191424533285e-01
1.003999999999999915e+01,1.332182466164187340e-01
1.006000000000000050e+01,1.354103793234773256e-01
1.008000000000000007e+01,5.179119970726151628e-02
1.009999999999999964e+01,9.798324741037589547e-02
1.011999999999999922e+01,1.120560088867424142e-01
1.014000000000000057e+01,1.408754677349975670e-01
1.016000000000000014e+01,1.899717875162632297e-01
1.017999999999999972e+01,5.376523416653998522e-02
1.019999999999999929e+01,2.321222587041178176e-01
1.022000000000000064e+01,1.651864174146400188e-01
1.024000000000000021e+01,6.311228903916091815e-01
1.025999999999999979e+01,1.127860069017611266e+00
1.027999999999999936e+01,1.690798773431076096e+00
1.030000000000000071e+01,9.372002435155494249e-01
1.032000000000000028e+01,3.953358741030785772e-01
1.033999999999999986e+01,2.744138147829674468e-01
1.035999999999999943e+01,4.998069978307962541e-02
1.038000000000000078e+01,1.209186005587199880e-01
1.040000000000000036e+01,7.320461280238942103e-02
1.041999999999999993e+01,1.228217030168978208e-01
1.043999999999999950e+01,1.253746785534058938e-01
1.046000000000000085e+01,5.392426826587597144e-02
1.048000000000000043e+01,2.188910349617747275e-01
1.050000000000000000e+01,4.757023789256772245e-02
1.051999999999999957e+01,1.632908119821698326e-02
1.053999999999999915e+01,-9.119725946764888069e-02
1.056000000000000050e+01,3.153049042125604523e-02
1.058000000000000007e+01,7.913956164539936999e-02
1.059999999999999964e+01,-1.065775377783233918e-01
1.061999999999999922e+01,2.482803411085799383e-01
1.064000000000000057e+01,7.662878579610760132e-02
1.066000000000000014e+01,-4.844608214218538295e-02
1.067999999999999972e+01,-1.572875744171905663e-02
1.069999999999999929e+01,-1.535221533294040819e-01
1.072000000000000064e+01,1.040521360394441042e-01
1.074000000000000021e+01,-6.025710594385050300e-02
1.075999999999999979e+01,1.974636599910508106e-01
1.077999999999999936e+01,9.609898897875077117e-02
1.080000000000000071e+01,1.700248157636903013e-01
1.082000000000000028e+01,1.499674381770584597e-01
1.083999999999999986e+01,2.330646436335849780e-01
1.085999999999999943e+01,-6.580277998671328621e-02
1.088000000000000078e+01,1.506132407300851683e-01
1.090000000000000036e+01,2.403365019107249825e-02
1.091999999999999993e+01,9.039017469484464384e-02
1.093999999999999950e+01,2.834988419833012890e-02
1.096000000000000085e+01,1.314724533504532111e-01
1.098000000000000043e+01,-1.233458526105931374e-01
1.100000000000000000e+01,2.374209883338783966e-01
1.101999999999999957e+01,1.112408151137928188e-02
1.103999999999999915e+01,1.254118507574916719e-01
1.106000000000000050e+01,2.036820536462283504e-01
1.108000000000000007e+01,1.623402083278276953e-01
1.109999999999999964e+01,6.117987101942535394e-02
1.112000000000000099e+01,-3.419775894361439667e-02
1.114000000000000057e+01,1.276715674036758008e-01
1.116000000000000014e+01,3.144321503058171152e-01
1.117999999999999972e+01,1.533193202465603366e-01
1.119999999999999929e+01,1.421423442546813631e-01
1.122000000000000064e+01,1.919875363823481812e-02
1.124000000000000021e+01,5.469545861213094551e-02
1.125999999999999979e+01,8.722123543022097802e-02
1.127999999999999936e+01,-2.288029106540473145e-01
1.130000000000000071e+01,4.077909711176097574e-02
1.132000000000000028e+01,1.308847942663279862e-01
1.133999999999999986e+01,-2.232625437109366732e-03
1.135999999999999943e+01,3.091906804866688119e-01
1.138000000000000078e+01,1.921736869248768381e-02
1.140000000000000036e+01,-8.246651796443688065e-02
1.141999999999999993e+01,2.096956664996358355e-01
1.143999999999999950e+01,3.014216657332347352e-02
1.146000000000000085e+01,2.778570873120734808e-01
1.148000000000000043e+01,-3.930767722507925825e-03
1.150000000000000000e+01,3.161361803587460217e-01
1.151999999999999957e+01,1.839592647350916377e-01
1.153999999999999915e+01,-1.043614372955602165e-02
1.156000000000000050e+01,3.300773746111086981e-01
1.158000000000000007e+01,3.985686454762665254e-01
1.159999999999999964e+01,1.295931892993594514e-01
1.162000000000000099e+01,-1.645395876903690824e-02
1.164000000000000057e+01,1.348373902152322501e-01
1.166000000000000014e+01,1.416941412618807627e-01
1.167999999999999972e+01,8.447232120986632176e-02
1.169999999999999929e+01,-9.434959587939079073e-03
1.172000000000000064e+01,7.283685911813914116e-02
1.174000000000000021e+01,-2.180727794360530492e-01
1.175999999999999979e+01,2.256541672658850806e-01
1.177999999999999936e+01,3.091048569868463936e-02
1.180000000000000071e+01,2.711387362361971087e-01
1.182000000000000028e+01,1.878954023472637069e-01
1.183999999999999986e+01,2.384078246338050266e-01
1.185999999999999943e+01,1.616198638006544341e-01
1.188000000000000078e+01,2.283922983631032910e-01
1.190000000000000036e+01,5.579891299612883548e-01
1.191999999999999993e+01,4.920546203332250013e-01
1.193999999999999950e+01,1.107155779327154921e+00
1.196000000000000085e+01,3.074378632110385201e+00
1.198000000000000043e+01,6.739968112152595836e+00
1.200000000000000000e+01,1.118717187285642822e+01
1.201999999999999957e+01,1.127770054646392595e+01
1.203999999999999915e+01,5.207686601965115791e+00
1.206000000000000050e+01,1.492445490086197646e+00
1.208000000000000007e+01,1.221754634868180922e+00
1.209999999999999964e+01,6.920265108231211659e-01
1.212000000000000099e+01,6.739757534593822097e-01
1.214000000000000057e+01,7.206148755381881488e-01
1.216000000000000014e+01,8.793226419282285100e-01
1.217999999999999972e+01,1.147946649504054895e+00
1.219999999999999929e+01,3.745705013455085997e+00
1.222000000000000064e+01,1.108817248073148320e+01
1.224000000000000021e+01,2.841018218380407845e+01
1.225999999999999979e+01,3.857618722866413208e+01
1.228000000000000114e+01,2.734744583038269283e+01
1.230000000000000071e+01,1.128854994185951632e+01
1.232000000000000028e+01,3.321957595225630833e+00
1.233999999999999986e+01,1.281550433176967374e+00
1.235999999999999943e+01,7.316118307730332671e-01
1.237999999999999901e+01,3.815423694240297481e-01
1.240000000000000036e+01,5.940585836566070199e-01
1.241999999999999993e+01,2.920512794999083339e-01
1.243999999999999950e+01,5.363476468900035821e-01
1.246000000000000085e+01,2.262829254908808874e-01
1.248000000000000043e+01,5.305646425519364717e-01
1.250000000000000000e+01,2.270365778609144958e-01
1.251999999999999957e+01,3.246467585723148974e-01
1.253999999999999915e+01,2.390798825924441914e-02
1.256000000000000050e+01,1.572351583922728946e-01
1.258000000000000007e+01,1.776294648159590372e-01
1.259999999999999964e+01,2.672581313570135952e-01
1.262000000000000099e+01,8.885772024000035407e-02
1.264000000000000057e+01,5.649668906989410017e-02
1.266000000000000014e+01,2.294011525031660337e-01
1.267999999999999972e+01,1.012952025414958629e-01
1.269999999999999929e+01,1.848820020811114268e-02
1.272000000000000064e+01,3.609795649210427448e-02
1.274000000000000021e+01,7.808073468690174268e-02
1.275999999999999979e+01,8.127211605114272042e-02
1.278000000000000114e+01,1.419688489120749138e-02
1.280000000000000071e+01,-1.523329009042641551e-03
1.282000000000000028e+01,1.443647326177344425e-01
1.283999999999999986e+01,-2.330949684623523713e-02
1.285999999999999943e+01,2.511390775109177101e-04
1.287999999999999901e+01,9.710731906358734122e-02
1.290000000000000036e+01,1.647117328745504872e-01
1.291999999999999993e+01,-1.446118955038077081e-01
1.293999999999999950e+01,2.678102034447055191e-02
1.296000000000000085e+01,7.663419059701016833e-02
1.298000000000000043e+01,3.012559742683611902e-02
1.300000000000000000e+01,2.200860380063983657e-01
1.301999999999999957e+01,1.228277236635608033e-01
1.303999999999999915e+01,-7.002812128561947125e-02
1.306000000000000050e+01,1.034777952870836043e-01
1.308000000000000007e+01,1.623596243093275993e-01
1.309999999999999964e+01,2.768568324019310412e-01
1.312000000000000099e+01,1.017084934177465289e-01
1.314000000000000057e+01,-8.836044982837856776e-02
1.316000000000000014e+01,-2.852096834931350244e-01
1.317999999999999972e+01,-2.679461968167684907e-02
1.319999999999999929e+01,5.249108837820799095e-02
1.322000000000000064e+01,1.381316807650850020e-01
1.324000000000000021e+01,2.329484362862613289e-01
1.325999999999999979e+01,5.137080827761478924e-02
1.328000000000000114e+01,1.018438576725332889e-01
1.330000000000000071e+01,1.745913912178915783e-01
1.332000000000000028e+01,1.234874682445273458e-01
1.333999999999999986e+01,1.746933860906341174e-01
1.335999999999999943e+01,1.924937779345496924e-01
1.337999999999999901e+01,9.164816930753737212e-02
1.340000000000000036e+01,7.243597095419461451e-02
1.341999999999999993e+01,2.345867730548860663e-01
1.343999999999999950e+01,3.582763195143464086e-01
1.346000000000000085e+01,1.116736584708954150e-01
1.348000000000000043e+01,-5.651224489834251463e-02
1.350000000000000000e+01,-5.400657758808265207e-02
1.351999999999999957e+01,-3.000348871094305966e-02
1.353999999999999915e+01,1.944051189928155676e-01
1.356000000000000050e+01,1.586116867791919627e-01
1.358000000000000007e+01,2.919331086725747704e-01
1.359999999999999964e+01,2.923701256144137228e-01
1.362000000000000099e+01,1.308727441197390928e-01
1.364000000000000057e+01,1.042447770584123967e-01
1.366000000000000014e+01,1.579234652378026793e-01
1.367999999999999972e+01,1.509678550593514246e-01
1.369999999999999929e+01,4.202400690340866163e-01
1.372000000000000064e+01,2.494126139137814724e-01
1.374000000000000021e+01,6.315360667931801952e-01
1.375999999999999979e+01,7.697666460050065496e-01
1.378000000000000114e+01,2.124992644488545857e+00
1.380000000000000071e+01,5.464686154708169319e+00
1.382000000000000028e+01,7.121474383658131124e+00
1.383999999999999986e+01,5.476725615690596349e+00
1.385999999999999943e+01,2.576933025881921413e+00
1.387999999999999901e+01,7.618456622219368368e-01
1.390000000000000036e+01,2.532807212078033166e-01
1.391999999999999993e+01,3.764143703955217246e-01
1.393999999999999950e+01,-9.763744035201384064e-02
1.396000000000000085e+01,9.634239085241507600e-03
1.398000000000000043e+01,1.448166343474842077e-01
1.400000000000000000e+01,9.183774215345746894e-02
1.401999999999999957e+01,1.780802147575331340e-01
1.403999999999999915e+01,2.284880509059100950e-01
1.406000000000000050e+01,1.110748210238447914e-01
1.408000000000000007e+01,1.856359878636566763e-01
1.409999999999999964e+01,4.997270597957682164e-02
1.412000000000000099e+01,1.359531039453492629e-01
1.414000000000000057e+01,6.294439170399224182e-02
1.416000000000000014e+01,2.358051259387781429e-01
1.417999999999999972e+01,2.092579811875137641e-01
1.419999999999999929e+01,1.502988387207244703e-01
1.421999999999999886e+01,1.319789561363381436e-01
1.424000000000000021e+01,1.310457477498312272e-03
1.425999999999999979e+01,2.638987761980272628e-01
1.428000000000000114e+01,3.455867784937231152e-02
1.430000000000000071e+01,7.078789182398184665e-02
1.432000000000000028e+01,8.171178862659621289e-02
1.433999999999999986e+01,1.787990228099250456e-01
1.435999999999999943e+01,7.456852864834329075e-02
1.437999999999999901e+01,-4.951908836301054800e-02
1.440000000000000036e+01,1.920857302893028695e-01
1.441999999999999993e+01,4.484251908645904283e-01
1.444000000000000128e+01,1.024469556665583703e+00
1.446000000000000085e+01,2.306232396193527379e+00
1.448000000000000043e+01,2.650036242679919329e+00
1.450000000000000000e+01,1.952405136132919328e+00
1.451999999999999957e+01,1.154948658080926949e+00
