# 2Theta,Intensity
1.000000000000000000e+01,-2.124991403563651366e-03
1.001999999999999957e+01,5.355088012399836228e-02
1.003999999999999915e+01,2.414169081974030795e-01
1.006000000000000050e+01,1.947902953456128461e-01
1.008000000000000007e+01,-3.985793589887912797e-02
1.009999999999999964e+01,4.455013906647969230e-02
1.011999999999999922e+01,1.289513323437621872e-01
1.014000000000000057e+01,2.763846212031803029e-01
1.016000000000000014e+01,7.863336633263218189e-02
1.017999999999999972e+01,1.461819574238531760e-01
1.019999999999999929e+01,7.432069906169756768e-02
1.022000000000000064e+01,6.824976988481322449e-02
1.024000000000000021e+01,2.723060724800710486e-01
1.025999999999999979e+01,1.653814194146955019e-01
1.027999999999999936e+01,1.188633180173007120e-01
1.030000000000000071e+01,5.567929645337021949e-02
1.032000000000000028e+01,3.479978564204342928e-01
1.033999999999999986e+01,2.037220291398190442e-01
1.035999999999999943e+01,2.160921603094986265e-01
1.038000000000000078e+01,1.418183518919994834e-01
1.040000000000000036e+01,2.200779458917374587e-01
1.041999999999999993e+01,1.301557037758159507e-01
1.043999999999999950e+01,1.377188792910990500e-01
1.046000000000000085e+01,2.279355576855225662e-01
1.048000000000000043e+01,6.882393144720666545e-02
1.050000000000000000e+01,1.983684070007183387e-01
1.051999999999999957e+01,1.827672253544936898e-01
1.053999999999999915e+01,1.963736071193020738e-01
1.056000000000000050e+01,-1.241482230189543817e-02
1.058000000000000007e+01,-4.252938949720846268e-02
1.059999999999999964e+01,4.789511050854562690e-02
1.061999999999999922e+01,2.428959257577301967e-01
1.064000000000000057e+01,2.724661611949495410e-01
1.066000000000000014e+01,1.201238243857528226e-01
1.067999999999999972e+01,3.652553200526155452e-02
1.069999999999999929e+01,1.698391602984183346e-01
1.072000000000000064e+01,2.115562801251262559e-01
1.074000000000000021e+01,2.609151089053567407e-01
1.075999999999999979e+01,1.039699797859375413e-01
1.077999999999999936e+01,-6.160020174129482960e-03
1.080000000000000071e+01,2.068091743785057668e-01
1.082000000000000028e+01,2.105593534873083927e-01
1.083999999999999986e+01,1.065449898930642403e-01
1.085999999999999943e+01,-6.561908870605244470e-02
1.088000000000000078e+01,1.864163256714420347e-01
1.090000000000000036e+01,1.821322713343328029e-02
1.091999999999999993e+01,5.307265984076121185e-02
1.093999999999999950e+01,1.154118814239828705e-01
1.096000000000000085e+01,3.578756187134025657e-01
1.098000000000000043e+01,1.915867445143080161e-01
1.100000000000000000e+01,3.232028816796597148e-01
