# 2Theta,Intensity
1.000000000000000000e+01,4.503690100467075963e-01
1.001999999999999957e+01,2.716139840635730107e-01
1.003999999999999915e+01,3.069590855403547258e-01
1.006000000000000050e+01,4.643336497372073102e-01
1.008000000000000007e+01,2.689153316627413415e-01
1.009999999999999964e+01,4.660960619986184161e-01
1.011999999999999922e+01,3.464504495729366362e-01
1.014000000000000057e+01,3.539256174001679800e-01
1.016000000000000014e+01,3.289235994898926374e-01
1.017999999999999972e+01,3.032913256834495752e-01
1.019999999999999929e+01,2.748931847742250301e-01
1.022000000000000064e+01,3.116732277119353411e-01
1.024000000000000021e+01,6.470844870847178298e-02
1.025999999999999979e+01,2.324335424802176919e-01
1.027999999999999936e+01,3.443538740891805006e-01
1.030000000000000071e+01,4.740054677167763186e-01
1.032000000000000028e+01,2.656246797726234399e-01
1.033999999999999986e+01,6.542276502343738476e-02
1.035999999999999943e+01,2.359122975448416093e-01
1.038000000000000078e+01,3.263988621087063891e-01
1.040000000000000036e+01,4.040102467290210275e-01
1.041999999999999993e+01,2.565869786396465235e-01
1.043999999999999950e+01,1.104657961161572138e-01
1.046000000000000085e+01,2.001598810460473166e-01
1.048000000000000043e+01,2.367716839939412454e-01
1.050000000000000000e+01,4.286666390419204276e-01
1.051999999999999957e+01,-1.516264020106026199e-02
1.053999999999999915e+01,3.835549544511762665e-01
1.056000000000000050e+01,1.979857251014443542e-01
1.058000000000000007e+01,5.562719141269603096e-01
1.059999999999999964e+01,3.711342069686303646e-01
1.061999999999999922e+01,2.548437472055258834e-01
1.064000000000000057e+01,1.716458845798828625e-01
1.066000000000000014e+01,2.977008389378302256e-01
1.067999999999999972e+01,2.258149871734655423e-01
1.069999999999999929e+01,2.635939006989584943e-01
1.072000000000000064e+01,2.545050493863162955e-01
1.074000000000000021e+01,9.409114563240886242e-02
1.075999999999999979e+01,6.512652272895615158e-02
1.077999999999999936e+01,2.706629909595864025e-01
1.080000000000000071e+01,4.516807950357012991e-01
1.082000000000000028e+01,4.119865000558055601e-01
1.083999999999999986e+01,3.570262534729971016e-01
1.085999999999999943e+01,4.336962844887525814e-01
1.088000000000000078e+01,2.743597137127860019e-01
1.090000000000000036e+01,3.194165002257658981e-01
1.091999999999999993e+01,3.339976901450779634e-01
1.093999999999999950e+01,2.010756171472452836e-01
1.096000000000000085e+01,3.420787402888108009e-01
1.098000000000000043e+01,3.811383742392748242e-01
1.100000000000000000e+01,4.413819084596219966e-01
1.101999999999999957e+01,3.139094958241823163e-01
