# 2Theta,Intensity
1.000000000000000000e+01,-3.553604173901202257e-02
1.001999999999999957e+01,-3.997758755354027110e-02
1.003999999999999915e+01,2.800716875342929013e-02
1.006000000000000050e+01,2.022203431191526291e-01
1.008000000000000007e+01,1.889635192684385734e-02
1.009999999999999964e+01,2.682499897989003568e-01
1.011999999999999922e+01,3.987952280241739700e-02
1.014000000000000057e+01,-5.702657364580970834e-02
1.016000000000000014e+01,4.858109397530650797e-02
1.017999999999999972e+01,2.256735148955743286e-01
1.019999999999999929e+01,1.667790255819110168e-01
1.022000000000000064e+01,1.614179009091000205e-01
1.024000000000000021e+01,5.498045342513668832e-02
1.025999999999999979e+01,1.002267802942341801e-01
1.027999999999999936e+01,-7.028484416503170962e-02
1.030000000000000071e+01,2.634489984177512123e-01
1.032000000000000028e+01,1.780534040756226455e-01
1.033999999999999986e+01,-4.310777408359694161e-03
1.035999999999999943e+01,3.179887621491678945e-02
1.038000000000000078e+01,1.295461488407171069e-01
1.040000000000000036e+01,9.633024079157731512e-02
1.041999999999999993e+01,-3.857749713396937952e-02
1.043999999999999950e+01,1.783278301782456610e-01
1.046000000000000085e+01,-2.920462946354532990e-02
1.048000000000000043e+01,1.933243868065821769e-01
1.050000000000000000e+01,-1.748420652927583918e-01
1.051999999999999957e+01,-1.099026855140174987e-02
1.053999999999999915e+01,2.177683930797591483e-01
1.056000000000000050e+01,-2.714033902591062725e-02
1.058000000000000007e+01,3.365838000479597358e-01
1.059999999999999964e+01,6.423535746129191426e-02
1.061999999999999922e+01,-2.709715470403192827e-02
1.064000000000000057e+01,7.042464693052952196e-02
1.066000000000000014e+01,2.909150528427347990e-02
1.067999999999999972e+01,1.701182736937531526e-01
1.069999999999999929e+01,-4.384161385974429115e-02
1.072000000000000064e+01,-1.057189921555693746e-01
1.074000000000000021e+01,8.457339409997520485e-02
1.075999999999999979e+01,1.867663158375309010e-02
1.077999999999999936e+01,5.097430118357460654e-02
1.080000000000000071e+01,1.321337634606891409e-01
1.082000000000000028e+01,3.424457871410051864e-03
1.083999999999999986e+01,6.182009036070677810e-02
1.085999999999999943e+01,1.011149090402057998e-01
