# 2Theta,Intensity
1.000000000000000000e+01,3.887671422790727610e-02
1.001999999999999957e+01,9.651044702932513875e-02
1.003999999999999915e+01,1.142727759287390371e-01
1.006000000000000050e+01,1.943072877644593799e-01
1.008000000000000007e+01,1.918153583081943503e-01
1.009999999999999964e+01,4.088132435264903164e-02
1.011999999999999922e+01,1.491009200964700868e-02
1.014000000000000057e+01,1.847548043212108582e-01
1.016000000000000014e+01,2.192037111114938930e-01
1.017999999999999972e+01,-2.390229605303622815e-02
1.019999999999999929e+01,1.786988868078434600e-01
1.022000000000000064e+01,-6.617887735710668851e-03
1.024000000000000021e+01,3.168112705936865781e-01
1.025999999999999979e+01,-1.247333903734704685e-03
1.027999999999999936e+01,6.169484403966816327e-02
1.030000000000000071e+01,4.704248009108436546e-01
1.032000000000000028e+01,2.392654113648954028e-01
1.033999999999999986e+01,-3.116619797076069023e-02
1.035999999999999943e+01,5.039816938062304658e-02
1.038000000000000078e+01,6.938759794289316163e-02
1.040000000000000036e+01,-1.905877308598479536e-01
1.041999999999999993e+01,2.222431023360730423e-02
1.043999999999999950e+01,2.732824286100543065e-01
1.046000000000000085e+01,6.378518571383476332e-02
1.048000000000000043e+01,8.869060269280258646e-02
1.050000000000000000e+01,2.050051744764179451e-01
1.051999999999999957e+01,1.113848932363209615e-01
1.053999999999999915e+01,1.614493970069917905e-01
1.056000000000000050e+01,2.416933489851688655e-01
1.058000000000000007e+01,1.021948924756274357e-01
1.059999999999999964e+01,2.409772413637651656e-01
1.061999999999999922e+01,-3.325598640697529241e-03
1.064000000000000057e+01,1.322186745110064399e-01
1.066000000000000014e+01,2.135802310879139354e-01
1.067999999999999972e+01,3.032691841059053095e-01
1.069999999999999929e+01,7.146110067589706016e-02
1.072000000000000064e+01,2.112088797760278136e-01
1.074000000000000021e+01,1.644872776958232197e-01
1.075999999999999979e+01,2.696740635176592127e-01
1.077999999999999936e+01,2.036783239171164051e-01
1.080000000000000071e+01,1.579845511169881977e-01
1.082000000000000028e+01,-1.328685918973997876e-02
1.083999999999999986e+01,2.158835253819464672e-01
1.085999999999999943e+01,2.016891275458639332e-01
1.088000000000000078e+01,1.835549212621425119e-01
1.090000000000000036e+01,4.802468285168653983e-02
1.091999999999999993e+01,2.319830861935858468e-01
1.093999999999999950e+01,2.871800052697565109e-01
1.096000000000000085e+01,7.985764414627534794e-03
1.098000000000000043e+01,5.851827733578870983e-02
1.100000000000000000e+01,2.891692637193317150e-01
1.101999999999999957e+01,-1.987103162779089733e-03
1.103999999999999915e+01,2.115983112783270115e-01
1.106000000000000050e+01,3.051854732345894994e-01
1.108000000000000007e+01,1.988873297215466573e-01
1.109999999999999964e+01,2.438924924329740618e-01
1.112000000000000099e+01,2.212523321264624476e-01
1.114000000000000057e+01,5.826331164268147567e-02
1.116000000000000014e+01,2.746052353553297687e-01
1.117999999999999972e+01,2.895868137870651338e-01
1.119999999999999929e+01,1.928032000927945230e-02
1.122000000000000064e+01,1.819474129275961416e-01
1.124000000000000021e+01,1.642278666745019822e-01
1.125999999999999979e+01,1.190498307044180332e-01
1.127999999999999936e+01,-5.992436974808967864e-02
1.130000000000000071e+01,3.714993919979117654e-01
1.132000000000000028e+01,2.508467179905453093e-01
1.133999999999999986e+01,1.714800827454218343e-02
1.135999999999999943e+01,2.488696215131970708e-03
1.138000000000000078e+01,1.926824516376075824e-01
1.140000000000000036e+01,8.668567869467320997e-02
1.141999999999999993e+01,1.321274072726880688e-01
1.143999999999999950e+01,1.136191997445845231e-01
1.146000000000000085e+01,1.981727462780919283e-02
1.148000000000000043e+01,1.308048052344407131e-01
1.150000000000000000e+01,-1.553249882881069521e-01
1.151999999999999957e+01,2.023471951880074504e-01
1.153999999999999915e+01,2.137086514398094661e-01
1.156000000000000050e+01,1.565444151967628761e-01
1.158000000000000007e+01,2.141783256932179857e-01
1.159999999999999964e+01,3.243560436496479293e-01
1.162000000000000099e+01,1.488421452230929420e-01
1.164000000000000057e+01,1.012623231145828168e-01
1.166000000000000014e+01,-6.935030703131762897e-02
1.167999999999999972e+01,7.131636403047911243e-02
1.169999999999999929e+01,3.262469592292820304e-03
1.172000000000000064e+01,-6.718784205799963050e-02
1.174000000000000021e+01,-7.793253997434615790e-03
1.175999999999999979e+01,8.609998896738803309e-02
1.177999999999999936e+01,1.255908673731892244e-01
1.180000000000000071e+01,3.070978742321610055e-01
1.182000000000000028e+01,-8.895359350283345290e-02
1.183999999999999986e+01,1.168979791680906932e-01
1.185999999999999943e+01,9.156661655432207780e-02
1.188000000000000078e+01,4.436692172389185007e-01
1.190000000000000036e+01,1.970533602134520723e-01
1.191999999999999993e+01,1.058454332925293367e-01
1.193999999999999950e+01,7.542218634864698845e-02
1.196000000000000085e+01,-1.754709581244136632e-02
1.198000000000000043e+01,2.846144317663962253e-01
1.200000000000000000e+01,1.464599279351824768e-01
1.201999999999999957e+01,2.565850475949416065e-01
1.203999999999999915e+01,2.844576862263912265e-01
1.206000000000000050e+01,6.286399692005176232e-02
1.208000000000000007e+01,1.610810529439730132e-01
1.209999999999999964e+01,1.103764632947942526e-01
1.212000000000000099e+01,3.763363146041385221e-01
1.214000000000000057e+01,1.308225919007403870e-02
1.216000000000000014e+01,3.501895945777626640e-01
1.217999999999999972e+01,7.154544496620278415e-02
1.219999999999999929e+01,1.552430407967724246e-01
1.222000000000000064e+01,-1.865108742397638408e-01
1.224000000000000021e+01,2.356242996539495149e-01
1.225999999999999979e+01,-7.301036626981817490e-02
1.228000000000000114e+01,1.347219270061031371e-01
1.230000000000000071e+01,1.613985805160239248e-02
1.232000000000000028e+01,9.535407049778482635e-02
1.233999999999999986e+01,2.106547197154173823e-01
1.235999999999999943e+01,8.352368704365573104e-02
1.237999999999999901e+01,1.811391720113653125e-01
1.240000000000000036e+01,-1.331095876686742667e-02
1.241999999999999993e+01,1.593924678148153640e-01
1.243999999999999950e+01,1.561721647036155292e-01
1.246000000000000085e+01,1.209790024728759072e-01
1.248000000000000043e+01,1.852325582373766377e-01
1.250000000000000000e+01,-2.639804686423801589e-02
1.251999999999999957e+01,9.218334476952999568e-02
1.253999999999999915e+01,1.989435662782972625e-01
1.256000000000000050e+01,1.877131388223097497e-01
1.258000000000000007e+01,2.400359634652749208e-01
1.259999999999999964e+01,2.005183207215508745e-01
1.262000000000000099e+01,1.242008216154712186e-01
1.264000000000000057e+01,1.094493837859618068e-01
1.266000000000000014e+01,1.878164486452705562e-01
1.267999999999999972e+01,2.123573877385349917e-01
1.269999999999999929e+01,1.471729833835063173e-01
1.272000000000000064e+01,-5.984788470733543725e-03
1.274000000000000021e+01,2.005389386206122282e-01
1.275999999999999979e+01,2.056907214142304208e-01
1.278000000000000114e+01,2.704513463998269307e-01
1.280000000000000071e+01,3.356177422246000575e-01
1.282000000000000028e+01,1.971132483379743894e-01
1.283999999999999986e+01,1.005945500577622442e-01
1.285999999999999943e+01,2.140117434827903953e-02
1.287999999999999901e+01,5.332159838543495262e-02
1.290000000000000036e+01,-1.212606292857932276e-02
1.291999999999999993e+01,3.113264853895482132e-01
1.293999999999999950e+01,1.872880734626528043e-01
1.296000000000000085e+01,1.846788699753010299e-01
1.298000000000000043e+01,2.653808182385415937e-01
1.300000000000000000e+01,1.066720345019755711e-01
1.301999999999999957e+01,1.025811936013684422e-01
1.303999999999999915e+01,2.735111288415865705e-01
1.306000000000000050e+01,1.701410333439902500e-01
1.308000000000000007e+01,2.211238973643271932e-01
1.309999999999999964e+01,1.979077204033735660e-01
1.312000000000000099e+01,-1.887230324769085532e-01
1.314000000000000057e+01,8.591013307219720618e-02
1.316000000000000014e+01,-3.295149679538502546e-02
1.317999999999999972e+01,3.079971715876372862e-01
1.319999999999999929e+01,1.607282629456467382e-01
1.322000000000000064e+01,2.471005551461707625e-02
1.324000000000000021e+01,1.582478128257922001e-01
1.325999999999999979e+01,1.945154451453912914e-01
1.328000000000000114e+01,9.089978944517700110e-02
1.330000000000000071e+01,9.160605735216412193e-02
1.332000000000000028e+01,1.170371429716535877e-01
1.333999999999999986e+01,2.280342858335158290e-02
1.335999999999999943e+01,1.337198030013723726e-01
1.337999999999999901e+01,2.147535000131494676e-01
1.340000000000000036e+01,1.443821154294502307e-01
1.341999999999999993e+01,2.100974456815186964e-01
1.343999999999999950e+01,1.882087774954733506e-01
1.346000000000000085e+01,7.812027712191506323e-02
1.348000000000000043e+01,1.933736525617730240e-01
1.350000000000000000e+01,1.052618129048026319e-01
1.351999999999999957e+01,1.404405530372711264e-01
1.353999999999999915e+01,1.471400234904579607e-01
1.356000000000000050e+01,1.298613403286373036e-01
1.358000000000000007e+01,1.867220960834734544e-01
1.359999999999999964e+01,1.641683378126875537e-01
1.362000000000000099e+01,6.276860182390053833e-02
1.364000000000000057e+01,9.330900128789525964e-04
1.366000000000000014e+01,2.408648550805273236e-01
1.367999999999999972e+01,2.849817257772318535e-01
1.369999999999999929e+01,2.588265259822554731e-01
1.372000000000000064e+01,4.757482454333138155e-02
1.374000000000000021e+01,4.584042429696672666e-02
1.375999999999999979e+01,2.009259781873604378e-01
1.378000000000000114e+01,1.121608991341420947e-01
1.380000000000000071e+01,2.131132547555282253e-01
1.382000000000000028e+01,9.851925627832586185e-02
1.383999999999999986e+01,8.463546092106911944e-02
1.385999999999999943e+01,1.969504885420211571e-01
1.387999999999999901e+01,2.361033794261105379e-02
1.390000000000000036e+01,2.381157696904164234e-01
1.391999999999999993e+01,1.787855995937557008e-01
1.393999999999999950e+01,3.535894291200902262e-01
1.396000000000000085e+01,3.733525693028497683e-01
1.398000000000000043e+01,3.044228295096135239e-01
1.400000000000000000e+01,9.440382859627315104e-02
1.401999999999999957e+01,1.658405382664105976e-01
1.403999999999999915e+01,2.691894506159993039e-01
1.406000000000000050e+01,1.357056919799122692e-02
1.408000000000000007e+01,3.324958697225559034e-01
1.409999999999999964e+01,1.781255245511594032e-01
1.412000000000000099e+01,1.684521892332320192e-01
1.414000000000000057e+01,2.330923383544658556e-01
1.416000000000000014e+01,2.697335887146519173e-01
1.417999999999999972e+01,1.275487417194223760e-01
1.419999999999999929e+01,2.076110138521360671e-01
1.421999999999999886e+01,2.769867884748207776e-01
1.424000000000000021e+01,2.260838139315822226e-01
1.425999999999999979e+01,1.518386708738093116e-01
1.428000000000000114e+01,1.063338172731323472e-01
1.430000000000000071e+01,1.230799538626391604e-01
1.432000000000000028e+01,1.506218303804127134e-01
1.433999999999999986e+01,1.678664062117412314e-01
1.435999999999999943e+01,1.500897908999045682e-01
1.437999999999999901e+01,-1.335765612676303310e-02
1.440000000000000036e+01,1.617672212783671098e-02
1.441999999999999993e+01,1.219795225266909339e-01
1.444000000000000128e+01,8.942926807134559189e-03
1.446000000000000085e+01,7.460987416134867711e-02
1.448000000000000043e+01,6.756190088154866158e-02
1.450000000000000000e+01,2.199930165375523217e-01
1.451999999999999957e+01,3.565652654826886609e-03
1.453999999999999915e+01,3.144168202552440339e-01
1.456000000000000050e+01,2.557448438629175008e-02
1.458000000000000007e+01,2.579818264596857591e-01
1.460000000000000142e+01,2.320463101827154317e-01
1.462000000000000099e+01,6.135172699150251430e-02
1.464000000000000057e+01,2.785564827497924445e-01
1.466000000000000014e+01,1.644891108801774249e-01
1.467999999999999972e+01,1.728844896814125953e-01
1.469999999999999929e+01,7.670737331234610268e-02
1.471999999999999886e+01,2.323229969677022833e-01
1.474000000000000021e+01,1.699644095866110483e-01
1.475999999999999979e+01,1.296426876254933580e-01
1.478000000000000114e+01,9.077101446949386102e-03
1.480000000000000071e+01,2.722622063719564167e-01
1.482000000000000028e+01,-1.450600786554022137e-01
1.483999999999999986e+01,1.845494367359205024e-01
1.485999999999999943e+01,2.767671737826943312e-01
1.487999999999999901e+01,7.445988274320222700e-02
1.490000000000000036e+01,2.758649618567687867e-01
1.491999999999999993e+01,2.106380125709464979e-01
1.494000000000000128e+01,2.381728691699146749e-01
1.496000000000000085e+01,1.827199207184420360e-01
1.498000000000000043e+01,2.475600869362540035e-01
1.500000000000000000e+01,9.110748893037777518e-02
1.501999999999999957e+01,7.885327232575337075e-02
1.503999999999999915e+01,-5.714274948942252297e-02
1.506000000000000050e+01,1.680170656610883440e-01
1.508000000000000007e+01,2.453992655886203661e-02
1.510000000000000142e+01,2.044818266691770248e-01
1.512000000000000099e+01,4.975459908727371955e-02
1.514000000000000057e+01,3.522642852841844641e-01
1.516000000000000014e+01,2.595660609356770787e-01
1.517999999999999972e+01,2.318174552013897438e-01
1.519999999999999929e+01,1.787113150603685252e-01
1.521999999999999886e+01,1.557104073839846448e-01
1.524000000000000021e+01,9.135581729824496233e-02
1.525999999999999979e+01,1.138418954353408313e-01
1.528000000000000114e+01,1.762848479524388168e-01
1.530000000000000071e+01,2.691652867191107745e-01
1.532000000000000028e+01,6.739289632760617210e-02
1.533999999999999986e+01,1.990945651320087662e-01
1.535999999999999943e+01,2.202774622110089675e-01
1.537999999999999901e+01,-5.295278432684143340e-03
1.540000000000000036e+01,1.495444461428954153e-01
1.541999999999999993e+01,1.937394479899312849e-01
1.544000000000000128e+01,2.450488668821546590e-01
1.546000000000000085e+01,2.070134556775454215e-01
1.548000000000000043e+01,1.705774827099934554e-02
1.550000000000000000e+01,1.682177893031201465e-01
1.551999999999999957e+01,1.178886484497250198e-01
1.553999999999999915e+01,1.713486827744388208e-01
1.556000000000000050e+01,1.146438639785263836e-01
1.558000000000000007e+01,3.924898459642443133e-02
1.560000000000000142e+01,-2.847463080989824646e-02
1.562000000000000099e+01,1.099544356448602447e-02
1.564000000000000057e+01,3.666361615938703022e-01
1.566000000000000014e+01,3.214197185905766641e-01
1.567999999999999972e+01,2.435367019606474726e-01
1.569999999999999929e+01,1.204429989161307085e-01
1.571999999999999886e+01,3.729382723124913257e-01
1.574000000000000021e+01,1.143104682653817011e-01
1.575999999999999979e+01,6.340077413498002024e-02
1.578000000000000114e+01,3.368536193841270565e-01
1.580000000000000071e+01,1.653474864591835958e-01
1.582000000000000028e+01,3.801670910787055546e-01
1.583999999999999986e+01,1.848414737891715953e-01
1.585999999999999943e+01,1.639192166234779147e-01
1.587999999999999901e+01,3.922716979435318940e-01
1.590000000000000036e+01,4.309953976851880753e-01
1.591999999999999993e+01,1.463422220074676317e-01
1.594000000000000128e+01,2.336159837467292610e-01
1.596000000000000085e+01,5.045211559002950319e-02
1.598000000000000043e+01,-4.040645817270627216e-02
1.600000000000000000e+01,1.752471833495525266e-01
1.601999999999999957e+01,7.823976845543263725e-02
1.603999999999999915e+01,1.464620376915465871e-01
1.606000000000000227e+01,2.063173362906020047e-01
1.607999999999999829e+01,2.081657210159285065e-01
1.610000000000000142e+01,2.911989526798612338e-01
1.612000000000000099e+01,1.647009567429215671e-01
1.614000000000000057e+01,5.070309366727723116e-03
1.616000000000000014e+01,1.604277200624170674e-01
1.617999999999999972e+01,1.604496889094918222e-01
1.619999999999999929e+01,2.546209895381479349e-01
1.621999999999999886e+01,1.051089595703190577e-01
1.624000000000000199e+01,2.744573211430992310e-01
1.625999999999999801e+01,-7.701850944183345760e-02
1.628000000000000114e+01,4.562276847301290073e-02
1.630000000000000071e+01,1.498666608159958946e-01
1.632000000000000028e+01,3.449186324387242680e-02
1.633999999999999986e+01,7.358743166625456023e-02
1.635999999999999943e+01,4.334209799832325349e-02
1.637999999999999901e+01,-6.492871949424940115e-02
1.639999999999999858e+01,1.965432789822769699e-01
1.642000000000000171e+01,3.768104813265976127e-01
1.644000000000000128e+01,9.915077376830634670e-02
1.646000000000000085e+01,-4.075336515619095573e-02
1.648000000000000043e+01,1.565461198185904568e-01
1.650000000000000000e+01,9.980357692548683102e-02
1.651999999999999957e+01,1.080303067484357366e-01
1.653999999999999915e+01,1.282965053218330098e-01
1.656000000000000227e+01,2.611776158617037935e-01
1.657999999999999829e+01,1.161974880373095736e-01
1.660000000000000142e+01,5.319888444679522072e-02
1.662000000000000099e+01,1.558580789291161839e-01
1.664000000000000057e+01,9.317684226943998005e-02
1.666000000000000014e+01,2.814304693551621384e-01
1.667999999999999972e+01,1.031880618149217804e-01
1.669999999999999929e+01,2.357863223506421330e-02
1.671999999999999886e+01,1.117376598696568218e-01
1.674000000000000199e+01,5.024315889042325900e-02
1.675999999999999801e+01,2.318716083426275165e-01
1.678000000000000114e+01,3.523242071788734719e-01
1.680000000000000071e+01,6.772273075065927961e-02
1.682000000000000028e+01,-2.810428946483290585e-02
1.683999999999999986e+01,5.125404615691702553e-02
1.685999999999999943e+01,1.953392286738445116e-01
1.687999999999999901e+01,1.514298036905725175e-01
1.689999999999999858e+01,1.528557615566035754e-01
1.692000000000000171e+01,-7.533322291530986092e-02
1.694000000000000128e+01,2.742499944808547419e-01
1.696000000000000085e+01,5.688286975904616877e-02
1.698000000000000043e+01,1.736252956868118980e-01
1.700000000000000000e+01,2.268356415138229887e-01
1.701999999999999957e+01,1.396912804374459693e-01
1.703999999999999915e+01,6.831981739936084097e-02
1.706000000000000227e+01,1.321150029077017285e-01
1.707999999999999829e+01,3.877287403399210519e-01
1.710000000000000142e+01,9.121332940262048827e-02
1.712000000000000099e+01,4.111678225526804731e-02
1.714000000000000057e+01,-6.407358586381405388e-03
1.716000000000000014e+01,1.730903362675627888e-01
1.717999999999999972e+01,1.668882967493250102e-01
1.719999999999999929e+01,4.996892586591876184e-01
1.721999999999999886e+01,2.814101408742730737e-01
1.724000000000000199e+01,1.614797019568123548e-01
1.725999999999999801e+01,1.842287475734609437e-01
1.728000000000000114e+01,1.125466249520997303e-01
1.730000000000000071e+01,1.549025749961011611e-01
1.732000000000000028e+01,1.225106807085464822e-01
1.733999999999999986e+01,1.467589064509941810e-01
1.735999999999999943e+01,3.101404040021987080e-02
1.737999999999999901e+01,2.953261235874063972e-01
1.739999999999999858e+01,-4.830030132403548282e-02
1.742000000000000171e+01,5.082924023350516999e-04
1.744000000000000128e+01,1.709333988976292906e-01
1.746000000000000085e+01,2.956081075001860126e-01
1.748000000000000043e+01,1.117454463124751135e-01
1.750000000000000000e+01,9.885659680033213881e-02
1.751999999999999957e+01,2.672843228953100114e-01
1.753999999999999915e+01,1.147706817569282278e-01
1.756000000000000227e+01,1.045315802996035770e-01
1.757999999999999829e+01,-6.551508089509411326e-03
1.760000000000000142e+01,2.297873295690550655e-01
1.762000000000000099e+01,4.825921045822840344e-02
1.764000000000000057e+01,7.793760799113040594e-02
1.766000000000000014e+01,9.173774393932363283e-03
1.767999999999999972e+01,2.430705758076290579e-01
1.769999999999999929e+01,2.132888437967863371e-01
1.771999999999999886e+01,2.436259847943035850e-01
1.774000000000000199e+01,1.952643155390796359e-01
1.775999999999999801e+01,2.884586831411533048e-01
1.778000000000000114e+01,3.374389046873536580e-01
1.780000000000000071e+01,2.303962684318421605e-01
1.782000000000000028e+01,7.783677312981165941e-02
1.783999999999999986e+01,2.094859041747063055e-01
1.785999999999999943e+01,6.768958720452075695e-02
1.787999999999999901e+01,4.046080670407290608e-02
1.789999999999999858e+01,1.831225414603827317e-01
1.792000000000000171e+01,-5.642726103883364402e-03
1.794000000000000128e+01,-1.064640297148897602e-01
1.796000000000000085e+01,8.550869265883676018e-02
1.798000000000000043e+01,1.392773274573251563e-01
1.800000000000000000e+01,2.553436035610354496e-02
1.801999999999999957e+01,2.146634618807969908e-01
1.803999999999999915e+01,1.148189856100079037e-01
1.806000000000000227e+01,1.835712238805315699e-01
1.807999999999999829e+01,3.017603119282578072e-01
1.810000000000000142e+01,1.348978521094980343e-01
1.812000000000000099e+01,1.090105740262272555e-01
1.814000000000000057e+01,-7.730550408598146905e-02
1.816000000000000014e+01,-1.478493126028905189e-02
1.817999999999999972e+01,3.116301571936146431e-01
1.819999999999999929e+01,1.991071656393949077e-02
1.821999999999999886e+01,6.303293657306116571e-02
1.824000000000000199e+01,1.556063050268852443e-01
1.825999999999999801e+01,1.946828971163354349e-01
1.828000000000000114e+01,-1.329807260849161787e-01
1.830000000000000071e+01,1.399615398317247683e-01
1.832000000000000028e+01,1.958654847951831479e-01
1.833999999999999986e+01,2.182234625292511776e-01
1.835999999999999943e+01,2.916399170910622396e-01
1.838000000000000256e+01,2.943889741727852005e-01
1.839999999999999858e+01,3.521122207994392128e-01
1.842000000000000171e+01,9.069122544326919944e-02
1.843999999999999773e+01,1.204287605755645640e-01
1.846000000000000085e+01,8.844289018465630037e-02
1.848000000000000043e+01,6.720516946541449377e-02
1.850000000000000000e+01,2.471344065911567633e-01
1.851999999999999957e+01,1.279424723280741805e-01
1.853999999999999915e+01,3.128658837143409865e-01
1.856000000000000227e+01,1.529898306138016140e-01
1.857999999999999829e+01,4.719708948405795801e-02
1.860000000000000142e+01,3.073222477474044090e-01
1.862000000000000099e+01,-1.495773326626458344e-01
1.864000000000000057e+01,1.469496993606278501e-01
1.866000000000000014e+01,1.090972422024112237e-01
1.867999999999999972e+01,-6.119329397095005924e-02
1.870000000000000284e+01,2.174272845235889484e-01
1.871999999999999886e+01,8.051083376930993907e-03
1.874000000000000199e+01,3.752719694784084070e-01
1.875999999999999801e+01,5.126738249716590590e-02
1.878000000000000114e+01,2.004509130540018391e-01
1.880000000000000071e+01,6.487651669921679076e-02
1.882000000000000028e+01,1.029961079494326887e-01
1.883999999999999986e+01,4.563609992274963445e-01
1.885999999999999943e+01,2.225651939312366101e-01
1.888000000000000256e+01,2.846224077906868155e-01
1.889999999999999858e+01,2.465654734277387128e-01
1.892000000000000171e+01,7.446909311252811192e-02
1.893999999999999773e+01,-1.829915243496786637e-02
1.896000000000000085e+01,2.408111735185367724e-02
1.898000000000000043e+01,-5.983433663461731195e-02
1.900000000000000000e+01,-1.439828967008911775e-02
1.901999999999999957e+01,9.895431059285687142e-03
1.903999999999999915e+01,1.160013389052137883e-01
1.906000000000000227e+01,2.021570849864305908e-01
1.907999999999999829e+01,2.083030568531449023e-01
1.910000000000000142e+01,2.783710759907604415e-01
1.912000000000000099e+01,-1.571202767266373715e-02
1.914000000000000057e+01,2.919427563538312329e-02
1.916000000000000014e+01,1.245564287834462630e-01
1.917999999999999972e+01,3.090023900448170546e-01
1.920000000000000284e+01,3.812689455038743569e-01
1.921999999999999886e+01,2.543967697096111147e-01
1.924000000000000199e+01,8.077322954607538130e-02
1.925999999999999801e+01,1.447521747471249842e-01
1.928000000000000114e+01,6.080778034400322052e-02
1.930000000000000071e+01,1.877643369590180356e-01
1.932000000000000028e+01,1.705887416717028482e-01
1.933999999999999986e+01,1.522192641113122302e-01
1.935999999999999943e+01,2.968378965581729423e-01
1.938000000000000256e+01,1.898206772171674717e-01
1.939999999999999858e+01,1.205031629530140258e-01
1.942000000000000171e+01,4.120838151374255909e-01
1.943999999999999773e+01,3.170499000427899339e-01
1.946000000000000085e+01,1.690352186219561126e-01
1.948000000000000043e+01,2.982428580892235864e-02
1.950000000000000000e+01,2.855280479849880981e-01
1.951999999999999957e+01,3.350735518313032735e-01
1.953999999999999915e+01,3.446015803386472121e-02
1.956000000000000227e+01,1.631128950410373202e-01
1.957999999999999829e+01,1.721883059890047252e-01
1.960000000000000142e+01,1.445275464751752913e-02
1.962000000000000099e+01,2.496405922812253431e-01
1.964000000000000057e+01,4.900404417021776010e-02
1.966000000000000014e+01,1.006954563659959029e-01
1.967999999999999972e+01,1.219716031710459114e-01
1.970000000000000284e+01,3.016679685894213536e-01
1.971999999999999886e+01,2.657267039456683855e-01
1.974000000000000199e+01,1.171674785115371514e-01
1.975999999999999801e+01,2.003929226875430514e-01
1.978000000000000114e+01,4.981766994003826721e-01
1.980000000000000071e+01,3.463781929147769639e-02
1.982000000000000028e+01,3.077318836005433766e-01
1.983999999999999986e+01,4.373201361070619964e-01
1.985999999999999943e+01,4.955870086421092502e-01
1.988000000000000256e+01,2.646587211737771450e-01
1.989999999999999858e+01,2.706606586441150930e-01
1.992000000000000171e+01,3.579580099362895118e-01
1.993999999999999773e+01,2.756320794646531236e-01
1.996000000000000085e+01,2.928025928333358174e-01
1.998000000000000043e+01,5.473998734759892848e-01
2.000000000000000000e+01,5.517220384648231502e-01
2.001999999999999957e+01,1.009681911208009319e+00
