# 2Theta,Intensity
1.000000000000000000e+01,5.072302471301573523e-02
1.001999999999999957e+01,1.805278266237990425e-02
1.003999999999999915e+01,5.096783329489761039e-02
1.006000000000000050e+01,6.563085858039957587e-02
1.008000000000000007e+01,9.665332866209129514e-02
1.009999999999999964e+01,2.890163814107655216e-01
1.011999999999999922e+01,6.659128930825874981e-03
1.014000000000000057e+01,3.233145463491072548e-03
1.016000000000000014e+01,1.884484446841940275e-01
1.017999999999999972e+01,3.341506375062419654e-02
1.019999999999999929e+01,1.682471774110973206e-01
1.022000000000000064e+01,9.083905118980685478e-02
1.024000000000000021e+01,1.316729239323815859e-01
1.025999999999999979e+01,1.288729076941229623e-01
1.027999999999999936e+01,7.962906318080507917e-02
1.030000000000000071e+01,2.505113384946369148e-01
1.032000000000000028e+01,-4.281260786491940945e-02
1.033999999999999986e+01,1.332597126090494244e-01
1.035999999999999943e+01,2.062104678145684211e-01
1.038000000000000078e+01,-1.712118398265408820e-02
1.040000000000000036e+01,1.824946564602657750e-01
1.041999999999999993e+01,-2.718489226238277393e-02
1.043999999999999950e+01,3.800850107333779426e-02
1.046000000000000085e+01,-2.324764944195971839e-04
1.048000000000000043e+01,-7.079676032515178075e-02
1.050000000000000000e+01,-1.608149512859725350e-01
1.051999999999999957e+01,2.085464784345074096e-01
1.053999999999999915e+01,-4.939377788699841898e-02
1.056000000000000050e+01,1.141571775532895378e-01
1.058000000000000007e+01,-4.931645734517588892e-02
1.059999999999999964e+01,1.953661074520805507e-01
1.061999999999999922e+01,1.060238161732666301e-01
1.064000000000000057e+01,-9.332226775954776885e-03
1.066000000000000014e+01,1.777590247961858827e-01
1.067999999999999972e+01,-1.174767467532444737e-01
1.069999999999999929e+01,9.745639089574992253e-02
1.072000000000000064e+01,1.757696503649913656e-03
1.074000000000000021e+01,9.211318609883710484e-02
1.075999999999999979e+01,-1.567714534822160083e-02
1.077999999999999936e+01,8.221204133954639059e-02
1.080000000000000071e+01,1.411691900136876898e-01
1.082000000000000028e+01,1.761325483535450820e-01
1.083999999999999986e+01,9.061057764853346075e-02
1.085999999999999943e+01,7.716877120847752403e-02
1.088000000000000078e+01,1.698802884965684157e-01
1.090000000000000036e+01,-3.410668224301764175e-03
1.091999999999999993e+01,5.030748334724968046e-02
1.093999999999999950e+01,-1.738700260859900315e-02
1.096000000000000085e+01,-4.404883626245423983e-02
1.098000000000000043e+01,2.034925310953079047e-01
1.100000000000000000e+01,9.678520046189258152e-02
1.101999999999999957e+01,3.927688277641195463e-02
1.103999999999999915e+01,1.216698644180028988e-01
1.106000000000000050e+01,1.035876016534760802e-01
1.108000000000000007e+01,-9.634971526011044604e-03
1.109999999999999964e+01,-1.134893663204584457e-01
1.112000000000000099e+01,-6.592068991894202423e-02
1.114000000000000057e+01,8.580865328198648834e-02
1.116000000000000014e+01,5.069056134465722840e-02
1.117999999999999972e+01,2.357255482602626240e-01
1.119999999999999929e+01,5.571105619374301654e-02
1.122000000000000064e+01,6.968413266431748576e-02
1.124000000000000021e+01,1.460037419993744645e-01
1.125999999999999979e+01,-1.352722695966817115e-02
1.127999999999999936e+01,3.965751219465324384e-02
1.130000000000000071e+01,2.148516555262611205e-01
1.132000000000000028e+01,3.021408823957814904e-02
1.133999999999999986e+01,-1.049659970629531203e-01
1.135999999999999943e+01,-5.220718484931479580e-02
1.138000000000000078e+01,-3.122164398162371318e-02
1.140000000000000036e+01,-3.857858009256972392e-02
1.141999999999999993e+01,1.516463745245488423e-02
1.143999999999999950e+01,1.420737432585435500e-01
1.146000000000000085e+01,3.292756686220590367e-01
1.148000000000000043e+01,1.588212458569274455e-01
1.150000000000000000e+01,2.964170794064409642e-01
1.151999999999999957e+01,-4.855462039225066917e-02
1.153999999999999915e+01,-1.906546038201128307e-02
1.156000000000000050e+01,-6.092981461992365982e-02
1.158000000000000007e+01,3.197530360762290127e-04
1.159999999999999964e+01,4.848327766511424664e-02
1.162000000000000099e+01,1.463739845532971151e-01
1.164000000000000057e+01,1.080610297222968363e-01
1.166000000000000014e+01,-1.466583354908854997e-01
1.167999999999999972e+01,-4.002417508746268504e-03
1.169999999999999929e+01,-6.109735526421085361e-02
1.172000000000000064e+01,1.269177527889839840e-01
1.174000000000000021e+01,2.092420930436432458e-01
1.175999999999999979e+01,1.023520418533058612e-01
1.177999999999999936e+01,2.235688789424258860e-02
1.180000000000000071e+01,-1.981709696433607282e-01
1.182000000000000028e+01,-2.938434737295977581e-02
1.183999999999999986e+01,7.576889742417168561e-02
1.185999999999999943e+01,1.359573163476747448e-01
1.188000000000000078e+01,7.878361819584114856e-02
1.190000000000000036e+01,1.228482321840312780e-01
1.191999999999999993e+01,2.438536231731264214e-01
1.193999999999999950e+01,3.321531522690430172e-01
1.196000000000000085e+01,1.487243117505202550e-01
1.198000000000000043e+01,8.956291854370493355e-02
1.200000000000000000e+01,-6.670793456200535543e-02
1.201999999999999957e+01,-2.299864900870899620e-01
1.203999999999999915e+01,1.800216048436787952e-01
1.206000000000000050e+01,1.585220387399878181e-02
1.208000000000000007e+01,1.748560876966587935e-02
1.209999999999999964e+01,7.467975534743584443e-02
1.212000000000000099e+01,8.854939167177806880e-02
1.214000000000000057e+01,1.509949619014196165e-01
1.216000000000000014e+01,1.401554871709413119e-01
1.217999999999999972e+01,-3.122621867105212709e-02
1.219999999999999929e+01,-6.280278293916616121e-03
1.222000000000000064e+01,-7.218538815100075667e-02
1.224000000000000021e+01,-7.689439473235321065e-02
1.225999999999999979e+01,5.387397564136778977e-02
1.228000000000000114e+01,-1.862444021314841117e-02
1.230000000000000071e+01,2.256865772600127329e-01
1.232000000000000028e+01,1.521965338152505565e-01
1.233999999999999986e+01,8.852201802326187252e-02
1.235999999999999943e+01,2.594227379142429180e-01
1.237999999999999901e+01,-3.555188177364831947e-02
1.240000000000000036e+01,-6.641447763370753737e-03
1.241999999999999993e+01,-1.840030084885442840e-01
