2theta,intensity
1.001999999999999957e+01,9.060552216896785582e-01
1.003999999999999915e+01,5.889260721993537784e-01
1.006000000000000050e+01,7.132006015350552675e-01
1.008000000000000007e+01,1.151477019261806678e+00
1.009999999999999964e+01,9.548407832786874883e-01
1.011999999999999922e+01,1.276153204009525144e+00
1.014000000000000057e+01,1.275062942067529237e+00
1.016000000000000014e+01,8.424854179104790397e-01
1.017999999999999972e+01,1.207677673510065164e+00
1.019999999999999929e+01,8.905163200585289873e-01
1.022000000000000064e+01,5.396086689566677030e-01
1.024000000000000021e+01,9.269430781908652994e-01
1.025999999999999979e+01,1.166358783876380256e+00
1.027999999999999936e+01,1.320476423896304707e+00
1.030000000000000071e+01,6.069467824242223974e-01
1.032000000000000028e+01,5.347917657815106640e-01
1.033999999999999986e+01,1.376598643573968772e+00
1.035999999999999943e+01,9.194449673891929020e-01
1.038000000000000078e+01,6.364884118009792591e-01
1.040000000000000036e+01,7.571863767288204983e-01
1.041999999999999993e+01,2.702377585296027451e-01
1.043999999999999950e+01,5.356753601425096045e-01
1.046000000000000085e+01,5.345882696954331603e-01
1.048000000000000043e+01,6.427506467510103461e-01
1.050000000000000000e+01,6.900261677509764713e-01
1.051999999999999957e+01,5.582647131603667434e-01
1.053999999999999915e+01,1.448294890646603106e+00
1.056000000000000050e+01,1.369653041108849667e+00
1.058000000000000007e+01,9.049011049086337355e-01
1.059999999999999964e+01,6.031147335338380433e-01
1.061999999999999922e+01,9.961730774183241710e-01
1.064000000000000057e+01,1.473515386548812423e+00
1.066000000000000014e+01,1.440894025167984038e+00
1.067999999999999972e+01,1.866356753712309358e+00
1.069999999999999929e+01,1.306471597817213448e+00
1.072000000000000064e+01,3.064052589309659846e-01
1.074000000000000021e+01,7.701787256350001165e-01
1.075999999999999979e+01,7.845918610248502345e-01
1.077999999999999936e+01,8.051165393158665751e-01
1.080000000000000071e+01,1.277761570918735989e+00
1.082000000000000028e+01,1.186571308980718387e+00
1.083999999999999986e+01,4.116195521647424971e-01
1.085999999999999943e+01,7.679618096619551526e-01
1.088000000000000078e+01,1.350794511909242601e+00
1.090000000000000036e+01,7.999539423352916012e-01
1.091999999999999993e+01,4.096014773038536005e-01
1.093999999999999950e+01,8.708958894233483905e-01
1.096000000000000085e+01,1.274965825584217116e+00
1.098000000000000043e+01,7.458439843873750918e-01
1.100000000000000000e+01,1.254218693518743599e+00
1.101999999999999957e+01,1.557482103572176646e+00
1.103999999999999915e+01,1.303646046074424802e+00
1.106000000000000050e+01,1.274557089488311146e+00
1.108000000000000007e+01,1.334939436677108571e+00
1.109999999999999964e+01,1.478056403845991351e+00
1.111999999999999922e+01,1.145493106587803789e+00
1.114000000000000057e+01,9.441394218483472045e-01
1.116000000000000014e+01,1.192053619688553612e+00
1.117999999999999972e+01,9.863800228335251052e-01
1.119999999999999929e+01,1.155265213579495187e+00
1.122000000000000064e+01,1.349745845667670530e+00
1.124000000000000021e+01,7.878272961521141093e-01
1.125999999999999979e+01,4.228434220064069549e-01
1.127999999999999936e+01,3.693587654675887788e-01
1.130000000000000071e+01,7.890803650204116781e-01
1.132000000000000028e+01,8.875670868471864372e-01
1.133999999999999986e+01,9.353692278419279971e-01
1.135999999999999943e+01,1.166244207278369194e+00
1.138000000000000078e+01,1.118662628405239889e+00
1.140000000000000036e+01,1.384439742283807506e+00
1.141999999999999993e+01,1.204952240212030290e+00
1.143999999999999950e+01,1.115309092304620275e+00
1.146000000000000085e+01,7.860311613431536504e-01
1.148000000000000043e+01,8.259787957377734413e-02
1.150000000000000000e+01,3.571066804783701309e-01
1.151999999999999957e+01,7.332153983849833967e-01
1.153999999999999915e+01,6.427751422787273405e-01
1.156000000000000050e+01,8.862800888568752589e-01
1.158000000000000007e+01,1.042994478407812453e+00
1.159999999999999964e+01,7.449418565779987178e-01
1.161999999999999922e+01,7.382828479539482736e-01
1.164000000000000057e+01,1.146305139041346788e+00
1.166000000000000014e+01,1.033129149650516165e+00
1.167999999999999972e+01,5.323421019862834003e-01
1.169999999999999929e+01,6.165752394095487254e-01
1.172000000000000064e+01,1.025064695950716809e+00
1.174000000000000021e+01,1.087171659901595255e+00
1.175999999999999979e+01,8.348625625614288781e-01
1.177999999999999936e+01,1.009011019563784695e+00
1.180000000000000071e+01,6.465136430133220369e-01
1.182000000000000028e+01,6.189587923495654120e-01
1.183999999999999986e+01,1.242603411734471308e+00
1.185999999999999943e+01,8.692291982554373186e-01
1.188000000000000078e+01,8.553688663751958243e-01
1.190000000000000036e+01,1.437765054386453523e+00
1.191999999999999993e+01,9.761128772285485589e-01
1.193999999999999950e+01,8.696765873187255469e-01
1.196000000000000085e+01,1.112944892419914122e+00
1.198000000000000043e+01,6.050385299680828277e-01
1.200000000000000000e+01,7.245668543180163734e-01
1.201999999999999957e+01,1.531047060227719081e+00
1.203999999999999915e+01,1.446900409688192335e+00
1.206000000000000050e+01,1.132570470827518161e+00
1.208000000000000007e+01,1.139345048673982674e+00
1.209999999999999964e+01,1.139132120198777631e+00
1.211999999999999922e+01,1.230851177174410171e+00
1.214000000000000057e+01,1.168402565936925486e+00
1.216000000000000014e+01,1.066566546133296267e+00
1.217999999999999972e+01,7.213366172853953318e-01
1.219999999999999929e+01,7.347479397414594660e-01
1.222000000000000064e+01,1.044514012596786223e+00
1.224000000000000021e+01,7.060586101682375659e-01
1.225999999999999979e+01,6.720011254987976468e-01
1.227999999999999936e+01,1.114115762464739534e+00
1.230000000000000071e+01,9.289612948217478294e-01
1.232000000000000028e+01,1.131255779552875040e+00
1.233999999999999986e+01,1.508658223017113720e+00
1.235999999999999943e+01,6.761206889886663962e-01
1.238000000000000078e+01,9.944231854644073332e-01
1.240000000000000036e+01,1.362091584329967908e+00
1.241999999999999993e+01,1.020910602365536324e+00
1.243999999999999950e+01,1.365893420533485836e+00
1.246000000000000085e+01,1.261459402205174607e+00
1.248000000000000043e+01,1.208992021229963409e+00
1.250000000000000000e+01,1.445458173664308621e+00
1.251999999999999957e+01,1.385563139257083298e+00
1.253999999999999915e+01,1.014172835749964641e+00
1.256000000000000050e+01,1.122880749203526651e+00
1.258000000000000007e+01,1.400334720025045332e+00
1.259999999999999964e+01,1.527025142182527162e+00
1.261999999999999922e+01,1.557967648853018749e+00
1.264000000000000057e+01,1.031731841970470853e+00
1.266000000000000014e+01,1.300108645827920961e+00
1.267999999999999972e+01,1.566634344098504439e+00
1.269999999999999929e+01,9.469930076489925241e-01
1.272000000000000064e+01,1.426737428880410885e+00
1.274000000000000021e+01,1.652451822247685609e+00
1.275999999999999979e+01,1.198303478253264220e+00
1.277999999999999936e+01,7.237987131651468786e-01
1.280000000000000071e+01,3.574361480902393806e-01
1.282000000000000028e+01,1.083618350903564620e+00
1.283999999999999986e+01,1.703339222969523670e+00
1.285999999999999943e+01,1.271088303068512948e+00
1.288000000000000078e+01,7.197256673194400989e-01
1.290000000000000036e+01,1.248510748095029044e+00
1.291999999999999993e+01,1.713988180626918600e+00
1.293999999999999950e+01,1.133027482564510580e+00
1.296000000000000085e+01,7.553576722465183968e-01
1.298000000000000043e+01,1.243463468657485027e+00
1.300000000000000000e+01,1.110005259214834838e+00
1.301999999999999957e+01,6.531550015840735801e-01
1.303999999999999915e+01,5.717933851422161151e-01
1.306000000000000050e+01,8.211531696822144122e-01
1.308000000000000007e+01,7.000217515836351101e-01
1.309999999999999964e+01,9.978059042463565120e-01
1.311999999999999922e+01,1.808585829662592515e+00
1.314000000000000057e+01,1.469741674400274034e+00
1.316000000000000014e+01,1.441222185256969102e+00
1.317999999999999972e+01,9.080580734696530598e-01
1.319999999999999929e+01,9.474869173497256769e-01
1.322000000000000064e+01,1.454324030447349259e+00
1.324000000000000021e+01,1.015098334102841893e+00
1.325999999999999979e+01,8.750133735273051272e-01
1.327999999999999936e+01,9.994315200897178064e-01
1.330000000000000071e+01,1.200678373011622835e+00
1.332000000000000028e+01,1.115965048827135098e+00
1.333999999999999986e+01,9.360032631057325636e-01
1.335999999999999943e+01,9.812737992521443076e-01
1.338000000000000078e+01,7.764733765748718097e-01
1.340000000000000036e+01,8.761258429954311699e-01
1.341999999999999993e+01,1.039171013360157270e+00
1.343999999999999950e+01,1.018839690812169074e+00
1.346000000000000085e+01,1.130296705270157354e+00
1.348000000000000043e+01,1.653877084975159617e+00
1.350000000000000000e+01,1.999145246724937541e+00
1.351999999999999957e+01,1.215286752052901598e+00
1.353999999999999915e+01,1.002784856524432389e+00
1.356000000000000050e+01,1.437639377459343448e+00
1.358000000000000007e+01,1.284617235414295733e+00
1.359999999999999964e+01,9.577918977935686584e-01
1.361999999999999922e+01,1.041487446184315102e+00
1.364000000000000057e+01,1.186991453570805488e+00
1.366000000000000014e+01,9.585613984088869888e-01
1.367999999999999972e+01,8.859900881811872964e-01
1.369999999999999929e+01,8.243365366747867906e-01
1.372000000000000064e+01,1.072273760871561787e+00
1.374000000000000021e+01,1.269406554082406213e+00
1.375999999999999979e+01,7.953941814994620607e-01
1.377999999999999936e+01,1.249750137576809861e+00
1.380000000000000071e+01,2.036657551792873555e+00
1.382000000000000028e+01,1.701874694867849591e+00
1.383999999999999986e+01,1.233503672651849792e+00
1.385999999999999943e+01,1.162990055633669861e+00
1.388000000000000078e+01,1.109076097912697678e+00
1.390000000000000036e+01,1.347268094159645324e+00
1.391999999999999993e+01,1.444777965711036449e+00
1.393999999999999950e+01,1.432157306805051489e+00
1.396000000000000085e+01,1.522678023713729845e+00
1.398000000000000043e+01,1.088331025512201400e+00
1.400000000000000000e+01,8.737095815810556054e-01
