# 2Theta,Intensity
1.000000000000000000e+01,1.019343760363855989e+00
1.001999999999999957e+01,4.995118237850647569e-01
1.003999999999999915e+01,7.435896460497405380e-01
1.006000000000000050e+01,7.351437131180086348e-01
1.008000000000000007e+01,8.278972359427306804e-01
1.009999999999999964e+01,9.016294634976310673e-01
1.011999999999999922e+01,7.790522712406371397e-01
1.014000000000000057e+01,4.347626387585719065e-01
1.016000000000000014e+01,8.537967872110091561e-01
1.017999999999999972e+01,9.086540796070600168e-01
1.019999999999999929e+01,6.207227181654636494e-01
1.022000000000000064e+01,9.672586246666778909e-01
1.024000000000000021e+01,7.017387343185690352e-01
1.025999999999999979e+01,8.796958770063013633e-01
1.027999999999999936e+01,9.054695047298255695e-01
1.030000000000000071e+01,6.732168783179468541e-01
1.032000000000000028e+01,7.887051099663486831e-01
1.033999999999999986e+01,9.306194113608424745e-01
1.035999999999999943e+01,8.715317552091542685e-01
1.038000000000000078e+01,6.156752702788720333e-01
1.040000000000000036e+01,6.632299525447782340e-01
1.041999999999999993e+01,9.240511503384307712e-01
1.043999999999999950e+01,9.344746874057570096e-01
1.046000000000000085e+01,9.125532171003591930e-01
1.048000000000000043e+01,3.847962551507321805e-01
1.050000000000000000e+01,7.578231610234202886e-01
1.051999999999999957e+01,3.895726280909077022e-01
1.053999999999999915e+01,1.089166529142535644e+00
1.056000000000000050e+01,7.064502768473948091e-01
1.058000000000000007e+01,6.505506947958857866e-01
1.059999999999999964e+01,7.097788906394051356e-01
1.061999999999999922e+01,6.074891525527036373e-01
1.064000000000000057e+01,8.776016390408369894e-01
1.066000000000000014e+01,6.095282596078415160e-01
1.067999999999999972e+01,1.045905760491077086e+00
1.069999999999999929e+01,6.953927762297116288e-01
1.072000000000000064e+01,7.436173466808929655e-01
1.074000000000000021e+01,5.390028651161784534e-01
1.075999999999999979e+01,1.030342360524490797e+00
1.077999999999999936e+01,7.639737914947846154e-01
1.080000000000000071e+01,8.000231141403040258e-01
1.082000000000000028e+01,7.807057772402882234e-01
1.083999999999999986e+01,1.137223441128372592e+00
1.085999999999999943e+01,6.754254664293850574e-01
1.088000000000000078e+01,8.524635498816636181e-01
1.090000000000000036e+01,1.042434568705887354e+00
1.091999999999999993e+01,1.029195681618503277e+00
1.093999999999999950e+01,8.754135330917881541e-01
1.096000000000000085e+01,8.557856236735917888e-01
1.098000000000000043e+01,6.703574886155153623e-01
1.100000000000000000e+01,7.541094887592753038e-01
1.101999999999999957e+01,4.897495879612492331e-01
1.103999999999999915e+01,6.353739720575700689e-01
1.106000000000000050e+01,9.122768263972135250e-01
1.108000000000000007e+01,5.803186951388359383e-01
1.109999999999999964e+01,8.039637171528642989e-01
1.112000000000000099e+01,9.150790364818507383e-01
1.114000000000000057e+01,7.239606316164192146e-01
1.116000000000000014e+01,8.813821031087822888e-01
1.117999999999999972e+01,5.065003796811015091e-01
1.119999999999999929e+01,4.196082759788805072e-01
1.122000000000000064e+01,7.228826778762198479e-01
1.124000000000000021e+01,6.704769018337404241e-01
1.125999999999999979e+01,5.275514060825793328e-01
1.127999999999999936e+01,9.516341906315530785e-01
1.130000000000000071e+01,8.395561780742892832e-01
1.132000000000000028e+01,8.035497540159981522e-01
1.133999999999999986e+01,8.513204155696098008e-01
1.135999999999999943e+01,7.321267900175687515e-01
1.138000000000000078e+01,7.548298838231173313e-01
1.140000000000000036e+01,5.271992431934163781e-01
1.141999999999999993e+01,7.684290725515841025e-01
1.143999999999999950e+01,6.469284554764420658e-01
1.146000000000000085e+01,5.318968952312674858e-01
1.148000000000000043e+01,8.503559142948174943e-01
1.150000000000000000e+01,8.232534724072709809e-01
1.151999999999999957e+01,7.176762113451365943e-01
1.153999999999999915e+01,6.762987239720553712e-01
1.156000000000000050e+01,7.487254258992157574e-01
1.158000000000000007e+01,9.273193223947375774e-01
1.159999999999999964e+01,5.615374367249846843e-01
1.162000000000000099e+01,7.794793888440593177e-01
1.164000000000000057e+01,6.050311189049907279e-01
1.166000000000000014e+01,6.744431256143090803e-01
1.167999999999999972e+01,6.142776673693337575e-01
1.169999999999999929e+01,6.002961330210854207e-01
1.172000000000000064e+01,9.622416346516187158e-01
1.174000000000000021e+01,7.395684602543526331e-01
1.175999999999999979e+01,7.049443516302396073e-01
1.177999999999999936e+01,6.895674941396282565e-01
1.180000000000000071e+01,7.920886003419844723e-01
1.182000000000000028e+01,7.064162041985609930e-01
1.183999999999999986e+01,6.014073106070657593e-01
1.185999999999999943e+01,6.945986389300303765e-01
1.188000000000000078e+01,7.541142365627080402e-01
1.190000000000000036e+01,7.161941371134805667e-01
1.191999999999999993e+01,6.982262646653097926e-01
1.193999999999999950e+01,8.798466197059727767e-01
1.196000000000000085e+01,8.583882105646657434e-01
1.198000000000000043e+01,7.700941201357280885e-01
1.200000000000000000e+01,6.546976774764611262e-01
1.201999999999999957e+01,9.362576055325387836e-01
1.203999999999999915e+01,8.874457934814848903e-01
1.206000000000000050e+01,8.722581252404444374e-01
1.208000000000000007e+01,8.082277462004414659e-01
1.209999999999999964e+01,5.278814166813609043e-01
1.212000000000000099e+01,6.582228122684317118e-01
1.214000000000000057e+01,5.965289069534853716e-01
1.216000000000000014e+01,8.342492065698340342e-01
1.217999999999999972e+01,8.308238519480892759e-01
1.219999999999999929e+01,5.424252228554528044e-01
1.222000000000000064e+01,6.792950975741601782e-01
1.224000000000000021e+01,6.729848397749120803e-01
1.225999999999999979e+01,1.013795328890799929e+00
1.228000000000000114e+01,6.858095554936147753e-01
1.230000000000000071e+01,5.333828256693383674e-01
