# 2Theta,Intensity
1.000000000000000000e+01,1.370975275371221769e-01
1.001999999999999957e+01,-6.932249080128248531e-02
1.003999999999999915e+01,-1.211705517091574563e-01
1.006000000000000050e+01,4.841969641669301161e-02
1.008000000000000007e+01,1.653677428463228571e-01
1.009999999999999964e+01,7.045123113043354202e-02
1.011999999999999922e+01,1.280661551793604580e-01
1.014000000000000057e+01,1.075211317294066382e-01
1.016000000000000014e+01,7.215199503342072107e-02
1.017999999999999972e+01,1.320686371987796759e-01
1.019999999999999929e+01,-4.021656487882981079e-02
1.022000000000000064e+01,2.354030342694225786e-01
1.024000000000000021e+01,9.252342631844270859e-02
1.025999999999999979e+01,1.131983964618102495e-01
1.027999999999999936e+01,3.031927546999675996e-02
1.030000000000000071e+01,1.024568784193760906e-01
1.032000000000000028e+01,4.811957079879294191e-02
1.033999999999999986e+01,5.562515882053877501e-03
1.035999999999999943e+01,2.867061604168293920e-01
1.038000000000000078e+01,1.287695928459614558e-01
1.040000000000000036e+01,5.625347409470302096e-02
1.041999999999999993e+01,-1.385238161629103555e-03
1.043999999999999950e+01,-2.038114519564880253e-02
1.046000000000000085e+01,-3.469026614769269400e-03
1.048000000000000043e+01,-5.061941625447449050e-02
1.050000000000000000e+01,-9.916987633682798620e-02
1.051999999999999957e+01,-8.807387835217186933e-03
1.053999999999999915e+01,-4.096953286984002989e-05
1.056000000000000050e+01,6.821010432148401359e-02
1.058000000000000007e+01,-5.690794785560833458e-02
1.059999999999999964e+01,3.433577634171770809e-02
1.061999999999999922e+01,4.017686698836477888e-01
1.064000000000000057e+01,3.688930308504934086e-02
1.066000000000000014e+01,1.332154780993360932e-01
1.067999999999999972e+01,3.680305424696047462e-02
1.069999999999999929e+01,4.016338198257534547e-02
1.072000000000000064e+01,6.729219274828511510e-02
1.074000000000000021e+01,1.575729062906204847e-01
1.075999999999999979e+01,5.185553388870463298e-02
1.077999999999999936e+01,1.182370816405836217e-01
1.080000000000000071e+01,1.473793115573569443e-02
1.082000000000000028e+01,1.654787647171651888e-01
1.083999999999999986e+01,2.197250564296787667e-01
1.085999999999999943e+01,8.890003712334469677e-02
1.088000000000000078e+01,-3.644619269692411095e-02
1.090000000000000036e+01,2.562676123752740103e-03
1.091999999999999993e+01,1.928786553893999112e-01
1.093999999999999950e+01,5.952320520749108945e-02
1.096000000000000085e+01,-5.114293537814491863e-02
1.098000000000000043e+01,1.744130286344676151e-01
1.100000000000000000e+01,1.073041220506341931e-01
1.101999999999999957e+01,-8.481502308767688292e-02
1.103999999999999915e+01,-9.145474067081611758e-03
1.106000000000000050e+01,-3.029469985930188444e-02
1.108000000000000007e+01,1.763931710440890810e-01
1.109999999999999964e+01,1.073042571230309605e-01
1.112000000000000099e+01,4.594392498552211240e-02
1.114000000000000057e+01,1.566463049372872340e-01
1.116000000000000014e+01,-1.231166189477196360e-01
1.117999999999999972e+01,-1.015369535143387791e-01
1.119999999999999929e+01,1.168793703422244534e-01
1.122000000000000064e+01,7.315848928674738294e-02
1.124000000000000021e+01,1.633997534360457082e-01
1.125999999999999979e+01,-1.007811897249487054e-01
1.127999999999999936e+01,5.747107832363953367e-02
1.130000000000000071e+01,1.703243035365900326e-01
1.132000000000000028e+01,5.578720389492114462e-02
1.133999999999999986e+01,3.341022653134528148e-02
1.135999999999999943e+01,-1.904031193939131200e-02
1.138000000000000078e+01,1.392313167155854459e-01
1.140000000000000036e+01,1.556836341820430070e-01
1.141999999999999993e+01,1.567125533612902938e-02
1.143999999999999950e+01,1.534173184470257190e-01
1.146000000000000085e+01,-9.772594962434406896e-02
1.148000000000000043e+01,1.474289509649604479e-01
1.150000000000000000e+01,-2.803177163778149041e-03
1.151999999999999957e+01,1.010785940210219974e-01
1.153999999999999915e+01,4.002769680695331816e-02
1.156000000000000050e+01,2.107962595890688351e-01
1.158000000000000007e+01,1.187513819864528530e-01
1.159999999999999964e+01,8.978517507083538796e-02
1.162000000000000099e+01,2.279184863536553585e-01
1.164000000000000057e+01,1.584819342371706075e-01
1.166000000000000014e+01,2.133154453762019231e-02
1.167999999999999972e+01,2.307143174590745582e-01
1.169999999999999929e+01,1.060879615566079626e-01
1.172000000000000064e+01,3.728627153586990678e-02
1.174000000000000021e+01,1.072620105259668027e-01
1.175999999999999979e+01,1.855687012006763670e-01
1.177999999999999936e+01,1.788053411462827980e-01
1.180000000000000071e+01,-4.465338597790723292e-03
1.182000000000000028e+01,4.761079211410881862e-02
1.183999999999999986e+01,-7.106726661171175463e-02
1.185999999999999943e+01,2.256272985067669934e-02
1.188000000000000078e+01,1.112860576844369870e-01
1.190000000000000036e+01,2.262691097338002943e-01
1.191999999999999993e+01,4.077002340874592845e-02
1.193999999999999950e+01,-1.609530598190090644e-01
1.196000000000000085e+01,2.028335461723814164e-03
1.198000000000000043e+01,-4.906559009018546247e-02
1.200000000000000000e+01,5.865911907431330119e-02
1.201999999999999957e+01,-9.395767154086240303e-02
1.203999999999999915e+01,-1.570272029967217375e-01
1.206000000000000050e+01,1.055867034602869653e-01
1.208000000000000007e+01,-5.454882825338123326e-02
1.209999999999999964e+01,2.553711823982209861e-01
1.212000000000000099e+01,-2.372299734385819106e-03
1.214000000000000057e+01,-9.309221604220420387e-02
1.216000000000000014e+01,2.238709627228314958e-01
1.217999999999999972e+01,2.562948827394855716e-02
1.219999999999999929e+01,1.029423927643132869e-01
1.222000000000000064e+01,1.432279064851907091e-01
1.224000000000000021e+01,-7.051123153359829809e-02
1.225999999999999979e+01,2.258888489006279920e-01
1.228000000000000114e+01,-1.770327427069485482e-01
1.230000000000000071e+01,8.701164825542651027e-02
1.232000000000000028e+01,-8.976076712600535371e-03
1.233999999999999986e+01,1.079627384508962534e-01
1.235999999999999943e+01,1.199866175440721106e-01
1.237999999999999901e+01,5.582868119055705430e-02
1.240000000000000036e+01,4.725604398487070340e-02
1.241999999999999993e+01,-1.171953572209664951e-02
1.243999999999999950e+01,7.867206865534712157e-02
1.246000000000000085e+01,8.932998174667447500e-02
1.248000000000000043e+01,-1.381804219912438070e-01
1.250000000000000000e+01,1.251697114650594800e-01
1.251999999999999957e+01,-4.690379530349294418e-02
1.253999999999999915e+01,-5.810661461101578051e-02
1.256000000000000050e+01,1.626800140954925700e-01
1.258000000000000007e+01,-4.288969066260356691e-03
1.259999999999999964e+01,8.711747531124328092e-02
1.262000000000000099e+01,1.675063797490597417e-01
1.264000000000000057e+01,-8.791830483859160161e-02
1.266000000000000014e+01,-3.518633818391447843e-02
1.267999999999999972e+01,6.248583698392349423e-02
1.269999999999999929e+01,1.413393554467870239e-01
1.272000000000000064e+01,1.091651984095049766e-01
1.274000000000000021e+01,1.838028890547641417e-02
1.275999999999999979e+01,5.953173312385390964e-03
1.278000000000000114e+01,1.869123569713141975e-01
1.280000000000000071e+01,3.968352689041033943e-02
1.282000000000000028e+01,4.726841952407026363e-03
1.283999999999999986e+01,-4.409055904930377773e-02
1.285999999999999943e+01,3.017100895128222923e-02
1.287999999999999901e+01,9.389955641734784586e-02
1.290000000000000036e+01,-1.425466408147748471e-02
1.291999999999999993e+01,1.051245744637945567e-01
1.293999999999999950e+01,1.261188292766455832e-01
1.296000000000000085e+01,1.303056603704793870e-01
1.298000000000000043e+01,3.745853884872685918e-02
1.300000000000000000e+01,6.073446080392168323e-02
1.301999999999999957e+01,-2.468244067702099823e-02
1.303999999999999915e+01,1.590301308694385130e-01
1.306000000000000050e+01,3.695594004903137580e-02
1.308000000000000007e+01,1.677711892980365826e-01
1.309999999999999964e+01,-8.415722266321283562e-02
1.312000000000000099e+01,-1.220575040698314295e-01
1.314000000000000057e+01,1.056654138135293061e-02
1.316000000000000014e+01,-3.366520383630339924e-02
1.317999999999999972e+01,8.301400989106619277e-02
1.319999999999999929e+01,2.349650019253174127e-01
1.322000000000000064e+01,-2.017137259042030891e-03
1.324000000000000021e+01,7.919117364304817386e-02
1.325999999999999979e+01,-1.222719414809243371e-01
1.328000000000000114e+01,2.498418500833467781e-01
1.330000000000000071e+01,-8.806032594975740646e-02
1.332000000000000028e+01,1.516406674300003754e-01
1.333999999999999986e+01,-1.597216273175164902e-01
1.335999999999999943e+01,-2.950970546923334728e-02
1.337999999999999901e+01,1.877753999171337396e-01
1.340000000000000036e+01,-1.671192394665105621e-02
1.341999999999999993e+01,1.410578069011390531e-02
1.343999999999999950e+01,3.899988060003412027e-02
1.346000000000000085e+01,7.823756712961460469e-02
1.348000000000000043e+01,-1.322695049410777327e-02
1.350000000000000000e+01,1.439263816883308844e-01
1.351999999999999957e+01,9.164743248679750598e-02
1.353999999999999915e+01,1.662307037091682593e-01
1.356000000000000050e+01,-1.113237330062005898e-01
1.358000000000000007e+01,-3.013805522043030982e-02
1.359999999999999964e+01,5.606471027256591105e-02
1.362000000000000099e+01,3.266041305407472173e-01
1.364000000000000057e+01,-5.651258967592077964e-02
1.366000000000000014e+01,5.099081945795677986e-03
1.367999999999999972e+01,1.740602666419617250e-01
1.369999999999999929e+01,9.683449834421467561e-02
1.372000000000000064e+01,4.089909704911075944e-02
1.374000000000000021e+01,1.768700428157020665e-01
1.375999999999999979e+01,1.053217020900477502e-01
1.378000000000000114e+01,-4.830792284858823060e-02
1.380000000000000071e+01,2.445081638389988432e-01
1.382000000000000028e+01,1.273964725499874551e-01
1.383999999999999986e+01,-4.455249202108817197e-02
1.385999999999999943e+01,1.215596848885344833e-01
1.387999999999999901e+01,-9.307303506697879592e-02
1.390000000000000036e+01,6.312676596770322446e-02
1.391999999999999993e+01,3.152566872624537608e-02
1.393999999999999950e+01,7.274890584665862081e-02
1.396000000000000085e+01,1.222714816621741363e-01
1.398000000000000043e+01,1.375778651989702783e-01
1.400000000000000000e+01,6.596117129942491442e-02
1.401999999999999957e+01,1.790021438551102073e-01
1.403999999999999915e+01,1.414915814226874735e-02
1.406000000000000050e+01,1.216333517785011670e-01
1.408000000000000007e+01,1.063062443601220236e-01
1.409999999999999964e+01,1.581544832351377411e-02
1.412000000000000099e+01,1.320089165892790461e-01
1.414000000000000057e+01,1.824744280521408413e-01
1.416000000000000014e+01,5.448281406225256862e-02
1.417999999999999972e+01,9.394156374755978714e-03
1.419999999999999929e+01,-1.355172846501712623e-02
1.421999999999999886e+01,2.565248559171426357e-01
1.424000000000000021e+01,1.201335543660146665e-01
1.425999999999999979e+01,3.419923954953408424e-02
1.428000000000000114e+01,-7.668468016422391731e-02
1.430000000000000071e+01,9.018411990444788473e-02
1.432000000000000028e+01,-2.139144387282206419e-02
1.433999999999999986e+01,8.979591497477451556e-02
1.435999999999999943e+01,-5.708885523524175748e-02
1.437999999999999901e+01,1.384076032299292602e-01
1.440000000000000036e+01,8.644672730544834816e-02
1.441999999999999993e+01,1.029899843288987343e-01
1.444000000000000128e+01,1.405565024434900501e-01
1.446000000000000085e+01,9.621100088100971448e-02
1.448000000000000043e+01,1.741353042571168463e-01
1.450000000000000000e+01,-3.555755976724389589e-02
1.451999999999999957e+01,1.082563824796381469e-01
1.453999999999999915e+01,-5.286458247787288907e-03
1.456000000000000050e+01,1.125148134341130146e-01
1.458000000000000007e+01,1.778067366713693143e-01
1.460000000000000142e+01,7.700131797416501223e-02
1.462000000000000099e+01,-3.715903355724516077e-02
1.464000000000000057e+01,-1.636261629908592613e-02
1.466000000000000014e+01,1.144025282366419871e-01
1.467999999999999972e+01,3.454960031891038397e-02
1.469999999999999929e+01,2.559808530377081712e-02
1.471999999999999886e+01,-1.936733443249330153e-02
1.474000000000000021e+01,1.000614563194077711e-01
1.475999999999999979e+01,2.315840562393679802e-02
1.478000000000000114e+01,3.019198802254199343e-01
1.480000000000000071e+01,-1.203815578320560770e-01
1.482000000000000028e+01,9.412322805684632254e-02
1.483999999999999986e+01,7.157291726778418350e-02
1.485999999999999943e+01,1.619829333007285210e-01
1.487999999999999901e+01,5.054724536167464616e-02
1.490000000000000036e+01,3.061255443406397103e-01
1.491999999999999993e+01,1.360983144506590081e-01
1.494000000000000128e+01,3.056184527275212365e-02
1.496000000000000085e+01,1.968580088726115118e-01
1.498000000000000043e+01,-9.744359217802926743e-02
1.500000000000000000e+01,1.063734881661401455e-01
1.501999999999999957e+01,-1.751529616538160528e-01
1.503999999999999915e+01,7.127077650184203417e-02
1.506000000000000050e+01,1.297070147902814885e-01
1.508000000000000007e+01,2.401430467797951440e-01
1.510000000000000142e+01,2.019491111096647085e-01
1.512000000000000099e+01,7.135970683374417978e-02
1.514000000000000057e+01,1.072049131651391651e-01
1.516000000000000014e+01,3.598866331599380464e-02
1.517999999999999972e+01,1.992516236083206882e-01
1.519999999999999929e+01,-4.078162950111499652e-02
1.521999999999999886e+01,1.769279826915138576e-01
1.524000000000000021e+01,1.049771412645483931e-01
1.525999999999999979e+01,1.581812817472064703e-01
1.528000000000000114e+01,2.053017511499945907e-02
1.530000000000000071e+01,-8.465662610756352624e-02
1.532000000000000028e+01,1.718055810997719812e-01
1.533999999999999986e+01,-9.821242654597650557e-02
1.535999999999999943e+01,1.604908735109328299e-01
1.537999999999999901e+01,1.675123958911694383e-02
1.540000000000000036e+01,1.682304767273367363e-01
1.541999999999999993e+01,1.914711962323780436e-01
1.544000000000000128e+01,5.504741136590418638e-02
1.546000000000000085e+01,1.171538325813387127e-01
1.548000000000000043e+01,5.236516066736748160e-02
1.550000000000000000e+01,1.692702107030511216e-01
1.551999999999999957e+01,1.125456162733317611e-01
1.553999999999999915e+01,-9.904262167680648321e-02
1.556000000000000050e+01,2.722128385433890685e-01
1.558000000000000007e+01,-1.607076348723305015e-01
1.560000000000000142e+01,-3.554591075357614594e-02
1.562000000000000099e+01,8.061401642008227120e-02
1.564000000000000057e+01,2.103958553099778972e-01
1.566000000000000014e+01,-9.108523739283181861e-03
1.567999999999999972e+01,1.104820451777454721e-01
1.569999999999999929e+01,-4.503711113806520283e-03
1.571999999999999886e+01,-2.686498181747007039e-02
1.574000000000000021e+01,1.387634151048878772e-01
1.575999999999999979e+01,1.891197218680930880e-01
1.578000000000000114e+01,-8.456541241181096680e-02
1.580000000000000071e+01,-5.395170590455318667e-03
1.582000000000000028e+01,3.357294010759281910e-02
1.583999999999999986e+01,6.969237086397456551e-03
1.585999999999999943e+01,3.543869765856735160e-02
1.587999999999999901e+01,2.940207989723528717e-02
1.590000000000000036e+01,7.485827187571091057e-02
1.591999999999999993e+01,-1.191353007926514440e-01
1.594000000000000128e+01,2.948941226801460661e-02
1.596000000000000085e+01,1.433126510751280003e-01
1.598000000000000043e+01,1.400090805461538801e-01
1.600000000000000000e+01,-1.766935289061392633e-01
1.601999999999999957e+01,8.338450400990607761e-03
1.603999999999999915e+01,-1.434297143933198695e-02
1.606000000000000227e+01,1.100001349827556818e-01
1.607999999999999829e+01,1.876960646181296544e-01
1.610000000000000142e+01,5.168883617876618430e-02
1.612000000000000099e+01,1.835163923482208692e-01
1.614000000000000057e+01,-1.829931196741042473e-02
1.616000000000000014e+01,2.389868736010105077e-01
1.617999999999999972e+01,-1.031060732461545892e-02
1.619999999999999929e+01,2.064176382204363849e-02
1.621999999999999886e+01,1.958728210716159102e-01
1.624000000000000199e+01,-5.375151974561719753e-02
1.625999999999999801e+01,8.535830350115926335e-02
1.628000000000000114e+01,1.017234117467451932e-02
1.630000000000000071e+01,1.314945028091168977e-02
1.632000000000000028e+01,1.447866330838233628e-01
1.633999999999999986e+01,9.417076887900013848e-02
1.635999999999999943e+01,1.311957160942137934e-01
1.637999999999999901e+01,1.001408391162122019e-01
1.639999999999999858e+01,3.793790378724147538e-02
1.642000000000000171e+01,9.334536884757232977e-02
1.644000000000000128e+01,4.969929073472246356e-02
1.646000000000000085e+01,-1.454047326761861159e-01
1.648000000000000043e+01,5.783774710296672728e-02
1.650000000000000000e+01,1.708133110218615081e-01
1.651999999999999957e+01,4.612783649357444365e-02
1.653999999999999915e+01,-9.318387762579347783e-03
1.656000000000000227e+01,1.681446393846517118e-01
1.657999999999999829e+01,1.540728517900011030e-01
1.660000000000000142e+01,-4.431853460977911580e-02
1.662000000000000099e+01,2.853120925821372444e-01
1.664000000000000057e+01,9.114217092111631668e-02
1.666000000000000014e+01,-1.321064342230803823e-01
1.667999999999999972e+01,4.761871544367042575e-02
1.669999999999999929e+01,5.153721026719745857e-02
1.671999999999999886e+01,1.864315417893546989e-01
1.674000000000000199e+01,-1.995905857910092451e-01
1.675999999999999801e+01,1.643446018626338878e-01
1.678000000000000114e+01,1.140335183380390277e-01
1.680000000000000071e+01,-7.672033925589440140e-03
1.682000000000000028e+01,-1.566258281926046630e-02
1.683999999999999986e+01,6.521251422690503563e-02
1.685999999999999943e+01,1.053794526923346013e-02
1.687999999999999901e+01,2.205851747031648269e-01
