# 2Theta,Intensity
1.000000000000000000e+01,-4.323114853021958054e-02
1.001999999999999957e+01,-5.051967693376310103e-02
1.003999999999999915e+01,-5.703348148641948501e-02
1.006000000000000050e+01,7.636708135850335533e-02
1.008000000000000007e+01,2.368850878675434618e-02
1.009999999999999964e+01,-8.476096064577440248e-02
1.011999999999999922e+01,-2.831659433940561521e-02
1.014000000000000057e+01,6.043043296880499377e-02
1.016000000000000014e+01,8.578372233786216161e-02
1.017999999999999972e+01,6.204793224368331667e-02
1.019999999999999929e+01,1.121213027076327501e-01
1.022000000000000064e+01,6.247050161028513959e-02
1.024000000000000021e+01,3.245516698168026543e-02
1.025999999999999979e+01,1.194946555814478950e-01
1.027999999999999936e+01,-7.685338299267187312e-02
1.030000000000000071e+01,-3.576197902358833197e-02
1.032000000000000028e+01,-1.985493506244463968e-01
1.033999999999999986e+01,-8.383454382967930885e-02
1.035999999999999943e+01,6.168414404991658107e-02
1.038000000000000078e+01,1.805118739728381605e-01
1.040000000000000036e+01,-6.492806071811672852e-02
1.041999999999999993e+01,1.756450959524856470e-02
1.043999999999999950e+01,8.645805346749790843e-02
1.046000000000000085e+01,1.240962837822365550e-01
1.048000000000000043e+01,2.478738567058010392e-02
1.050000000000000000e+01,2.238590946370082602e-01
1.051999999999999957e+01,8.546382909558844498e-02
1.053999999999999915e+01,2.974091131030128995e-02
1.056000000000000050e+01,2.288359308807484671e-01
1.058000000000000007e+01,3.405766321132423086e-02
1.059999999999999964e+01,1.020316824563412827e-01
1.061999999999999922e+01,1.977077234226762292e-01
1.064000000000000057e+01,1.150838689204325554e-01
1.066000000000000014e+01,1.462717459816307297e-01
1.067999999999999972e+01,-1.424307822837818094e-01
1.069999999999999929e+01,1.029175300497467832e-01
1.072000000000000064e+01,-1.231231852673497079e-02
1.074000000000000021e+01,1.179071051397328901e-01
1.075999999999999979e+01,9.784642124381480455e-02
1.077999999999999936e+01,1.233840868202794316e-02
1.080000000000000071e+01,3.317766509801800545e-02
1.082000000000000028e+01,7.478889202432449645e-02
1.083999999999999986e+01,1.282928734585009889e-01
1.085999999999999943e+01,3.269860605802804576e-02
1.088000000000000078e+01,-1.764386375234746869e-03
1.090000000000000036e+01,-1.251242116704297767e-02
1.091999999999999993e+01,1.503150350603960905e-01
1.093999999999999950e+01,2.718207147913739852e-02
1.096000000000000085e+01,-6.165910180057348339e-02
1.098000000000000043e+01,-7.298071802806606334e-02
1.100000000000000000e+01,1.974411239834192866e-01
1.101999999999999957e+01,7.462404433713432095e-02
1.103999999999999915e+01,8.494622539840342157e-02
1.106000000000000050e+01,1.390149157091828402e-01
1.108000000000000007e+01,1.320642640430255699e-01
1.109999999999999964e+01,-3.138505972149118611e-02
1.112000000000000099e+01,7.607167335585748869e-02
1.114000000000000057e+01,2.282984845340399749e-01
1.116000000000000014e+01,1.220202170669014846e-01
1.117999999999999972e+01,-1.064728904583093771e-01
1.119999999999999929e+01,-1.873968023374518801e-02
1.122000000000000064e+01,1.787453343265712757e-01
1.124000000000000021e+01,-9.882953454125055492e-02
1.125999999999999979e+01,-1.127160453257596423e-01
1.127999999999999936e+01,7.240210630536232650e-02
1.130000000000000071e+01,1.592421624519025358e-01
1.132000000000000028e+01,1.152197071633665748e-01
1.133999999999999986e+01,1.057842133909618482e-01
1.135999999999999943e+01,-1.243367121067840558e-02
1.138000000000000078e+01,9.609382274852801276e-02
1.140000000000000036e+01,2.175528375035798434e-02
1.141999999999999993e+01,-1.553655633969968025e-03
1.143999999999999950e+01,1.463677366304734773e-01
1.146000000000000085e+01,4.118999553417681397e-02
1.148000000000000043e+01,3.376110033831428853e-02
1.150000000000000000e+01,2.555673383656201225e-01
1.151999999999999957e+01,1.144063395248354764e-01
1.153999999999999915e+01,9.374101003335408300e-02
1.156000000000000050e+01,6.113063749054501589e-02
