# 2Theta,Intensity
1.000000000000000000e+01,5.327109535963535369e-02
1.001999999999999957e+01,1.955692997112089826e-01
1.003999999999999915e+01,1.775149329609957694e-01
1.006000000000000050e+01,1.144772660930961222e-01
1.008000000000000007e+01,-4.628757209712584808e-02
1.009999999999999964e+01,-3.735152910908443730e-02
1.011999999999999922e+01,1.961721277752259684e-01
1.014000000000000057e+01,1.621987584577469221e-01
1.016000000000000014e+01,1.980355835358758032e-01
1.017999999999999972e+01,1.438086683900436924e-01
1.019999999999999929e+01,3.531497358346833981e-01
1.022000000000000064e+01,-6.220806104352746141e-02
1.024000000000000021e+01,-6.185391941294771101e-02
1.025999999999999979e+01,2.220391492428779034e-01
1.027999999999999936e+01,2.265196895680079425e-01
1.030000000000000071e+01,2.850375647146551894e-01
1.032000000000000028e+01,9.924212427466098940e-03
1.033999999999999986e+01,7.409356452598059306e-02
1.035999999999999943e+01,3.952534271250890408e-02
1.038000000000000078e+01,3.756061851452311973e-01
1.040000000000000036e+01,-5.654088892433329488e-02
1.041999999999999993e+01,6.785162610673514672e-02
1.043999999999999950e+01,5.706111049622412251e-02
1.046000000000000085e+01,-2.007561548639047455e-01
1.048000000000000043e+01,-2.168737631507284824e-01
1.050000000000000000e+01,8.983954294254450912e-02
1.051999999999999957e+01,3.245883872874667786e-02
1.053999999999999915e+01,2.395318951787145101e-01
1.056000000000000050e+01,1.113616619178664779e-01
1.058000000000000007e+01,6.059436109438576246e-02
1.059999999999999964e+01,2.089772218155905303e-01
1.061999999999999922e+01,5.522366831512741381e-02
1.064000000000000057e+01,-1.439498810059393619e-01
1.066000000000000014e+01,1.054305138751893654e-02
1.067999999999999972e+01,-1.205244187893266539e-01
1.069999999999999929e+01,-1.193309104393865533e-01
1.072000000000000064e+01,-1.740434755061743416e-02
1.074000000000000021e+01,-1.000132829205668816e-02
1.075999999999999979e+01,-1.134316185431816747e-02
1.077999999999999936e+01,1.374989885533605682e-01
1.080000000000000071e+01,-1.574497846708894089e-01
1.082000000000000028e+01,1.605382412816151183e-01
1.083999999999999986e+01,2.823706077655066538e-02
1.085999999999999943e+01,7.972288278621682267e-02
1.088000000000000078e+01,3.203398299541879157e-01
1.090000000000000036e+01,-3.195667090381157371e-02
1.091999999999999993e+01,2.306226424886773096e-01
1.093999999999999950e+01,1.347470718323877034e-02
1.096000000000000085e+01,8.813648817682742664e-02
1.098000000000000043e+01,2.147537497406261375e-01
1.100000000000000000e+01,-1.036845246863992293e-01
1.101999999999999957e+01,-6.933938561771754716e-03
1.103999999999999915e+01,1.665269068877550107e-01
1.106000000000000050e+01,3.384233414095524917e-02
1.108000000000000007e+01,2.594725354419909480e-01
1.109999999999999964e+01,7.840150586771640895e-02
1.112000000000000099e+01,1.075396644202028518e-01
1.114000000000000057e+01,2.407248702764664405e-01
1.116000000000000014e+01,1.283373849916557563e-01
1.117999999999999972e+01,1.288128438055750058e-01
1.119999999999999929e+01,3.652284699768802712e-02
1.122000000000000064e+01,1.618089656278502153e-01
1.124000000000000021e+01,2.270844276067851206e-02
1.125999999999999979e+01,1.068076894166328922e-01
1.127999999999999936e+01,1.097419928689163798e-01
1.130000000000000071e+01,-7.205612868572007848e-03
1.132000000000000028e+01,9.785177831971423115e-03
1.133999999999999986e+01,7.429756223720950653e-03
1.135999999999999943e+01,2.331614387207320838e-01
1.138000000000000078e+01,1.586988519367264205e-01
1.140000000000000036e+01,1.531418200951066011e-01
1.141999999999999993e+01,3.456119407580210585e-03
1.143999999999999950e+01,5.002139764526942339e-02
1.146000000000000085e+01,6.646979446814306469e-02
1.148000000000000043e+01,1.239522470901040924e-01
1.150000000000000000e+01,1.452068729742587994e-01
1.151999999999999957e+01,1.154399694011901262e-01
1.153999999999999915e+01,2.028981615811615291e-01
1.156000000000000050e+01,1.696729329516886153e-01
1.158000000000000007e+01,6.956615227354027292e-03
