# 2Theta,Intensity
1.000000000000000000e+01,1.661241670852454111e-01
1.001999999999999957e+01,1.907043890188946933e-01
1.003999999999999915e+01,1.192107273699117564e-01
1.006000000000000050e+01,-4.918125914844698882e-02
1.008000000000000007e+01,9.512049486722512839e-03
1.009999999999999964e+01,3.051467126914789857e-02
1.011999999999999922e+01,4.067744152283248732e-02
1.014000000000000057e+01,2.392628351787438601e-01
1.016000000000000014e+01,-1.031406147365021564e-01
1.017999999999999972e+01,1.873855995386840834e-01
1.019999999999999929e+01,2.075944489382195168e-01
1.022000000000000064e+01,2.219529676336349788e-01
1.024000000000000021e+01,3.299510415256103890e-01
1.025999999999999979e+01,3.464240216145147988e-01
1.027999999999999936e+01,2.689159418786431499e-01
1.030000000000000071e+01,9.391981601459202522e-02
1.032000000000000028e+01,1.621413399123312060e-01
1.033999999999999986e+01,2.189055254851009213e-01
1.035999999999999943e+01,5.614029268550898948e-03
1.038000000000000078e+01,1.994853243949137045e-01
1.040000000000000036e+01,8.587463946699103179e-02
1.041999999999999993e+01,3.258975618903286464e-01
1.043999999999999950e+01,5.393331747826236172e-03
1.046000000000000085e+01,5.866444317355179461e-01
1.048000000000000043e+01,2.992723921346235327e-01
1.050000000000000000e+01,1.401127277299564489e-01
1.051999999999999957e+01,1.781892141578937661e-01
1.053999999999999915e+01,1.680897309723708155e-01
1.056000000000000050e+01,2.049213975353217643e-01
1.058000000000000007e+01,3.450163352058142063e-01
1.059999999999999964e+01,4.285760827052900734e-01
1.061999999999999922e+01,1.152422720679535315e-02
1.064000000000000057e+01,1.847217316171360924e-01
1.066000000000000014e+01,1.858880580572715713e-01
1.067999999999999972e+01,1.908077911688622896e-01
1.069999999999999929e+01,2.871968962070020615e-01
1.072000000000000064e+01,2.490576239321979357e-01
1.074000000000000021e+01,1.631132136617622075e-01
1.075999999999999979e+01,1.898692501917735587e-01
1.077999999999999936e+01,1.413878281275274540e-01
1.080000000000000071e+01,1.628062300653423944e-01
1.082000000000000028e+01,2.648391430095503041e-01
1.083999999999999986e+01,-2.451032464306988207e-02
1.085999999999999943e+01,5.285066910182421862e-02
1.088000000000000078e+01,1.186296075021335550e-01
1.090000000000000036e+01,7.998407462214209007e-02
1.091999999999999993e+01,2.030565064481066606e-01
1.093999999999999950e+01,1.060067960504743056e-01
1.096000000000000085e+01,1.719608197776024971e-01
1.098000000000000043e+01,3.721951001329621977e-01
1.100000000000000000e+01,1.004542298132579947e-01
1.101999999999999957e+01,9.117370045872814910e-02
1.103999999999999915e+01,1.098043049480656869e-01
1.106000000000000050e+01,1.356028908093753413e-02
1.108000000000000007e+01,2.297637272165143629e-01
1.109999999999999964e+01,1.129117284535482019e-01
1.112000000000000099e+01,1.246519526863686528e-01
1.114000000000000057e+01,9.806893221570710251e-02
1.116000000000000014e+01,1.062514209780099361e-01
1.117999999999999972e+01,1.792443131559549041e-01
1.119999999999999929e+01,7.737514120316861532e-02
1.122000000000000064e+01,1.697882792576457245e-01
1.124000000000000021e+01,3.038715366287163544e-01
1.125999999999999979e+01,3.759853955038431478e-02
1.127999999999999936e+01,1.285828654776641766e-01
1.130000000000000071e+01,1.415178268632347192e-01
1.132000000000000028e+01,6.814127832323609024e-02
1.133999999999999986e+01,3.325685547983325829e-01
1.135999999999999943e+01,-7.833971647947111927e-02
1.138000000000000078e+01,7.254272782826458321e-02
1.140000000000000036e+01,2.724437267561095610e-01
1.141999999999999993e+01,-5.087392670004640960e-02
1.143999999999999950e+01,6.316217932021156445e-02
1.146000000000000085e+01,6.646239662131238346e-02
1.148000000000000043e+01,3.163575774395703255e-01
1.150000000000000000e+01,2.595147703996699695e-01
1.151999999999999957e+01,4.345419401205209420e-01
1.153999999999999915e+01,2.033350506918589207e-01
1.156000000000000050e+01,1.000900696855116234e-01
1.158000000000000007e+01,6.153523321695414383e-02
1.159999999999999964e+01,1.921010218865387420e-01
1.162000000000000099e+01,2.448260522531605088e-01
1.164000000000000057e+01,9.923938567114089226e-02
1.166000000000000014e+01,1.513382139453911535e-01
1.167999999999999972e+01,1.553426643670294816e-01
1.169999999999999929e+01,1.605275511410328426e-01
1.172000000000000064e+01,2.205487764068691514e-01
1.174000000000000021e+01,3.743214238672925021e-01
1.175999999999999979e+01,1.903846206816926789e-01
1.177999999999999936e+01,1.973579451060289980e-01
1.180000000000000071e+01,1.678420980890644731e-01
1.182000000000000028e+01,1.663657360540874708e-01
1.183999999999999986e+01,1.810751442048559590e-01
1.185999999999999943e+01,1.097788687065953950e-01
1.188000000000000078e+01,7.085255243448881218e-03
1.190000000000000036e+01,2.364568132369790632e-01
1.191999999999999993e+01,4.666513098487833355e-01
1.193999999999999950e+01,1.749444695346678291e-01
1.196000000000000085e+01,9.438413974422413255e-02
1.198000000000000043e+01,3.287495123854694001e-01
1.200000000000000000e+01,1.412547605908210380e-01
1.201999999999999957e+01,2.576145812148253889e-01
1.203999999999999915e+01,3.314138375805935066e-01
1.206000000000000050e+01,1.304053283729108281e-01
1.208000000000000007e+01,1.674899832696647162e-01
1.209999999999999964e+01,3.000766476010315875e-01
