# 2Theta,Intensity
1.000000000000000000e+01,1.063290369809663238e-01
1.001999999999999957e+01,1.532989128775430754e-01
1.003999999999999915e+01,1.722776405342251738e-01
1.006000000000000050e+01,1.182169169105447004e-01
1.008000000000000007e+01,1.028070919369640235e-01
1.009999999999999964e+01,1.229726096396433627e-01
1.011999999999999922e+01,1.403041689691920946e-01
1.014000000000000057e+01,2.734899828391503807e-01
1.016000000000000014e+01,1.666405812916494367e-01
1.017999999999999972e+01,1.598545204835680467e-01
1.019999999999999929e+01,4.740354429978558409e-02
1.022000000000000064e+01,1.925816012868405147e-01
1.024000000000000021e+01,8.831679701350032829e-02
1.025999999999999979e+01,2.324469036874330097e-01
1.027999999999999936e+01,1.407042623784421631e-01
1.030000000000000071e+01,2.487962336196402058e-01
1.032000000000000028e+01,1.486905131877108432e-01
1.033999999999999986e+01,2.105721700784999595e-01
1.035999999999999943e+01,1.318884031989941419e-01
1.038000000000000078e+01,2.016791182122162907e-01
1.040000000000000036e+01,-2.990247780975443387e-02
1.041999999999999993e+01,6.107261300156400716e-03
1.043999999999999950e+01,8.887341959058840668e-02
1.046000000000000085e+01,4.215536735660577183e-01
1.048000000000000043e+01,-1.079779608715332739e-01
1.050000000000000000e+01,2.793953176487091739e-01
1.051999999999999957e+01,4.660466898805290525e-02
1.053999999999999915e+01,4.676693420029376380e-02
1.056000000000000050e+01,1.799950592817546047e-01
1.058000000000000007e+01,1.091864555467436243e-01
1.059999999999999964e+01,1.933115965318098206e-01
1.061999999999999922e+01,4.288893695178502136e-02
1.064000000000000057e+01,1.133307942289487613e-01
1.066000000000000014e+01,2.932849578611076424e-01
1.067999999999999972e+01,3.701496119272605356e-01
1.069999999999999929e+01,4.141787383360416297e-01
1.072000000000000064e+01,1.794783092959693904e-01
1.074000000000000021e+01,6.974626555077301227e-02
1.075999999999999979e+01,2.372722530676844299e-01
1.077999999999999936e+01,1.887200245429122847e-01
1.080000000000000071e+01,4.371661548854878232e-01
1.082000000000000028e+01,1.765440772622919874e-01
1.083999999999999986e+01,9.972696160264864218e-02
1.085999999999999943e+01,2.374385236337770155e-01
1.088000000000000078e+01,9.007129563693302976e-02
1.090000000000000036e+01,1.316406224290203597e-01
1.091999999999999993e+01,7.867297251415400483e-02
1.093999999999999950e+01,1.206078339034429570e-01
1.096000000000000085e+01,1.678104047084945372e-01
1.098000000000000043e+01,2.538027559729682525e-01
1.100000000000000000e+01,8.721408847426830035e-02
1.101999999999999957e+01,3.098281413552058106e-01
1.103999999999999915e+01,1.800708187255877640e-02
1.106000000000000050e+01,2.807460061823219277e-01
1.108000000000000007e+01,2.380438166349584939e-01
1.109999999999999964e+01,2.624741766810517740e-01
1.112000000000000099e+01,1.596988820244625296e-01
1.114000000000000057e+01,2.121156429644906749e-01
1.116000000000000014e+01,2.203328263729026903e-01
1.117999999999999972e+01,2.225755763137990950e-01
1.119999999999999929e+01,1.937066217994874995e-01
1.122000000000000064e+01,1.295118968316976045e-02
1.124000000000000021e+01,2.705062606501547617e-01
1.125999999999999979e+01,2.554558901607349997e-01
1.127999999999999936e+01,2.377508348948965122e-01
1.130000000000000071e+01,3.476071403406423288e-01
1.132000000000000028e+01,6.502658576468323126e-02
1.133999999999999986e+01,9.974492010743447878e-02
1.135999999999999943e+01,9.730532033271539760e-02
1.138000000000000078e+01,1.449166241836424285e-01
1.140000000000000036e+01,1.106231647413386809e-01
1.141999999999999993e+01,1.967040235339456156e-01
1.143999999999999950e+01,2.295079212669176305e-01
1.146000000000000085e+01,2.002754689503897234e-01
1.148000000000000043e+01,2.800672684316387051e-01
1.150000000000000000e+01,3.023761695877250077e-01
1.151999999999999957e+01,2.371391246926995711e-01
1.153999999999999915e+01,2.341520592708092041e-01
1.156000000000000050e+01,1.577200746238101303e-01
1.158000000000000007e+01,3.498223955376103533e-01
1.159999999999999964e+01,5.560242348916114713e-02
1.162000000000000099e+01,3.970537916879577356e-01
1.164000000000000057e+01,1.328445899909311279e-01
1.166000000000000014e+01,6.666916047433273096e-02
1.167999999999999972e+01,1.866588265176246098e-01
1.169999999999999929e+01,2.555202852736505603e-01
1.172000000000000064e+01,3.972710482541819688e-01
1.174000000000000021e+01,3.472905650462251859e-01
1.175999999999999979e+01,1.938619565156874669e-01
1.177999999999999936e+01,2.770202764356207714e-01
1.180000000000000071e+01,-1.147187904453529812e-02
1.182000000000000028e+01,2.147783337822483929e-01
1.183999999999999986e+01,1.940117405373785742e-01
1.185999999999999943e+01,2.704139102540625839e-01
1.188000000000000078e+01,3.760467993978277024e-01
1.190000000000000036e+01,1.878642566336724828e-01
1.191999999999999993e+01,9.654314267267040395e-02
1.193999999999999950e+01,-1.553339907171582754e-02
1.196000000000000085e+01,-2.726083701555886279e-02
1.198000000000000043e+01,1.069768623502713040e-01
1.200000000000000000e+01,2.292353151903052666e-01
1.201999999999999957e+01,2.117811135782621534e-01
1.203999999999999915e+01,3.556949543830637689e-02
1.206000000000000050e+01,2.576157491417765955e-01
1.208000000000000007e+01,1.289035977632278229e-01
1.209999999999999964e+01,2.764495823840468214e-01
1.212000000000000099e+01,2.163802203035250782e-01
1.214000000000000057e+01,1.598490265169360269e-01
1.216000000000000014e+01,2.784130127112036668e-01
1.217999999999999972e+01,7.719505794811130917e-02
1.219999999999999929e+01,5.369691562461508666e-02
1.222000000000000064e+01,6.742029295133722400e-02
1.224000000000000021e+01,4.196171220262491786e-01
1.225999999999999979e+01,-6.619032365497952430e-02
1.228000000000000114e+01,2.700311488241095015e-01
1.230000000000000071e+01,2.816397352233437901e-01
1.232000000000000028e+01,1.560724324433485077e-01
1.233999999999999986e+01,9.634948755500745421e-02
1.235999999999999943e+01,2.767969718262443535e-01
1.237999999999999901e+01,7.951511104508653116e-02
1.240000000000000036e+01,2.227638984142513157e-01
1.241999999999999993e+01,6.634107649881590407e-02
1.243999999999999950e+01,2.178421240009230653e-01
1.246000000000000085e+01,3.000550812503854220e-02
1.248000000000000043e+01,2.513774617908258180e-01
1.250000000000000000e+01,-6.849012114627962833e-02
1.251999999999999957e+01,-1.340750886987936707e-01
1.253999999999999915e+01,8.961959474973170414e-02
1.256000000000000050e+01,3.536870093275489291e-01
1.258000000000000007e+01,3.023628593220629157e-01
1.259999999999999964e+01,3.894141300081943591e-01
1.262000000000000099e+01,2.158365787565639238e-01
1.264000000000000057e+01,2.700730478124268030e-01
1.266000000000000014e+01,1.154914925886862814e-01
1.267999999999999972e+01,1.601593637219599908e-01
1.269999999999999929e+01,1.904444954315119010e-01
1.272000000000000064e+01,1.350979254542805826e-02
1.274000000000000021e+01,1.592822600080038842e-01
1.275999999999999979e+01,9.672121899371527443e-02
1.278000000000000114e+01,3.651396256777686977e-01
1.280000000000000071e+01,2.795102866524426521e-01
1.282000000000000028e+01,3.277668815596665453e-01
1.283999999999999986e+01,2.973716263837113960e-01
1.285999999999999943e+01,2.576447790333533661e-01
1.287999999999999901e+01,1.290038616900305857e-01
1.290000000000000036e+01,1.124106341101635889e-02
1.291999999999999993e+01,4.054698160768031578e-01
1.293999999999999950e+01,3.275989116904061693e-01
1.296000000000000085e+01,4.790644459798324428e-01
