# 2Theta,Intensity
1.000000000000000000e+01,4.493995940617167423e-02
1.001999999999999957e+01,-7.427539390959359868e-03
1.003999999999999915e+01,9.208475969125920479e-02
1.006000000000000050e+01,-1.694006340545883144e-02
1.008000000000000007e+01,-1.380594561517238250e-01
1.009999999999999964e+01,1.247185417416797337e-01
1.011999999999999922e+01,3.543879397604329240e-01
1.014000000000000057e+01,2.468119946976481127e-01
1.016000000000000014e+01,1.402144482101725098e-01
1.017999999999999972e+01,3.231123085229368752e-01
1.019999999999999929e+01,4.386204637883207857e-02
1.022000000000000064e+01,1.831445124159281623e-01
1.024000000000000021e+01,2.113310336385005594e-01
1.025999999999999979e+01,1.576547413223512717e-01
1.027999999999999936e+01,5.891562022334603799e-02
1.030000000000000071e+01,4.635767339955457894e-02
1.032000000000000028e+01,-2.389819302149559337e-03
1.033999999999999986e+01,3.158230349966734130e-01
1.035999999999999943e+01,4.474948855988292173e-02
1.038000000000000078e+01,3.012385070593435188e-01
1.040000000000000036e+01,2.435925521618056422e-01
1.041999999999999993e+01,-1.071158825926358735e-02
1.043999999999999950e+01,1.841796413284133849e-01
1.046000000000000085e+01,5.273909102779559405e-02
1.048000000000000043e+01,1.731925554653775123e-01
1.050000000000000000e+01,-9.238815415191494948e-03
1.051999999999999957e+01,1.702059137692972512e-01
1.053999999999999915e+01,8.357070841853352083e-02
1.056000000000000050e+01,2.612776691454157807e-01
1.058000000000000007e+01,1.725443575796295481e-01
1.059999999999999964e+01,9.624860120245883055e-02
1.061999999999999922e+01,1.346368170829345123e-01
1.064000000000000057e+01,1.620806772684834085e-01
1.066000000000000014e+01,5.772066763969150444e-02
1.067999999999999972e+01,1.892906281346725950e-01
1.069999999999999929e+01,-8.674312573380880964e-02
1.072000000000000064e+01,-6.273826881497651664e-02
1.074000000000000021e+01,-1.797587881970424267e-02
1.075999999999999979e+01,9.623776037531060756e-02
1.077999999999999936e+01,-5.111200901615537556e-02
1.080000000000000071e+01,8.098842450195179940e-03
1.082000000000000028e+01,2.391080783905332602e-02
1.083999999999999986e+01,2.244458040132962517e-01
1.085999999999999943e+01,9.781438956353270819e-02
1.088000000000000078e+01,1.174066043595422687e-01
1.090000000000000036e+01,1.912172628668106777e-01
1.091999999999999993e+01,2.934244860266074229e-01
1.093999999999999950e+01,3.349380855376145050e-01
1.096000000000000085e+01,-1.568278316485615109e-01
1.098000000000000043e+01,3.526173782679637436e-01
1.100000000000000000e+01,9.158864788610709962e-02
1.101999999999999957e+01,1.568688331494778876e-02
1.103999999999999915e+01,7.977593245001249334e-02
1.106000000000000050e+01,1.368688101434349658e-01
1.108000000000000007e+01,1.809215561004225148e-01
1.109999999999999964e+01,1.539927408661826980e-01
1.112000000000000099e+01,1.435995071838518933e-01
1.114000000000000057e+01,1.683291843849852865e-01
1.116000000000000014e+01,6.888027852621518565e-02
1.117999999999999972e+01,1.638505262267849205e-01
1.119999999999999929e+01,-1.396301293546652056e-02
1.122000000000000064e+01,1.441713870021303912e-01
1.124000000000000021e+01,1.095571047365816592e-01
1.125999999999999979e+01,8.689052632451463309e-02
1.127999999999999936e+01,9.194698799025061153e-02
1.130000000000000071e+01,4.475694405583781343e-02
1.132000000000000028e+01,-3.444310281927452644e-02
1.133999999999999986e+01,1.763205731901107132e-01
1.135999999999999943e+01,1.364674708869546838e-01
1.138000000000000078e+01,2.119757828293486746e-01
1.140000000000000036e+01,2.903226358650313338e-02
1.141999999999999993e+01,5.811984373725282566e-02
1.143999999999999950e+01,4.699458429256980069e-02
