# 2Theta,Intensity
1.000000000000000000e+01,1.792336708513897481e-02
1.001999999999999957e+01,2.037940056299040181e-01
1.003999999999999915e+01,2.465348359384271493e-01
1.006000000000000050e+01,8.440241245305876716e-02
1.008000000000000007e+01,2.061360057917355770e-01
1.009999999999999964e+01,2.739431652800618580e-02
1.011999999999999922e+01,8.181409740450069912e-02
1.014000000000000057e+01,1.258582725005661929e-01
1.016000000000000014e+01,-2.193522332502311975e-02
1.017999999999999972e+01,-3.894267536285357656e-02
1.019999999999999929e+01,2.240255258733238053e-01
1.022000000000000064e+01,-1.954459555605622244e-03
1.024000000000000021e+01,2.297209750988133681e-01
1.025999999999999979e+01,-1.246732106720976480e-01
1.027999999999999936e+01,2.319495677699212333e-01
1.030000000000000071e+01,3.623671362775113258e-01
1.032000000000000028e+01,7.762550096437982605e-02
1.033999999999999986e+01,3.913988012571790742e-01
1.035999999999999943e+01,2.805425568223114396e-01
1.038000000000000078e+01,3.922444494756309741e-01
1.040000000000000036e+01,2.651021792183692050e-01
1.041999999999999993e+01,3.989680526147284523e-01
1.043999999999999950e+01,5.665940551637703715e-01
1.046000000000000085e+01,6.120308567704523250e-01
1.048000000000000043e+01,1.042042559190370588e+00
1.050000000000000000e+01,1.472031588759833198e+00
1.051999999999999957e+01,2.119767867890762769e+00
1.053999999999999915e+01,3.484575679786264146e+00
1.056000000000000050e+01,8.194540669500183228e+00
1.058000000000000007e+01,2.746786802376667325e+01
1.059999999999999964e+01,6.983276347063448952e+01
1.061999999999999922e+01,1.000000000000000000e+02
1.064000000000000057e+01,7.189977660067441434e+01
1.066000000000000014e+01,3.128813595927130109e+01
1.067999999999999972e+01,9.335456191250269598e+00
1.069999999999999929e+01,3.012798684282515627e+00
1.072000000000000064e+01,1.721422549958027570e+00
1.074000000000000021e+01,1.181453049109557174e+00
1.075999999999999979e+01,1.222617286506965106e+00
1.077999999999999936e+01,7.751233607116022606e-01
1.080000000000000071e+01,3.829666172512755651e-01
1.082000000000000028e+01,4.303884944519894562e-01
1.083999999999999986e+01,6.147802027060401686e-01
1.085999999999999943e+01,4.136506516170422310e-01
1.088000000000000078e+01,2.715280599604607548e-01
1.090000000000000036e+01,3.700058292962833395e-01
1.091999999999999993e+01,-6.293409337801682485e-04
1.093999999999999950e+01,2.176623729043575539e-01
1.096000000000000085e+01,3.113530206231056585e-01
1.098000000000000043e+01,2.222060860899842949e-01
1.100000000000000000e+01,2.454528574394444773e-01
1.101999999999999957e+01,-2.429974226322683881e-02
1.103999999999999915e+01,3.279639721531198426e-01
1.106000000000000050e+01,3.752492230738019990e-02
1.108000000000000007e+01,1.186884911545230126e-01
1.109999999999999964e+01,-2.858166698924562849e-02
1.112000000000000099e+01,2.790865110563585105e-01
1.114000000000000057e+01,1.080270194279321812e-02
1.116000000000000014e+01,-1.704783595165200406e-03
1.117999999999999972e+01,7.193585546060360381e-02
1.119999999999999929e+01,3.236817874615515594e-02
1.122000000000000064e+01,4.837281492826166207e-02
1.124000000000000021e+01,-2.722933341903038471e-02
1.125999999999999979e+01,-2.916872955601496845e-03
1.127999999999999936e+01,1.763197129063603652e-01
1.130000000000000071e+01,6.506024030509052758e-02
1.132000000000000028e+01,1.249624474956409492e-01
1.133999999999999986e+01,-4.832585008811724619e-02
1.135999999999999943e+01,1.393574698625197339e-01
1.138000000000000078e+01,1.975359889608377297e-03
1.140000000000000036e+01,9.776264463715919617e-02
1.141999999999999993e+01,3.818800948206124701e-02
1.143999999999999950e+01,7.625253903829162794e-02
1.146000000000000085e+01,4.162702646846732496e-02
1.148000000000000043e+01,-2.989139168075649264e-02
1.150000000000000000e+01,1.271698651605998598e-01
1.151999999999999957e+01,1.352605383046633913e-01
1.153999999999999915e+01,-4.763972115680698699e-02
1.156000000000000050e+01,6.507881881830006321e-02
1.158000000000000007e+01,8.004049074579121237e-02
1.159999999999999964e+01,-3.388643071229523185e-02
1.162000000000000099e+01,-6.603856887469891634e-02
1.164000000000000057e+01,4.683151812218691590e-02
1.166000000000000014e+01,-8.398667579123128557e-02
1.167999999999999972e+01,1.377107104863141140e-01
1.169999999999999929e+01,-9.483873936584360717e-03
1.172000000000000064e+01,1.065493867636734260e-01
1.174000000000000021e+01,4.397682883098048140e-02
1.175999999999999979e+01,1.354109139778524595e-01
1.177999999999999936e+01,2.569502393428345632e-01
1.180000000000000071e+01,3.207932718351663715e-02
1.182000000000000028e+01,-1.669598433017193198e-02
1.183999999999999986e+01,6.594752691308181092e-02
1.185999999999999943e+01,-2.021640613649192467e-02
1.188000000000000078e+01,9.473096370102637720e-02
1.190000000000000036e+01,1.816330870690316679e-01
1.191999999999999993e+01,-2.055735240505519867e-02
1.193999999999999950e+01,2.286043767773430491e-01
1.196000000000000085e+01,1.811227425946513314e-01
1.198000000000000043e+01,-4.283986529847964853e-02
1.200000000000000000e+01,-1.997305728599147456e-01
