# 2Theta,Intensity
1.000000000000000000e+01,3.026770372922758057e+01
1.001999999999999957e+01,3.513593945815591724e+01
1.003999999999999915e+01,1.881626214544784403e+01
1.006000000000000050e+01,7.535460393678879321e+00
1.008000000000000007e+01,2.229617673967609015e+00
1.009999999999999964e+01,1.100336345318353004e+00
1.011999999999999922e+01,6.226797799082729457e-01
1.014000000000000057e+01,3.080151070419813730e-01
1.016000000000000014e+01,5.530910290005498497e-01
1.017999999999999972e+01,3.938367551847998804e-01
1.019999999999999929e+01,2.547551679127679769e-01
1.022000000000000064e+01,7.893530775312249115e-02
1.024000000000000021e+01,3.268957299160458185e-01
1.025999999999999979e+01,1.361718114335472851e-01
1.027999999999999936e+01,2.839420750784832914e-01
1.030000000000000071e+01,2.405805286052682956e-01
1.032000000000000028e+01,1.184462624958145388e-01
1.033999999999999986e+01,5.205680417049898118e-02
1.035999999999999943e+01,2.079227192027321425e-01
1.038000000000000078e+01,1.680691917917739031e-01
1.040000000000000036e+01,3.452438579491164394e-01
1.041999999999999993e+01,4.246430107125845343e-02
1.043999999999999950e+01,2.192795761577308600e-01
1.046000000000000085e+01,2.174014119676379309e-01
1.048000000000000043e+01,7.804371146845771878e-02
1.050000000000000000e+01,3.310476278268918021e-02
1.051999999999999957e+01,2.610524954056537839e-01
1.053999999999999915e+01,1.784838175801390925e-01
1.056000000000000050e+01,5.772231707923156097e-02
1.058000000000000007e+01,-5.127605897277746905e-02
1.059999999999999964e+01,1.567138426901288628e-01
1.061999999999999922e+01,2.693336938894057564e-01
1.064000000000000057e+01,1.584537010018793879e-01
1.066000000000000014e+01,5.527542455391925430e-02
1.067999999999999972e+01,6.273391040040282585e-02
1.069999999999999929e+01,1.023257544493388765e-01
1.072000000000000064e+01,1.567893339749686643e-01
1.074000000000000021e+01,-7.563916749090755787e-02
1.075999999999999979e+01,3.496838044859791605e-02
1.077999999999999936e+01,4.086425916200671360e-02
1.080000000000000071e+01,5.273070719778930049e-02
1.082000000000000028e+01,9.925180630910036828e-02
1.083999999999999986e+01,2.513956299199816002e-01
1.085999999999999943e+01,1.635773794750900456e-01
1.088000000000000078e+01,1.509049105945879099e-01
1.090000000000000036e+01,-7.461116401232331663e-02
1.091999999999999993e+01,2.390304267575529273e-01
1.093999999999999950e+01,2.155983271325064010e-02
1.096000000000000085e+01,-4.502108368726839838e-02
1.098000000000000043e+01,-9.264595540581212207e-02
1.100000000000000000e+01,5.887558618881970351e-02
1.101999999999999957e+01,6.084185951408095649e-02
1.103999999999999915e+01,2.054022193059867607e-01
1.106000000000000050e+01,1.726640172384454885e-01
1.108000000000000007e+01,2.966565977729146777e-02
1.109999999999999964e+01,8.864109189029226177e-02
1.112000000000000099e+01,1.042295096843374458e-01
1.114000000000000057e+01,3.668027460090613756e-01
1.116000000000000014e+01,2.383567664379874496e-01
