# 2Theta,Intensity
1.000000000000000000e+01,-8.662152300823301732e-02
1.001999999999999957e+01,8.792420993805613594e-02
1.003999999999999915e+01,-3.764854767240428945e-02
1.006000000000000050e+01,1.189342965241092925e-01
1.008000000000000007e+01,1.472722145081348244e-02
1.009999999999999964e+01,-6.503893849325929899e-02
1.011999999999999922e+01,8.893788774465633679e-03
1.014000000000000057e+01,9.509251003030455562e-02
1.016000000000000014e+01,-2.301640403552677183e-01
1.017999999999999972e+01,1.435093928890943671e-01
1.019999999999999929e+01,4.452419672704516218e-02
1.022000000000000064e+01,7.622034874432818963e-02
1.024000000000000021e+01,-1.161513732195342402e-01
1.025999999999999979e+01,2.853476874000270697e-02
1.027999999999999936e+01,1.665283747634725975e-01
1.030000000000000071e+01,4.301796447291246668e-03
1.032000000000000028e+01,4.174870968983825266e-03
1.033999999999999986e+01,2.415266406846542854e-02
1.035999999999999943e+01,6.195756488628705039e-02
1.038000000000000078e+01,3.548777297457583746e-01
1.040000000000000036e+01,6.443217851432198051e-02
1.041999999999999993e+01,2.028586419138273256e-01
1.043999999999999950e+01,1.228351921001464772e-02
1.046000000000000085e+01,1.096718670529670675e-02
1.048000000000000043e+01,1.321886045643285157e-01
1.050000000000000000e+01,2.801375427911436122e-01
1.051999999999999957e+01,1.222868861414656422e-01
1.053999999999999915e+01,6.514678570008343439e-02
1.056000000000000050e+01,5.880417544842315991e-02
1.058000000000000007e+01,8.748469803188063665e-02
1.059999999999999964e+01,-1.265423465628827682e-01
1.061999999999999922e+01,1.764365447606646153e-01
1.064000000000000057e+01,2.298589939308857966e-01
1.066000000000000014e+01,1.098423312659322915e-01
1.067999999999999972e+01,2.943691858546873541e-01
1.069999999999999929e+01,1.538787710325699998e-01
1.072000000000000064e+01,2.210278613784253110e-01
1.074000000000000021e+01,1.648294991110702545e-01
1.075999999999999979e+01,2.383423752813119412e-01
1.077999999999999936e+01,2.574362395759453026e-01
1.080000000000000071e+01,2.004981256311285931e-01
1.082000000000000028e+01,4.120503216003882363e-01
1.083999999999999986e+01,2.780820639765989033e-01
1.085999999999999943e+01,7.547838952368102206e-01
1.088000000000000078e+01,5.828790254590673348e-01
1.090000000000000036e+01,6.598358601868092865e-01
1.091999999999999993e+01,8.292519313830191141e-01
1.093999999999999950e+01,8.231479337499283400e-01
1.096000000000000085e+01,9.735054354223149353e-01
1.098000000000000043e+01,1.561237074285557025e+00
1.100000000000000000e+01,2.180746166995549462e+00
1.101999999999999957e+01,4.760898941693618269e+00
1.103999999999999915e+01,1.561007254242095854e+01
1.106000000000000050e+01,4.642520514648660424e+01
1.108000000000000007e+01,9.598433775153878855e+01
1.109999999999999964e+01,1.000000000000000000e+02
1.112000000000000099e+01,5.785479234473347532e+01
1.114000000000000057e+01,2.013129435811787360e+01
1.116000000000000014e+01,6.401558293819865852e+00
1.117999999999999972e+01,2.567016228256605359e+00
1.119999999999999929e+01,1.651601207902851032e+00
1.122000000000000064e+01,1.097866735871857902e+00
1.124000000000000021e+01,7.247506092083676466e-01
1.125999999999999979e+01,1.041876610887924270e+00
1.127999999999999936e+01,5.345549343600505265e-01
1.130000000000000071e+01,6.124073786478514414e-01
1.132000000000000028e+01,5.146316905466720160e-01
1.133999999999999986e+01,5.742685512094395373e-01
1.135999999999999943e+01,6.002023312346129735e-01
1.138000000000000078e+01,1.724313353574975782e-01
1.140000000000000036e+01,2.229786326460943824e-01
1.141999999999999993e+01,6.328755171627729048e-01
1.143999999999999950e+01,2.702114639348425773e-01
1.146000000000000085e+01,1.966298962022371144e-01
1.148000000000000043e+01,2.525888068466491387e-01
1.150000000000000000e+01,1.027368503111647235e-01
1.151999999999999957e+01,1.781703307219176247e-02
1.153999999999999915e+01,7.499281253445208573e-02
1.156000000000000050e+01,9.075172913782207640e-02
1.158000000000000007e+01,2.080623589893667580e-01
1.159999999999999964e+01,2.696074398535918126e-01
1.162000000000000099e+01,1.614010315985531518e-01
1.164000000000000057e+01,8.825404566226177638e-02
1.166000000000000014e+01,1.502617072076093685e-01
1.167999999999999972e+01,1.917473650384726377e-02
1.169999999999999929e+01,2.505644113919220928e-01
1.172000000000000064e+01,1.944678661363731242e-01
1.174000000000000021e+01,3.440061097368743437e-01
1.175999999999999979e+01,1.767047441954834042e-01
1.177999999999999936e+01,1.136542337768343125e-01
1.180000000000000071e+01,1.234053177708848426e-01
1.182000000000000028e+01,5.565442657210657729e-02
1.183999999999999986e+01,-8.917424495986991939e-02
1.185999999999999943e+01,-7.782914501612413216e-02
1.188000000000000078e+01,2.505337877014244263e-01
1.190000000000000036e+01,1.406943745590386874e-01
1.191999999999999993e+01,3.073033372906944921e-02
1.193999999999999950e+01,-4.838096532832485835e-02
1.196000000000000085e+01,2.059204062274519811e-02
1.198000000000000043e+01,4.948675256045273474e-02
1.200000000000000000e+01,6.512738538769058394e-02
1.201999999999999957e+01,1.048059840305139157e-01
1.203999999999999915e+01,-5.380190938690020130e-02
1.206000000000000050e+01,1.074541035054306093e-01
1.208000000000000007e+01,6.599386664480792752e-02
1.209999999999999964e+01,2.107286325375319069e-01
1.212000000000000099e+01,4.139696993186191276e-02
1.214000000000000057e+01,2.677829075000879439e-02
1.216000000000000014e+01,-3.874643181983421225e-02
1.217999999999999972e+01,7.187675372324162093e-02
1.219999999999999929e+01,-1.168270705156823283e-02
1.222000000000000064e+01,-5.052759779882278618e-02
1.224000000000000021e+01,-1.894701180860038636e-01
1.225999999999999979e+01,1.347185384199048042e-01
1.228000000000000114e+01,1.195457384693516811e-01
1.230000000000000071e+01,2.515422961456750470e-02
1.232000000000000028e+01,2.038648935218349001e-01
1.233999999999999986e+01,1.689519044309676088e-01
1.235999999999999943e+01,-8.512884804135881223e-02
1.237999999999999901e+01,-6.030855732850184947e-02
1.240000000000000036e+01,-7.175761281505241979e-03
1.241999999999999993e+01,-9.702590246562610432e-02
1.243999999999999950e+01,1.202791017227197307e-01
1.246000000000000085e+01,-2.005165863267519347e-02
1.248000000000000043e+01,-1.024154209652580055e-01
1.250000000000000000e+01,5.939399463869690643e-02
1.251999999999999957e+01,7.519329033596075518e-02
1.253999999999999915e+01,2.951592935736370611e-03
1.256000000000000050e+01,-6.593969036189037403e-02
1.258000000000000007e+01,1.302884338023193311e-01
1.259999999999999964e+01,7.473983608093917597e-02
1.262000000000000099e+01,1.762142426031504741e-02
1.264000000000000057e+01,-7.376888888270424771e-02
1.266000000000000014e+01,-4.940316190654581857e-02
1.267999999999999972e+01,1.799128519863076869e-01
1.269999999999999929e+01,1.486755150983364027e-03
1.272000000000000064e+01,1.297586958381646560e-01
1.274000000000000021e+01,1.391336071238184757e-01
1.275999999999999979e+01,9.482594785778773738e-02
1.278000000000000114e+01,1.489889222311716228e-02
1.280000000000000071e+01,-1.045592607742967250e-01
1.282000000000000028e+01,1.396121429979403916e-01
1.283999999999999986e+01,2.563019616689174787e-02
1.285999999999999943e+01,-2.466345652454744741e-02
1.287999999999999901e+01,1.684867885253557018e-01
1.290000000000000036e+01,8.631473206226102091e-02
1.291999999999999993e+01,-6.836244949100812873e-02
1.293999999999999950e+01,-9.993137681348310264e-02
1.296000000000000085e+01,-1.295419196302243225e-01
1.298000000000000043e+01,-4.071640510438632315e-02
1.300000000000000000e+01,2.125570146309555420e-03
1.301999999999999957e+01,7.385432906499481143e-02
1.303999999999999915e+01,-1.454272700985830558e-01
1.306000000000000050e+01,2.883377563264271498e-02
1.308000000000000007e+01,1.280209434129731851e-02
1.309999999999999964e+01,-4.233731930872203231e-02
1.312000000000000099e+01,-1.995303761322160530e-01
1.314000000000000057e+01,2.199739559780628517e-01
1.316000000000000014e+01,6.469394036021119954e-02
