# 2Theta,Intensity
1.000000000000000000e+01,3.210780031352820224e-02
1.001999999999999957e+01,1.490726246003497568e-01
1.003999999999999915e+01,-3.250595686896284864e-02
1.006000000000000050e+01,4.968481723363112751e-02
1.008000000000000007e+01,2.253396886985108150e-01
1.009999999999999964e+01,2.791764626062813795e-02
1.011999999999999922e+01,1.499995514953782888e-02
1.014000000000000057e+01,1.278434701365854798e-01
1.016000000000000014e+01,1.161437894295724305e-01
1.017999999999999972e+01,1.199094978341836565e-01
1.019999999999999929e+01,1.105997910725830050e-02
1.022000000000000064e+01,5.620377654932135619e-02
1.024000000000000021e+01,1.741819955574622561e-02
1.025999999999999979e+01,-1.600403113945008879e-02
1.027999999999999936e+01,3.964042521629332905e-01
1.030000000000000071e+01,-5.217275978460515773e-02
1.032000000000000028e+01,-2.425636852810832134e-02
1.033999999999999986e+01,1.953590717397165055e-01
1.035999999999999943e+01,1.414701490658235548e-02
1.038000000000000078e+01,1.160863026397157688e-01
1.040000000000000036e+01,-4.325124555669575266e-02
1.041999999999999993e+01,-6.242096860510387007e-02
1.043999999999999950e+01,1.190411788691170536e-01
1.046000000000000085e+01,-1.416105813295266136e-01
1.048000000000000043e+01,1.360609548966141558e-01
1.050000000000000000e+01,1.311353443812246500e-01
1.051999999999999957e+01,2.943488157549152204e-02
1.053999999999999915e+01,-3.077921514314567453e-03
1.056000000000000050e+01,-6.598485564007539050e-02
1.058000000000000007e+01,2.234260101755754513e-01
1.059999999999999964e+01,5.166030029043126685e-03
1.061999999999999922e+01,-5.097539091095607683e-02
1.064000000000000057e+01,3.735023480256270678e-02
1.066000000000000014e+01,2.199333341569184863e-01
1.067999999999999972e+01,-2.392274041302264453e-01
1.069999999999999929e+01,-6.601284067977353232e-02
1.072000000000000064e+01,-7.496258377231433678e-02
1.074000000000000021e+01,2.188339361059714328e-01
1.075999999999999979e+01,-4.879756552290039767e-02
1.077999999999999936e+01,6.579586087142065554e-02
1.080000000000000071e+01,3.337879944406862420e-01
1.082000000000000028e+01,1.205009891729319632e-01
1.083999999999999986e+01,9.569503511511533167e-02
1.085999999999999943e+01,2.538031418772097592e-01
1.088000000000000078e+01,1.830486604606478829e-01
1.090000000000000036e+01,1.834677174107423314e-01
1.091999999999999993e+01,2.844868424382265143e-02
1.093999999999999950e+01,-2.706836339132374231e-02
1.096000000000000085e+01,5.478196945350516378e-02
1.098000000000000043e+01,1.680797840973356772e-01
1.100000000000000000e+01,1.620230729097723865e-01
1.101999999999999957e+01,2.428933750094734445e-01
1.103999999999999915e+01,2.434638148378158104e-03
1.106000000000000050e+01,-5.891795181148406363e-02
1.108000000000000007e+01,2.715303394582496699e-01
1.109999999999999964e+01,-8.837942285744165849e-02
1.112000000000000099e+01,1.191122302526996940e-01
1.114000000000000057e+01,2.444142588207822986e-01
1.116000000000000014e+01,1.243833511973090888e-01
1.117999999999999972e+01,8.560117634138809939e-02
1.119999999999999929e+01,1.029238089384579558e-01
1.122000000000000064e+01,1.471376868624504619e-01
1.124000000000000021e+01,6.302804059734856690e-02
1.125999999999999979e+01,3.130533774357940890e-02
1.127999999999999936e+01,1.820353944804908586e-01
1.130000000000000071e+01,1.645946737936696547e-01
1.132000000000000028e+01,-1.677975626960292316e-02
1.133999999999999986e+01,1.110999276738154906e-01
1.135999999999999943e+01,-4.047668948900157160e-02
1.138000000000000078e+01,8.598208683739902436e-02
1.140000000000000036e+01,1.682048596449038647e-01
1.141999999999999993e+01,-9.737749237541715869e-03
1.143999999999999950e+01,1.441994593874124375e-01
1.146000000000000085e+01,7.609890950258088593e-02
1.148000000000000043e+01,-1.050397949678625042e-01
1.150000000000000000e+01,1.027063420486389322e-01
1.151999999999999957e+01,1.380468982371383935e-01
1.153999999999999915e+01,-1.936277782773298140e-03
1.156000000000000050e+01,-1.008121534067873276e-01
1.158000000000000007e+01,3.684944760512744166e-02
1.159999999999999964e+01,6.441715235813386120e-02
1.162000000000000099e+01,-2.941802513002519243e-03
1.164000000000000057e+01,-1.973703356989871954e-02
1.166000000000000014e+01,8.262846968952000659e-02
1.167999999999999972e+01,-1.088875322943152757e-01
1.169999999999999929e+01,1.154373832852638587e-01
1.172000000000000064e+01,7.059182326226864923e-02
1.174000000000000021e+01,1.060577186251146151e-02
1.175999999999999979e+01,1.883540869295775577e-01
1.177999999999999936e+01,5.661325468916720421e-02
1.180000000000000071e+01,9.077211698900658488e-02
1.182000000000000028e+01,9.630211999260386568e-02
1.183999999999999986e+01,2.441782910325339048e-02
1.185999999999999943e+01,1.642835145213109305e-01
1.188000000000000078e+01,-1.025237500763676174e-01
1.190000000000000036e+01,-3.003995574772370253e-02
1.191999999999999993e+01,2.491993508619367095e-02
1.193999999999999950e+01,1.002515155313987438e-01
1.196000000000000085e+01,5.590348245181487458e-02
1.198000000000000043e+01,-9.819859256823740279e-02
1.200000000000000000e+01,-1.389592993994708675e-02
1.201999999999999957e+01,1.998705759904760570e-01
1.203999999999999915e+01,9.462470566173986769e-03
1.206000000000000050e+01,2.126241752840668520e-02
1.208000000000000007e+01,1.369918716062612785e-01
1.209999999999999964e+01,-8.341344749787306390e-02
1.212000000000000099e+01,1.734210874590676466e-01
1.214000000000000057e+01,-6.852670907948177348e-02
1.216000000000000014e+01,1.548711238415279891e-02
1.217999999999999972e+01,1.495104173783729298e-02
1.219999999999999929e+01,-6.757008835953884351e-02
1.222000000000000064e+01,1.291173477419274851e-01
1.224000000000000021e+01,2.420363607334862499e-01
1.225999999999999979e+01,9.256102174335719898e-03
1.228000000000000114e+01,1.699134745133316637e-01
1.230000000000000071e+01,-3.565424801813359829e-02
1.232000000000000028e+01,6.727839668602411671e-02
1.233999999999999986e+01,-6.862900064835789071e-02
1.235999999999999943e+01,2.880692375977207953e-01
1.237999999999999901e+01,-3.036878713586156631e-02
1.240000000000000036e+01,-3.480018462771680698e-02
1.241999999999999993e+01,8.958328630535089543e-02
1.243999999999999950e+01,2.509869434593540310e-02
1.246000000000000085e+01,1.357123468008646361e-01
1.248000000000000043e+01,1.374491440130580777e-01
1.250000000000000000e+01,2.492765409085663519e-02
1.251999999999999957e+01,1.231525042133922027e-01
1.253999999999999915e+01,1.396740740994311947e-01
1.256000000000000050e+01,1.618560820592958860e-01
1.258000000000000007e+01,5.825464280453884758e-02
1.259999999999999964e+01,5.274967178084773167e-02
1.262000000000000099e+01,-1.258630395149328875e-02
1.264000000000000057e+01,-1.565005821439340028e-02
1.266000000000000014e+01,-8.472065042257498346e-02
1.267999999999999972e+01,9.207482782555770351e-02
1.269999999999999929e+01,2.620546282824833331e-02
1.272000000000000064e+01,2.729530370633236336e-01
1.274000000000000021e+01,1.907206503680459464e-01
1.275999999999999979e+01,-4.639449925790326695e-02
1.278000000000000114e+01,2.001820581614679739e-01
1.280000000000000071e+01,2.096262865534446462e-01
1.282000000000000028e+01,-2.559555515293134714e-02
1.283999999999999986e+01,1.697515524819463995e-01
1.285999999999999943e+01,1.381664264216323490e-01
1.287999999999999901e+01,2.504774353647094554e-01
1.290000000000000036e+01,1.553744565019818114e-01
1.291999999999999993e+01,4.452296033493097216e-02
1.293999999999999950e+01,8.143594599566879311e-02
1.296000000000000085e+01,1.538405635930260307e-01
1.298000000000000043e+01,2.348403371885899038e-01
1.300000000000000000e+01,2.966630309622756562e-02
1.301999999999999957e+01,1.400514156828643331e-01
