# 2Theta,Intensity
1.000000000000000000e+01,-2.584931525850741110e-02
1.001999999999999957e+01,1.330280929254516742e-01
1.003999999999999915e+01,2.253135034780923973e-01
1.006000000000000050e+01,1.151894153439111529e-01
1.008000000000000007e+01,1.380719637452542392e-01
1.009999999999999964e+01,3.132149345684986375e-01
1.011999999999999922e+01,1.048990670852193580e-01
1.014000000000000057e+01,3.218055237117296574e-01
1.016000000000000014e+01,1.108537080907339746e-02
1.017999999999999972e+01,1.351029527223840954e-01
1.019999999999999929e+01,2.168533211034320840e-01
1.022000000000000064e+01,4.166185828921093459e-01
1.024000000000000021e+01,1.913603337999010339e-04
1.025999999999999979e+01,1.837565542970813481e-01
1.027999999999999936e+01,1.061707115238907928e-01
1.030000000000000071e+01,5.990362127897649012e-03
1.032000000000000028e+01,6.927652274543204258e-02
1.033999999999999986e+01,1.779782531290367842e-01
1.035999999999999943e+01,3.311679241467624379e-01
1.038000000000000078e+01,1.529672973499494049e-01
1.040000000000000036e+01,2.408475722693191948e-02
1.041999999999999993e+01,3.002880822041521514e-01
1.043999999999999950e+01,2.172443064186277851e-03
1.046000000000000085e+01,-3.974815528384418456e-02
1.048000000000000043e+01,1.562439314358281817e-01
1.050000000000000000e+01,1.234507646237665707e-01
1.051999999999999957e+01,7.133218870868135442e-02
1.053999999999999915e+01,3.250067668905461116e-02
1.056000000000000050e+01,1.831944693556973591e-01
1.058000000000000007e+01,-9.577953905573054205e-02
1.059999999999999964e+01,1.488088105364090419e-01
1.061999999999999922e+01,9.161667156212506546e-02
1.064000000000000057e+01,8.049096591053850336e-02
1.066000000000000014e+01,7.739170028692327064e-02
1.067999999999999972e+01,2.362529052784864969e-01
1.069999999999999929e+01,1.589368529881449443e-01
1.072000000000000064e+01,2.084778911924331513e-01
1.074000000000000021e+01,5.944176869749648318e-02
1.075999999999999979e+01,2.373842760347529834e-01
1.077999999999999936e+01,3.071034138419547754e-01
1.080000000000000071e+01,1.824631064783879264e-01
1.082000000000000028e+01,1.985801280439910277e-01
1.083999999999999986e+01,1.076795656457335271e-01
1.085999999999999943e+01,1.762627786889012504e-01
1.088000000000000078e+01,4.334460653318398804e-01
1.090000000000000036e+01,1.448316087932254304e-01
1.091999999999999993e+01,5.538033250280652992e-02
1.093999999999999950e+01,2.891019650622794757e-02
1.096000000000000085e+01,2.609828386152750479e-01
1.098000000000000043e+01,1.933490598687077622e-01
1.100000000000000000e+01,2.713740858067097417e-01
1.101999999999999957e+01,3.271654843542456947e-01
1.103999999999999915e+01,-4.364596448665930550e-02
1.106000000000000050e+01,1.814707500990728889e-02
1.108000000000000007e+01,-4.359867141416003122e-02
1.109999999999999964e+01,3.177065911718251479e-01
1.112000000000000099e+01,2.910070933751979227e-01
1.114000000000000057e+01,5.114021930696508456e-01
1.116000000000000014e+01,1.002968811567593876e-01
1.117999999999999972e+01,8.387213363698146906e-02
1.119999999999999929e+01,4.344822556950807546e-01
1.122000000000000064e+01,7.266073492618430052e-02
1.124000000000000021e+01,1.948968010808102905e-02
1.125999999999999979e+01,1.030731316055247121e-01
1.127999999999999936e+01,7.925237567377493852e-02
1.130000000000000071e+01,1.617140794542436533e-01
1.132000000000000028e+01,1.610665519625921749e-01
1.133999999999999986e+01,1.754304018332454307e-01
1.135999999999999943e+01,1.415723132505717907e-01
1.138000000000000078e+01,1.487177158660834275e-01
1.140000000000000036e+01,3.345398214070700038e-01
1.141999999999999993e+01,1.832598956554467862e-01
1.143999999999999950e+01,3.104041624391805643e-01
1.146000000000000085e+01,1.871882620255253260e-01
1.148000000000000043e+01,1.802816164936477811e-02
1.150000000000000000e+01,7.695643417411912601e-02
1.151999999999999957e+01,3.580172998448569177e-01
1.153999999999999915e+01,1.348254755665025117e-01
1.156000000000000050e+01,-2.083608305651310846e-02
1.158000000000000007e+01,4.710908361974016634e-01
1.159999999999999964e+01,2.573444958192861454e-01
1.162000000000000099e+01,4.582156443913944222e-02
1.164000000000000057e+01,2.882003463968148549e-01
1.166000000000000014e+01,1.481644320042794782e-01
1.167999999999999972e+01,2.278689795551637476e-01
1.169999999999999929e+01,5.535765475572188010e-02
1.172000000000000064e+01,1.552481207064613788e-01
1.174000000000000021e+01,-3.711993962591174107e-03
1.175999999999999979e+01,2.490626178994223283e-01
1.177999999999999936e+01,1.916133622583421070e-01
1.180000000000000071e+01,9.947704748724883750e-02
1.182000000000000028e+01,2.183822650586531022e-01
1.183999999999999986e+01,9.514447343059291573e-03
1.185999999999999943e+01,1.437332177038934677e-01
1.188000000000000078e+01,1.187996813893065357e-01
1.190000000000000036e+01,1.481356516317897665e-01
1.191999999999999993e+01,3.903423988098394526e-01
1.193999999999999950e+01,1.336428594203532272e-01
1.196000000000000085e+01,3.165546673234375108e-01
1.198000000000000043e+01,3.131575139629795834e-01
1.200000000000000000e+01,3.225917535420407822e-01
1.201999999999999957e+01,2.916730526627784315e-01
1.203999999999999915e+01,2.429138553435700454e-01
1.206000000000000050e+01,-3.020489381926552024e-04
1.208000000000000007e+01,2.949387120193664447e-01
1.209999999999999964e+01,1.634570298178146530e-01
1.212000000000000099e+01,-5.495956845157200926e-02
1.214000000000000057e+01,3.617148361830858638e-01
1.216000000000000014e+01,2.392783957783984061e-01
1.217999999999999972e+01,2.185084569896873496e-01
1.219999999999999929e+01,-2.537711726065718619e-03
1.222000000000000064e+01,1.835088865375905653e-01
1.224000000000000021e+01,2.773337803349726904e-01
1.225999999999999979e+01,2.930652452541770980e-02
1.228000000000000114e+01,-6.664502723680343355e-02
1.230000000000000071e+01,4.013295585161357204e-01
1.232000000000000028e+01,4.689396036194501405e-02
1.233999999999999986e+01,1.545721373093732198e-01
1.235999999999999943e+01,1.382364791558455264e-01
1.237999999999999901e+01,4.027524588754634594e-01
1.240000000000000036e+01,3.595680691557071040e-01
