# 2Theta,Intensity
1.000000000000000000e+01,3.741068353660751411e-01
1.001999999999999957e+01,2.807119000543092935e-01
1.003999999999999915e+01,5.513291508235953486e-01
1.006000000000000050e+01,6.073247297214889873e-01
1.008000000000000007e+01,2.177796840777715681e-01
1.009999999999999964e+01,1.872048494865264923e-01
1.011999999999999922e+01,5.780772236357812899e-01
1.014000000000000057e+01,5.722407258186987811e-01
1.016000000000000014e+01,7.062707879072930295e-01
1.017999999999999972e+01,4.119126961606571213e-01
1.019999999999999929e+01,5.285898588277899712e-01
1.022000000000000064e+01,3.658533052971270627e-01
1.024000000000000021e+01,2.268626178621160894e-01
1.025999999999999979e+01,4.270960617245742053e-01
1.027999999999999936e+01,3.519193501242951494e-01
1.030000000000000071e+01,4.345546303736407268e-01
1.032000000000000028e+01,5.121595825367246668e-01
1.033999999999999986e+01,4.657174133571888586e-01
1.035999999999999943e+01,2.974769830908334800e-01
1.038000000000000078e+01,1.580226866616519232e-01
1.040000000000000036e+01,4.956493071297276565e-01
1.041999999999999993e+01,4.123414991340756397e-01
1.043999999999999950e+01,2.825636174702381154e-01
1.046000000000000085e+01,4.316496127652653669e-01
1.048000000000000043e+01,4.120938341996038257e-01
1.050000000000000000e+01,3.981514933481943852e-01
1.051999999999999957e+01,5.478986681458055674e-01
1.053999999999999915e+01,2.033184322892699625e-01
1.056000000000000050e+01,2.831814730826085480e-01
1.058000000000000007e+01,4.331764436778041683e-01
1.059999999999999964e+01,2.991116620861761222e-01
1.061999999999999922e+01,2.723674860239034268e-01
1.064000000000000057e+01,4.329357468654844721e-01
1.066000000000000014e+01,4.852626121296788053e-01
1.067999999999999972e+01,4.448026577189259645e-01
1.069999999999999929e+01,1.972382504199003683e-01
1.072000000000000064e+01,4.980633012582319497e-01
1.074000000000000021e+01,5.040122532746036388e-01
1.075999999999999979e+01,3.805394694936155564e-01
1.077999999999999936e+01,3.679022669771853660e-01
1.080000000000000071e+01,6.181916664463661393e-01
1.082000000000000028e+01,2.893911033845109615e-01
1.083999999999999986e+01,3.458280200091198853e-01
1.085999999999999943e+01,2.481753491220539676e-01
1.088000000000000078e+01,5.008113348756548788e-01
1.090000000000000036e+01,2.819975473006720024e-01
1.091999999999999993e+01,4.659712402905973327e-01
1.093999999999999950e+01,5.488254774065833841e-01
1.096000000000000085e+01,4.622742183091522183e-01
1.098000000000000043e+01,2.999464917645177087e-01
1.100000000000000000e+01,4.016823038639648069e-01
1.101999999999999957e+01,6.667887614147874897e-01
1.103999999999999915e+01,4.784743024826422220e-01
1.106000000000000050e+01,3.544740996451119508e-01
1.108000000000000007e+01,3.121925992214986123e-01
1.109999999999999964e+01,6.152219706261811139e-01
1.112000000000000099e+01,1.399014911685669271e-01
1.114000000000000057e+01,6.939263215550646180e-01
1.116000000000000014e+01,3.267210772455265699e-01
1.117999999999999972e+01,3.503683522333091993e-01
1.119999999999999929e+01,5.891527113449170905e-01
1.122000000000000064e+01,4.085229292442343896e-01
1.124000000000000021e+01,5.115170454985354942e-01
1.125999999999999979e+01,6.341237495737865881e-01
1.127999999999999936e+01,3.767383436375282835e-01
1.130000000000000071e+01,3.645796375878609941e-01
1.132000000000000028e+01,2.765895600458464498e-01
1.133999999999999986e+01,2.782245494786317330e-01
1.135999999999999943e+01,3.638987111327260382e-01
1.138000000000000078e+01,3.891936643426661124e-01
1.140000000000000036e+01,3.823372619657260385e-01
1.141999999999999993e+01,5.689282960015796808e-01
1.143999999999999950e+01,3.094641770147315563e-01
1.146000000000000085e+01,2.289350657328322880e-01
1.148000000000000043e+01,4.138476648417678261e-01
1.150000000000000000e+01,4.592411612423801248e-01
1.151999999999999957e+01,4.076465034238536678e-01
1.153999999999999915e+01,3.778399477128154271e-01
1.156000000000000050e+01,6.614199608692139520e-01
1.158000000000000007e+01,5.151755678914139436e-01
1.159999999999999964e+01,3.734193407267110132e-01
1.162000000000000099e+01,3.381025333339308103e-01
1.164000000000000057e+01,1.316036475420014895e-01
1.166000000000000014e+01,4.112222022305146996e-01
1.167999999999999972e+01,2.123872698610773102e-01
1.169999999999999929e+01,2.838547420338115579e-01
1.172000000000000064e+01,4.121772623711524308e-01
1.174000000000000021e+01,3.763370261242983683e-01
1.175999999999999979e+01,7.009887951309351495e-01
1.177999999999999936e+01,5.111744988431931036e-01
1.180000000000000071e+01,5.977445836602105489e-01
1.182000000000000028e+01,2.724687586042631726e-01
1.183999999999999986e+01,5.575914723207665569e-01
1.185999999999999943e+01,1.549535680499071200e-01
1.188000000000000078e+01,4.096972670756550139e-01
1.190000000000000036e+01,3.705875111205135797e-01
1.191999999999999993e+01,3.345899817614198524e-01
1.193999999999999950e+01,2.759118426725605255e-01
1.196000000000000085e+01,3.704417183552094484e-01
1.198000000000000043e+01,4.549274099554150297e-01
1.200000000000000000e+01,2.255456879358576361e-01
1.201999999999999957e+01,3.774942412297054850e-01
1.203999999999999915e+01,5.157501026157793600e-01
1.206000000000000050e+01,3.359677584326754007e-01
