# 2Theta,Intensity
1.000000000000000000e+01,5.004066372643429794e+00
1.001999999999999957e+01,5.562727593813604265e+00
1.003999999999999915e+01,5.175932364962497090e+00
1.006000000000000050e+01,5.461301834283077028e+00
1.008000000000000007e+01,5.182785725115134134e+00
1.009999999999999964e+01,5.672311619963705809e+00
1.011999999999999922e+01,4.844993263535108952e+00
1.014000000000000057e+01,5.263465646866760217e+00
1.016000000000000014e+01,5.566103995020966977e+00
1.017999999999999972e+01,5.259150827520228333e+00
1.019999999999999929e+01,5.476735653702082374e+00
1.022000000000000064e+01,5.123749708239807354e+00
1.024000000000000021e+01,4.989007292117460857e+00
1.025999999999999979e+01,4.979262363635476696e+00
1.027999999999999936e+01,5.118835948583575046e+00
1.030000000000000071e+01,5.066774724461104107e+00
1.032000000000000028e+01,5.175332143588160960e+00
1.033999999999999986e+01,4.766358596818673021e+00
1.035999999999999943e+01,5.580225582024137765e+00
1.038000000000000078e+01,5.511233703842539633e+00
1.040000000000000036e+01,5.527246796999834899e+00
1.041999999999999993e+01,4.762843089886568571e+00
1.043999999999999950e+01,4.530264699512592586e+00
1.046000000000000085e+01,4.682461187398754277e+00
1.048000000000000043e+01,5.729470173376554065e+00
1.050000000000000000e+01,5.156759900803643326e+00
1.051999999999999957e+01,4.879854004847410387e+00
1.053999999999999915e+01,4.936883268861222085e+00
1.056000000000000050e+01,4.843090040008283026e+00
1.058000000000000007e+01,5.949861439834617016e+00
1.059999999999999964e+01,4.714643672096816118e+00
1.061999999999999922e+01,5.541353998902042832e+00
1.064000000000000057e+01,5.563083058555619687e+00
1.066000000000000014e+01,4.321270526088656361e+00
1.067999999999999972e+01,4.681340689839635694e+00
1.069999999999999929e+01,5.186790868472807681e+00
1.072000000000000064e+01,5.341832203511966526e+00
1.074000000000000021e+01,4.923254924065221694e+00
1.075999999999999979e+01,5.230313966126329817e+00
1.077999999999999936e+01,5.850529321818888739e+00
1.080000000000000071e+01,5.037706877630769853e+00
1.082000000000000028e+01,5.621931721747909450e+00
1.083999999999999986e+01,4.721296802195578124e+00
1.085999999999999943e+01,4.603440706749319489e+00
1.088000000000000078e+01,4.868024173307396119e+00
1.090000000000000036e+01,5.380950754522481283e+00
1.091999999999999993e+01,5.200440992687870079e+00
1.093999999999999950e+01,4.710700404440150812e+00
1.096000000000000085e+01,4.775896912560964935e+00
1.098000000000000043e+01,5.128440986835932414e+00
1.100000000000000000e+01,5.273845416874793912e+00
1.101999999999999957e+01,5.163572037513238122e+00
1.103999999999999915e+01,5.244299099069775316e+00
1.106000000000000050e+01,4.954677994501442306e+00
1.108000000000000007e+01,5.095532529528745691e+00
1.109999999999999964e+01,5.754799541097738391e+00
1.112000000000000099e+01,5.013441092046185155e+00
1.114000000000000057e+01,5.511687808117613940e+00
1.116000000000000014e+01,5.679260324284832961e+00
1.117999999999999972e+01,4.880990527463277218e+00
1.119999999999999929e+01,5.386241160650555138e+00
1.122000000000000064e+01,4.538009067981593425e+00
1.124000000000000021e+01,4.986857995303804358e+00
1.125999999999999979e+01,4.581425023629836168e+00
1.127999999999999936e+01,4.825340540257697874e+00
1.130000000000000071e+01,4.845314928993437853e+00
1.132000000000000028e+01,5.620206825833180098e+00
1.133999999999999986e+01,5.025698937868422256e+00
1.135999999999999943e+01,4.525255271557912629e+00
1.138000000000000078e+01,4.894674692006185879e+00
1.140000000000000036e+01,5.767224288778687757e+00
1.141999999999999993e+01,5.208291653525368936e+00
1.143999999999999950e+01,5.405002975781882490e+00
1.146000000000000085e+01,5.960903241719201162e+00
1.148000000000000043e+01,6.398641132736562653e+00
1.150000000000000000e+01,5.948839752547661952e+00
1.151999999999999957e+01,6.598575831551681148e+00
1.153999999999999915e+01,7.769290820692054567e+00
1.156000000000000050e+01,1.217854827960211495e+01
1.158000000000000007e+01,2.605595725204740631e+01
1.159999999999999964e+01,5.588957245753921654e+01
1.162000000000000099e+01,8.170567291936973220e+01
1.164000000000000057e+01,6.242845038044264783e+01
1.166000000000000014e+01,3.087643456382433271e+01
1.167999999999999972e+01,1.249433243102392765e+01
1.169999999999999929e+01,7.399113522754291239e+00
1.172000000000000064e+01,6.138573268917122405e+00
1.174000000000000021e+01,6.259019584436971151e+00
1.175999999999999979e+01,6.105798888204560626e+00
1.177999999999999936e+01,5.728679262494387636e+00
1.180000000000000071e+01,5.934287746274359954e+00
1.182000000000000028e+01,6.479545876854846398e+00
1.183999999999999986e+01,5.451063408670924204e+00
1.185999999999999943e+01,4.693232307416480786e+00
1.188000000000000078e+01,4.776670181479176769e+00
1.190000000000000036e+01,4.731585141339341050e+00
1.191999999999999993e+01,5.516351496657266651e+00
1.193999999999999950e+01,5.125439396563197469e+00
1.196000000000000085e+01,5.076022415986057190e+00
1.198000000000000043e+01,5.178633293009368366e+00
1.200000000000000000e+01,4.953155416591974003e+00
1.201999999999999957e+01,5.272583185544730711e+00
1.203999999999999915e+01,5.454128034737459885e+00
1.206000000000000050e+01,5.191182016864104298e+00
1.208000000000000007e+01,4.673456725897766617e+00
1.209999999999999964e+01,4.943712965304120743e+00
1.212000000000000099e+01,4.954576086556443215e+00
1.214000000000000057e+01,5.691241179374939563e+00
1.216000000000000014e+01,4.920562712594966470e+00
1.217999999999999972e+01,5.728019574495692545e+00
1.219999999999999929e+01,5.467101892574139477e+00
