# 2Theta,Intensity
1.000000000000000000e+01,-2.198614636203284345e-01
1.001999999999999957e+01,1.837867508991601895e-01
1.003999999999999915e+01,1.390665332370465135e-01
1.006000000000000050e+01,2.421258754381171163e-01
1.008000000000000007e+01,6.125572467614003036e-02
1.009999999999999964e+01,1.221465052839228599e-01
1.011999999999999922e+01,3.079548506800315888e-01
1.014000000000000057e+01,-9.512040517437855836e-03
1.016000000000000014e+01,-1.089555463827370646e-01
1.017999999999999972e+01,8.301639797795071218e-02
1.019999999999999929e+01,-1.102757474312978381e-01
1.022000000000000064e+01,9.995759178389401756e-02
1.024000000000000021e+01,-2.045213683344042355e-02
1.025999999999999979e+01,2.109591874902564113e-01
1.027999999999999936e+01,1.743213596765841866e-01
1.030000000000000071e+01,5.579654947637460033e-02
1.032000000000000028e+01,1.194031075304054085e-01
1.033999999999999986e+01,-8.200342780709382606e-02
1.035999999999999943e+01,-9.219909131546674685e-02
1.038000000000000078e+01,2.331300497380719705e-01
1.040000000000000036e+01,8.526712654613834153e-02
1.041999999999999993e+01,3.227345033142028224e-02
1.043999999999999950e+01,1.887586529604309560e-01
1.046000000000000085e+01,-1.669092817598711864e-01
1.048000000000000043e+01,-1.423768835663064003e-01
1.050000000000000000e+01,-4.779374101946450709e-03
1.051999999999999957e+01,4.046398791550684382e-02
1.053999999999999915e+01,-1.299975117938580171e-02
1.056000000000000050e+01,2.494671913266554436e-02
1.058000000000000007e+01,6.121079403884481518e-02
1.059999999999999964e+01,-3.754737293357020972e-02
1.061999999999999922e+01,9.797168343497304754e-02
1.064000000000000057e+01,1.675703176912246017e-01
1.066000000000000014e+01,2.439479364094601296e-02
1.067999999999999972e+01,1.629950584545074854e-01
1.069999999999999929e+01,-1.043474279940845156e-01
1.072000000000000064e+01,3.485767105018922063e-02
1.074000000000000021e+01,-1.181532069794124784e-01
1.075999999999999979e+01,3.215308107048519409e-02
1.077999999999999936e+01,1.774598369820984123e-01
1.080000000000000071e+01,3.046889257931334125e-02
1.082000000000000028e+01,1.792647447705134900e-01
1.083999999999999986e+01,2.649139846768743256e-01
1.085999999999999943e+01,1.239577281850716278e-01
1.088000000000000078e+01,-5.651104911183977425e-02
1.090000000000000036e+01,7.489454998917118023e-02
1.091999999999999993e+01,3.943395464402474349e-02
1.093999999999999950e+01,5.211076762408784618e-02
1.096000000000000085e+01,5.106151211565717468e-02
1.098000000000000043e+01,2.252571279189748144e-01
1.100000000000000000e+01,-2.989140338042574688e-02
1.101999999999999957e+01,1.352646075029300676e-01
1.103999999999999915e+01,2.251359163200096145e-02
1.106000000000000050e+01,-1.069339909977369552e-01
1.108000000000000007e+01,1.063085622055945090e-01
1.109999999999999964e+01,-4.017928517528606552e-02
1.112000000000000099e+01,1.645825484180371834e-01
1.114000000000000057e+01,1.292330236378580188e-01
1.116000000000000014e+01,-6.573785507827170638e-02
1.117999999999999972e+01,1.225951025172977993e-01
1.119999999999999929e+01,2.698164809159325078e-02
1.122000000000000064e+01,1.465599608418436881e-02
1.124000000000000021e+01,2.771831033595706928e-01
