# 2Theta,Intensity
1.000000000000000000e+01,2.173597252027031912e-01
1.001999999999999957e+01,5.807689561384538762e-02
1.003999999999999915e+01,1.005865153417967034e-01
1.006000000000000050e+01,8.893286876308609257e-02
1.008000000000000007e+01,3.326550995509899855e-01
1.009999999999999964e+01,2.161465438445234477e-01
1.011999999999999922e+01,3.039194447986881542e-01
1.014000000000000057e+01,3.018177128276438026e-01
1.016000000000000014e+01,5.892112685789059334e-01
1.017999999999999972e+01,1.590318126180808034e-01
1.019999999999999929e+01,1.398581687538588691e-01
1.022000000000000064e+01,3.563321814054137282e-01
1.024000000000000021e+01,4.164816782276983820e-01
1.025999999999999979e+01,1.866360341738339257e-01
1.027999999999999936e+01,1.938323362265579886e-01
1.030000000000000071e+01,3.468016915218536944e-01
1.032000000000000028e+01,1.806993149635176821e-01
1.033999999999999986e+01,6.318093317966895495e-02
1.035999999999999943e+01,1.703037661451860529e-01
1.038000000000000078e+01,4.031174289898856733e-01
1.040000000000000036e+01,7.027845316368643014e-02
1.041999999999999993e+01,2.122067762761597476e-01
1.043999999999999950e+01,3.582893948932894257e-01
1.046000000000000085e+01,2.812689961234040026e-01
1.048000000000000043e+01,1.835038954372440467e-01
1.050000000000000000e+01,3.365307801050820280e-01
1.051999999999999957e+01,3.759311117455585438e-01
1.053999999999999915e+01,2.764884105050144369e-01
1.056000000000000050e+01,5.000186825721416595e-01
1.058000000000000007e+01,-3.079887650447250824e-02
1.059999999999999964e+01,1.085519109047689834e-01
1.061999999999999922e+01,1.688724128892661325e-01
1.064000000000000057e+01,2.594335270401847970e-01
1.066000000000000014e+01,3.497596716512306747e-01
1.067999999999999972e+01,1.784997869259693226e-01
1.069999999999999929e+01,3.689750604091631137e-01
1.072000000000000064e+01,3.914381534708654686e-01
1.074000000000000021e+01,1.694058866164041555e-01
1.075999999999999979e+01,-1.228087176071030254e-02
1.077999999999999936e+01,2.111580989038924216e-01
1.080000000000000071e+01,3.972070387898431476e-01
1.082000000000000028e+01,2.630430042467843954e-01
1.083999999999999986e+01,3.480641873297847799e-01
1.085999999999999943e+01,3.261148346539246567e-01
1.088000000000000078e+01,3.064865564975248757e-01
