# 2Theta,Intensity
1.000000000000000000e+01,1.264872688010821034e-01
1.001999999999999957e+01,4.473137208851998836e-02
1.003999999999999915e+01,2.260669603381671722e-01
1.006000000000000050e+01,2.905213499985054293e-01
1.008000000000000007e+01,2.480459192396059498e-01
1.009999999999999964e+01,2.865008329982077218e-01
1.011999999999999922e+01,2.732767958665713315e-01
1.014000000000000057e+01,2.495863358188150083e-01
1.016000000000000014e+01,2.180359516540691378e-01
1.017999999999999972e+01,6.464299229815609338e-02
1.019999999999999929e+01,1.548739846839459477e-01
1.022000000000000064e+01,1.776537402603286797e-01
1.024000000000000021e+01,1.859552194790234925e-01
1.025999999999999979e+01,2.300654214302554623e-01
1.027999999999999936e+01,5.227057190033672640e-01
1.030000000000000071e+01,2.795225945930088218e-01
1.032000000000000028e+01,3.366143332832792767e-01
1.033999999999999986e+01,2.288001598177772378e-01
1.035999999999999943e+01,3.226716544745130144e-01
1.038000000000000078e+01,2.479731952871876144e-01
1.040000000000000036e+01,3.014956079651607279e-01
1.041999999999999993e+01,2.245151521770626935e-01
1.043999999999999950e+01,3.056894588909684352e-01
1.046000000000000085e+01,2.149451017635156946e-01
1.048000000000000043e+01,1.520075200219818401e-01
1.050000000000000000e+01,2.357988406427805050e-01
1.051999999999999957e+01,4.772274532576207262e-01
1.053999999999999915e+01,8.680080661022133992e-02
1.056000000000000050e+01,2.556871396852322675e-01
1.058000000000000007e+01,4.331619003133652113e-01
1.059999999999999964e+01,3.052102296075350218e-01
1.061999999999999922e+01,3.807158989017766504e-01
1.064000000000000057e+01,-2.972611564884717131e-02
1.066000000000000014e+01,2.717812288982115465e-01
1.067999999999999972e+01,8.882217275340667517e-02
1.069999999999999929e+01,1.611003363966465318e-01
1.072000000000000064e+01,1.968816684865808131e-01
1.074000000000000021e+01,2.120784001325959345e-01
1.075999999999999979e+01,2.822558641727245243e-01
1.077999999999999936e+01,5.056452192322874462e-01
1.080000000000000071e+01,3.573337111448378622e-01
1.082000000000000028e+01,3.313606309132419714e-01
1.083999999999999986e+01,2.408035267127666690e-01
1.085999999999999943e+01,3.976677491363867500e-01
1.088000000000000078e+01,2.107049669631951283e-01
1.090000000000000036e+01,9.666939808385527355e-02
1.091999999999999993e+01,9.987978762837047830e-02
1.093999999999999950e+01,4.573636793967428837e-01
1.096000000000000085e+01,2.208086823044000391e-01
1.098000000000000043e+01,2.423456496614957989e-01
1.100000000000000000e+01,3.230290770986887217e-01
1.101999999999999957e+01,9.733682232999631145e-02
1.103999999999999915e+01,3.962313396161896151e-01
1.106000000000000050e+01,5.761698666620805875e-01
1.108000000000000007e+01,1.560062550722086938e-01
1.109999999999999964e+01,5.057736957727830551e-02
1.112000000000000099e+01,1.702127932952979816e-01
1.114000000000000057e+01,1.669949930403162863e-01
1.116000000000000014e+01,6.583027499772922675e-02
1.117999999999999972e+01,3.092654200554280641e-01
1.119999999999999929e+01,2.397874140284226852e-01
1.122000000000000064e+01,6.608331147688098484e-02
1.124000000000000021e+01,1.250951655931517581e-01
1.125999999999999979e+01,1.818741328689274794e-01
1.127999999999999936e+01,1.769032885648968434e-01
1.130000000000000071e+01,1.659138813408037594e-01
1.132000000000000028e+01,4.806958518421772797e-01
1.133999999999999986e+01,3.053282608462938308e-01
1.135999999999999943e+01,2.344365776167771642e-01
1.138000000000000078e+01,3.253344375620585427e-01
1.140000000000000036e+01,3.022691929677296940e-01
1.141999999999999993e+01,1.753475356804308771e-01
1.143999999999999950e+01,3.458509349130731159e-01
1.146000000000000085e+01,1.606069369579816719e-01
1.148000000000000043e+01,2.156619147282346771e-01
1.150000000000000000e+01,2.671911569227314320e-01
1.151999999999999957e+01,1.982408685747310551e-01
1.153999999999999915e+01,9.741491301543146741e-02
1.156000000000000050e+01,1.308702102726670979e-01
1.158000000000000007e+01,1.440098644810531014e-01
1.159999999999999964e+01,3.970377238598073455e-01
1.162000000000000099e+01,2.426134255375975435e-01
1.164000000000000057e+01,2.126967405645493470e-01
1.166000000000000014e+01,3.308140383224963954e-01
1.167999999999999972e+01,1.652122294528808877e-01
1.169999999999999929e+01,1.017764206883287892e-01
1.172000000000000064e+01,2.228624039141949009e-01
1.174000000000000021e+01,1.566063952295575767e-01
1.175999999999999979e+01,2.352380124101428605e-01
1.177999999999999936e+01,2.489294495316358644e-02
1.180000000000000071e+01,5.557015456804636870e-03
1.182000000000000028e+01,7.523227229876086608e-02
1.183999999999999986e+01,1.846444017027313311e-01
1.185999999999999943e+01,1.626853702759427367e-01
1.188000000000000078e+01,2.125545499287575246e-01
1.190000000000000036e+01,-1.194771247413761173e-01
1.191999999999999993e+01,-1.814327704582993639e-02
1.193999999999999950e+01,1.251272647925297798e-01
1.196000000000000085e+01,3.717923745402827440e-01
1.198000000000000043e+01,1.649265266471904579e-01
1.200000000000000000e+01,3.213924672988999753e-01
1.201999999999999957e+01,2.739791896577507546e-01
1.203999999999999915e+01,9.696327081107539159e-02
1.206000000000000050e+01,2.491496646765958278e-01
1.208000000000000007e+01,3.769583831216756220e-01
1.209999999999999964e+01,3.978479520249438295e-01
1.212000000000000099e+01,1.578162377375957881e-02
1.214000000000000057e+01,3.032870863531356709e-01
1.216000000000000014e+01,2.233104545538638630e-01
1.217999999999999972e+01,2.041690782869172438e-01
1.219999999999999929e+01,3.641761250559749086e-01
1.222000000000000064e+01,1.605196019546736019e-01
1.224000000000000021e+01,2.748257186119684170e-01
1.225999999999999979e+01,1.678642248408902804e-01
1.228000000000000114e+01,2.094216859563711175e-01
1.230000000000000071e+01,2.910518204220874372e-01
1.232000000000000028e+01,2.897817235437720740e-01
1.233999999999999986e+01,1.460511943315850047e-01
1.235999999999999943e+01,4.054466687885567300e-01
1.237999999999999901e+01,3.177738254931712358e-01
1.240000000000000036e+01,1.280808630441078177e-01
1.241999999999999993e+01,3.341471758009165183e-01
1.243999999999999950e+01,2.303821668732218275e-01
1.246000000000000085e+01,2.102275492847048566e-01
1.248000000000000043e+01,1.500096251350591936e-01
1.250000000000000000e+01,1.573117987426997655e-01
1.251999999999999957e+01,1.008960495556857628e-01
1.253999999999999915e+01,5.690697221519907395e-02
1.256000000000000050e+01,3.841655901644195348e-01
1.258000000000000007e+01,2.152808593365699297e-01
1.259999999999999964e+01,1.922656856617624144e-01
1.262000000000000099e+01,8.462970938073487159e-02
1.264000000000000057e+01,1.356312382136033723e-01
1.266000000000000014e+01,2.018442877958973869e-01
1.267999999999999972e+01,1.968255714357491082e-01
1.269999999999999929e+01,1.304360154994346765e-01
1.272000000000000064e+01,2.621148261743722063e-01
1.274000000000000021e+01,2.094003956852227011e-01
1.275999999999999979e+01,3.250572939888591861e-01
1.278000000000000114e+01,2.862914450431376379e-01
1.280000000000000071e+01,3.414800425780859516e-01
1.282000000000000028e+01,2.250216897619556899e-01
1.283999999999999986e+01,4.847406933950495489e-01
1.285999999999999943e+01,1.021714481123443818e-01
1.287999999999999901e+01,2.544645884679704317e-01
1.290000000000000036e+01,1.894526976311685096e-01
1.291999999999999993e+01,6.295950262055957647e-02
1.293999999999999950e+01,1.391965641701610745e-01
1.296000000000000085e+01,1.826712479826666791e-01
1.298000000000000043e+01,3.690497591030325597e-01
1.300000000000000000e+01,-4.236443539555561494e-02
1.301999999999999957e+01,3.832784577567737716e-01
1.303999999999999915e+01,3.817671966483970336e-01
1.306000000000000050e+01,8.579792961420489028e-02
1.308000000000000007e+01,1.068361212968961388e-01
1.309999999999999964e+01,2.094522202071302519e-01
1.312000000000000099e+01,1.125289151656934800e-01
1.314000000000000057e+01,2.869626410990457899e-01
1.316000000000000014e+01,3.300529516184069201e-01
1.317999999999999972e+01,1.847601897698696871e-01
1.319999999999999929e+01,2.086988034400945879e-01
1.322000000000000064e+01,2.210963999205193542e-01
1.324000000000000021e+01,1.372407940911771485e-01
1.325999999999999979e+01,-2.026882107845024567e-02
1.328000000000000114e+01,2.369302135543692733e-01
1.330000000000000071e+01,2.328403831441729910e-01
1.332000000000000028e+01,3.981103796544042117e-01
1.333999999999999986e+01,2.359226110549940136e-01
1.335999999999999943e+01,3.069714676654695662e-01
1.337999999999999901e+01,6.822700894525639444e-03
1.340000000000000036e+01,3.174080665255062383e-01
1.341999999999999993e+01,2.734357955429718712e-01
1.343999999999999950e+01,1.877643903288220284e-01
1.346000000000000085e+01,2.926470921118720647e-01
1.348000000000000043e+01,1.473711577218542734e-01
1.350000000000000000e+01,1.168074539239850745e-01
1.351999999999999957e+01,1.120709418002894947e-01
1.353999999999999915e+01,1.048445563151894355e-01
1.356000000000000050e+01,1.820380763629736720e-01
1.358000000000000007e+01,1.804020883153977794e-01
1.359999999999999964e+01,2.351214868887271103e-01
1.362000000000000099e+01,9.387584861665224101e-02
1.364000000000000057e+01,5.165257057911999336e-03
1.366000000000000014e+01,1.273763425006070038e-01
1.367999999999999972e+01,2.036127479791013384e-01
1.369999999999999929e+01,2.503167801092820999e-01
1.372000000000000064e+01,1.200982757095834103e-01
1.374000000000000021e+01,-5.532794827668183202e-02
1.375999999999999979e+01,2.645827381928635424e-01
1.378000000000000114e+01,1.412267119365767098e-01
1.380000000000000071e+01,1.031605278706314577e-01
1.382000000000000028e+01,1.722169773247555491e-01
1.383999999999999986e+01,3.302580765989750478e-01
1.385999999999999943e+01,3.077518539061001590e-01
1.387999999999999901e+01,-7.547924682485990591e-03
1.390000000000000036e+01,3.480692199178367918e-01
1.391999999999999993e+01,3.128986480459267638e-01
1.393999999999999950e+01,1.931225059148331258e-01
1.396000000000000085e+01,2.977675773000684201e-01
1.398000000000000043e+01,3.363047646739411034e-01
1.400000000000000000e+01,3.056085751109389667e-02
1.401999999999999957e+01,1.540671908583542971e-01
1.403999999999999915e+01,1.236217928536327282e-01
1.406000000000000050e+01,2.275895424937013634e-01
1.408000000000000007e+01,-4.693707505859356921e-02
1.409999999999999964e+01,2.598677670957084129e-01
1.412000000000000099e+01,8.774759864875776583e-02
1.414000000000000057e+01,9.501226016444704048e-02
1.416000000000000014e+01,2.056947254350698917e-01
1.417999999999999972e+01,1.872488397647470437e-01
1.419999999999999929e+01,1.127547655295091239e-01
1.421999999999999886e+01,2.208681272666165041e-01
1.424000000000000021e+01,1.043539763082582394e-01
1.425999999999999979e+01,1.732646062080818727e-01
1.428000000000000114e+01,1.060536475577920912e-01
1.430000000000000071e+01,1.055350913586209083e-01
1.432000000000000028e+01,4.163763163974281561e-02
1.433999999999999986e+01,7.005243410265506177e-02
1.435999999999999943e+01,2.536697562433746223e-01
1.437999999999999901e+01,5.142491198208102438e-02
1.440000000000000036e+01,3.374216494191268900e-01
1.441999999999999993e+01,2.536398823061526975e-01
1.444000000000000128e+01,1.394596359104077476e-01
1.446000000000000085e+01,2.857996409891390144e-01
1.448000000000000043e+01,1.771646456067925701e-01
1.450000000000000000e+01,2.266089630514034892e-01
1.451999999999999957e+01,8.593333542772764455e-02
1.453999999999999915e+01,3.426940399669874127e-02
1.456000000000000050e+01,8.713756688154507268e-02
1.458000000000000007e+01,2.525867299884743122e-01
1.460000000000000142e+01,3.265569979522508492e-01
1.462000000000000099e+01,1.794334070095545408e-01
1.464000000000000057e+01,1.769466598780041477e-01
1.466000000000000014e+01,4.052284635515085442e-01
1.467999999999999972e+01,1.915338725674427811e-01
1.469999999999999929e+01,3.569456749531519923e-01
1.471999999999999886e+01,2.495604057062875414e-01
1.474000000000000021e+01,1.620946338523476804e-01
1.475999999999999979e+01,2.974379115369534810e-01
1.478000000000000114e+01,1.520575113261671829e-01
1.480000000000000071e+01,3.343344300765300758e-01
1.482000000000000028e+01,1.172689875926377912e-01
1.483999999999999986e+01,1.756600134857574935e-01
1.485999999999999943e+01,1.200137584454178119e-01
1.487999999999999901e+01,2.019475098814492442e-01
1.490000000000000036e+01,3.838525475875872450e-01
1.491999999999999993e+01,3.753213301559432113e-01
1.494000000000000128e+01,9.145196868239284516e-02
1.496000000000000085e+01,1.923309409293711136e-01
1.498000000000000043e+01,3.864950993694420411e-01
1.500000000000000000e+01,2.856745164537691783e-01
1.501999999999999957e+01,3.592815995528758632e-01
1.503999999999999915e+01,1.504092546450148116e-01
1.506000000000000050e+01,2.273876440616620087e-01
1.508000000000000007e+01,3.485010242793084023e-01
1.510000000000000142e+01,1.935634478569953354e-01
1.512000000000000099e+01,1.549453200764816518e-01
1.514000000000000057e+01,1.510361098884963060e-01
1.516000000000000014e+01,3.528838859388722660e-01
1.517999999999999972e+01,3.329122909952104137e-01
1.519999999999999929e+01,2.110052585635729117e-01
1.521999999999999886e+01,1.822050132999131766e-01
1.524000000000000021e+01,4.915012733670133527e-02
1.525999999999999979e+01,3.490313743798643120e-01
1.528000000000000114e+01,-2.132283389728034662e-02
1.530000000000000071e+01,2.937126195172414245e-01
1.532000000000000028e+01,1.432139257455735670e-01
1.533999999999999986e+01,2.197493460705393087e-01
1.535999999999999943e+01,1.956526393046068568e-01
1.537999999999999901e+01,2.493693109724524903e-01
1.540000000000000036e+01,4.504732258387867394e-01
1.541999999999999993e+01,2.785195428754083102e-01
1.544000000000000128e+01,2.600285394790878279e-01
1.546000000000000085e+01,8.365909029792280294e-02
1.548000000000000043e+01,1.270993423095929664e-01
1.550000000000000000e+01,1.737611147036841053e-01
1.551999999999999957e+01,1.840260779464574503e-01
1.553999999999999915e+01,3.963372012966694391e-01
1.556000000000000050e+01,1.334695997363138376e-01
1.558000000000000007e+01,1.313987014385858965e-01
1.560000000000000142e+01,2.444900595059818216e-01
1.562000000000000099e+01,3.309225341183922309e-01
1.564000000000000057e+01,2.493073231570205051e-01
1.566000000000000014e+01,1.463063434985120148e-01
1.567999999999999972e+01,2.518142087414397268e-01
1.569999999999999929e+01,3.145251899356129033e-01
1.571999999999999886e+01,2.245402527521947744e-01
1.574000000000000021e+01,-1.907685160072722375e-02
1.575999999999999979e+01,4.567141788259943547e-01
1.578000000000000114e+01,3.170524384102458293e-01
1.580000000000000071e+01,1.682313282920388509e-01
1.582000000000000028e+01,3.611460140753398051e-01
1.583999999999999986e+01,2.235759378013930931e-01
1.585999999999999943e+01,1.044730480891871947e-02
1.587999999999999901e+01,2.903484708571731909e-01
1.590000000000000036e+01,8.851394530395437221e-02
1.591999999999999993e+01,2.813200038236697842e-01
1.594000000000000128e+01,1.954292426034268393e-01
1.596000000000000085e+01,2.322836325935179469e-01
1.598000000000000043e+01,3.847576080888379657e-01
1.600000000000000000e+01,3.763738691794830116e-01
1.601999999999999957e+01,8.492341082553635234e-02
1.603999999999999915e+01,1.112136303065073967e-01
1.606000000000000227e+01,1.252380971206699944e-01
1.607999999999999829e+01,2.226048572662495673e-01
1.610000000000000142e+01,-6.700412170885791663e-02
1.612000000000000099e+01,3.717408073238965827e-01
1.614000000000000057e+01,2.790657617016613079e-01
1.616000000000000014e+01,-3.810391646667281307e-02
1.617999999999999972e+01,-5.929746888129719395e-02
1.619999999999999929e+01,7.159165934888385430e-02
