# 2Theta,Intensity
1.000000000000000000e+01,2.699380457938784783e-01
1.001999999999999957e+01,5.059613138698381141e-01
1.003999999999999915e+01,9.833189658076191275e-02
1.006000000000000050e+01,1.434591029319988997e-01
1.008000000000000007e+01,2.289791623252437347e-01
1.009999999999999964e+01,5.660399563669300804e-02
1.011999999999999922e+01,-9.767440968555571312e-03
1.014000000000000057e+01,1.489526796570027067e-01
1.016000000000000014e+01,1.092030126679848778e-01
1.017999999999999972e+01,3.029729716346087343e-01
1.019999999999999929e+01,1.931645820836209726e-01
1.022000000000000064e+01,3.999720126802390752e-01
1.024000000000000021e+01,5.643031175235936336e-01
1.025999999999999979e+01,1.215714273091665076e-01
1.027999999999999936e+01,2.740085498944689335e-01
1.030000000000000071e+01,1.198013416978158108e-01
1.032000000000000028e+01,3.819129933722931747e-01
1.033999999999999986e+01,2.310744049347544793e-01
1.035999999999999943e+01,2.771152086233221179e-01
1.038000000000000078e+01,1.686384081518621791e-01
1.040000000000000036e+01,2.746065715037391830e-01
1.041999999999999993e+01,2.364900508056128614e-01
1.043999999999999950e+01,2.189105343154993666e-01
1.046000000000000085e+01,2.175931151062950319e-01
1.048000000000000043e+01,3.592399074224163491e-01
1.050000000000000000e+01,3.004997316448506650e-01
1.051999999999999957e+01,3.515396948717419146e-01
1.053999999999999915e+01,3.366930665236645970e-01
1.056000000000000050e+01,2.140433872002327764e-01
1.058000000000000007e+01,2.608563414080815046e-01
1.059999999999999964e+01,8.758455734142038540e-02
1.061999999999999922e+01,2.237947096596970553e-01
1.064000000000000057e+01,4.006342066261810442e-01
1.066000000000000014e+01,2.066523098670967895e-01
1.067999999999999972e+01,1.257299053119385612e-01
1.069999999999999929e+01,9.683400782359012637e-02
1.072000000000000064e+01,3.244583316446071342e-01
1.074000000000000021e+01,2.502125442086982066e-01
1.075999999999999979e+01,4.200337071508268294e-01
1.077999999999999936e+01,2.426274890437432885e-01
1.080000000000000071e+01,3.752283329460905925e-01
1.082000000000000028e+01,2.123969472533094871e-01
1.083999999999999986e+01,1.611412620944222551e-01
1.085999999999999943e+01,2.704285482963936227e-01
1.088000000000000078e+01,4.588220441749051859e-01
1.090000000000000036e+01,1.350692038985872312e-01
1.091999999999999993e+01,1.486447306176837124e-01
1.093999999999999950e+01,3.535976423529102464e-01
1.096000000000000085e+01,3.940120978946236030e-01
1.098000000000000043e+01,3.292376552097750486e-01
1.100000000000000000e+01,3.848217185752418334e-01
1.101999999999999957e+01,2.960364932881834887e-01
1.103999999999999915e+01,1.035215724756281541e-01
1.106000000000000050e+01,1.977607104230401924e-01
1.108000000000000007e+01,3.191687652688620647e-01
1.109999999999999964e+01,1.114893612121901773e-01
1.112000000000000099e+01,4.230301337623298963e-01
1.114000000000000057e+01,4.429838501538816975e-01
1.116000000000000014e+01,3.027978281271866412e-01
1.117999999999999972e+01,3.017359290775576963e-01
1.119999999999999929e+01,3.544963877313805911e-01
1.122000000000000064e+01,1.621250157483183074e-01
1.124000000000000021e+01,4.166704907863083562e-01
1.125999999999999979e+01,1.540160539584188026e-01
1.127999999999999936e+01,2.804523043751857569e-01
1.130000000000000071e+01,4.068222159782446390e-01
1.132000000000000028e+01,3.256707519627878300e-01
1.133999999999999986e+01,3.387826424368707290e-01
1.135999999999999943e+01,2.098157277554106581e-01
1.138000000000000078e+01,2.281254287515249723e-01
1.140000000000000036e+01,2.725710866418237788e-01
1.141999999999999993e+01,3.817575703566186696e-01
1.143999999999999950e+01,3.327633415387899474e-01
1.146000000000000085e+01,2.236586671863207143e-01
1.148000000000000043e+01,5.299841669503357888e-02
1.150000000000000000e+01,1.205701519806904598e-01
1.151999999999999957e+01,2.644762393052108029e-01
1.153999999999999915e+01,1.749235681113694152e-01
1.156000000000000050e+01,2.359990999308974602e-01
1.158000000000000007e+01,3.834153784103168094e-01
1.159999999999999964e+01,9.010395727261409637e-02
1.162000000000000099e+01,1.459354809012080034e-01
1.164000000000000057e+01,1.793572286879620836e-01
1.166000000000000014e+01,1.989248109103305406e-01
1.167999999999999972e+01,3.464861454774008642e-01
1.169999999999999929e+01,2.543604230783497178e-01
1.172000000000000064e+01,1.381592677221457899e-01
1.174000000000000021e+01,3.073306503262618894e-01
1.175999999999999979e+01,2.814698094676898465e-01
1.177999999999999936e+01,1.761767055163789286e-01
1.180000000000000071e+01,2.938104464856914899e-01
1.182000000000000028e+01,8.651287422585741960e-02
1.183999999999999986e+01,4.188245313126420788e-01
1.185999999999999943e+01,1.531706460161925687e-01
1.188000000000000078e+01,2.743253491021843127e-01
1.190000000000000036e+01,2.065425151990325781e-01
1.191999999999999993e+01,2.539686382653787988e-01
1.193999999999999950e+01,3.993648915243351583e-02
1.196000000000000085e+01,1.953439317341794379e-01
1.198000000000000043e+01,3.007321629622402570e-01
1.200000000000000000e+01,1.100856200804352647e-01
1.201999999999999957e+01,3.333847790761361174e-01
1.203999999999999915e+01,1.084891597970285698e-01
1.206000000000000050e+01,2.736968684201276369e-01
1.208000000000000007e+01,2.197074819956296721e-01
1.209999999999999964e+01,1.993125786816817568e-01
1.212000000000000099e+01,1.487217592280997980e-01
1.214000000000000057e+01,2.354340268002486358e-01
1.216000000000000014e+01,1.449150910626774147e-01
1.217999999999999972e+01,6.883508302775030729e-02
1.219999999999999929e+01,1.814549353742436755e-01
1.222000000000000064e+01,-3.713476920607566151e-02
1.224000000000000021e+01,3.030182051873649973e-01
1.225999999999999979e+01,4.730552405179253711e-02
1.228000000000000114e+01,1.964381482631752940e-01
1.230000000000000071e+01,1.060469756064332109e-01
1.232000000000000028e+01,2.321562475376794388e-01
1.233999999999999986e+01,5.117798279234767045e-02
1.235999999999999943e+01,8.662631974977294536e-02
1.237999999999999901e+01,5.279625664500712245e-01
1.240000000000000036e+01,4.897548964459030874e-01
1.241999999999999993e+01,1.448068560725452314e-01
1.243999999999999950e+01,3.444514016957237468e-01
1.246000000000000085e+01,3.659880853178828497e-01
1.248000000000000043e+01,3.204576490854257886e-01
1.250000000000000000e+01,1.023948261033396923e-01
1.251999999999999957e+01,2.794350966025984651e-01
1.253999999999999915e+01,3.152095972898533716e-01
1.256000000000000050e+01,2.334964863704121485e-01
1.258000000000000007e+01,2.387217061054679179e-01
1.259999999999999964e+01,2.693984111337555110e-01
1.262000000000000099e+01,4.296695681780474674e-01
1.264000000000000057e+01,3.570496011379111212e-01
1.266000000000000014e+01,1.577920309342104588e-01
1.267999999999999972e+01,2.291272029111572073e-01
1.269999999999999929e+01,4.515673585051627192e-01
1.272000000000000064e+01,-4.580904247251168376e-02
1.274000000000000021e+01,3.106015101934604394e-01
1.275999999999999979e+01,1.246875476816095007e-01
1.278000000000000114e+01,1.123821449082321178e-01
1.280000000000000071e+01,3.309481648472589743e-01
1.282000000000000028e+01,2.705809734586977489e-01
1.283999999999999986e+01,2.162704634133220949e-01
1.285999999999999943e+01,4.002436829794226436e-01
1.287999999999999901e+01,1.202133858035934616e-01
1.290000000000000036e+01,2.182926249353137893e-01
1.291999999999999993e+01,1.920326488275136134e-01
1.293999999999999950e+01,2.697019358126744315e-01
1.296000000000000085e+01,1.050036867329063456e-02
1.298000000000000043e+01,5.344909806167646993e-01
1.300000000000000000e+01,4.005151513591240775e-01
1.301999999999999957e+01,3.506690456354337182e-01
1.303999999999999915e+01,5.545042195633444367e-03
1.306000000000000050e+01,5.402161791706611149e-02
1.308000000000000007e+01,2.291396754372230227e-01
1.309999999999999964e+01,1.477195215630470460e-01
1.312000000000000099e+01,2.173826309517692124e-01
1.314000000000000057e+01,2.837753601768204237e-01
1.316000000000000014e+01,2.091747283881039143e-01
1.317999999999999972e+01,3.852460290123277398e-01
1.319999999999999929e+01,4.290627679902727643e-01
1.322000000000000064e+01,1.813802149970000499e-01
1.324000000000000021e+01,3.917937575900546920e-01
1.325999999999999979e+01,3.010709983092322295e-01
1.328000000000000114e+01,3.083531374294691818e-01
1.330000000000000071e+01,1.787053605792760513e-01
1.332000000000000028e+01,1.135799797232458774e-01
1.333999999999999986e+01,2.772053185719917587e-02
1.335999999999999943e+01,3.163252333624645973e-01
1.337999999999999901e+01,3.833206755070387994e-01
1.340000000000000036e+01,2.654942592170861371e-01
1.341999999999999993e+01,1.735948351450464500e-01
1.343999999999999950e+01,4.791103533535113201e-01
1.346000000000000085e+01,5.440430217368820431e-02
1.348000000000000043e+01,6.582236908116827212e-02
1.350000000000000000e+01,2.670012115879343839e-01
1.351999999999999957e+01,4.785942404966427310e-01
1.353999999999999915e+01,1.493879823561520548e-01
1.356000000000000050e+01,3.155542011538357006e-01
1.358000000000000007e+01,1.858424927099799062e-01
1.359999999999999964e+01,7.274062060602674851e-02
1.362000000000000099e+01,2.791763859510886792e-01
1.364000000000000057e+01,2.114820265898447738e-01
1.366000000000000014e+01,8.053152780779493369e-02
1.367999999999999972e+01,3.286718727517806693e-01
1.369999999999999929e+01,3.893277127713312691e-01
1.372000000000000064e+01,1.618225237060095800e-01
1.374000000000000021e+01,1.937217640893678927e-01
1.375999999999999979e+01,7.185601851762213332e-02
1.378000000000000114e+01,3.175399442453316623e-01
1.380000000000000071e+01,1.265194397743892862e-01
1.382000000000000028e+01,4.754039890789569789e-01
1.383999999999999986e+01,2.125483534541982023e-01
1.385999999999999943e+01,1.327479023020679827e-01
1.387999999999999901e+01,2.155098857204810758e-01
1.390000000000000036e+01,2.575976405787637757e-01
1.391999999999999993e+01,2.245649387574892020e-01
1.393999999999999950e+01,3.114113714615445172e-01
1.396000000000000085e+01,2.404088728368052041e-01
1.398000000000000043e+01,4.478612642313214431e-01
1.400000000000000000e+01,4.370185052376408530e-01
1.401999999999999957e+01,3.127449076487839874e-01
1.403999999999999915e+01,2.572903759018302927e-01
1.406000000000000050e+01,3.629550547437440100e-01
1.408000000000000007e+01,3.294672989289775256e-01
1.409999999999999964e+01,8.187912668216044965e-02
1.412000000000000099e+01,4.222010659339471839e-01
1.414000000000000057e+01,4.241185828714517103e-01
1.416000000000000014e+01,4.538120012005641968e-01
1.417999999999999972e+01,1.122617447064092389e+00
1.419999999999999929e+01,1.788742167818845097e+00
1.421999999999999886e+01,5.623844465853420793e+00
1.424000000000000021e+01,9.323355651838246771e+00
1.425999999999999979e+01,9.269164676271229197e+00
1.428000000000000114e+01,4.658030488493595911e+00
1.430000000000000071e+01,2.268746315670070235e+00
1.432000000000000028e+01,9.909445669112569854e-01
1.433999999999999986e+01,4.734224163935101815e-01
1.435999999999999943e+01,4.252370653510957332e-01
1.437999999999999901e+01,2.188310865083752110e-01
1.440000000000000036e+01,3.096461890430899921e-01
1.441999999999999993e+01,1.791436679087511918e-01
1.444000000000000128e+01,1.696432670871433068e-01
1.446000000000000085e+01,5.020233277438540531e-01
1.448000000000000043e+01,5.003378204486766956e-01
1.450000000000000000e+01,3.539290432039601808e-01
1.451999999999999957e+01,1.687997828938116729e-01
1.453999999999999915e+01,2.752018035795992246e-01
1.456000000000000050e+01,2.966857787716479788e-01
1.458000000000000007e+01,3.278487144080144966e-01
1.460000000000000142e+01,3.722400612824422472e-01
1.462000000000000099e+01,3.776948966375869854e-01
1.464000000000000057e+01,1.336902736413019543e-01
1.466000000000000014e+01,-6.623560577364118185e-02
1.467999999999999972e+01,2.104543263952114995e-01
1.469999999999999929e+01,2.087183537695372348e-01
1.471999999999999886e+01,2.112702087350056268e-01
1.474000000000000021e+01,2.684953865769409975e-01
1.475999999999999979e+01,3.373834969916527093e-01
1.478000000000000114e+01,1.852295444550541570e-01
1.480000000000000071e+01,1.040390214213999381e-01
1.482000000000000028e+01,1.138170782989687130e-01
1.483999999999999986e+01,1.607449981767032354e-01
1.485999999999999943e+01,2.311154023570113347e-01
1.487999999999999901e+01,3.463210533634747401e-01
1.490000000000000036e+01,2.665216246501673769e-01
1.491999999999999993e+01,3.203319035830161088e-01
1.494000000000000128e+01,3.555636211867965191e-01
1.496000000000000085e+01,1.630133904923724009e-01
1.498000000000000043e+01,4.524959322740715328e-01
1.500000000000000000e+01,2.691666399279542543e-01
1.501999999999999957e+01,2.034999864010378912e-01
1.503999999999999915e+01,-3.738048699280505094e-02
1.506000000000000050e+01,6.641719913016916332e-02
1.508000000000000007e+01,3.708541413414573884e-01
1.510000000000000142e+01,1.443547926015475436e-01
1.512000000000000099e+01,6.338813761444683781e-02
1.514000000000000057e+01,5.036086020729700907e-01
1.516000000000000014e+01,1.777448218551251069e-01
