# 2Theta,Intensity
1.000000000000000000e+01,-2.589932775245435553e-02
1.001999999999999957e+01,1.788850993892078522e-01
1.003999999999999915e+01,1.623221464382012535e-01
1.006000000000000050e+01,1.816283364675924383e-01
1.008000000000000007e+01,2.121594659546829076e-01
1.009999999999999964e+01,4.265253269582806039e-01
1.011999999999999922e+01,9.822870909376565929e-02
1.014000000000000057e+01,2.607205393845286046e-01
1.016000000000000014e+01,4.013028404010064026e-02
1.017999999999999972e+01,6.081746429983667102e-02
1.019999999999999929e+01,1.341544389174630092e-01
1.022000000000000064e+01,6.064010193281432759e-02
1.024000000000000021e+01,1.678308445419066652e-01
1.025999999999999979e+01,1.631528182500065760e-01
1.027999999999999936e+01,2.889398310213529136e-02
1.030000000000000071e+01,1.063188998230706755e-01
1.032000000000000028e+01,2.844449958825306934e-01
1.033999999999999986e+01,-4.133779327989024581e-03
1.035999999999999943e+01,2.138427655151359935e-02
1.038000000000000078e+01,3.593369790879035186e-01
1.040000000000000036e+01,4.120645076132875007e-01
1.041999999999999993e+01,1.641908812369543558e-01
1.043999999999999950e+01,-9.924959213419436155e-02
1.046000000000000085e+01,-1.935398682337703957e-01
1.048000000000000043e+01,1.891965706054977436e-01
1.050000000000000000e+01,1.722599685118774981e-01
1.051999999999999957e+01,1.513209920867842895e-01
1.053999999999999915e+01,2.166106985230617232e-01
1.056000000000000050e+01,8.191559781704743637e-02
1.058000000000000007e+01,1.370765247033133571e-01
1.059999999999999964e+01,1.759775338976997949e-01
1.061999999999999922e+01,4.252051178263720477e-01
1.064000000000000057e+01,6.553478041306343149e-02
1.066000000000000014e+01,2.802354871756176924e-01
1.067999999999999972e+01,3.242606647984409562e-01
1.069999999999999929e+01,2.132309850716547321e-03
1.072000000000000064e+01,3.639029924749271894e-01
1.074000000000000021e+01,1.024635897173706983e-01
1.075999999999999979e+01,2.610196887976721364e-02
1.077999999999999936e+01,1.633357702825757041e-01
1.080000000000000071e+01,1.557520735201465556e-01
1.082000000000000028e+01,9.712690193994320820e-02
1.083999999999999986e+01,1.981680467122210187e-01
1.085999999999999943e+01,3.738278061116083462e-02
1.088000000000000078e+01,1.039863074574981644e-01
1.090000000000000036e+01,1.594857456765795267e-01
1.091999999999999993e+01,2.853742582599680389e-01
1.093999999999999950e+01,2.531346258731877463e-01
1.096000000000000085e+01,-2.588764878170466896e-02
1.098000000000000043e+01,1.349101045180584324e-01
1.100000000000000000e+01,-5.210781842936267061e-03
1.101999999999999957e+01,1.886098797625214152e-01
1.103999999999999915e+01,-5.136303730801085321e-02
1.106000000000000050e+01,-2.227513798223496044e-02
1.108000000000000007e+01,5.083061032426013925e-01
1.109999999999999964e+01,3.072174867591687120e-01
1.112000000000000099e+01,2.822263778510211152e-01
1.114000000000000057e+01,2.748837751906669236e-01
1.116000000000000014e+01,1.233806498295844101e-01
1.117999999999999972e+01,6.716350441708082708e-02
1.119999999999999929e+01,1.590021254583438015e-01
1.122000000000000064e+01,-1.089633682904548803e-02
1.124000000000000021e+01,8.991990203328203979e-02
1.125999999999999979e+01,4.477288861109585683e-01
1.127999999999999936e+01,1.009766565798353583e-01
1.130000000000000071e+01,2.017157520830743511e-01
1.132000000000000028e+01,1.469625681909245973e-01
1.133999999999999986e+01,1.455959112501524211e-01
1.135999999999999943e+01,-2.646116971273954933e-03
1.138000000000000078e+01,1.517494337609396338e-01
1.140000000000000036e+01,1.826557327340156966e-01
1.141999999999999993e+01,-3.575623586169861950e-02
