# 2Theta,Intensity
1.000000000000000000e+01,4.533793606331611992e-01
1.001999999999999957e+01,2.994853876075320720e-01
1.003999999999999915e+01,3.276939360356419528e-01
1.006000000000000050e+01,2.686322073289866830e-01
1.008000000000000007e+01,4.013643177962894493e-01
1.009999999999999964e+01,3.950115304295706564e-01
1.011999999999999922e+01,2.506201378560466986e-01
1.014000000000000057e+01,4.614339762480476614e-01
1.016000000000000014e+01,3.278999819949449113e-01
1.017999999999999972e+01,4.144668147059880625e-01
1.019999999999999929e+01,7.368496809536159153e-01
1.022000000000000064e+01,3.237617825689222406e-01
1.024000000000000021e+01,1.893582066075596704e-01
1.025999999999999979e+01,7.086533681361553150e-01
1.027999999999999936e+01,2.816408629861766877e-01
1.030000000000000071e+01,4.305663151579822157e-01
1.032000000000000028e+01,4.303320465084271018e-01
1.033999999999999986e+01,5.440858047663647001e-01
1.035999999999999943e+01,2.875390761700799547e-01
1.038000000000000078e+01,3.333004048773279826e-01
1.040000000000000036e+01,5.425134104267835822e-01
1.041999999999999993e+01,2.864331469268282526e-01
1.043999999999999950e+01,4.467361081573719694e-01
1.046000000000000085e+01,3.010591190987161325e-01
1.048000000000000043e+01,3.181832553290199761e-01
1.050000000000000000e+01,4.526900748130793795e-01
1.051999999999999957e+01,4.025246290364699053e-01
1.053999999999999915e+01,2.161137784109730398e-01
1.056000000000000050e+01,1.856097220407598170e-01
1.058000000000000007e+01,5.374037102224229479e-01
1.059999999999999964e+01,5.826237795831025190e-01
1.061999999999999922e+01,5.959364148331705024e-01
1.064000000000000057e+01,2.640380224370290629e-01
1.066000000000000014e+01,3.954206089868946283e-01
1.067999999999999972e+01,3.621508124349027691e-01
1.069999999999999929e+01,4.231987999223469354e-01
1.072000000000000064e+01,4.980967851871483387e-01
1.074000000000000021e+01,2.622502408859838097e-01
1.075999999999999979e+01,4.795999558088953063e-01
1.077999999999999936e+01,5.777058780800764515e-01
1.080000000000000071e+01,6.698519578708375666e-02
1.082000000000000028e+01,5.642268596371116107e-01
1.083999999999999986e+01,4.052025985172930111e-01
1.085999999999999943e+01,1.698040324594284334e-01
1.088000000000000078e+01,3.955966116167644042e-01
1.090000000000000036e+01,1.613704097494843559e-01
1.091999999999999993e+01,4.332050963893311346e-01
1.093999999999999950e+01,2.477299922928737075e-01
1.096000000000000085e+01,4.241234187991714255e-01
1.098000000000000043e+01,6.436265526705260420e-01
1.100000000000000000e+01,3.912268367741320030e-01
1.101999999999999957e+01,4.775517713161533395e-01
1.103999999999999915e+01,1.679714677092331299e-01
1.106000000000000050e+01,2.937781547251304692e-01
1.108000000000000007e+01,1.895789368054046076e-01
1.109999999999999964e+01,2.531553045904411658e-01
1.112000000000000099e+01,5.025971098604888887e-01
1.114000000000000057e+01,3.947521395467367689e-01
1.116000000000000014e+01,4.854434184756301618e-01
1.117999999999999972e+01,4.902659236691535583e-01
1.119999999999999929e+01,5.413389515835105303e-01
1.122000000000000064e+01,1.238136439189719412e-01
1.124000000000000021e+01,3.209118752606736624e-01
1.125999999999999979e+01,4.124438441819784917e-01
1.127999999999999936e+01,2.737711128014744810e-01
1.130000000000000071e+01,2.422121576533996512e-01
1.132000000000000028e+01,5.563849423185097676e-01
1.133999999999999986e+01,7.205671343892666725e-01
1.135999999999999943e+01,2.870706955959852480e-01
1.138000000000000078e+01,4.292557353695074518e-01
1.140000000000000036e+01,5.101370095297642626e-01
1.141999999999999993e+01,3.191038779666297009e-01
1.143999999999999950e+01,3.937116860542208552e-01
1.146000000000000085e+01,1.947180329222993056e-01
1.148000000000000043e+01,4.106278509279134847e-01
1.150000000000000000e+01,4.495548004685966381e-01
1.151999999999999957e+01,4.149388670214008701e-01
1.153999999999999915e+01,5.709535880172003086e-01
1.156000000000000050e+01,4.757477759457631739e-01
1.158000000000000007e+01,3.106857074627402127e-01
1.159999999999999964e+01,4.928466026948875589e-01
1.162000000000000099e+01,3.125202440089443479e-01
1.164000000000000057e+01,4.891441967058655083e-01
1.166000000000000014e+01,5.627266010644062233e-02
1.167999999999999972e+01,3.348755487268366693e-01
1.169999999999999929e+01,3.229253858341361028e-01
1.172000000000000064e+01,3.045550137029256477e-01
1.174000000000000021e+01,6.383185060002731781e-01
1.175999999999999979e+01,3.652664444931860155e-01
1.177999999999999936e+01,3.185034307446170665e-01
1.180000000000000071e+01,2.604988540463207825e-01
1.182000000000000028e+01,3.808398971707153136e-01
1.183999999999999986e+01,5.498779783238358920e-01
1.185999999999999943e+01,2.994252792143366482e-01
1.188000000000000078e+01,5.604533594142541153e-01
1.190000000000000036e+01,5.465959557576335337e-01
1.191999999999999993e+01,1.229298513576748131e-01
1.193999999999999950e+01,2.452179565277411710e-01
1.196000000000000085e+01,4.641576151422018848e-01
1.198000000000000043e+01,5.667638987712039222e-01
1.200000000000000000e+01,5.069630020576176843e-01
1.201999999999999957e+01,3.571215646376168507e-01
1.203999999999999915e+01,4.447187036622141099e-01
1.206000000000000050e+01,4.798855919241920565e-01
1.208000000000000007e+01,4.917186719047638155e-01
1.209999999999999964e+01,4.021985159361129991e-01
1.212000000000000099e+01,2.269516701645832302e-01
1.214000000000000057e+01,1.642706405074658704e-01
1.216000000000000014e+01,5.367428448165788568e-01
1.217999999999999972e+01,4.517261307938678083e-01
1.219999999999999929e+01,4.125346537868540553e-01
1.222000000000000064e+01,9.618462834248850402e-02
1.224000000000000021e+01,2.409232196030427486e-01
1.225999999999999979e+01,3.238869438647803412e-01
1.228000000000000114e+01,4.205767441421081054e-01
1.230000000000000071e+01,5.732833705889877063e-01
1.232000000000000028e+01,2.914327689429219159e-01
1.233999999999999986e+01,5.748320686497541132e-01
1.235999999999999943e+01,5.705853447470844442e-01
1.237999999999999901e+01,3.676033947575622629e-01
1.240000000000000036e+01,4.454705668902746996e-01
1.241999999999999993e+01,3.936206798491910241e-01
1.243999999999999950e+01,2.683447021775376973e-01
1.246000000000000085e+01,5.657946897642887052e-01
1.248000000000000043e+01,4.843488084968173291e-01
1.250000000000000000e+01,2.976544721679296179e-01
1.251999999999999957e+01,5.012139347037534165e-01
1.253999999999999915e+01,2.480991636407458845e-01
1.256000000000000050e+01,3.396794972384047928e-01
1.258000000000000007e+01,3.474925292941162258e-01
1.259999999999999964e+01,4.007952664266160592e-01
1.262000000000000099e+01,4.786806111331849967e-01
1.264000000000000057e+01,5.127997126954048079e-01
1.266000000000000014e+01,4.748052337155095337e-01
1.267999999999999972e+01,4.121922301305232517e-01
1.269999999999999929e+01,4.046567377060429904e-01
1.272000000000000064e+01,1.335928757768619080e-01
1.274000000000000021e+01,3.972150802274317938e-01
1.275999999999999979e+01,4.296097049340329987e-01
1.278000000000000114e+01,4.225775500041800692e-01
1.280000000000000071e+01,4.336795709711764313e-01
1.282000000000000028e+01,3.084345836772721672e-01
1.283999999999999986e+01,1.823858252115494183e-01
1.285999999999999943e+01,4.953931888080977397e-01
1.287999999999999901e+01,1.773958751582534188e-01
1.290000000000000036e+01,3.592084429971124093e-01
1.291999999999999993e+01,5.547712044498123163e-01
1.293999999999999950e+01,6.739101443521304802e-01
1.296000000000000085e+01,4.650046711233615238e-01
1.298000000000000043e+01,6.309085288014075754e-01
1.300000000000000000e+01,2.400572885671736212e-01
1.301999999999999957e+01,2.504886425396048444e-01
1.303999999999999915e+01,1.717946589989586270e-01
