# 2Theta,Intensity
1.000000000000000000e+01,2.476778025370606762e-01
1.001999999999999957e+01,4.073998656711818045e-01
1.003999999999999915e+01,4.667322661016012342e-01
1.006000000000000050e+01,2.137633362380717827e-01
1.008000000000000007e+01,3.440963640955760905e-01
1.009999999999999964e+01,1.570468989234390100e-01
1.011999999999999922e+01,1.844486854152154742e-01
1.014000000000000057e+01,3.749981059280714235e-01
1.016000000000000014e+01,2.730320438670623129e-01
1.017999999999999972e+01,1.198056615687932563e-01
1.019999999999999929e+01,5.698632265848718736e-01
1.022000000000000064e+01,2.912960178108885967e-01
1.024000000000000021e+01,4.189881810103239235e-01
1.025999999999999979e+01,2.719175770385369173e-01
1.027999999999999936e+01,1.671316085361747028e-01
1.030000000000000071e+01,2.612737942108832589e-01
1.032000000000000028e+01,4.140379123013641638e-01
1.033999999999999986e+01,3.197192068881611338e-01
1.035999999999999943e+01,6.964648832834062497e-02
1.038000000000000078e+01,3.084520729570482400e-01
1.040000000000000036e+01,2.097381228592934688e-01
1.041999999999999993e+01,2.079481541989307014e-01
1.043999999999999950e+01,2.184245014222618020e-01
1.046000000000000085e+01,2.479113815472417659e-01
1.048000000000000043e+01,1.930495498817305089e-01
1.050000000000000000e+01,1.338107563938006339e-01
1.051999999999999957e+01,4.265897074416068191e-02
1.053999999999999915e+01,1.834358890025112876e-01
1.056000000000000050e+01,4.920462202445149424e-01
1.058000000000000007e+01,1.361010936161698437e-01
1.059999999999999964e+01,1.678544754971278974e-01
1.061999999999999922e+01,2.480585287744237200e-01
1.064000000000000057e+01,3.672834889391409785e-01
1.066000000000000014e+01,3.148480848153787370e-01
1.067999999999999972e+01,2.573584346711416115e-01
1.069999999999999929e+01,1.792142931088624991e-01
1.072000000000000064e+01,2.230447377469796655e-01
1.074000000000000021e+01,2.855057853293906933e-01
1.075999999999999979e+01,2.659477129345854673e-01
1.077999999999999936e+01,4.126647107415600674e-02
1.080000000000000071e+01,1.845277313618729487e-01
1.082000000000000028e+01,2.488764400002174693e-01
1.083999999999999986e+01,3.631710414203839221e-01
1.085999999999999943e+01,3.036222510156068588e-01
1.088000000000000078e+01,2.381901983235040210e-01
1.090000000000000036e+01,1.934916849361885682e-01
1.091999999999999993e+01,2.213565724967821169e-01
1.093999999999999950e+01,2.118242752853599087e-01
1.096000000000000085e+01,1.375687181351774868e-01
1.098000000000000043e+01,2.739379539842614064e-01
1.100000000000000000e+01,2.493477250658608091e-01
1.101999999999999957e+01,1.039647981183071668e-01
1.103999999999999915e+01,2.745595846478068869e-01
1.106000000000000050e+01,4.639797289217491016e-01
1.108000000000000007e+01,3.232550903078742488e-01
1.109999999999999964e+01,1.927623681630123154e-01
1.112000000000000099e+01,3.187356065862406718e-01
1.114000000000000057e+01,1.437661466107871822e-01
1.116000000000000014e+01,8.200886739744624176e-02
1.117999999999999972e+01,3.134463761391012016e-01
1.119999999999999929e+01,3.086683257713674911e-01
1.122000000000000064e+01,2.456701748348334713e-01
1.124000000000000021e+01,2.156188342078679543e-01
1.125999999999999979e+01,1.549594454942157251e-01
1.127999999999999936e+01,2.765677316720594470e-01
1.130000000000000071e+01,3.327080083059417714e-01
1.132000000000000028e+01,3.307679325267852688e-01
1.133999999999999986e+01,8.695194300327853398e-02
1.135999999999999943e+01,1.984319183126451169e-01
1.138000000000000078e+01,3.263450998476539189e-01
1.140000000000000036e+01,2.345934995826564895e-01
1.141999999999999993e+01,3.651137865052432319e-01
1.143999999999999950e+01,3.040974378445280291e-01
1.146000000000000085e+01,3.452657015680284380e-01
1.148000000000000043e+01,2.667039172534652613e-01
1.150000000000000000e+01,3.429066729649471457e-01
1.151999999999999957e+01,1.214759472735205681e-01
1.153999999999999915e+01,3.233460198886881076e-01
1.156000000000000050e+01,1.270539665453907785e-01
1.158000000000000007e+01,2.218345525287415687e-01
1.159999999999999964e+01,2.426702477117668455e-01
1.162000000000000099e+01,2.203194746838126883e-01
1.164000000000000057e+01,3.107075430406674443e-01
1.166000000000000014e+01,2.531089481340760838e-01
1.167999999999999972e+01,3.356279121996835757e-01
1.169999999999999929e+01,1.573775556117947561e-01
1.172000000000000064e+01,3.835504886952261772e-01
1.174000000000000021e+01,2.963615259786087433e-02
1.175999999999999979e+01,2.591119790803045886e-01
1.177999999999999936e+01,3.696987304742330727e-01
1.180000000000000071e+01,3.187616430239546550e-01
1.182000000000000028e+01,2.982356463053576490e-01
1.183999999999999986e+01,2.648397149495850811e-01
1.185999999999999943e+01,4.040437170993312344e-01
1.188000000000000078e+01,3.744492827415750458e-02
1.190000000000000036e+01,1.682747129423048382e-01
1.191999999999999993e+01,8.116818590574196787e-03
1.193999999999999950e+01,6.203555507461781110e-02
1.196000000000000085e+01,1.699448495571443674e-01
1.198000000000000043e+01,9.060517298904696704e-02
1.200000000000000000e+01,3.413005468413256582e-01
1.201999999999999957e+01,2.687398256637930083e-01
1.203999999999999915e+01,2.640638193419412305e-01
1.206000000000000050e+01,3.046706270728998800e-01
1.208000000000000007e+01,2.363197226405324147e-01
1.209999999999999964e+01,1.173855762667124630e-01
1.212000000000000099e+01,3.585283378986077185e-01
1.214000000000000057e+01,9.136272053404910498e-02
1.216000000000000014e+01,1.906623491762780864e-04
1.217999999999999972e+01,3.768775176495048895e-01
1.219999999999999929e+01,1.410211833801962578e-01
1.222000000000000064e+01,2.574385643708150262e-01
1.224000000000000021e+01,7.684476808297836803e-02
1.225999999999999979e+01,1.311763295021111664e-01
1.228000000000000114e+01,2.856082076266576175e-01
1.230000000000000071e+01,1.379641941968426655e-01
1.232000000000000028e+01,3.707446877250187289e-01
1.233999999999999986e+01,1.481141219064682213e-01
1.235999999999999943e+01,2.585107595729352892e-01
1.237999999999999901e+01,4.657652929325105662e-01
1.240000000000000036e+01,1.666390433127784843e-01
1.241999999999999993e+01,1.710963132306231871e-01
1.243999999999999950e+01,3.214205530363218322e-01
1.246000000000000085e+01,9.667524514781293543e-02
1.248000000000000043e+01,2.347717639154419944e-01
1.250000000000000000e+01,2.774868719542580853e-01
1.251999999999999957e+01,1.915405441303587586e-01
1.253999999999999915e+01,1.598361510814871045e-01
1.256000000000000050e+01,3.881015954338625645e-02
1.258000000000000007e+01,2.003604416413257705e-01
1.259999999999999964e+01,2.052526610614900382e-01
1.262000000000000099e+01,1.609615981397904405e-01
1.264000000000000057e+01,3.235052436819629285e-01
1.266000000000000014e+01,1.707781947549975865e-01
1.267999999999999972e+01,3.665935049077204133e-01
1.269999999999999929e+01,1.736298842887958327e-01
1.272000000000000064e+01,3.708667480257488158e-01
1.274000000000000021e+01,2.174140225259935943e-01
1.275999999999999979e+01,2.824781344988245846e-01
1.278000000000000114e+01,1.789842675009713502e-01
1.280000000000000071e+01,6.659164077826539019e-02
1.282000000000000028e+01,1.143628971206449713e-01
1.283999999999999986e+01,2.395824139159463961e-01
1.285999999999999943e+01,-1.619981733586085826e-02
1.287999999999999901e+01,3.690864582637306546e-01
1.290000000000000036e+01,1.285847645614732748e-01
1.291999999999999993e+01,3.056523754989648456e-01
1.293999999999999950e+01,2.300527446342781890e-01
1.296000000000000085e+01,3.027420329882756223e-01
1.298000000000000043e+01,2.390288874416182097e-01
1.300000000000000000e+01,1.806675644098241773e-01
1.301999999999999957e+01,4.064074511382229082e-01
1.303999999999999915e+01,3.002902420108910508e-01
1.306000000000000050e+01,2.135124754513810508e-02
1.308000000000000007e+01,2.117021400500857520e-01
1.309999999999999964e+01,3.528706760143404675e-01
1.312000000000000099e+01,1.206850069990531571e-01
1.314000000000000057e+01,3.949057139871355315e-01
1.316000000000000014e+01,1.310214558330864976e-01
1.317999999999999972e+01,3.007855410153608133e-01
1.319999999999999929e+01,1.817869589266518926e-01
1.322000000000000064e+01,1.719708557416861627e-01
1.324000000000000021e+01,1.248904434347081482e-01
1.325999999999999979e+01,1.272858806230418582e-01
1.328000000000000114e+01,4.541426767376148810e-01
1.330000000000000071e+01,2.865946010217430562e-01
1.332000000000000028e+01,1.786518652738180168e-01
1.333999999999999986e+01,2.077033702294808493e-01
1.335999999999999943e+01,2.060837902629659713e-01
1.337999999999999901e+01,1.467710864961279116e-01
1.340000000000000036e+01,1.156114160709870728e-03
1.341999999999999993e+01,3.551124110519843224e-01
1.343999999999999950e+01,4.251948846760910117e-01
1.346000000000000085e+01,1.120931742359898564e-01
1.348000000000000043e+01,5.823983473978994185e-01
1.350000000000000000e+01,1.543427465150485345e-01
1.351999999999999957e+01,2.881475477858400636e-01
1.353999999999999915e+01,2.347047463869394723e-01
1.356000000000000050e+01,4.204836293359376920e-01
1.358000000000000007e+01,6.307214397395582983e-01
1.359999999999999964e+01,3.670330437761916698e-01
1.362000000000000099e+01,5.279190514065829065e-01
1.364000000000000057e+01,1.814738094717817107e-01
1.366000000000000014e+01,2.589066934099225059e-01
1.367999999999999972e+01,1.573954716751807537e-01
1.369999999999999929e+01,2.003958974013730909e-01
1.372000000000000064e+01,5.564751605590448347e-02
1.374000000000000021e+01,4.170238239305622541e-01
1.375999999999999979e+01,1.231458627045489973e-01
1.378000000000000114e+01,2.848502813230611649e-02
1.380000000000000071e+01,1.552491518384913616e-01
1.382000000000000028e+01,3.019578363888696382e-01
1.383999999999999986e+01,4.126139146448560835e-01
1.385999999999999943e+01,1.549328091265421148e-01
1.387999999999999901e+01,1.100547853953052074e-01
1.390000000000000036e+01,3.590053743022626476e-01
1.391999999999999993e+01,2.211883751366421902e-01
1.393999999999999950e+01,4.544053833453176594e-01
1.396000000000000085e+01,1.618274124677586134e-01
1.398000000000000043e+01,3.145473772908096710e-01
1.400000000000000000e+01,1.297672858040443133e-01
1.401999999999999957e+01,2.593761897095042679e-01
1.403999999999999915e+01,2.392389431881044304e-01
1.406000000000000050e+01,1.315409799083022135e-01
1.408000000000000007e+01,3.089799844296338693e-01
1.409999999999999964e+01,2.149186863273608861e-01
1.412000000000000099e+01,3.393168172262303051e-01
1.414000000000000057e+01,1.635736826746560235e-01
1.416000000000000014e+01,2.814683519761290165e-01
1.417999999999999972e+01,4.994623348919212114e-01
1.419999999999999929e+01,2.613824373382986344e-01
1.421999999999999886e+01,1.942094555291168090e-01
1.424000000000000021e+01,1.751876437266162712e-01
1.425999999999999979e+01,1.662787321006857499e-01
1.428000000000000114e+01,1.857147057892936659e-01
1.430000000000000071e+01,1.326680011053583685e-01
1.432000000000000028e+01,3.711482375512932808e-01
1.433999999999999986e+01,5.214102383281687958e-01
1.435999999999999943e+01,1.718052627729087511e-01
1.437999999999999901e+01,3.337009372463578538e-01
1.440000000000000036e+01,4.038505617927670155e-01
1.441999999999999993e+01,1.129890537836786141e-01
1.444000000000000128e+01,1.624764276641530725e-01
1.446000000000000085e+01,1.740312791304129691e-01
1.448000000000000043e+01,3.213171089797368651e-01
1.450000000000000000e+01,-1.113415936290551855e-01
1.451999999999999957e+01,3.223509925842463208e-01
1.453999999999999915e+01,1.112528713083495852e-01
1.456000000000000050e+01,4.959195171884264730e-02
1.458000000000000007e+01,5.148281949955785253e-02
1.460000000000000142e+01,1.307129615890780527e-01
1.462000000000000099e+01,4.317654886610514109e-01
1.464000000000000057e+01,3.340098011611107309e-01
1.466000000000000014e+01,4.010489077295709692e-01
1.467999999999999972e+01,1.090666281252380826e-01
1.469999999999999929e+01,1.642748570234029981e-01
1.471999999999999886e+01,1.643516479359030391e-01
1.474000000000000021e+01,2.418024840807587450e-01
1.475999999999999979e+01,2.945711288450694743e-01
1.478000000000000114e+01,3.970274992875905684e-01
1.480000000000000071e+01,2.181227560512951635e-01
1.482000000000000028e+01,3.385298201310253940e-01
1.483999999999999986e+01,1.339017655130338713e-01
1.485999999999999943e+01,3.624729683309938499e-01
1.487999999999999901e+01,3.728445335380675130e-01
1.490000000000000036e+01,4.299062628648641082e-01
1.491999999999999993e+01,1.982204302740632473e-01
1.494000000000000128e+01,3.378900428151760948e-01
1.496000000000000085e+01,3.290415810970466759e-01
1.498000000000000043e+01,4.365951286341960280e-01
1.500000000000000000e+01,2.673664048083442268e-01
1.501999999999999957e+01,1.453786895871700402e-01
1.503999999999999915e+01,3.621184736592730213e-01
1.506000000000000050e+01,4.623595952180594160e-01
1.508000000000000007e+01,1.537604638489599163e-01
1.510000000000000142e+01,3.367433150041370116e-01
1.512000000000000099e+01,3.443684674851206218e-01
1.514000000000000057e+01,2.873665971841504740e-01
1.516000000000000014e+01,2.777797938641419218e-01
1.517999999999999972e+01,2.987183953506075129e-01
1.519999999999999929e+01,3.902444823478669056e-01
1.521999999999999886e+01,2.074689436871660631e-01
1.524000000000000021e+01,2.808864787795799511e-01
1.525999999999999979e+01,2.210564736585014789e-01
1.528000000000000114e+01,1.256035510048316151e-01
