# 2Theta,Intensity
1.000000000000000000e+01,1.657800439176772000e-01
1.001999999999999957e+01,-8.369349325302385609e-03
1.003999999999999915e+01,1.790079633247130264e-01
1.006000000000000050e+01,-3.537062670523227065e-02
1.008000000000000007e+01,4.212814902475917056e-02
1.009999999999999964e+01,2.182140768800017450e-01
1.011999999999999922e+01,8.777742202395974469e-02
1.014000000000000057e+01,1.592637140692700418e-02
1.016000000000000014e+01,3.274801740612044987e-01
1.017999999999999972e+01,2.099004956838397828e-01
1.019999999999999929e+01,6.947841366072367297e-02
1.022000000000000064e+01,3.061705184160847804e-01
1.024000000000000021e+01,1.407174148025276128e-01
1.025999999999999979e+01,2.235668933227374366e-01
1.027999999999999936e+01,-1.274825080820652864e-02
1.030000000000000071e+01,1.156478013884340295e-01
1.032000000000000028e+01,7.992516984544381642e-02
1.033999999999999986e+01,9.960462473985237999e-03
1.035999999999999943e+01,-1.017341060103732903e-01
1.038000000000000078e+01,6.308955107462733969e-02
1.040000000000000036e+01,-1.215321694264539648e-01
1.041999999999999993e+01,2.471317971623076051e-02
1.043999999999999950e+01,-5.527349234859538912e-02
1.046000000000000085e+01,2.019732278635063272e-01
1.048000000000000043e+01,7.404531062415391218e-02
1.050000000000000000e+01,-2.150173916921282319e-02
1.051999999999999957e+01,6.919468372929513111e-02
1.053999999999999915e+01,5.030276720829502529e-02
1.056000000000000050e+01,4.226844286638909987e-01
1.058000000000000007e+01,8.232501305867274966e-02
1.059999999999999964e+01,1.179149119256284461e-01
1.061999999999999922e+01,-1.594081154041531584e-02
1.064000000000000057e+01,6.131006975763343692e-02
1.066000000000000014e+01,1.398989248393689155e-01
1.067999999999999972e+01,-4.446268302496422797e-02
1.069999999999999929e+01,1.118842984825811904e-01
1.072000000000000064e+01,-9.139763083407043132e-02
1.074000000000000021e+01,1.899981344532012117e-01
1.075999999999999979e+01,4.852914151157806943e-02
1.077999999999999936e+01,3.021294165908059992e-01
1.080000000000000071e+01,7.635580115736406714e-02
1.082000000000000028e+01,1.002522723813089184e-01
1.083999999999999986e+01,1.498577203181704620e-01
1.085999999999999943e+01,-1.133701259607705486e-01
1.088000000000000078e+01,6.110045858600233332e-02
1.090000000000000036e+01,1.095219734262172229e-01
1.091999999999999993e+01,1.444182048148278108e-01
1.093999999999999950e+01,-4.908341576173780307e-02
1.096000000000000085e+01,-3.572436898698500181e-03
1.098000000000000043e+01,1.101769399999143195e-01
1.100000000000000000e+01,-9.802602651791980301e-03
1.101999999999999957e+01,7.799114499222978281e-02
1.103999999999999915e+01,-5.611177414610604708e-03
1.106000000000000050e+01,2.811916099400072616e-03
1.108000000000000007e+01,-4.244885366804103388e-02
1.109999999999999964e+01,-8.561538872071043638e-02
1.112000000000000099e+01,2.124576038994096527e-01
1.114000000000000057e+01,3.416844922383918681e-02
1.116000000000000014e+01,1.512557781835207893e-01
1.117999999999999972e+01,-5.466997745952338617e-02
1.119999999999999929e+01,2.393029945310302664e-01
1.122000000000000064e+01,-5.008217998483224798e-02
1.124000000000000021e+01,4.116145654801686704e-02
1.125999999999999979e+01,-1.099615509460666052e-01
1.127999999999999936e+01,1.548811259756555647e-01
1.130000000000000071e+01,5.726431432899466850e-02
1.132000000000000028e+01,-6.423968364650997631e-02
1.133999999999999986e+01,2.739018711990830884e-02
1.135999999999999943e+01,4.111183764195824875e-02
1.138000000000000078e+01,9.107110997001720276e-02
1.140000000000000036e+01,8.212159843289601469e-02
1.141999999999999993e+01,3.994445984569000574e-02
1.143999999999999950e+01,1.739196163423286090e-01
1.146000000000000085e+01,-1.117186782892041208e-01
1.148000000000000043e+01,-1.406537679357300619e-01
1.150000000000000000e+01,2.844183677090194803e-02
1.151999999999999957e+01,2.218491008482908755e-01
1.153999999999999915e+01,1.417560409670591826e-01
1.156000000000000050e+01,4.108066438965428391e-02
1.158000000000000007e+01,8.767979299446089503e-02
1.159999999999999964e+01,8.941547864261240042e-02
1.162000000000000099e+01,1.745990052880403709e-01
1.164000000000000057e+01,2.210165864408686898e-01
1.166000000000000014e+01,2.529109457539998607e-01
1.167999999999999972e+01,1.339982017211062970e-01
1.169999999999999929e+01,-1.378837903242305547e-02
1.172000000000000064e+01,2.590021250585543625e-02
1.174000000000000021e+01,1.527761256914624555e-01
1.175999999999999979e+01,1.959675848825674291e-02
1.177999999999999936e+01,2.166130677935230175e-01
1.180000000000000071e+01,6.945422517324054135e-02
1.182000000000000028e+01,1.206090836857938164e-01
1.183999999999999986e+01,1.191397490948822857e-01
1.185999999999999943e+01,-1.288143610490565805e-01
1.188000000000000078e+01,-3.047773881392661782e-02
