# 2Theta,Intensity
1.000000000000000000e+01,3.999654494950418027e+00
1.001999999999999957e+01,3.606608238589962934e+00
1.003999999999999915e+01,3.746563844373444585e+00
1.006000000000000050e+01,3.814991896946375860e+00
1.008000000000000007e+01,3.817283467840438593e+00
1.009999999999999964e+01,4.027503293101180937e+00
1.011999999999999922e+01,3.853579080333917162e+00
1.014000000000000057e+01,3.569940834811468289e+00
1.016000000000000014e+01,3.814923384519548044e+00
1.017999999999999972e+01,3.650753970173776342e+00
1.019999999999999929e+01,4.127500565475042293e+00
1.022000000000000064e+01,4.387663526817354054e+00
1.024000000000000021e+01,3.948323956818078351e+00
1.025999999999999979e+01,3.571881788556003023e+00
1.027999999999999936e+01,3.452420637850429408e+00
1.030000000000000071e+01,3.426203126522812781e+00
1.032000000000000028e+01,3.629700701758268977e+00
1.033999999999999986e+01,3.594215347438110886e+00
1.035999999999999943e+01,3.286898862890241801e+00
1.038000000000000078e+01,3.612137697168827710e+00
1.040000000000000036e+01,3.458776812258977706e+00
1.041999999999999993e+01,3.644934449217113848e+00
1.043999999999999950e+01,3.716585602207810535e+00
1.046000000000000085e+01,3.696515228064496839e+00
1.048000000000000043e+01,3.769023557009411274e+00
1.050000000000000000e+01,3.579347248229671763e+00
1.051999999999999957e+01,3.262718544593124825e+00
1.053999999999999915e+01,3.705930362312195303e+00
1.056000000000000050e+01,3.793975996890620372e+00
1.058000000000000007e+01,3.420146405275095614e+00
1.059999999999999964e+01,3.749586740313589406e+00
1.061999999999999922e+01,3.647081062580787680e+00
1.064000000000000057e+01,4.106001770833629827e+00
1.066000000000000014e+01,3.776706654776460059e+00
1.067999999999999972e+01,3.707516275119452587e+00
1.069999999999999929e+01,3.918430650859558995e+00
1.072000000000000064e+01,4.313512374214980127e+00
1.074000000000000021e+01,3.529584289421425325e+00
1.075999999999999979e+01,3.307314775705290533e+00
1.077999999999999936e+01,3.872564524292864352e+00
1.080000000000000071e+01,3.551649018493156174e+00
1.082000000000000028e+01,4.146609597460326313e+00
1.083999999999999986e+01,3.709104384995167702e+00
1.085999999999999943e+01,3.832267030672079855e+00
1.088000000000000078e+01,3.772712484854648274e+00
1.090000000000000036e+01,3.836190511613187137e+00
1.091999999999999993e+01,3.758533225659384414e+00
1.093999999999999950e+01,3.486967915506750781e+00
1.096000000000000085e+01,3.855754559042750440e+00
1.098000000000000043e+01,3.947183603808480878e+00
1.100000000000000000e+01,3.780684825198780352e+00
1.101999999999999957e+01,4.389899115055984957e+00
1.103999999999999915e+01,3.860839732594103513e+00
1.106000000000000050e+01,3.604896891643079471e+00
1.108000000000000007e+01,4.200265196881765029e+00
1.109999999999999964e+01,3.823388869766258136e+00
1.112000000000000099e+01,3.721781369946451701e+00
1.114000000000000057e+01,3.650983185812045839e+00
1.116000000000000014e+01,3.977194973694257119e+00
1.117999999999999972e+01,3.757346998246104963e+00
1.119999999999999929e+01,3.365744576790489884e+00
1.122000000000000064e+01,3.674510105827373696e+00
1.124000000000000021e+01,3.843529906041045940e+00
1.125999999999999979e+01,3.582646730150284231e+00
1.127999999999999936e+01,4.102869623102486152e+00
1.130000000000000071e+01,4.071299088762379448e+00
1.132000000000000028e+01,4.067727223941335346e+00
1.133999999999999986e+01,3.548738584953566644e+00
1.135999999999999943e+01,4.111938073688738982e+00
1.138000000000000078e+01,3.823841877622570440e+00
1.140000000000000036e+01,3.756908327997777963e+00
1.141999999999999993e+01,4.540761984786914063e+00
1.143999999999999950e+01,3.870750896388735374e+00
1.146000000000000085e+01,3.451786721562741800e+00
1.148000000000000043e+01,3.734519553289980642e+00
1.150000000000000000e+01,4.040462628600937300e+00
1.151999999999999957e+01,3.758206138383438866e+00
1.153999999999999915e+01,3.860727415582474453e+00
1.156000000000000050e+01,3.807844082435004385e+00
1.158000000000000007e+01,3.930198876055380541e+00
1.159999999999999964e+01,3.774872884826165009e+00
1.162000000000000099e+01,4.137109052598708203e+00
1.164000000000000057e+01,3.598960374951697627e+00
1.166000000000000014e+01,3.661530552407406436e+00
1.167999999999999972e+01,3.760837755687522321e+00
1.169999999999999929e+01,3.791572391049601531e+00
1.172000000000000064e+01,3.448332781470135000e+00
1.174000000000000021e+01,4.082615740660775039e+00
1.175999999999999979e+01,3.436488860067048901e+00
1.177999999999999936e+01,3.585516120313252841e+00
1.180000000000000071e+01,4.032228603516528231e+00
1.182000000000000028e+01,3.615345973366224097e+00
1.183999999999999986e+01,3.989214390602465521e+00
1.185999999999999943e+01,3.743127277471785419e+00
1.188000000000000078e+01,3.837951276931216515e+00
1.190000000000000036e+01,3.968631946947625444e+00
1.191999999999999993e+01,3.605095203591223374e+00
1.193999999999999950e+01,3.562948438914178340e+00
1.196000000000000085e+01,3.430575089220093243e+00
1.198000000000000043e+01,3.419046152018918150e+00
1.200000000000000000e+01,3.699462480122782893e+00
1.201999999999999957e+01,3.942857195907156775e+00
1.203999999999999915e+01,3.846882768700973898e+00
1.206000000000000050e+01,3.727573220338558535e+00
1.208000000000000007e+01,3.672608620484992592e+00
1.209999999999999964e+01,3.409224949355841972e+00
1.212000000000000099e+01,3.500879845980663596e+00
1.214000000000000057e+01,3.961172453954969974e+00
1.216000000000000014e+01,3.605837942941367391e+00
1.217999999999999972e+01,3.453816179511438822e+00
1.219999999999999929e+01,4.110198427077080829e+00
1.222000000000000064e+01,3.370082624279289174e+00
1.224000000000000021e+01,3.670515068542230974e+00
1.225999999999999979e+01,3.625678448315401869e+00
1.228000000000000114e+01,3.668863293050164121e+00
1.230000000000000071e+01,3.857386124913955161e+00
1.232000000000000028e+01,3.623836784186234894e+00
1.233999999999999986e+01,4.129324787448533485e+00
1.235999999999999943e+01,3.368838450797913886e+00
1.237999999999999901e+01,3.997123407366905301e+00
1.240000000000000036e+01,4.299969312750698158e+00
1.241999999999999993e+01,3.371654779837314653e+00
1.243999999999999950e+01,3.881343642663850790e+00
1.246000000000000085e+01,3.579489591253447678e+00
1.248000000000000043e+01,3.594883681949991860e+00
1.250000000000000000e+01,4.002699916662995072e+00
1.251999999999999957e+01,3.918971922320595880e+00
1.253999999999999915e+01,3.777358491646027439e+00
1.256000000000000050e+01,3.430289398582225147e+00
1.258000000000000007e+01,3.609359570933516004e+00
1.259999999999999964e+01,3.651314738605661248e+00
1.262000000000000099e+01,3.669911300328306147e+00
1.264000000000000057e+01,3.386493155150150702e+00
1.266000000000000014e+01,3.734103617410506004e+00
1.267999999999999972e+01,4.030939383408429499e+00
1.269999999999999929e+01,3.861881492248904646e+00
1.272000000000000064e+01,3.487047330744599716e+00
1.274000000000000021e+01,4.152688809323108465e+00
1.275999999999999979e+01,3.944071083560270807e+00
1.278000000000000114e+01,3.390051094703008250e+00
1.280000000000000071e+01,4.211428255921288333e+00
1.282000000000000028e+01,3.532794315638020155e+00
1.283999999999999986e+01,4.057126044527018749e+00
1.285999999999999943e+01,3.901587965152532256e+00
1.287999999999999901e+01,3.754618102121868528e+00
1.290000000000000036e+01,4.295525316067623223e+00
1.291999999999999993e+01,3.829307956518873013e+00
1.293999999999999950e+01,4.164564078115709833e+00
1.296000000000000085e+01,3.990773939941276272e+00
1.298000000000000043e+01,3.748927378498297713e+00
1.300000000000000000e+01,3.574275650984731989e+00
1.301999999999999957e+01,3.309618697017723044e+00
1.303999999999999915e+01,3.486155587027459646e+00
1.306000000000000050e+01,3.904734019716719740e+00
1.308000000000000007e+01,3.793630068125191990e+00
1.309999999999999964e+01,3.574386224189607386e+00
1.312000000000000099e+01,4.456246643769700810e+00
1.314000000000000057e+01,4.012831666326746038e+00
