# 2Theta,Intensity
1.000000000000000000e+01,1.620358676046778634e-01
1.001999999999999957e+01,8.167222337717743030e-02
1.003999999999999915e+01,7.900714475497627731e-02
1.006000000000000050e+01,2.059117848433040521e-01
1.008000000000000007e+01,-3.018898505529276841e-02
1.009999999999999964e+01,-3.146246603753467125e-02
1.011999999999999922e+01,2.417406205644690581e-02
1.014000000000000057e+01,-6.868788957057622713e-02
1.016000000000000014e+01,-3.182396211042441865e-03
1.017999999999999972e+01,2.200615382940976014e-02
1.019999999999999929e+01,8.725994617112863005e-02
1.022000000000000064e+01,1.895733429442808538e-02
1.024000000000000021e+01,-1.426116816321767733e-01
1.025999999999999979e+01,1.546850845421615661e-01
1.027999999999999936e+01,4.550709484723576559e-02
1.030000000000000071e+01,-8.963152228989770820e-02
1.032000000000000028e+01,1.102807993674457089e-03
1.033999999999999986e+01,1.720809187111533300e-01
1.035999999999999943e+01,2.380912374380870708e-02
1.038000000000000078e+01,-7.362115802431865030e-02
1.040000000000000036e+01,2.041016354276520839e-01
1.041999999999999993e+01,1.519229776611625005e-01
1.043999999999999950e+01,1.488902064369841682e-01
1.046000000000000085e+01,4.146998163257951953e-02
1.048000000000000043e+01,8.453340381080198807e-02
1.050000000000000000e+01,1.301667031006349395e-01
1.051999999999999957e+01,-4.478492403580412728e-02
1.053999999999999915e+01,2.316729527147798617e-01
1.056000000000000050e+01,-3.514324014885276959e-02
1.058000000000000007e+01,1.031613373975722586e-02
1.059999999999999964e+01,1.196550853183839941e-02
1.061999999999999922e+01,-1.437722938128042360e-01
1.064000000000000057e+01,4.497362142824445214e-02
1.066000000000000014e+01,1.681654021547217548e-01
1.067999999999999972e+01,-3.183988325806373643e-02
1.069999999999999929e+01,-1.565625157895339237e-01
1.072000000000000064e+01,-1.649460816366130900e-01
1.074000000000000021e+01,-9.778484132917264482e-02
1.075999999999999979e+01,1.031598258878258512e-01
1.077999999999999936e+01,8.261197270665678050e-02
1.080000000000000071e+01,9.811016079390971756e-02
1.082000000000000028e+01,1.192768128570164954e-01
1.083999999999999986e+01,-1.404491628703127826e-01
1.085999999999999943e+01,-3.392461576892916858e-02
1.088000000000000078e+01,1.071724282223975311e-01
1.090000000000000036e+01,-1.266523452639256586e-01
1.091999999999999993e+01,-4.479269603899213581e-02
1.093999999999999950e+01,1.735090790030933694e-01
1.096000000000000085e+01,-1.342429634607475997e-01
1.098000000000000043e+01,4.062466241832279890e-02
1.100000000000000000e+01,8.076380928598113351e-02
1.101999999999999957e+01,-9.677673811615808419e-02
1.103999999999999915e+01,1.066669870634015527e-01
1.106000000000000050e+01,7.316050659710097992e-02
1.108000000000000007e+01,8.734271102021017030e-02
1.109999999999999964e+01,-6.661087751100743665e-03
1.112000000000000099e+01,-3.916684802518460851e-02
1.114000000000000057e+01,1.336671882182498827e-01
1.116000000000000014e+01,2.797189180621812224e-02
1.117999999999999972e+01,8.478903492077013992e-02
1.119999999999999929e+01,-1.003214087568007548e-02
1.122000000000000064e+01,4.706152902280445749e-02
1.124000000000000021e+01,2.205504277425359566e-02
1.125999999999999979e+01,-8.232479041612539294e-02
1.127999999999999936e+01,6.290142404081762277e-03
1.130000000000000071e+01,4.863914762316614432e-02
1.132000000000000028e+01,4.425388703699006943e-02
1.133999999999999986e+01,1.314577065649491505e-01
1.135999999999999943e+01,-3.502187580321841631e-02
1.138000000000000078e+01,7.214659788922403449e-02
1.140000000000000036e+01,-2.409055636145272100e-02
1.141999999999999993e+01,-1.144864677810494835e-01
1.143999999999999950e+01,-1.973715228926739215e-02
1.146000000000000085e+01,1.583092687715945690e-01
1.148000000000000043e+01,-1.112868876230157789e-01
1.150000000000000000e+01,8.354753967382333446e-02
1.151999999999999957e+01,-5.281739547615019181e-02
1.153999999999999915e+01,7.473063690485048927e-02
1.156000000000000050e+01,-6.760270769854105632e-02
1.158000000000000007e+01,7.104894527104761714e-02
1.159999999999999964e+01,-1.162884104443984851e-02
1.162000000000000099e+01,6.931144292608283630e-02
1.164000000000000057e+01,-3.265608349212088812e-02
1.166000000000000014e+01,-8.318860635675756621e-02
1.167999999999999972e+01,-7.432279985738091121e-02
1.169999999999999929e+01,7.324661636853530000e-02
1.172000000000000064e+01,2.651022181647408327e-01
1.174000000000000021e+01,6.431121266110759183e-02
1.175999999999999979e+01,2.539234236494798333e-02
1.177999999999999936e+01,1.302440045585423478e-02
1.180000000000000071e+01,-9.653121365068897952e-02
1.182000000000000028e+01,1.225209720074372372e-01
1.183999999999999986e+01,1.471768895554815548e-01
1.185999999999999943e+01,-2.851907200711011059e-02
1.188000000000000078e+01,1.427175048003466451e-02
1.190000000000000036e+01,-1.477481664746216061e-01
1.191999999999999993e+01,2.966704467079096796e-02
1.193999999999999950e+01,-1.640219377260858369e-01
1.196000000000000085e+01,1.290822670575921538e-01
1.198000000000000043e+01,-4.888308421286050032e-02
1.200000000000000000e+01,-2.199123378658184857e-01
1.201999999999999957e+01,3.233757250882556000e-02
1.203999999999999915e+01,-5.785152139498151748e-03
1.206000000000000050e+01,1.052938472649353890e-01
1.208000000000000007e+01,7.298099508308115990e-02
1.209999999999999964e+01,1.542845172060949288e-01
1.212000000000000099e+01,9.913701196077102928e-02
1.214000000000000057e+01,6.172627953362478520e-02
1.216000000000000014e+01,1.805343631770726098e-01
1.217999999999999972e+01,-1.734350006000841826e-01
