# 2Theta,Intensity
1.000000000000000000e+01,1.898633385561901143e-01
1.001999999999999957e+01,-1.441899076248839145e-02
1.003999999999999915e+01,-5.074034954517397944e-02
1.006000000000000050e+01,1.838376419521035032e-01
1.008000000000000007e+01,1.271474665440831819e-01
1.009999999999999964e+01,3.360844985699763809e-02
1.011999999999999922e+01,1.016477840534823207e-01
1.014000000000000057e+01,1.421388568928329266e-01
1.016000000000000014e+01,-8.811384125522378485e-02
1.017999999999999972e+01,9.677184578449066210e-02
1.019999999999999929e+01,6.478403642748496727e-02
1.022000000000000064e+01,2.220876150326732412e-01
1.024000000000000021e+01,2.908864359505466263e-02
1.025999999999999979e+01,1.468421529112678980e-01
1.027999999999999936e+01,2.159483155860962011e-01
1.030000000000000071e+01,1.816648678159351049e-01
1.032000000000000028e+01,3.363455468547776328e-01
1.033999999999999986e+01,2.466231572050534282e-01
1.035999999999999943e+01,1.641799395040209608e-01
1.038000000000000078e+01,-4.764170229987983729e-02
1.040000000000000036e+01,5.351249972132874179e-04
1.041999999999999993e+01,2.869811259802446113e-01
1.043999999999999950e+01,-6.227149505720095540e-02
1.046000000000000085e+01,2.077025199678755873e-01
1.048000000000000043e+01,1.965482566978543622e-01
1.050000000000000000e+01,-1.324106898408016209e-01
1.051999999999999957e+01,1.434106472761665918e-01
1.053999999999999915e+01,5.382571569586524357e-02
1.056000000000000050e+01,2.557043138864826815e-01
1.058000000000000007e+01,2.258488789193827673e-01
1.059999999999999964e+01,2.668439947809239099e-01
1.061999999999999922e+01,-9.647204251769402050e-02
1.064000000000000057e+01,1.320614672631951481e-01
1.066000000000000014e+01,4.761968769036525190e-02
1.067999999999999972e+01,2.009746568736139535e-02
1.069999999999999929e+01,-6.567470108431457121e-02
1.072000000000000064e+01,2.313711721589450099e-01
1.074000000000000021e+01,1.890256505456438807e-01
1.075999999999999979e+01,5.875436603349695752e-02
1.077999999999999936e+01,2.221848639727407593e-01
1.080000000000000071e+01,2.069482528186870618e-01
1.082000000000000028e+01,2.056894117352153217e-01
1.083999999999999986e+01,2.447924022223491383e-02
1.085999999999999943e+01,7.236114087250739013e-02
1.088000000000000078e+01,1.048039010060283771e-01
1.090000000000000036e+01,-1.007660308516044982e-02
1.091999999999999993e+01,6.978905378954591843e-02
1.093999999999999950e+01,2.336700058882513475e-01
1.096000000000000085e+01,1.189507352289288222e-01
1.098000000000000043e+01,1.430473771525645199e-01
1.100000000000000000e+01,-5.295306614900753550e-02
1.101999999999999957e+01,1.524031604768769366e-01
1.103999999999999915e+01,2.342985147967066306e-01
1.106000000000000050e+01,1.798489791348843736e-01
1.108000000000000007e+01,6.419038414801465919e-02
1.109999999999999964e+01,2.125678390745489588e-01
1.112000000000000099e+01,1.574763158231422266e-01
1.114000000000000057e+01,1.400141319166137988e-01
1.116000000000000014e+01,-1.159772106825229798e-02
1.117999999999999972e+01,1.871768329974874967e-01
1.119999999999999929e+01,-3.392939513466108198e-02
1.122000000000000064e+01,8.962467344651069145e-02
1.124000000000000021e+01,-5.123626989141300686e-02
1.125999999999999979e+01,-3.678220416584945113e-02
1.127999999999999936e+01,2.055688782379919144e-01
1.130000000000000071e+01,2.938793386062252821e-01
1.132000000000000028e+01,2.465921351922217841e-01
1.133999999999999986e+01,2.503852979364751818e-01
1.135999999999999943e+01,2.584939471670152922e-01
1.138000000000000078e+01,9.541290057755526244e-02
1.140000000000000036e+01,1.039600485188806600e-01
1.141999999999999993e+01,3.459516085003599972e-01
1.143999999999999950e+01,6.927385103869836136e-02
1.146000000000000085e+01,2.277690159503731049e-01
1.148000000000000043e+01,-1.502219231516640774e-01
1.150000000000000000e+01,1.940383623388002299e-01
1.151999999999999957e+01,1.796246298177604506e-01
1.153999999999999915e+01,1.457911034742374046e-01
1.156000000000000050e+01,-4.896495706870435116e-02
1.158000000000000007e+01,-2.925018238490990560e-02
1.159999999999999964e+01,1.444910956927822621e-01
1.162000000000000099e+01,1.428862146443705128e-01
1.164000000000000057e+01,1.101655449868517433e-01
1.166000000000000014e+01,1.243456943764963685e-01
1.167999999999999972e+01,4.819629085553210623e-02
1.169999999999999929e+01,1.233753412872045790e-01
1.172000000000000064e+01,7.215212637614597246e-02
1.174000000000000021e+01,-1.670545542935743255e-02
1.175999999999999979e+01,1.937256677323876408e-01
1.177999999999999936e+01,1.948678944952777492e-01
1.180000000000000071e+01,4.734642079646732976e-02
1.182000000000000028e+01,-3.432216459647927011e-03
1.183999999999999986e+01,1.429327115111594382e-01
1.185999999999999943e+01,-2.546761120036957274e-02
1.188000000000000078e+01,1.662476545112534232e-01
1.190000000000000036e+01,2.391033005863970329e-01
1.191999999999999993e+01,1.175500905919071026e-01
1.193999999999999950e+01,7.300410751713776528e-03
1.196000000000000085e+01,9.200441385599374133e-02
1.198000000000000043e+01,2.606681950118387436e-01
1.200000000000000000e+01,1.132678154071461302e-01
1.201999999999999957e+01,3.728906206680606128e-01
1.203999999999999915e+01,1.111207752026286827e-01
