# 2Theta,Intensity
1.000000000000000000e+01,1.248628216408468328e-01
1.001999999999999957e+01,2.071740025113486539e-01
1.003999999999999915e+01,-6.397230654259009053e-02
1.006000000000000050e+01,6.762555760006634664e-02
1.008000000000000007e+01,-1.305541422950867204e-02
1.009999999999999964e+01,-1.136502665709163279e-01
1.011999999999999922e+01,1.714303618216823089e-01
1.014000000000000057e+01,-7.675225663086651662e-02
1.016000000000000014e+01,2.346286843496387386e-01
1.017999999999999972e+01,3.601003901274773406e-02
1.019999999999999929e+01,6.256577375540975372e-02
1.022000000000000064e+01,1.526782123672149917e-02
1.024000000000000021e+01,7.374736189856412327e-02
1.025999999999999979e+01,-1.671467989341464747e-02
1.027999999999999936e+01,1.976141406075659912e-01
1.030000000000000071e+01,1.154416983799798208e-01
1.032000000000000028e+01,2.470505760333659706e-01
1.033999999999999986e+01,4.894948543721960865e-02
1.035999999999999943e+01,1.013884647509335490e-01
1.038000000000000078e+01,1.606491674161722172e-01
1.040000000000000036e+01,1.125342007023761165e-01
1.041999999999999993e+01,1.052180815771993627e-01
1.043999999999999950e+01,1.249988594907494033e-01
1.046000000000000085e+01,6.468711384116171415e-02
1.048000000000000043e+01,2.326297698984496343e-01
1.050000000000000000e+01,1.906601004311191672e-01
1.051999999999999957e+01,1.475005498338184118e-01
1.053999999999999915e+01,8.626443125835683845e-02
1.056000000000000050e+01,1.193140986681011650e-01
1.058000000000000007e+01,1.373341227563713018e-01
1.059999999999999964e+01,1.647855297236262562e-01
1.061999999999999922e+01,7.435766591246856239e-02
1.064000000000000057e+01,-1.034918923627946574e-01
1.066000000000000014e+01,1.479737677533645712e-01
1.067999999999999972e+01,2.104354378411396609e-01
1.069999999999999929e+01,6.363278991489078329e-02
1.072000000000000064e+01,-4.601510264092939506e-02
1.074000000000000021e+01,1.630955231097560576e-01
1.075999999999999979e+01,-5.944748287967826367e-02
1.077999999999999936e+01,9.424387273917469998e-02
1.080000000000000071e+01,1.204626580246470069e-01
1.082000000000000028e+01,6.528538003735030737e-02
1.083999999999999986e+01,2.266926183130445471e-01
1.085999999999999943e+01,6.140323788853289944e-02
1.088000000000000078e+01,7.553461451396072113e-02
1.090000000000000036e+01,6.525583731279896438e-02
1.091999999999999993e+01,3.925711047840425155e-02
1.093999999999999950e+01,1.981374230950301921e-02
1.096000000000000085e+01,-8.573387868428730685e-02
1.098000000000000043e+01,-3.557552289650841443e-02
1.100000000000000000e+01,1.388015604074855081e-01
1.101999999999999957e+01,3.026515890017206223e-02
1.103999999999999915e+01,2.300954469713374917e-01
1.106000000000000050e+01,9.663468108857917183e-02
1.108000000000000007e+01,4.929630615987267567e-02
1.109999999999999964e+01,8.734018632911340341e-02
1.112000000000000099e+01,1.069831064454595526e-01
1.114000000000000057e+01,2.114306800843594458e-01
1.116000000000000014e+01,9.753531839845679119e-02
1.117999999999999972e+01,-2.271612896307272089e-02
1.119999999999999929e+01,2.501379168092586758e-01
1.122000000000000064e+01,3.042115308406023039e-02
1.124000000000000021e+01,-1.841753553776186714e-01
1.125999999999999979e+01,7.111981881842135977e-02
