# 2Theta,Intensity
1.000000000000000000e+01,3.676658555800469408e-01
1.001999999999999957e+01,2.441614201242470195e-01
1.003999999999999915e+01,3.258761004104932524e-01
1.006000000000000050e+01,2.185154430531951186e-01
1.008000000000000007e+01,1.605056194943053349e-01
1.009999999999999964e+01,2.711127025366566468e-01
1.011999999999999922e+01,2.763519287496075116e-01
1.014000000000000057e+01,3.221482425199820310e-01
1.016000000000000014e+01,1.367154870495424779e-01
1.017999999999999972e+01,4.413646670566430674e-01
1.019999999999999929e+01,7.538942192977159118e-02
1.022000000000000064e+01,3.467494898241431645e-01
1.024000000000000021e+01,2.580577015053055479e-01
1.025999999999999979e+01,2.741018275732852172e-01
1.027999999999999936e+01,1.849886088999503353e-01
1.030000000000000071e+01,1.086158205176723096e-01
1.032000000000000028e+01,2.370168297259398205e-01
1.033999999999999986e+01,2.766473246848238920e-01
1.035999999999999943e+01,1.815436528469177857e-01
1.038000000000000078e+01,2.209240321052991785e-01
1.040000000000000036e+01,3.856050263467694639e-01
1.041999999999999993e+01,1.844266903776907995e-01
1.043999999999999950e+01,1.816671265026890969e-01
1.046000000000000085e+01,3.727291972289495381e-01
1.048000000000000043e+01,1.418337094950208599e-01
1.050000000000000000e+01,4.291768448159243854e-01
1.051999999999999957e+01,4.098133162820041808e-01
1.053999999999999915e+01,1.844779099591592475e-01
1.056000000000000050e+01,4.494557085097922178e-01
1.058000000000000007e+01,2.843069603633566200e-01
1.059999999999999964e+01,2.522109278638639540e-01
1.061999999999999922e+01,1.941464349363926367e-01
1.064000000000000057e+01,7.716181853608543133e-03
1.066000000000000014e+01,1.842675816267713984e-01
1.067999999999999972e+01,2.573246647601863391e-01
1.069999999999999929e+01,4.179075682288594384e-01
1.072000000000000064e+01,4.131564181001315395e-01
1.074000000000000021e+01,4.548344050730303567e-01
1.075999999999999979e+01,3.645804770656553284e-01
1.077999999999999936e+01,3.004127238300515756e-01
1.080000000000000071e+01,4.429422229627063556e-01
1.082000000000000028e+01,1.492528139034470791e-01
1.083999999999999986e+01,4.454699606465256645e-01
1.085999999999999943e+01,2.196286289113578427e-01
1.088000000000000078e+01,4.043502608072144788e-01
1.090000000000000036e+01,2.361569147156767634e-01
1.091999999999999993e+01,1.309452174962885407e-01
1.093999999999999950e+01,4.523920716032465150e-01
1.096000000000000085e+01,6.435321343841586550e-02
1.098000000000000043e+01,3.871963958980750853e-01
1.100000000000000000e+01,2.945865823939632921e-01
1.101999999999999957e+01,6.992905230930024363e-02
1.103999999999999915e+01,3.772304451590371976e-01
1.106000000000000050e+01,2.471931470860225799e-01
1.108000000000000007e+01,5.148813687440730869e-01
1.109999999999999964e+01,5.238836072061405780e-01
1.112000000000000099e+01,5.107843420284469138e-01
1.114000000000000057e+01,1.049307243279181262e-01
1.116000000000000014e+01,2.595374936305049896e-01
1.117999999999999972e+01,2.499066897283387656e-01
1.119999999999999929e+01,1.830598803361903892e-01
1.122000000000000064e+01,4.364917139269393065e-01
1.124000000000000021e+01,1.037992132416069163e-01
1.125999999999999979e+01,1.964592261171711207e-01
1.127999999999999936e+01,1.634914704857219903e-01
1.130000000000000071e+01,4.196740088557683879e-01
1.132000000000000028e+01,2.463133397989219486e-01
1.133999999999999986e+01,4.435835791186655275e-01
1.135999999999999943e+01,3.115954158120813333e-01
1.138000000000000078e+01,3.145831331440169243e-01
1.140000000000000036e+01,3.011900476527735182e-01
1.141999999999999993e+01,3.104736121729986809e-01
1.143999999999999950e+01,2.343602255302060511e-01
1.146000000000000085e+01,1.730560422667352383e-01
1.148000000000000043e+01,3.348424662437071153e-01
1.150000000000000000e+01,3.360837593365650910e-01
1.151999999999999957e+01,1.619015794063446700e-01
1.153999999999999915e+01,4.074655098644889284e-01
1.156000000000000050e+01,-3.781510197272220514e-02
1.158000000000000007e+01,2.378523803875556009e-01
1.159999999999999964e+01,3.441315103817884635e-01
1.162000000000000099e+01,4.803906468654534634e-01
1.164000000000000057e+01,3.410755547118891062e-01
1.166000000000000014e+01,4.197404827161743679e-01
1.167999999999999972e+01,2.405903014643741566e-01
1.169999999999999929e+01,3.147720231988265227e-01
1.172000000000000064e+01,3.047342301773569573e-01
1.174000000000000021e+01,2.100733370542872194e-02
1.175999999999999979e+01,2.789406741130721623e-01
1.177999999999999936e+01,4.185341961770482344e-01
1.180000000000000071e+01,3.112016255698101808e-01
1.182000000000000028e+01,4.078091116697503127e-01
1.183999999999999986e+01,2.955882584797412949e-01
1.185999999999999943e+01,2.263617727611634545e-01
1.188000000000000078e+01,2.364898172903548978e-01
1.190000000000000036e+01,2.527897922158852673e-01
1.191999999999999993e+01,1.364339222922172357e-01
1.193999999999999950e+01,1.238822269441788443e-01
1.196000000000000085e+01,1.354035745543164249e-01
1.198000000000000043e+01,4.278742733010558741e-01
1.200000000000000000e+01,4.138609918219477435e-01
1.201999999999999957e+01,2.241129738500101942e-01
1.203999999999999915e+01,2.432225814062412561e-01
1.206000000000000050e+01,2.644669291535916011e-01
1.208000000000000007e+01,3.294207103175824103e-01
1.209999999999999964e+01,5.136771325576391933e-02
1.212000000000000099e+01,2.351544629076130766e-01
1.214000000000000057e+01,2.807805626232208751e-01
1.216000000000000014e+01,2.727528695621844190e-01
1.217999999999999972e+01,2.623585639637349698e-01
1.219999999999999929e+01,3.197419123828473264e-01
1.222000000000000064e+01,1.760692616624771611e-01
1.224000000000000021e+01,2.449723941932343829e-01
1.225999999999999979e+01,1.325534692612935495e-01
1.228000000000000114e+01,1.301392166229240477e-01
1.230000000000000071e+01,1.740979570991776915e-01
1.232000000000000028e+01,1.844483347709831855e-01
1.233999999999999986e+01,2.317654602287732568e-01
1.235999999999999943e+01,2.235346292003541069e-01
1.237999999999999901e+01,3.913086882522767151e-01
1.240000000000000036e+01,5.471838008992228053e-01
1.241999999999999993e+01,4.711607631081091707e-01
1.243999999999999950e+01,4.848839911828119464e-01
1.246000000000000085e+01,3.504548580272363878e-02
1.248000000000000043e+01,1.869169790003693821e-01
1.250000000000000000e+01,5.180209905209215426e-01
1.251999999999999957e+01,2.716747246522282500e-01
1.253999999999999915e+01,3.268904372675541237e-01
1.256000000000000050e+01,2.858971796978434510e-01
1.258000000000000007e+01,2.945833175705037110e-01
1.259999999999999964e+01,2.385820382809317186e-01
1.262000000000000099e+01,1.618805860744059744e-01
1.264000000000000057e+01,6.832961279300366064e-02
1.266000000000000014e+01,8.834297176408263674e-02
1.267999999999999972e+01,2.714398474153351115e-01
1.269999999999999929e+01,2.221660749463304774e-01
1.272000000000000064e+01,3.831869116354712501e-01
1.274000000000000021e+01,2.441874949575465747e-01
1.275999999999999979e+01,2.636297097330243533e-01
1.278000000000000114e+01,4.167331083686003357e-01
1.280000000000000071e+01,1.109033914226768003e-01
1.282000000000000028e+01,1.492769062229052368e-01
1.283999999999999986e+01,3.612444914984068722e-01
1.285999999999999943e+01,-1.009103149752729224e-02
1.287999999999999901e+01,8.333401559760759969e-02
1.290000000000000036e+01,3.658875051589386973e-01
1.291999999999999993e+01,2.471646889186777662e-01
1.293999999999999950e+01,1.727712688555367304e-01
1.296000000000000085e+01,-1.706319774276557127e-03
1.298000000000000043e+01,2.507596310376528081e-01
1.300000000000000000e+01,2.425204638130762924e-01
1.301999999999999957e+01,2.809131397798046437e-01
1.303999999999999915e+01,3.011218035888339473e-01
1.306000000000000050e+01,2.614422530720242333e-02
1.308000000000000007e+01,2.452346883750787243e-01
1.309999999999999964e+01,3.525849036398301384e-01
1.312000000000000099e+01,4.814262079697626540e-01
1.314000000000000057e+01,1.383365707970888314e-01
1.316000000000000014e+01,3.781812482932959685e-01
1.317999999999999972e+01,1.667044407497913217e-01
1.319999999999999929e+01,1.731746629716415797e-01
1.322000000000000064e+01,3.662796088399172811e-01
1.324000000000000021e+01,3.175496528373296101e-01
1.325999999999999979e+01,3.733416152209024230e-01
1.328000000000000114e+01,2.825621952600995690e-01
1.330000000000000071e+01,2.938435455951814990e-01
1.332000000000000028e+01,2.093791011141320213e-01
1.333999999999999986e+01,2.977561703355222078e-01
1.335999999999999943e+01,2.879059445875051804e-01
1.337999999999999901e+01,1.820847328165179357e-01
1.340000000000000036e+01,1.954944169518895158e-01
1.341999999999999993e+01,1.557560637357375821e-01
1.343999999999999950e+01,4.134542465525829491e-01
1.346000000000000085e+01,4.783984037528198341e-01
1.348000000000000043e+01,1.588628887501028208e-01
1.350000000000000000e+01,2.127507365701332698e-01
1.351999999999999957e+01,5.365805235314820010e-01
1.353999999999999915e+01,2.201741596737670226e-01
1.356000000000000050e+01,4.318545207708669453e-01
1.358000000000000007e+01,3.517077939498644001e-01
1.359999999999999964e+01,1.594638610903279796e-01
1.362000000000000099e+01,3.177050842079630066e-01
1.364000000000000057e+01,3.525651504348132903e-01
1.366000000000000014e+01,2.287873560210088864e-01
1.367999999999999972e+01,3.355058595429887269e-01
1.369999999999999929e+01,4.253796421477376022e-01
1.372000000000000064e+01,4.300329123006405574e-01
1.374000000000000021e+01,3.993521437715191191e-01
1.375999999999999979e+01,2.701754197852174744e-01
1.378000000000000114e+01,2.971410376302431322e-01
1.380000000000000071e+01,4.540373269491261854e-01
1.382000000000000028e+01,3.870275654609076632e-01
1.383999999999999986e+01,2.184500610746051563e-01
1.385999999999999943e+01,1.357406660323260961e-01
1.387999999999999901e+01,5.462716706955052931e-02
1.390000000000000036e+01,3.328568857669238490e-01
1.391999999999999993e+01,1.850270943761812004e-01
1.393999999999999950e+01,1.920624043331659037e-01
1.396000000000000085e+01,2.389821816158577694e-01
1.398000000000000043e+01,3.381336606238963260e-01
1.400000000000000000e+01,2.591559854164873777e-01
1.401999999999999957e+01,2.049140713642851053e-01
1.403999999999999915e+01,2.067500145357917540e-01
1.406000000000000050e+01,1.626457394210150675e-01
1.408000000000000007e+01,3.012090960401532236e-01
1.409999999999999964e+01,4.319829388005282378e-01
1.412000000000000099e+01,2.956834804412517559e-01
1.414000000000000057e+01,2.202637647192859927e-01
1.416000000000000014e+01,2.360875496087525283e-01
1.417999999999999972e+01,1.093378357759573344e-01
1.419999999999999929e+01,2.297570377684822751e-01
1.421999999999999886e+01,1.314871811251262512e-01
1.424000000000000021e+01,2.458686883647193122e-01
1.425999999999999979e+01,3.281211404907353746e-01
1.428000000000000114e+01,2.578994606145611490e-01
1.430000000000000071e+01,8.334269712056115165e-02
1.432000000000000028e+01,2.963742277230287936e-01
1.433999999999999986e+01,2.417712662744833652e-01
1.435999999999999943e+01,1.765865905918560241e-01
1.437999999999999901e+01,1.345461257870779748e-01
1.440000000000000036e+01,-7.619342976328336015e-02
1.441999999999999993e+01,2.632496953587035726e-01
1.444000000000000128e+01,2.638839645542349621e-01
1.446000000000000085e+01,3.208044993738580208e-01
1.448000000000000043e+01,3.733640213638166339e-01
1.450000000000000000e+01,2.645466596776616663e-01
1.451999999999999957e+01,-6.051378036977595604e-02
1.453999999999999915e+01,1.505031706850431805e-01
1.456000000000000050e+01,4.640795772000045893e-01
1.458000000000000007e+01,2.271899352599751898e-01
1.460000000000000142e+01,2.699987635866542002e-01
1.462000000000000099e+01,2.961104290906908520e-01
1.464000000000000057e+01,2.367357125656645855e-01
1.466000000000000014e+01,1.221847345851414385e-01
1.467999999999999972e+01,7.215555912287209550e-02
1.469999999999999929e+01,2.646016263621006059e-01
1.471999999999999886e+01,3.806677329900673423e-01
1.474000000000000021e+01,1.524097685977618966e-01
1.475999999999999979e+01,2.110963534853562140e-01
1.478000000000000114e+01,2.213722437357105721e-01
1.480000000000000071e+01,4.555953601342945802e-01
1.482000000000000028e+01,3.725729710850336218e-01
1.483999999999999986e+01,1.367161311625142150e-01
1.485999999999999943e+01,2.518270080458263546e-02
1.487999999999999901e+01,1.232918746822573783e-03
1.490000000000000036e+01,2.287238347322590459e-01
1.491999999999999993e+01,4.463608440561310786e-01
1.494000000000000128e+01,2.323677414116650797e-01
1.496000000000000085e+01,3.387190120436199270e-01
1.498000000000000043e+01,2.765964631036425536e-01
1.500000000000000000e+01,3.615263819317279248e-01
1.501999999999999957e+01,1.105282874261667575e-01
1.503999999999999915e+01,1.488557859855696441e-01
1.506000000000000050e+01,2.062689396201961012e-01
1.508000000000000007e+01,5.291447517318011995e-01
1.510000000000000142e+01,2.045940333705212888e-01
1.512000000000000099e+01,2.060402425912763735e-01
1.514000000000000057e+01,4.093115012732946312e-01
1.516000000000000014e+01,2.969059167673798738e-01
1.517999999999999972e+01,1.044548369009536126e-02
1.519999999999999929e+01,2.247479505355906015e-01
