# 2Theta,Intensity
1.000000000000000000e+01,3.530295991942985351e-02
1.001999999999999957e+01,-6.047798846629533903e-02
1.003999999999999915e+01,4.985703514178225354e-02
1.006000000000000050e+01,-2.565355673578118556e-01
1.008000000000000007e+01,7.883012196909511271e-02
1.009999999999999964e+01,3.713571774426104033e-02
1.011999999999999922e+01,-1.598388745910755415e-01
1.014000000000000057e+01,-8.771306739936934882e-02
1.016000000000000014e+01,-2.282875603649583626e-02
1.017999999999999972e+01,9.358870352770859435e-02
1.019999999999999929e+01,1.105016407666220279e-01
1.022000000000000064e+01,-1.305403014545882326e-02
1.024000000000000021e+01,4.545141189936102049e-04
1.025999999999999979e+01,6.290047919478090888e-02
1.027999999999999936e+01,2.016764684682680331e-01
1.030000000000000071e+01,1.679185594454142005e-01
1.032000000000000028e+01,-7.216567708982692120e-02
1.033999999999999986e+01,-5.096129610094715656e-02
1.035999999999999943e+01,1.766925022451932836e-01
1.038000000000000078e+01,9.527785700139598801e-02
1.040000000000000036e+01,-4.295275799200939243e-02
1.041999999999999993e+01,-6.891510512932870480e-02
1.043999999999999950e+01,-9.716209511213869804e-03
1.046000000000000085e+01,-7.813276111598774568e-03
1.048000000000000043e+01,1.158884229645085473e-01
1.050000000000000000e+01,5.750138420620275193e-02
1.051999999999999957e+01,-4.330723666170063768e-02
1.053999999999999915e+01,1.264218329616314529e-01
1.056000000000000050e+01,1.274583542373458611e-01
1.058000000000000007e+01,9.328565152558861151e-02
1.059999999999999964e+01,-1.532296718720755312e-02
1.061999999999999922e+01,6.159842613956727914e-03
1.064000000000000057e+01,5.196506515981415969e-02
1.066000000000000014e+01,-8.261434806553891175e-02
1.067999999999999972e+01,1.448495728337249877e-01
1.069999999999999929e+01,2.209465039737439906e-01
1.072000000000000064e+01,1.907032932811241199e-01
1.074000000000000021e+01,-3.372069234710394631e-02
1.075999999999999979e+01,1.551540753633721681e-01
1.077999999999999936e+01,2.420137796314163897e-02
1.080000000000000071e+01,-1.011394544546361240e-01
1.082000000000000028e+01,9.815949207065992332e-02
1.083999999999999986e+01,1.806688270901636861e-01
1.085999999999999943e+01,-1.081860362696397404e-01
1.088000000000000078e+01,9.639896983404057373e-02
1.090000000000000036e+01,1.767028733478262781e-01
1.091999999999999993e+01,2.131217849057521208e-01
1.093999999999999950e+01,7.247726438195400966e-01
1.096000000000000085e+01,1.641450729616737103e+00
1.098000000000000043e+01,1.435993438421543589e+00
1.100000000000000000e+01,7.169559907332758719e-01
1.101999999999999957e+01,2.658251040635105644e-01
1.103999999999999915e+01,-5.474717460472336428e-02
1.106000000000000050e+01,1.386672776349958947e-01
1.108000000000000007e+01,-1.739132065403036637e-02
1.109999999999999964e+01,-3.062176173809409707e-02
1.112000000000000099e+01,5.167658288948066836e-02
1.114000000000000057e+01,-8.985715479523871674e-02
1.116000000000000014e+01,-1.140772819992506848e-01
1.117999999999999972e+01,5.577259463022393726e-02
1.119999999999999929e+01,1.868918697322645775e-02
1.122000000000000064e+01,2.722421396339556043e-01
1.124000000000000021e+01,1.552363395832838389e-01
1.125999999999999979e+01,-2.745163221387653119e-01
1.127999999999999936e+01,-4.800876117837151597e-02
1.130000000000000071e+01,4.378893442165405353e-02
1.132000000000000028e+01,1.226581592589896658e-01
1.133999999999999986e+01,8.338890734669111848e-02
1.135999999999999943e+01,-7.435039588835647140e-02
1.138000000000000078e+01,-3.778521165849434149e-02
1.140000000000000036e+01,-8.671517947519306879e-02
1.141999999999999993e+01,7.284502025084337029e-02
1.143999999999999950e+01,-1.476955504262823515e-01
1.146000000000000085e+01,-5.918625278205662948e-02
1.148000000000000043e+01,2.277538374626092710e-01
1.150000000000000000e+01,-8.459001505947245925e-02
1.151999999999999957e+01,-1.416131816585431552e-02
1.153999999999999915e+01,1.021672498286812641e-01
1.156000000000000050e+01,4.419453442634144191e-02
1.158000000000000007e+01,-2.248389167257124899e-01
1.159999999999999964e+01,1.183153830219745989e-01
1.162000000000000099e+01,-1.334901122993468192e-01
1.164000000000000057e+01,1.775641971495033888e-01
1.166000000000000014e+01,4.422088763156000607e-02
1.167999999999999972e+01,-2.528793229851065798e-03
1.169999999999999929e+01,-1.001613241120310055e-01
1.172000000000000064e+01,-7.072429934206279911e-02
1.174000000000000021e+01,5.228038018211772497e-02
1.175999999999999979e+01,-8.963660707852502685e-02
1.177999999999999936e+01,1.065877687200503798e-01
1.180000000000000071e+01,6.143710071931354766e-02
1.182000000000000028e+01,-9.398281606287688106e-02
1.183999999999999986e+01,-1.287928449852512036e-01
1.185999999999999943e+01,-9.104931340414555707e-02
1.188000000000000078e+01,1.584234973469612895e-01
1.190000000000000036e+01,1.129116897783209866e-01
1.191999999999999993e+01,3.386724747046417766e-02
1.193999999999999950e+01,4.578726312346076410e-02
1.196000000000000085e+01,-1.166669670486691901e-01
1.198000000000000043e+01,1.121213161416909215e-01
1.200000000000000000e+01,9.711409101502944952e-02
1.201999999999999957e+01,1.283288048778213897e-01
1.203999999999999915e+01,1.386282742605980112e-01
1.206000000000000050e+01,-1.153844857971060740e-02
1.208000000000000007e+01,8.857533494581078248e-03
1.209999999999999964e+01,2.922418293540534825e-02
1.212000000000000099e+01,1.969924478974368620e-01
1.214000000000000057e+01,6.473000055244085282e-02
1.216000000000000014e+01,4.573990987346532311e-02
1.217999999999999972e+01,6.793471133121652128e-02
1.219999999999999929e+01,-6.833379875166559203e-02
1.222000000000000064e+01,-6.753965511244729159e-02
1.224000000000000021e+01,1.470620741108922269e-01
1.225999999999999979e+01,-7.759807675431699969e-02
1.228000000000000114e+01,4.275124842191196234e-02
1.230000000000000071e+01,-6.653977608475565575e-02
1.232000000000000028e+01,5.890909180907900194e-02
1.233999999999999986e+01,2.161189415248573054e-01
1.235999999999999943e+01,1.588879032871743924e-01
1.237999999999999901e+01,1.095470035021961107e-03
1.240000000000000036e+01,1.911274663318628109e-01
1.241999999999999993e+01,3.673328690832895066e-02
1.243999999999999950e+01,-4.679656545989598938e-03
1.246000000000000085e+01,9.196063091295587910e-02
1.248000000000000043e+01,4.381386819313664790e-03
1.250000000000000000e+01,9.535775669613704569e-03
1.251999999999999957e+01,1.896592162556758610e-01
1.253999999999999915e+01,-7.438131864186961484e-02
1.256000000000000050e+01,9.606962664052105805e-02
1.258000000000000007e+01,2.753113940534244672e-02
1.259999999999999964e+01,-1.443050723989016404e-01
1.262000000000000099e+01,8.472632169471300267e-02
1.264000000000000057e+01,-7.821638294523714993e-03
1.266000000000000014e+01,1.255826825361633370e-01
1.267999999999999972e+01,-2.221898630419348597e-02
1.269999999999999929e+01,1.158900887640055277e-01
1.272000000000000064e+01,1.305694707615663759e-02
1.274000000000000021e+01,8.009916988147122024e-03
1.275999999999999979e+01,-6.836426326987066204e-02
1.278000000000000114e+01,1.105746953774543531e-02
1.280000000000000071e+01,-3.534678268000520512e-02
1.282000000000000028e+01,7.730979529462458921e-02
1.283999999999999986e+01,2.534593802474005009e-01
1.285999999999999943e+01,1.502680830069468287e-01
1.287999999999999901e+01,-1.751741922980007415e-02
1.290000000000000036e+01,1.177644644964448151e-01
1.291999999999999993e+01,1.125321687071734467e-01
1.293999999999999950e+01,-7.600564822398175879e-02
1.296000000000000085e+01,1.517272623220507766e-01
1.298000000000000043e+01,-1.097759906368849514e-01
1.300000000000000000e+01,-7.821103291162301990e-03
1.301999999999999957e+01,5.389168062985878749e-02
1.303999999999999915e+01,1.082571337486264856e-01
1.306000000000000050e+01,1.034810709574380261e-01
1.308000000000000007e+01,-1.514923899284114500e-02
1.309999999999999964e+01,7.599670754096342004e-03
1.312000000000000099e+01,1.157741081884066520e-01
1.314000000000000057e+01,3.068847179027249794e-01
1.316000000000000014e+01,-2.934301464797655495e-02
1.317999999999999972e+01,8.460739702381239735e-02
1.319999999999999929e+01,1.167162200744678302e-01
1.322000000000000064e+01,3.550014023599018520e-02
1.324000000000000021e+01,2.213782417221666909e-01
1.325999999999999979e+01,1.255382957761008722e-01
1.328000000000000114e+01,-6.387010597043335167e-03
1.330000000000000071e+01,-6.485893739351498988e-02
1.332000000000000028e+01,1.094390495246792133e-01
1.333999999999999986e+01,1.757665179314367165e-01
1.335999999999999943e+01,6.055779279346258648e-02
1.337999999999999901e+01,1.563766441684468628e-02
1.340000000000000036e+01,1.599266388662715088e-01
1.341999999999999993e+01,1.646820747827995868e-01
1.343999999999999950e+01,1.110171923632344640e-02
1.346000000000000085e+01,-9.158856769726916869e-02
1.348000000000000043e+01,-1.909444386519916059e-03
1.350000000000000000e+01,1.320405555856319080e-01
1.351999999999999957e+01,7.809939548492847439e-02
1.353999999999999915e+01,-1.023567828290972287e-01
1.356000000000000050e+01,-1.500421475258270632e-01
1.358000000000000007e+01,-6.796804941463610583e-02
1.359999999999999964e+01,3.991974004178049963e-03
1.362000000000000099e+01,4.176088467496846118e-02
1.364000000000000057e+01,2.643991232956816040e-02
1.366000000000000014e+01,-8.326419422257168952e-04
1.367999999999999972e+01,6.729853418531631104e-02
1.369999999999999929e+01,2.331023446898357679e-02
