# 2Theta,Intensity
1.000000000000000000e+01,2.276401027877361372e-01
1.001999999999999957e+01,3.635692348435313193e-01
1.003999999999999915e+01,1.552490704248906117e-01
1.006000000000000050e+01,3.250567538157013159e-01
1.008000000000000007e+01,3.067855786412727603e-01
1.009999999999999964e+01,2.715598716702227744e-01
1.011999999999999922e+01,2.045790519280245023e-01
1.014000000000000057e+01,4.125186806307314380e-01
1.016000000000000014e+01,1.355598883863383675e-01
1.017999999999999972e+01,3.387843426339359199e-01
1.019999999999999929e+01,2.958327766997326247e-01
1.022000000000000064e+01,1.342509712701405733e-01
1.024000000000000021e+01,1.108886599581552501e-01
1.025999999999999979e+01,2.194270796654937961e-01
1.027999999999999936e+01,1.633084628855060727e-01
1.030000000000000071e+01,2.467915816861143141e-01
1.032000000000000028e+01,2.623782180658056351e-01
1.033999999999999986e+01,3.104344545282539461e-02
1.035999999999999943e+01,2.436927613721351360e-01
1.038000000000000078e+01,1.113390608906887902e-01
1.040000000000000036e+01,1.112233158158581342e-01
1.041999999999999993e+01,1.039674851284198981e-01
1.043999999999999950e+01,7.137771278721523338e-02
1.046000000000000085e+01,2.249603797033735975e-01
1.048000000000000043e+01,2.175461532609526960e-01
1.050000000000000000e+01,1.169525171980314998e-01
1.051999999999999957e+01,1.496619485567981522e-01
1.053999999999999915e+01,-3.056926638725838974e-02
1.056000000000000050e+01,2.367408252798545165e-01
1.058000000000000007e+01,8.996909751573395342e-02
1.059999999999999964e+01,2.621841314407469814e-01
1.061999999999999922e+01,1.328134168090025491e-01
1.064000000000000057e+01,1.644138423189649700e-01
1.066000000000000014e+01,3.042598384775917486e-01
1.067999999999999972e+01,3.788720128196007009e-01
1.069999999999999929e+01,3.664769689753877291e-01
1.072000000000000064e+01,-8.693524372743763329e-02
1.074000000000000021e+01,4.494310392215364325e-02
1.075999999999999979e+01,4.297037150827341390e-01
1.077999999999999936e+01,1.592541072292240623e-01
1.080000000000000071e+01,2.134786517830337127e-01
1.082000000000000028e+01,-8.334151734429050273e-02
1.083999999999999986e+01,1.266661008045585901e-01
1.085999999999999943e+01,4.521174768660030097e-01
1.088000000000000078e+01,9.283408865379920438e-02
1.090000000000000036e+01,1.331114174189466579e-02
1.091999999999999993e+01,2.558051683967369483e-01
1.093999999999999950e+01,2.337253979622105349e-01
1.096000000000000085e+01,2.883091561481088833e-02
1.098000000000000043e+01,1.592322105934782517e-01
1.100000000000000000e+01,3.871683765286469958e-01
1.101999999999999957e+01,3.436937410664644976e-02
1.103999999999999915e+01,6.830946961495827641e-02
1.106000000000000050e+01,-1.411324752820719217e-02
1.108000000000000007e+01,1.934932586365744611e-01
1.109999999999999964e+01,4.169786612506298784e-02
1.112000000000000099e+01,1.995374362172559202e-01
1.114000000000000057e+01,2.315567226513517429e-01
1.116000000000000014e+01,2.142609112771154956e-01
1.117999999999999972e+01,2.953239735110348152e-02
1.119999999999999929e+01,2.397496891524984741e-01
1.122000000000000064e+01,3.733752419736253714e-01
1.124000000000000021e+01,2.665694378888039950e-01
1.125999999999999979e+01,1.359005486716484135e-01
1.127999999999999936e+01,1.528722685178403873e-01
1.130000000000000071e+01,7.657712715077011345e-02
1.132000000000000028e+01,3.266493772016970665e-01
1.133999999999999986e+01,3.464172108436757158e-01
1.135999999999999943e+01,2.207196261916338220e-01
1.138000000000000078e+01,2.016035025984656004e-01
1.140000000000000036e+01,2.972149508715761224e-01
1.141999999999999993e+01,-2.090241611458006077e-02
1.143999999999999950e+01,2.160897580036001964e-01
1.146000000000000085e+01,4.173410302324194743e-01
1.148000000000000043e+01,3.050117921215200201e-01
1.150000000000000000e+01,2.904024908625855161e-01
1.151999999999999957e+01,2.493732932996026719e-01
1.153999999999999915e+01,1.660564093043776224e-01
1.156000000000000050e+01,1.148783730965976801e-01
1.158000000000000007e+01,1.358993033933318939e-01
1.159999999999999964e+01,9.440361155375442959e-02
