# 2Theta,Intensity
1.000000000000000000e+01,4.585412900642864553e-01
1.001999999999999957e+01,3.974046955816441518e-01
1.003999999999999915e+01,4.127730400949234379e-01
1.006000000000000050e+01,3.363665192867310028e-01
1.008000000000000007e+01,1.314605035913746500e-01
1.009999999999999964e+01,4.376196867907595212e-01
1.011999999999999922e+01,4.354913507428689323e-01
1.014000000000000057e+01,4.275538666186413650e-01
1.016000000000000014e+01,4.694478746078529774e-01
1.017999999999999972e+01,3.568365024276374808e-01
1.019999999999999929e+01,4.175081775572986875e-01
1.022000000000000064e+01,3.238771578722566269e-01
1.024000000000000021e+01,4.064267021556796089e-01
1.025999999999999979e+01,4.505849283209411027e-01
1.027999999999999936e+01,2.074121437338000695e-01
1.030000000000000071e+01,3.318489707840508451e-01
1.032000000000000028e+01,5.414215332336335118e-01
1.033999999999999986e+01,2.283948222598895517e-01
1.035999999999999943e+01,2.109704875648695521e-01
1.038000000000000078e+01,2.008269709433609940e-01
1.040000000000000036e+01,1.909853040963978565e-01
1.041999999999999993e+01,1.289320988320699357e-01
1.043999999999999950e+01,4.116699405033406589e-01
1.046000000000000085e+01,2.780412189119481070e-01
1.048000000000000043e+01,4.584328996723310290e-01
1.050000000000000000e+01,4.607503364086031894e-01
1.051999999999999957e+01,2.148507881606548930e-01
1.053999999999999915e+01,4.076289569059361462e-01
1.056000000000000050e+01,4.813175282386911724e-01
1.058000000000000007e+01,1.971106533374990810e-01
1.059999999999999964e+01,2.481960901623355975e-01
1.061999999999999922e+01,2.852044704280283782e-01
1.064000000000000057e+01,4.051250223398748518e-01
1.066000000000000014e+01,2.144402679714068893e-01
1.067999999999999972e+01,4.906447854254626373e-01
1.069999999999999929e+01,3.993303250430613738e-01
1.072000000000000064e+01,1.606705417098930333e-01
1.074000000000000021e+01,2.261894509304786804e-01
1.075999999999999979e+01,3.066809427601849269e-01
1.077999999999999936e+01,8.796161381751255171e-02
1.080000000000000071e+01,1.246847731634970619e-01
1.082000000000000028e+01,4.166846182575874025e-01
1.083999999999999986e+01,3.854189406369095683e-01
1.085999999999999943e+01,1.932295592150569397e-01
1.088000000000000078e+01,3.059090854668189974e-01
1.090000000000000036e+01,1.733430752451065593e-01
1.091999999999999993e+01,1.908407148299839096e-01
1.093999999999999950e+01,4.104233047958792957e-01
1.096000000000000085e+01,2.164223814205134266e-01
1.098000000000000043e+01,2.719698883990073202e-01
1.100000000000000000e+01,3.730446518086927843e-01
1.101999999999999957e+01,3.689748429868489610e-01
1.103999999999999915e+01,1.095842095932249571e-01
1.106000000000000050e+01,2.837524638556521150e-01
1.108000000000000007e+01,4.971138127946287955e-01
1.109999999999999964e+01,3.607763247287508745e-01
1.112000000000000099e+01,3.875064437969871212e-01
1.114000000000000057e+01,3.596426669219710548e-01
1.116000000000000014e+01,1.091815193852816446e-01
1.117999999999999972e+01,4.278463047887492432e-01
1.119999999999999929e+01,3.512144136395676797e-01
1.122000000000000064e+01,3.470092077253402185e-01
1.124000000000000021e+01,4.378130143050108503e-01
1.125999999999999979e+01,2.422267777575906889e-01
1.127999999999999936e+01,2.459063378142984369e-01
1.130000000000000071e+01,1.783442119700420769e-01
1.132000000000000028e+01,1.575554388583833842e-01
1.133999999999999986e+01,5.331568248631344265e-01
1.135999999999999943e+01,3.629213381318762144e-01
1.138000000000000078e+01,4.085383993253375312e-01
1.140000000000000036e+01,2.009795189899637735e-01
1.141999999999999993e+01,5.544420493512557391e-01
1.143999999999999950e+01,1.464782242642052590e-01
1.146000000000000085e+01,4.718680281383341168e-01
1.148000000000000043e+01,3.716152592996170845e-01
1.150000000000000000e+01,3.631337710904457283e-02
1.151999999999999957e+01,3.593026595971595682e-01
1.153999999999999915e+01,2.729129396580513567e-01
