# 2Theta,Intensity
1.000000000000000000e+01,9.844192262749438399e-03
1.001999999999999957e+01,1.927580497738860255e-01
1.003999999999999915e+01,2.472178214260525309e-01
1.006000000000000050e+01,-2.418460449666568965e-02
1.008000000000000007e+01,6.196557619685272994e-02
1.009999999999999964e+01,8.895209764183030499e-02
1.011999999999999922e+01,2.041205562019374198e-01
1.014000000000000057e+01,1.287952468618180357e-01
1.016000000000000014e+01,-3.991627821322091263e-03
1.017999999999999972e+01,-2.278104373704860353e-02
1.019999999999999929e+01,1.239192385553852110e-01
1.022000000000000064e+01,1.555177411640177865e-01
1.024000000000000021e+01,6.872770452845539113e-02
1.025999999999999979e+01,3.490100309085292229e-02
1.027999999999999936e+01,-2.744010298306202508e-02
1.030000000000000071e+01,-3.430807099230568508e-02
1.032000000000000028e+01,6.439847185007699371e-02
1.033999999999999986e+01,8.122451093877450234e-02
1.035999999999999943e+01,4.026478158211276304e-01
1.038000000000000078e+01,-9.069461167047640493e-02
1.040000000000000036e+01,1.396542243297337615e-01
1.041999999999999993e+01,1.527687761244624076e-01
1.043999999999999950e+01,-1.500187755892371799e-01
1.046000000000000085e+01,9.424357177168948829e-02
1.048000000000000043e+01,1.287843781302058510e-01
1.050000000000000000e+01,1.072330150113501718e-01
1.051999999999999957e+01,1.749064871502734320e-01
1.053999999999999915e+01,4.883789061913753476e-02
1.056000000000000050e+01,1.535638509062194623e-01
1.058000000000000007e+01,-1.278225014928346115e-01
1.059999999999999964e+01,6.693209408553621453e-02
1.061999999999999922e+01,3.460537079713253972e-01
1.064000000000000057e+01,-1.446413695067828298e-01
1.066000000000000014e+01,1.080271274020689898e-01
1.067999999999999972e+01,1.259460635800921380e-01
1.069999999999999929e+01,5.348495856754698075e-02
1.072000000000000064e+01,1.322029760034354462e-02
1.074000000000000021e+01,5.274760990330230187e-02
1.075999999999999979e+01,-4.220959619094441506e-02
1.077999999999999936e+01,2.414282608273200759e-04
1.080000000000000071e+01,3.677704149756756968e-01
1.082000000000000028e+01,1.422740692858232292e-01
1.083999999999999986e+01,9.539958368294162994e-02
1.085999999999999943e+01,1.550401687451997967e-01
1.088000000000000078e+01,-9.954293661668307813e-02
1.090000000000000036e+01,1.055747573256808972e-02
1.091999999999999993e+01,2.772706866642198342e-01
1.093999999999999950e+01,-7.693916421539899464e-02
1.096000000000000085e+01,3.870724535469849403e-01
1.098000000000000043e+01,2.376678845605324497e-01
1.100000000000000000e+01,2.200593423610766042e-01
1.101999999999999957e+01,1.398341585802281850e-01
1.103999999999999915e+01,1.348301997700399046e-01
1.106000000000000050e+01,-1.327125274200680327e-01
1.108000000000000007e+01,9.293151269174643181e-02
1.109999999999999964e+01,-1.158419024337847408e-01
1.112000000000000099e+01,3.014249226510640756e-01
1.114000000000000057e+01,9.003042816153801475e-02
1.116000000000000014e+01,-6.854345446883533532e-02
1.117999999999999972e+01,8.541188977003651150e-02
1.119999999999999929e+01,1.064854592977833719e-01
1.122000000000000064e+01,1.423200443406608950e-01
1.124000000000000021e+01,5.727172508584980892e-02
1.125999999999999979e+01,2.160767211779292540e-01
1.127999999999999936e+01,6.028066935231379819e-02
1.130000000000000071e+01,6.019264366360164292e-02
1.132000000000000028e+01,1.094355399587160632e-01
1.133999999999999986e+01,1.259135319438815272e-02
1.135999999999999943e+01,1.355937219059401809e-02
1.138000000000000078e+01,-6.625498694553176582e-02
1.140000000000000036e+01,1.538506771557549002e-01
1.141999999999999993e+01,-1.643255224867731096e-02
1.143999999999999950e+01,1.024469211362729060e-01
1.146000000000000085e+01,6.675276190745378646e-02
1.148000000000000043e+01,9.826976802356293672e-02
1.150000000000000000e+01,9.038467768794233859e-02
1.151999999999999957e+01,1.186801005180761343e-01
1.153999999999999915e+01,-4.187789247958478844e-02
1.156000000000000050e+01,1.346967958177447133e-01
1.158000000000000007e+01,1.823145264676316601e-01
1.159999999999999964e+01,2.736957038888003860e-03
1.162000000000000099e+01,8.932991381945430687e-02
1.164000000000000057e+01,1.152804843728346129e-01
1.166000000000000014e+01,1.046587473346437813e-01
1.167999999999999972e+01,2.239335200403808901e-01
1.169999999999999929e+01,1.866832461483745598e-01
1.172000000000000064e+01,2.279335078035939766e-01
1.174000000000000021e+01,1.167437589564244288e-01
1.175999999999999979e+01,2.333428991914169581e-01
1.177999999999999936e+01,5.144066293388451644e-02
1.180000000000000071e+01,1.448829393445494329e-01
