# 2Theta,Intensity
1.000000000000000000e+01,1.734869277270900123e-01
1.001999999999999957e+01,9.038092322914920151e-02
1.003999999999999915e+01,1.158269236376527483e-01
1.006000000000000050e+01,3.823275169553048275e-02
1.008000000000000007e+01,2.678317142077882990e-02
1.009999999999999964e+01,2.092431254949942421e-01
1.011999999999999922e+01,5.774810002405215970e-02
1.014000000000000057e+01,1.390682488013283936e-03
1.016000000000000014e+01,5.485672482300551350e-02
1.017999999999999972e+01,1.643924249830099882e-01
1.019999999999999929e+01,-9.631098854771101558e-02
1.022000000000000064e+01,-1.196714742376964700e-02
1.024000000000000021e+01,2.647130438125950072e-02
1.025999999999999979e+01,2.102394938005308078e-01
1.027999999999999936e+01,-1.001345469748729927e-01
1.030000000000000071e+01,1.765769808285150566e-01
1.032000000000000028e+01,4.510569852009564673e-02
1.033999999999999986e+01,5.231730984758260761e-02
1.035999999999999943e+01,4.246545278939639623e-01
1.038000000000000078e+01,7.512859555157483382e-02
1.040000000000000036e+01,3.936914511105020498e-02
1.041999999999999993e+01,1.168620322228157149e-01
1.043999999999999950e+01,3.615223527290294947e-01
1.046000000000000085e+01,2.069687072537219896e-01
1.048000000000000043e+01,1.191559254952858499e-01
1.050000000000000000e+01,1.590174536437663488e-01
1.051999999999999957e+01,-7.503165894872580732e-02
1.053999999999999915e+01,2.082681875500497770e-01
1.056000000000000050e+01,1.398186549480792407e-01
1.058000000000000007e+01,8.114867568757198890e-02
1.059999999999999964e+01,8.093673193675121613e-02
1.061999999999999922e+01,2.628080967350576724e-01
1.064000000000000057e+01,1.198650956208119345e-01
1.066000000000000014e+01,-4.639435865857978458e-02
1.067999999999999972e+01,1.812110857946340470e-01
1.069999999999999929e+01,3.927730934398778739e-01
1.072000000000000064e+01,5.631521340635062267e-02
1.074000000000000021e+01,1.208437610569395720e-01
1.075999999999999979e+01,1.901810626111152536e-01
1.077999999999999936e+01,1.290919302799957702e-01
1.080000000000000071e+01,-2.376114166245843831e-02
1.082000000000000028e+01,-5.510884699128292680e-02
1.083999999999999986e+01,7.324178455209283400e-02
1.085999999999999943e+01,3.257205943423735484e-02
1.088000000000000078e+01,-2.198924614861873326e-03
1.090000000000000036e+01,5.407539722280682581e-02
1.091999999999999993e+01,2.764363037298815939e-01
1.093999999999999950e+01,1.343880452792547420e-01
1.096000000000000085e+01,1.808156032096979934e-02
1.098000000000000043e+01,2.058235433271495274e-01
1.100000000000000000e+01,1.042904497531197822e-01
1.101999999999999957e+01,-1.724283663584134929e-02
1.103999999999999915e+01,2.336571969762862508e-02
1.106000000000000050e+01,9.623833593861354230e-02
1.108000000000000007e+01,1.668195256202538793e-02
1.109999999999999964e+01,-5.481561711734577597e-02
1.112000000000000099e+01,-2.654028780296542253e-02
1.114000000000000057e+01,1.592024538008508794e-01
1.116000000000000014e+01,1.233578002074052909e-01
1.117999999999999972e+01,1.810104963303000025e-01
1.119999999999999929e+01,-2.192110954117772528e-02
1.122000000000000064e+01,9.836607051851091812e-03
1.124000000000000021e+01,3.209960088158582692e-01
1.125999999999999979e+01,7.367887275876001951e-02
1.127999999999999936e+01,2.141200180515692164e-01
1.130000000000000071e+01,5.168102577620028310e-02
1.132000000000000028e+01,1.271667679341506318e-01
1.133999999999999986e+01,2.232046042257207485e-01
1.135999999999999943e+01,2.076492073338044864e-01
1.138000000000000078e+01,9.847825146290732634e-02
1.140000000000000036e+01,5.156205623068790649e-03
1.141999999999999993e+01,7.773235487924655407e-02
1.143999999999999950e+01,-2.162376367123915524e-02
1.146000000000000085e+01,2.250688105376943970e-01
1.148000000000000043e+01,7.710765529729909917e-02
1.150000000000000000e+01,-5.027466505106198413e-02
1.151999999999999957e+01,1.108138677855631110e-01
1.153999999999999915e+01,7.058423970054746033e-02
1.156000000000000050e+01,6.834622458395532563e-02
1.158000000000000007e+01,3.304997112075439697e-02
1.159999999999999964e+01,1.090802067068390446e-01
1.162000000000000099e+01,-4.442647434588758298e-02
1.164000000000000057e+01,1.096722628974417107e-01
1.166000000000000014e+01,3.003626963750598566e-01
1.167999999999999972e+01,-4.150978433737444184e-02
1.169999999999999929e+01,1.716450569690689543e-01
1.172000000000000064e+01,8.221232182405383004e-02
1.174000000000000021e+01,9.044811388090875925e-02
1.175999999999999979e+01,4.332552466973327299e-01
1.177999999999999936e+01,5.713488668448284125e-02
1.180000000000000071e+01,2.652642108590230197e-01
1.182000000000000028e+01,2.508312321224245856e-01
1.183999999999999986e+01,1.365886339803958904e-01
1.185999999999999943e+01,1.350020834660517199e-01
1.188000000000000078e+01,3.213154244282336869e-01
1.190000000000000036e+01,2.168155195195532736e-01
1.191999999999999993e+01,1.533346977264469224e-01
1.193999999999999950e+01,3.824109241413979343e-01
1.196000000000000085e+01,2.271748743954565553e-01
1.198000000000000043e+01,1.962413249251867831e-01
1.200000000000000000e+01,6.697996245734391674e-02
1.201999999999999957e+01,2.501175866219866872e-01
1.203999999999999915e+01,4.452984401323779595e-01
1.206000000000000050e+01,2.887114824847963890e-01
1.208000000000000007e+01,7.077323930976666677e-01
1.209999999999999964e+01,5.325620241368538288e-01
1.212000000000000099e+01,5.057766977958721988e-01
1.214000000000000057e+01,4.066037937364538335e-01
1.216000000000000014e+01,4.413911663692099974e-01
1.217999999999999972e+01,5.222321445307338550e-01
1.219999999999999929e+01,8.987509454006339382e-01
1.222000000000000064e+01,1.488249414734504450e+00
1.224000000000000021e+01,1.511463013465138339e+00
1.225999999999999979e+01,1.983052813678134241e+00
1.228000000000000114e+01,2.380399235558622095e+00
1.230000000000000071e+01,4.129260826865142953e+00
1.232000000000000028e+01,9.097241618926666717e+00
1.233999999999999986e+01,2.673278347593088711e+01
