# 2Theta,Intensity
1.000000000000000000e+01,4.108926293718412337e-01
1.001999999999999957e+01,4.110733650057076805e-01
1.003999999999999915e+01,4.852719547428193114e-01
1.006000000000000050e+01,2.661031103490631433e-01
1.008000000000000007e+01,2.495059206068251934e-01
1.009999999999999964e+01,2.818226686150500093e-01
1.011999999999999922e+01,2.950917952234004549e-01
1.014000000000000057e+01,5.031594791808517986e-01
1.016000000000000014e+01,3.050679109722597149e-01
1.017999999999999972e+01,2.256729346907745404e-01
1.019999999999999929e+01,9.508952723460617484e-02
1.022000000000000064e+01,2.776140320642149772e-01
1.024000000000000021e+01,4.274984584821147071e-01
1.025999999999999979e+01,2.497151002151511145e-01
1.027999999999999936e+01,1.714695533311906273e-01
1.030000000000000071e+01,1.870210824191978205e-01
1.032000000000000028e+01,1.034173312654256410e-01
1.033999999999999986e+01,1.617390728979525294e-01
1.035999999999999943e+01,1.882288917394627503e-01
1.038000000000000078e+01,1.615818008611657475e-01
1.040000000000000036e+01,2.067459522917740600e-01
1.041999999999999993e+01,3.251961759607186475e-01
1.043999999999999950e+01,4.230032227611081885e-01
1.046000000000000085e+01,2.761678669005302456e-01
1.048000000000000043e+01,3.053927211924445939e-01
1.050000000000000000e+01,6.079074678929887593e-02
1.051999999999999957e+01,4.020826898041958142e-01
1.053999999999999915e+01,5.091028437446886157e-01
1.056000000000000050e+01,3.077496709184688317e-01
1.058000000000000007e+01,4.956670917287023248e-01
1.059999999999999964e+01,5.759491604873531179e-01
1.061999999999999922e+01,2.118373133020079180e-01
1.064000000000000057e+01,2.980564428623078688e-01
1.066000000000000014e+01,1.818555491737419150e-01
1.067999999999999972e+01,4.478443275595793138e-01
1.069999999999999929e+01,4.386096423856850612e-01
1.072000000000000064e+01,4.049103398657437070e-01
1.074000000000000021e+01,2.273844427766590071e-01
1.075999999999999979e+01,1.407409567603169764e-01
1.077999999999999936e+01,1.204740096041284070e-01
1.080000000000000071e+01,2.440702098071806936e-01
1.082000000000000028e+01,4.160316642648795860e-01
1.083999999999999986e+01,3.688046449443331265e-01
1.085999999999999943e+01,3.159725469969889566e-01
