# 2Theta,Intensity
1.000000000000000000e+01,2.899276795388583752e-02
1.001999999999999957e+01,-3.946301736541403538e-02
1.003999999999999915e+01,-1.245301251525956186e-02
1.006000000000000050e+01,-3.778699168684485077e-02
1.008000000000000007e+01,-2.364828885221769914e-02
1.009999999999999964e+01,9.605948931625410414e-02
1.011999999999999922e+01,1.364147589405195204e-01
1.014000000000000057e+01,4.764797370757622996e-02
1.016000000000000014e+01,-1.436947773139590594e-03
1.017999999999999972e+01,6.510607647841905321e-02
1.019999999999999929e+01,2.049449966783268573e-01
1.022000000000000064e+01,2.297427856242753585e-01
1.024000000000000021e+01,2.768527833614612410e-01
1.025999999999999979e+01,1.066429240971796116e-01
1.027999999999999936e+01,1.752335400717534575e-01
1.030000000000000071e+01,1.723319720599539862e-01
1.032000000000000028e+01,8.760318371928454972e-02
1.033999999999999986e+01,1.959958682942897490e-01
1.035999999999999943e+01,2.307417952938952965e-01
1.038000000000000078e+01,2.229320261274186366e-01
1.040000000000000036e+01,1.577057241782609254e-01
1.041999999999999993e+01,2.045109011947804645e-01
1.043999999999999950e+01,9.076111785072264737e-02
1.046000000000000085e+01,1.781697870096548564e-01
1.048000000000000043e+01,2.737512937490760301e-01
1.050000000000000000e+01,3.625607925134166076e-01
1.051999999999999957e+01,1.591652291618487480e-01
1.053999999999999915e+01,-5.523948650258404813e-02
1.056000000000000050e+01,2.909748455388170840e-01
1.058000000000000007e+01,2.804002350225379692e-01
1.059999999999999964e+01,2.770315760687925843e-01
1.061999999999999922e+01,1.251051618110163854e-01
1.064000000000000057e+01,2.940482189394240109e-01
1.066000000000000014e+01,4.388016759469400008e-02
1.067999999999999972e+01,1.447789593553892862e-01
1.069999999999999929e+01,4.384900681528432487e-01
1.072000000000000064e+01,4.576687926240364246e-01
1.074000000000000021e+01,1.327870435289791318e-01
1.075999999999999979e+01,3.187522093978675253e-01
1.077999999999999936e+01,5.422028810037836030e-03
1.080000000000000071e+01,3.816265987085373790e-01
1.082000000000000028e+01,1.757034902495366313e-01
1.083999999999999986e+01,5.040037262175419697e-01
1.085999999999999943e+01,7.901134235582489840e-01
1.088000000000000078e+01,5.360012209083373502e-01
1.090000000000000036e+01,7.306453031568558298e-01
1.091999999999999993e+01,1.114169225712042133e+00
1.093999999999999950e+01,1.335789410263275245e+00
1.096000000000000085e+01,1.963056134974076272e+00
1.098000000000000043e+01,3.368565582745301601e+00
1.100000000000000000e+01,1.086011000549827799e+01
1.101999999999999957e+01,3.550342150250892814e+01
1.103999999999999915e+01,7.612526118932791519e+01
1.106000000000000050e+01,1.000000000000000000e+02
1.108000000000000007e+01,6.608002629671588579e+01
1.109999999999999964e+01,2.518011606191301510e+01
1.112000000000000099e+01,7.761790396858046392e+00
1.114000000000000057e+01,2.981282031426537582e+00
1.116000000000000014e+01,1.950347688700862170e+00
1.117999999999999972e+01,1.244952026317046379e+00
1.119999999999999929e+01,1.187999822806040662e+00
1.122000000000000064e+01,9.508677486824426150e-01
1.124000000000000021e+01,9.606364795839641424e-01
1.125999999999999979e+01,6.415379651281041262e-01
1.127999999999999936e+01,5.903152731297007794e-01
1.130000000000000071e+01,5.256180801761153321e-01
1.132000000000000028e+01,2.806071295168065527e-01
1.133999999999999986e+01,4.098655649240429133e-01
1.135999999999999943e+01,4.623217701582749833e-02
1.138000000000000078e+01,1.254112410197843197e-01
1.140000000000000036e+01,3.155772641606649498e-01
1.141999999999999993e+01,3.090099441396083058e-01
1.143999999999999950e+01,1.220814852363569653e-01
1.146000000000000085e+01,1.018507305562474097e-01
1.148000000000000043e+01,1.736875543734627270e-01
1.150000000000000000e+01,2.207836419199499800e-01
1.151999999999999957e+01,2.764459022715636261e-01
1.153999999999999915e+01,2.160909871224246381e-01
1.156000000000000050e+01,3.328982615563862990e-01
1.158000000000000007e+01,8.568184558933123265e-03
1.159999999999999964e+01,4.178265025745721978e-02
1.162000000000000099e+01,1.134644588722963782e-01
1.164000000000000057e+01,3.213915737232946879e-01
1.166000000000000014e+01,1.436390198364905224e-01
