# 2Theta,Intensity
1.000000000000000000e+01,-2.145955743343854957e-02
1.001999999999999957e+01,-2.070437240681086144e-02
1.003999999999999915e+01,2.932733802435029680e-01
1.006000000000000050e+01,1.937353325800839632e-01
1.008000000000000007e+01,-4.548966624154891780e-02
1.009999999999999964e+01,2.094445327001702439e-01
1.011999999999999922e+01,4.760547729438861786e-02
1.014000000000000057e+01,1.016322892888542242e-03
1.016000000000000014e+01,1.283647986470779212e-01
1.017999999999999972e+01,1.820295465794479206e-01
1.019999999999999929e+01,2.645034086920439731e-01
1.022000000000000064e+01,1.877924693321593175e-01
1.024000000000000021e+01,2.255827953105876971e-01
1.025999999999999979e+01,-1.737277166223918576e-02
1.027999999999999936e+01,1.703843699484292595e-01
1.030000000000000071e+01,2.069857237771205172e-01
1.032000000000000028e+01,1.189521560128926625e-01
1.033999999999999986e+01,1.190737331901146542e-02
1.035999999999999943e+01,2.355030638593567094e-01
1.038000000000000078e+01,2.834459342746718513e-01
1.040000000000000036e+01,4.645690557372562923e-02
1.041999999999999993e+01,9.454687335087394451e-02
1.043999999999999950e+01,1.670522436548987520e-03
1.046000000000000085e+01,1.078236683686586012e-01
1.048000000000000043e+01,4.544775101746879875e-02
1.050000000000000000e+01,1.541923101340448854e-01
1.051999999999999957e+01,9.462823330764374985e-02
1.053999999999999915e+01,-3.759918378759291580e-02
1.056000000000000050e+01,1.492713811545837432e-01
1.058000000000000007e+01,-5.883315029042197886e-02
1.059999999999999964e+01,1.739579056295115222e-01
1.061999999999999922e+01,1.205906888371414687e-01
1.064000000000000057e+01,5.499597283420106647e-02
1.066000000000000014e+01,1.601845165561021633e-01
1.067999999999999972e+01,2.738170793281627935e-01
1.069999999999999929e+01,2.662972051989462852e-01
1.072000000000000064e+01,7.905848319747481312e-02
1.074000000000000021e+01,3.635764885416954695e-02
1.075999999999999979e+01,2.146245752351188529e-01
1.077999999999999936e+01,4.299175565396856635e-01
1.080000000000000071e+01,2.353035172759403437e-01
1.082000000000000028e+01,1.939541000739558041e-01
1.083999999999999986e+01,2.885708433546913532e-01
1.085999999999999943e+01,2.280648843969052264e-01
1.088000000000000078e+01,2.220857536301803770e-01
1.090000000000000036e+01,2.528744951383034012e-01
1.091999999999999993e+01,3.449380037465211712e-01
1.093999999999999950e+01,4.120682166840038962e-01
1.096000000000000085e+01,5.667200703146294538e-01
1.098000000000000043e+01,4.705832086271777848e-01
1.100000000000000000e+01,7.713138675052355619e-01
1.101999999999999957e+01,8.447705733625947566e-01
1.103999999999999915e+01,1.665670053718199650e+00
1.106000000000000050e+01,1.349815016364838138e+00
1.108000000000000007e+01,2.601975438262618567e+00
1.109999999999999964e+01,7.721560995058760035e+00
1.112000000000000099e+01,2.271098189375863186e+01
1.114000000000000057e+01,6.125322262947184981e+01
1.116000000000000014e+01,9.171292869571513506e+01
1.117999999999999972e+01,8.011110553011859281e+01
1.119999999999999929e+01,3.669398627633067633e+01
1.122000000000000064e+01,1.153636089193497760e+01
1.124000000000000021e+01,3.640626470477745347e+00
1.125999999999999979e+01,1.822266646252385103e+00
1.127999999999999936e+01,1.214857129924490131e+00
1.130000000000000071e+01,1.121399289377616570e+00
1.132000000000000028e+01,1.007696967968044088e+00
1.133999999999999986e+01,6.341204663211760240e-01
1.135999999999999943e+01,5.197849500694220470e-01
1.138000000000000078e+01,5.504074779635567127e-01
1.140000000000000036e+01,5.188215753862803759e-01
1.141999999999999993e+01,2.769231129425233640e-01
1.143999999999999950e+01,4.455597497634331550e-01
1.146000000000000085e+01,3.647632844108304462e-01
1.148000000000000043e+01,4.245045204873913458e-01
1.150000000000000000e+01,7.980905452536636580e-02
1.151999999999999957e+01,9.034437049648066931e-02
1.153999999999999915e+01,3.816824536369374798e-01
1.156000000000000050e+01,1.229495250090510555e-01
1.158000000000000007e+01,2.076601494975057471e-01
1.159999999999999964e+01,1.826053152522816858e-01
1.162000000000000099e+01,1.777066591913240290e-01
1.164000000000000057e+01,5.492177707691398708e-02
1.166000000000000014e+01,3.939843025365750290e-02
1.167999999999999972e+01,3.217601063062585642e-01
1.169999999999999929e+01,3.351174035468347800e-01
1.172000000000000064e+01,3.285175427601084996e-02
1.174000000000000021e+01,1.393207578465079921e-01
1.175999999999999979e+01,2.375795469639692958e-01
1.177999999999999936e+01,1.994822238213879995e-01
1.180000000000000071e+01,1.046719902076613251e-01
1.182000000000000028e+01,1.735814398261461278e-01
1.183999999999999986e+01,1.649624067084289047e-01
1.185999999999999943e+01,4.918485681097601279e-03
1.188000000000000078e+01,8.546859380678670237e-02
1.190000000000000036e+01,1.483135598923475407e-01
1.191999999999999993e+01,1.581567507275752626e-01
1.193999999999999950e+01,1.669454845461544323e-01
1.196000000000000085e+01,-8.640710400490893284e-02
1.198000000000000043e+01,5.805023305692827429e-02
1.200000000000000000e+01,1.379557813521318371e-02
1.201999999999999957e+01,2.148570400414728521e-01
1.203999999999999915e+01,2.164250068221950651e-01
1.206000000000000050e+01,-9.281456436619833772e-02
1.208000000000000007e+01,-2.606281056113955719e-03
1.209999999999999964e+01,4.539284484946106563e-02
1.212000000000000099e+01,-5.128402633138455513e-02
1.214000000000000057e+01,1.789156678454283944e-01
1.216000000000000014e+01,2.037922622385305027e-01
1.217999999999999972e+01,4.748558026501183138e-02
1.219999999999999929e+01,-5.094186042327639857e-02
1.222000000000000064e+01,1.571776762179963316e-01
1.224000000000000021e+01,-1.057947715071693717e-01
1.225999999999999979e+01,1.481214952389476869e-01
1.228000000000000114e+01,2.084222072997800601e-01
1.230000000000000071e+01,8.378012337465484682e-02
1.232000000000000028e+01,3.141346356791338557e-01
1.233999999999999986e+01,5.832378758289928633e-02
1.235999999999999943e+01,1.241588450243060610e-01
1.237999999999999901e+01,1.941122949432467215e-01
1.240000000000000036e+01,5.432176244442761537e-03
1.241999999999999993e+01,-9.442864561521985278e-02
1.243999999999999950e+01,-2.783611791115338935e-02
1.246000000000000085e+01,5.251914355116129446e-02
1.248000000000000043e+01,2.009071498106369258e-01
1.250000000000000000e+01,-1.820726519959273496e-02
1.251999999999999957e+01,-1.091652377580653970e-02
1.253999999999999915e+01,2.401672612658819345e-02
1.256000000000000050e+01,-6.314637797272515396e-02
1.258000000000000007e+01,4.231605539062033988e-02
1.259999999999999964e+01,1.593968366608836673e-01
1.262000000000000099e+01,2.142432944478063483e-02
1.264000000000000057e+01,-1.361473935143657776e-01
1.266000000000000014e+01,4.488633570031947545e-02
1.267999999999999972e+01,1.754670446407164963e-01
1.269999999999999929e+01,-1.396042487328302550e-01
1.272000000000000064e+01,1.046435138409468196e-01
1.274000000000000021e+01,1.081604660801785550e-01
