# 2Theta,Intensity
1.000000000000000000e+01,1.407767501557756207e-01
1.001999999999999957e+01,1.113166998864652119e-01
1.003999999999999915e+01,1.934865940959551098e-02
1.006000000000000050e+01,-5.174756487131804139e-02
1.008000000000000007e+01,2.775689245247986436e-01
1.009999999999999964e+01,1.237481289617640284e-01
1.011999999999999922e+01,-3.554261348901471048e-03
1.014000000000000057e+01,-5.677599646984789888e-02
1.016000000000000014e+01,1.692679747038522420e-01
1.017999999999999972e+01,1.178124069168570986e-01
1.019999999999999929e+01,-4.703874562823562311e-02
1.022000000000000064e+01,1.005291712257167097e-01
1.024000000000000021e+01,9.341652875249505453e-03
1.025999999999999979e+01,-1.290747061862766547e-02
1.027999999999999936e+01,1.788610925206814695e-01
1.030000000000000071e+01,1.027541276749350807e-01
1.032000000000000028e+01,7.989174015423369801e-02
1.033999999999999986e+01,4.595958658946559805e-02
1.035999999999999943e+01,-4.441742203994607924e-02
1.038000000000000078e+01,2.265433438400852317e-01
1.040000000000000036e+01,3.252333066776160186e-01
1.041999999999999993e+01,2.315355202093365428e-01
1.043999999999999950e+01,6.107975127070618820e-02
1.046000000000000085e+01,6.927341482168149212e-02
1.048000000000000043e+01,9.582843678422737002e-03
1.050000000000000000e+01,-1.184727950374118641e-02
1.051999999999999957e+01,4.429010674197965403e-02
1.053999999999999915e+01,8.140972520819232672e-02
1.056000000000000050e+01,1.754470867892458097e-01
1.058000000000000007e+01,1.711056782191979209e-01
1.059999999999999964e+01,4.286351369614026241e-02
1.061999999999999922e+01,1.592922803541481913e-01
1.064000000000000057e+01,3.617768349938407096e-02
1.066000000000000014e+01,2.368166763764904120e-02
1.067999999999999972e+01,6.259998778455728996e-02
1.069999999999999929e+01,-5.516576413915357663e-02
1.072000000000000064e+01,4.723332623885661413e-02
1.074000000000000021e+01,1.179989492295726305e-01
1.075999999999999979e+01,2.721386623589486797e-01
1.077999999999999936e+01,9.846796822004021121e-02
1.080000000000000071e+01,8.365717689817812885e-02
1.082000000000000028e+01,4.542123813917196135e-02
1.083999999999999986e+01,3.403348898634850350e-01
1.085999999999999943e+01,3.090727109306515286e-01
1.088000000000000078e+01,3.437210282876400624e-01
1.090000000000000036e+01,1.113469495992600450e-01
1.091999999999999993e+01,1.913901405800756128e-01
1.093999999999999950e+01,1.838179234943854989e-01
1.096000000000000085e+01,1.292619265345101576e-01
1.098000000000000043e+01,-8.155716628159575057e-03
1.100000000000000000e+01,2.169616325894263842e-01
