# 2Theta,Intensity
1.000000000000000000e+01,2.132967640721464830e-01
1.001999999999999957e+01,2.326311505898250379e-02
1.003999999999999915e+01,-8.627377110919695613e-02
1.006000000000000050e+01,3.153478250828474494e-02
1.008000000000000007e+01,1.500633683385979023e-01
1.009999999999999964e+01,-1.279046770426014827e-02
1.011999999999999922e+01,-2.406155211448067488e-01
1.014000000000000057e+01,7.987659526178636504e-02
1.016000000000000014e+01,1.299880850657628428e-01
1.017999999999999972e+01,-1.039245374212433232e-03
1.019999999999999929e+01,6.340857445255396185e-02
1.022000000000000064e+01,1.443532007438071696e-01
1.024000000000000021e+01,1.024772458091112726e-01
1.025999999999999979e+01,-2.503626596863585407e-02
1.027999999999999936e+01,4.135286259352784211e-02
1.030000000000000071e+01,4.911927793597126168e-02
1.032000000000000028e+01,1.366016696479332992e-01
1.033999999999999986e+01,9.551133119507317082e-02
1.035999999999999943e+01,6.145400353715269742e-02
1.038000000000000078e+01,1.929945974141432929e-01
1.040000000000000036e+01,-1.301990186625520962e-01
1.041999999999999993e+01,1.460347378200360646e-01
1.043999999999999950e+01,3.780597812593770868e-02
1.046000000000000085e+01,2.292419872553504989e-01
1.048000000000000043e+01,2.932282181059904513e-02
1.050000000000000000e+01,1.205918882447546275e-01
1.051999999999999957e+01,1.724948336222950074e-01
1.053999999999999915e+01,1.773566145719095710e-01
1.056000000000000050e+01,-1.294009670640635379e-01
1.058000000000000007e+01,2.089833673227065869e-01
1.059999999999999964e+01,1.448033714514555537e-01
1.061999999999999922e+01,2.948186106332270628e-01
1.064000000000000057e+01,1.538218019099605038e-01
1.066000000000000014e+01,-5.731304557235701591e-02
1.067999999999999972e+01,1.360104318473508989e-01
1.069999999999999929e+01,-3.402678949344158793e-02
1.072000000000000064e+01,-2.852488018012904955e-02
1.074000000000000021e+01,7.902584678564654463e-02
1.075999999999999979e+01,1.077784898143335779e-01
1.077999999999999936e+01,1.174376265623102746e-02
1.080000000000000071e+01,1.400523348605842676e-02
1.082000000000000028e+01,1.832212468183478105e-01
1.083999999999999986e+01,1.596693684946963454e-01
1.085999999999999943e+01,1.667724322630741718e-01
1.088000000000000078e+01,3.125510470825632742e-02
1.090000000000000036e+01,-5.366345858819877856e-02
1.091999999999999993e+01,7.197943229741010640e-02
1.093999999999999950e+01,2.540503765342212450e-01
1.096000000000000085e+01,-5.668415053799766984e-02
1.098000000000000043e+01,1.897564575211247162e-01
1.100000000000000000e+01,2.556471289500465982e-01
1.101999999999999957e+01,-8.386600956882199476e-02
1.103999999999999915e+01,2.564231355513925670e-01
1.106000000000000050e+01,1.458097670437107363e-01
1.108000000000000007e+01,-1.324583095585137558e-02
1.109999999999999964e+01,1.839696654618371563e-01
1.112000000000000099e+01,-4.336235824203966971e-02
1.114000000000000057e+01,1.086675742592684707e-01
1.116000000000000014e+01,1.036047766171580425e-01
1.117999999999999972e+01,7.146017500861047422e-02
1.119999999999999929e+01,6.065281438159712130e-02
1.122000000000000064e+01,1.559209726778425509e-01
1.124000000000000021e+01,1.151026231952050755e-01
1.125999999999999979e+01,1.439924790105294450e-01
1.127999999999999936e+01,1.691586789591580930e-01
1.130000000000000071e+01,-1.286149470137848971e-01
1.132000000000000028e+01,2.278092453640773729e-01
1.133999999999999986e+01,2.073907117412462087e-01
1.135999999999999943e+01,-2.174661357020171281e-03
1.138000000000000078e+01,3.155291637939049154e-02
1.140000000000000036e+01,9.958787202196243971e-02
1.141999999999999993e+01,2.009019126942372391e-01
1.143999999999999950e+01,6.212272595834526095e-02
1.146000000000000085e+01,1.436130056921611498e-01
1.148000000000000043e+01,5.705167163322347190e-02
1.150000000000000000e+01,1.500407418433799267e-01
1.151999999999999957e+01,1.665426061428174065e-01
1.153999999999999915e+01,1.403741007054709888e-01
1.156000000000000050e+01,1.033521097536241329e-01
1.158000000000000007e+01,1.223292059380100549e-01
1.159999999999999964e+01,8.585057325706867831e-03
1.162000000000000099e+01,9.604370086951921626e-02
1.164000000000000057e+01,7.878735183024329625e-03
1.166000000000000014e+01,1.771899817910882746e-01
1.167999999999999972e+01,2.927144645805111051e-02
1.169999999999999929e+01,1.777794011964036192e-01
1.172000000000000064e+01,-7.776427387967067145e-03
1.174000000000000021e+01,1.638027258646769790e-01
1.175999999999999979e+01,1.727327204645563163e-01
1.177999999999999936e+01,3.299913845502279730e-01
1.180000000000000071e+01,3.455291386466408099e-01
1.182000000000000028e+01,3.371209777562597099e-01
1.183999999999999986e+01,8.973267630211526069e-02
1.185999999999999943e+01,5.474127500146683811e-01
1.188000000000000078e+01,4.727534699901342896e-01
1.190000000000000036e+01,3.653305822325474406e-01
1.191999999999999993e+01,2.491978519174797568e-01
1.193999999999999950e+01,6.028499837687861795e-01
1.196000000000000085e+01,6.257414555275812029e-01
1.198000000000000043e+01,8.219282339355881151e-01
1.200000000000000000e+01,8.003737438376944402e-01
1.201999999999999957e+01,9.300154652765907359e-01
1.203999999999999915e+01,1.194383985576259466e+00
1.206000000000000050e+01,1.832352526422087013e+00
1.208000000000000007e+01,2.829523194323131818e+00
1.209999999999999964e+01,5.713657709749395686e+00
1.212000000000000099e+01,1.760167588518135773e+01
1.214000000000000057e+01,5.237890746633253514e+01
