# 2Theta,Intensity
1.000000000000000000e+01,1.848255792969075439e-01
1.001999999999999957e+01,3.429107062559322849e-01
1.003999999999999915e+01,-1.662351099583145309e-01
1.006000000000000050e+01,1.188735494781136270e-01
1.008000000000000007e+01,9.991659419598737657e-02
1.009999999999999964e+01,6.740088589596965329e-02
1.011999999999999922e+01,1.742984709409506894e-01
1.014000000000000057e+01,1.606880139925784268e-01
1.016000000000000014e+01,6.260929285656492704e-02
1.017999999999999972e+01,1.296579734233176961e-01
1.019999999999999929e+01,7.227708589752461499e-02
1.022000000000000064e+01,1.059539556957005274e-01
1.024000000000000021e+01,-1.593251283626312756e-02
1.025999999999999979e+01,6.207040390454152817e-02
1.027999999999999936e+01,2.159647410713791751e-02
1.030000000000000071e+01,1.132945200754159887e-01
1.032000000000000028e+01,6.103828416174260363e-02
1.033999999999999986e+01,7.836651249861555091e-03
1.035999999999999943e+01,2.452592253895599927e-01
1.038000000000000078e+01,2.950235440448701896e-01
1.040000000000000036e+01,-1.119374049325708026e-01
1.041999999999999993e+01,2.406568538164340354e-01
1.043999999999999950e+01,-5.358309218252139960e-02
1.046000000000000085e+01,1.014471809968825605e-01
1.048000000000000043e+01,9.547979602358144802e-02
1.050000000000000000e+01,1.173424284575083909e-01
1.051999999999999957e+01,-7.082485583019478004e-02
1.053999999999999915e+01,2.791196761423474573e-02
1.056000000000000050e+01,2.651730610410654720e-01
1.058000000000000007e+01,9.643729907630144149e-02
1.059999999999999964e+01,-8.534039562343802288e-02
1.061999999999999922e+01,1.317659137512123546e-01
1.064000000000000057e+01,1.895291173949413266e-01
1.066000000000000014e+01,2.418800750623969209e-01
1.067999999999999972e+01,1.530568540224694074e-01
1.069999999999999929e+01,7.949339922574279182e-02
1.072000000000000064e+01,2.247937186632915085e-01
1.074000000000000021e+01,4.018617535851971567e-01
1.075999999999999979e+01,4.805442241649406920e-01
1.077999999999999936e+01,2.580367202900611945e-01
1.080000000000000071e+01,5.535796682671210167e-01
1.082000000000000028e+01,5.590559092994367152e-01
1.083999999999999986e+01,6.042832950769503331e-01
1.085999999999999943e+01,5.668878140461022230e-01
1.088000000000000078e+01,1.204556387380700810e+00
1.090000000000000036e+01,1.094212928425814413e+00
1.091999999999999993e+01,1.432193342839133576e+00
1.093999999999999950e+01,2.143027424647652612e+00
1.096000000000000085e+01,3.542318874169452680e+00
1.098000000000000043e+01,1.127979852514684111e+01
1.100000000000000000e+01,3.377625556834061626e+01
1.101999999999999957e+01,7.566490364767102506e+01
1.103999999999999915e+01,1.000000000000000000e+02
1.106000000000000050e+01,6.940550369116405705e+01
1.108000000000000007e+01,2.704945121681700115e+01
1.109999999999999964e+01,8.647986589405434188e+00
1.112000000000000099e+01,3.630514968190593716e+00
1.114000000000000057e+01,2.237576622058266462e+00
1.116000000000000014e+01,1.380417030700747061e+00
1.117999999999999972e+01,8.978122039599014670e-01
1.119999999999999929e+01,1.095788862658086726e+00
1.122000000000000064e+01,9.180471956393770894e-01
1.124000000000000021e+01,6.120430322949105273e-01
1.125999999999999979e+01,5.001253251186841275e-01
1.127999999999999936e+01,4.461306653772029729e-01
1.130000000000000071e+01,3.335474867878727712e-01
1.132000000000000028e+01,3.958165461589492895e-01
1.133999999999999986e+01,2.863077349303936314e-01
1.135999999999999943e+01,5.279686690193127058e-02
1.138000000000000078e+01,2.134424756388984545e-01
1.140000000000000036e+01,1.416142959843750826e-01
1.141999999999999993e+01,1.168656409148356584e-01
1.143999999999999950e+01,6.716501162175034234e-02
1.146000000000000085e+01,2.188955955067097836e-01
1.148000000000000043e+01,2.274265497442903849e-01
1.150000000000000000e+01,2.700680487600514157e-01
1.151999999999999957e+01,6.313874329416917230e-02
1.153999999999999915e+01,1.141343457420164048e-01
1.156000000000000050e+01,2.351490497592252094e-01
1.158000000000000007e+01,1.920935655272723863e-01
1.159999999999999964e+01,2.130695371061964299e-02
1.162000000000000099e+01,1.309782101491807904e-01
