# 2Theta,Intensity
1.000000000000000000e+01,2.786348180269862529e-01
1.001999999999999957e+01,1.350543943935726965e-01
1.003999999999999915e+01,1.302663576011113822e-01
1.006000000000000050e+01,1.688278746732674584e-01
1.008000000000000007e+01,3.203032110803881727e-01
1.009999999999999964e+01,1.288332300505372341e-01
1.011999999999999922e+01,3.100826113409730356e-01
1.014000000000000057e+01,4.043010116507930740e-01
1.016000000000000014e+01,2.852191688009957371e-01
1.017999999999999972e+01,3.989233450360874511e-01
1.019999999999999929e+01,4.317205611737031656e-01
1.022000000000000064e+01,3.069247987920550313e-01
1.024000000000000021e+01,4.598107732061537112e-01
1.025999999999999979e+01,2.549698172815412778e-01
1.027999999999999936e+01,2.788863091898741708e-01
1.030000000000000071e+01,3.881280108352524461e-01
1.032000000000000028e+01,4.187683349944365530e-01
1.033999999999999986e+01,4.737894763645255081e-01
1.035999999999999943e+01,3.414609068941906744e-01
1.038000000000000078e+01,3.796286252397211292e-01
1.040000000000000036e+01,3.019779099753320817e-01
1.041999999999999993e+01,5.094139586224870619e-01
1.043999999999999950e+01,3.735336799934053098e-01
1.046000000000000085e+01,4.166186790519642580e-01
1.048000000000000043e+01,3.987288543254420836e-01
1.050000000000000000e+01,3.766458549155141666e-01
1.051999999999999957e+01,2.420140226626047164e-01
1.053999999999999915e+01,2.278560424028383824e-01
1.056000000000000050e+01,4.369107895237902550e-01
1.058000000000000007e+01,3.268339811839577891e-01
1.059999999999999964e+01,3.582648943052113566e-01
1.061999999999999922e+01,2.813693061513291571e-01
1.064000000000000057e+01,5.267655618158092468e-01
1.066000000000000014e+01,3.840617623236716183e-01
1.067999999999999972e+01,2.838540982336310026e-01
1.069999999999999929e+01,5.906215953085186543e-02
1.072000000000000064e+01,1.788633755459802244e-01
1.074000000000000021e+01,3.807762814285032826e-01
1.075999999999999979e+01,4.141793320397982869e-01
1.077999999999999936e+01,4.180636562956746016e-01
1.080000000000000071e+01,2.463829011017749371e-01
1.082000000000000028e+01,3.879695772265394638e-01
1.083999999999999986e+01,3.324639475295454449e-01
