# 2Theta,Intensity
1.000000000000000000e+01,-3.093586042006310141e-02
1.001999999999999957e+01,1.781864119984771233e-01
1.003999999999999915e+01,9.458693884183953793e-02
1.006000000000000050e+01,2.695679546778208535e-01
1.008000000000000007e+01,2.048267563548617498e-01
1.009999999999999964e+01,1.652078955690302609e-01
1.011999999999999922e+01,3.433494254276266144e-02
1.014000000000000057e+01,2.131831085067976694e-01
1.016000000000000014e+01,-5.659059916319249955e-02
1.017999999999999972e+01,-8.428766545872311625e-03
1.019999999999999929e+01,1.764980610827640573e-01
1.022000000000000064e+01,8.127367496006024372e-02
1.024000000000000021e+01,5.734838880105359166e-03
1.025999999999999979e+01,-1.122296126462350198e-02
1.027999999999999936e+01,5.069874827314328064e-02
1.030000000000000071e+01,3.670688725275019632e-02
1.032000000000000028e+01,-1.302737039924711793e-01
1.033999999999999986e+01,-2.639070512067289223e-02
1.035999999999999943e+01,-1.875377888175521965e-02
1.038000000000000078e+01,-8.418782709860327118e-02
1.040000000000000036e+01,-3.687443026664734280e-02
1.041999999999999993e+01,8.021900473343654414e-02
1.043999999999999950e+01,3.157329374191898685e-02
1.046000000000000085e+01,-8.333257795947525415e-02
1.048000000000000043e+01,-1.554268544913839367e-01
1.050000000000000000e+01,1.254176997986679865e-01
1.051999999999999957e+01,8.154455289438843069e-02
1.053999999999999915e+01,9.312460208812960161e-02
1.056000000000000050e+01,1.085525938637391247e-01
1.058000000000000007e+01,-8.018314080531682708e-02
1.059999999999999964e+01,1.928587920909766995e-01
1.061999999999999922e+01,9.251826831680098895e-02
1.064000000000000057e+01,1.575468317879565872e-01
1.066000000000000014e+01,-4.948500188319606558e-02
1.067999999999999972e+01,3.283623094917602347e-02
1.069999999999999929e+01,7.580624157878292080e-02
1.072000000000000064e+01,-1.577496507321854979e-01
1.074000000000000021e+01,4.128605911336830775e-02
1.075999999999999979e+01,-6.752331286682589084e-02
1.077999999999999936e+01,1.381523844996039863e-01
1.080000000000000071e+01,2.715345227115920079e-01
1.082000000000000028e+01,2.136513411097204496e-01
1.083999999999999986e+01,2.293955751523480968e-01
1.085999999999999943e+01,5.363586031620772715e-02
1.088000000000000078e+01,2.272981848816797434e-01
1.090000000000000036e+01,1.047515333205299021e-01
1.091999999999999993e+01,1.420980458708903105e-01
1.093999999999999950e+01,9.875369481911247527e-02
1.096000000000000085e+01,3.004185373981500540e-01
1.098000000000000043e+01,2.487651001596840605e-01
1.100000000000000000e+01,2.552594996697039043e-01
1.101999999999999957e+01,4.204888975494201764e-02
1.103999999999999915e+01,-4.937901886936640200e-03
1.106000000000000050e+01,9.119609156192233501e-02
1.108000000000000007e+01,1.493179805522854842e-01
1.109999999999999964e+01,1.652848375586069007e-01
1.112000000000000099e+01,1.012112507282340590e-01
1.114000000000000057e+01,4.881442198022173384e-02
1.116000000000000014e+01,1.114857918936553588e-02
1.117999999999999972e+01,1.060909394659269589e-01
1.119999999999999929e+01,1.628271965016273026e-01
1.122000000000000064e+01,6.214093735362125753e-02
1.124000000000000021e+01,1.290613230262109001e-01
1.125999999999999979e+01,2.034184953624726677e-01
1.127999999999999936e+01,2.671463727841849600e-01
1.130000000000000071e+01,1.709438798679814853e-01
1.132000000000000028e+01,3.850193190539543120e-01
1.133999999999999986e+01,9.562714906867528231e-02
1.135999999999999943e+01,2.796488243498354009e-01
1.138000000000000078e+01,4.730756100680278964e-01
1.140000000000000036e+01,3.357200417267515724e-01
1.141999999999999993e+01,4.154080579364107795e-01
1.143999999999999950e+01,4.819246544900480655e-01
1.146000000000000085e+01,4.799937940618255183e-01
1.148000000000000043e+01,5.986736502924882020e-01
1.150000000000000000e+01,7.372433651915967223e-01
1.151999999999999957e+01,1.210077295145368659e+00
1.153999999999999915e+01,1.088860041356838781e+00
1.156000000000000050e+01,1.612065019693151413e+00
1.158000000000000007e+01,2.223476595474239481e+00
1.159999999999999964e+01,4.210329849519907519e+00
1.162000000000000099e+01,1.210252710147690358e+01
1.164000000000000057e+01,3.762964907807290160e+01
1.166000000000000014e+01,8.133768212937481223e+01
1.167999999999999972e+01,1.000000000000000000e+02
1.169999999999999929e+01,6.350495502000514136e+01
1.172000000000000064e+01,2.438431748744454097e+01
1.174000000000000021e+01,7.154913172834298507e+00
1.175999999999999979e+01,2.719296029941596693e+00
1.177999999999999936e+01,1.730384838419226412e+00
1.180000000000000071e+01,1.234650301147389939e+00
1.182000000000000028e+01,1.067701237849776330e+00
1.183999999999999986e+01,8.485788028185362597e-01
1.185999999999999943e+01,5.301412470274632360e-01
1.188000000000000078e+01,6.307192425074280573e-01
1.190000000000000036e+01,4.329024331808567494e-01
1.191999999999999993e+01,3.713333220421456971e-01
1.193999999999999950e+01,2.717943680861442668e-01
1.196000000000000085e+01,3.037518056559713742e-01
1.198000000000000043e+01,3.455996169258152007e-01
1.200000000000000000e+01,2.976015031022449242e-01
1.201999999999999957e+01,2.449976870481540003e-01
1.203999999999999915e+01,2.750141948641826595e-01
1.206000000000000050e+01,1.409702887488582523e-01
1.208000000000000007e+01,-9.489227327700343328e-02
1.209999999999999964e+01,2.212084022913251291e-01
1.212000000000000099e+01,-9.355604183860288803e-02
1.214000000000000057e+01,1.321637749375224602e-01
1.216000000000000014e+01,1.728430979806092893e-01
1.217999999999999972e+01,-4.914430021461831111e-02
1.219999999999999929e+01,8.608537987429695781e-02
1.222000000000000064e+01,1.643334848919678071e-01
1.224000000000000021e+01,4.552324561798803265e-02
1.225999999999999979e+01,-6.512499249698648629e-02
1.228000000000000114e+01,8.683524909923428028e-03
1.230000000000000071e+01,4.343902749286092380e-02
1.232000000000000028e+01,-4.929374928913976550e-02
1.233999999999999986e+01,7.045443953961673389e-02
1.235999999999999943e+01,-4.300786299889605702e-02
1.237999999999999901e+01,2.875137059114351440e-02
1.240000000000000036e+01,-1.874089867202302917e-01
1.241999999999999993e+01,1.651355340410292361e-01
1.243999999999999950e+01,1.006570161254189688e-01
1.246000000000000085e+01,-1.394607172084835712e-03
1.248000000000000043e+01,1.837572829730682034e-01
1.250000000000000000e+01,4.694420708533077191e-03
1.251999999999999957e+01,6.156861501406145354e-02
1.253999999999999915e+01,6.207525298031554839e-02
1.256000000000000050e+01,1.901915022255601037e-02
1.258000000000000007e+01,1.494049745219994674e-01
1.259999999999999964e+01,-6.975108579903252504e-02
1.262000000000000099e+01,1.865271390335230817e-01
1.264000000000000057e+01,7.913326786773056121e-02
1.266000000000000014e+01,1.110536211215131380e-01
1.267999999999999972e+01,2.301066125492318704e-01
1.269999999999999929e+01,-1.186068596789437331e-02
1.272000000000000064e+01,-1.950366212221310569e-01
1.274000000000000021e+01,1.444273013607795253e-01
1.275999999999999979e+01,1.901944310919871928e-01
1.278000000000000114e+01,-1.802591297957163718e-01
1.280000000000000071e+01,2.040215237850228347e-01
1.282000000000000028e+01,1.524492607545058220e-01
1.283999999999999986e+01,-4.588761929721420912e-02
1.285999999999999943e+01,-4.234423764399872225e-02
1.287999999999999901e+01,1.242459706621249355e-01
1.290000000000000036e+01,2.157875565272108220e-01
1.291999999999999993e+01,1.831309830668865352e-02
1.293999999999999950e+01,1.636970129727690348e-01
1.296000000000000085e+01,-6.315540336867693505e-02
1.298000000000000043e+01,-2.846835846680921892e-02
1.300000000000000000e+01,1.561216066365230526e-01
1.301999999999999957e+01,2.096015965911229850e-02
1.303999999999999915e+01,6.155879629523156732e-02
1.306000000000000050e+01,1.387734801910753962e-02
1.308000000000000007e+01,-5.328756528376485391e-02
1.309999999999999964e+01,2.460358078647310598e-01
1.312000000000000099e+01,8.537434147308796406e-02
1.314000000000000057e+01,6.192966014705011957e-02
1.316000000000000014e+01,2.381816897281056333e-01
1.317999999999999972e+01,-3.202107411074229387e-02
1.319999999999999929e+01,2.434263917052567061e-01
1.322000000000000064e+01,-1.211725649910669472e-01
1.324000000000000021e+01,1.859277739317423059e-02
1.325999999999999979e+01,-1.279074923702458455e-01
1.328000000000000114e+01,2.242321401702448147e-01
1.330000000000000071e+01,1.244423270832495237e-01
1.332000000000000028e+01,2.501783379379070027e-01
1.333999999999999986e+01,1.226676305997878164e-01
1.335999999999999943e+01,3.686958268372275693e-01
1.337999999999999901e+01,3.784456387560086038e-02
1.340000000000000036e+01,1.438628469236028773e-01
1.341999999999999993e+01,-6.953974774763194491e-03
1.343999999999999950e+01,5.214766960323438671e-02
1.346000000000000085e+01,1.867631559416897402e-01
1.348000000000000043e+01,-1.646360051494073426e-02
