# 2Theta,Intensity
1.000000000000000000e+01,-3.542850066274366716e-02
1.001999999999999957e+01,-8.298663370450275190e-02
1.003999999999999915e+01,-3.169118689690966079e-02
1.006000000000000050e+01,9.098021727650615342e-02
1.008000000000000007e+01,-6.335169164671560979e-03
1.009999999999999964e+01,3.098129226843961831e-02
1.011999999999999922e+01,1.830272483287557761e-01
1.014000000000000057e+01,1.106674562682151142e-01
1.016000000000000014e+01,1.489523238726382925e-01
1.017999999999999972e+01,2.080504481487391866e-01
1.019999999999999929e+01,3.129802996177651897e-01
1.022000000000000064e+01,-2.220364337984112937e-02
1.024000000000000021e+01,1.018265886512664531e-01
1.025999999999999979e+01,1.554077549543870784e-01
1.027999999999999936e+01,-1.887022387894597697e-02
1.030000000000000071e+01,-8.518945818729729402e-04
1.032000000000000028e+01,2.571495716687405980e-02
1.033999999999999986e+01,-7.332986919396436258e-03
1.035999999999999943e+01,1.104221801024483640e-01
1.038000000000000078e+01,4.875975328555434696e-02
1.040000000000000036e+01,1.563501687857848377e-01
1.041999999999999993e+01,1.697050703909108726e-01
1.043999999999999950e+01,1.132423307988698336e-01
1.046000000000000085e+01,1.018299123490594149e-01
1.048000000000000043e+01,-1.024199391681527155e-01
1.050000000000000000e+01,7.927072587475064713e-02
1.051999999999999957e+01,1.352785985624832543e-01
1.053999999999999915e+01,5.125108130398414036e-02
1.056000000000000050e+01,-1.468943049160947693e-02
1.058000000000000007e+01,9.562297984476522683e-02
1.059999999999999964e+01,1.712188706578957886e-01
1.061999999999999922e+01,-8.260075559127419420e-02
1.064000000000000057e+01,-4.218513584253272275e-02
1.066000000000000014e+01,2.596766773377978677e-02
1.067999999999999972e+01,1.049016769058106445e-02
1.069999999999999929e+01,1.037536686099770934e-02
1.072000000000000064e+01,1.066667106650667426e-02
1.074000000000000021e+01,-4.747287171925539118e-02
1.075999999999999979e+01,-1.675032241786628823e-02
1.077999999999999936e+01,1.765655654050041767e-01
1.080000000000000071e+01,1.406659645431964922e-01
1.082000000000000028e+01,3.485412044109439944e-02
1.083999999999999986e+01,-4.784349519946965584e-02
1.085999999999999943e+01,2.186431522429007623e-01
1.088000000000000078e+01,1.064754495244460697e-01
1.090000000000000036e+01,1.108494843950158931e-01
1.091999999999999993e+01,1.757266771595602795e-01
1.093999999999999950e+01,2.607914778751018181e-01
1.096000000000000085e+01,1.033338519224374641e-01
1.098000000000000043e+01,1.675694562671137533e-01
1.100000000000000000e+01,-8.031703969150763567e-02
1.101999999999999957e+01,8.971071887583174920e-02
1.103999999999999915e+01,3.705187543548071893e-01
1.106000000000000050e+01,-5.632343115730605726e-02
1.108000000000000007e+01,2.208457225389204304e-02
1.109999999999999964e+01,-6.687370869641243165e-02
1.112000000000000099e+01,9.598796631441562643e-02
1.114000000000000057e+01,2.080474006108729568e-01
1.116000000000000014e+01,-2.294946650321479792e-03
1.117999999999999972e+01,1.816023004557187626e-01
1.119999999999999929e+01,2.319799224443994112e-01
1.122000000000000064e+01,2.084895961382716711e-01
1.124000000000000021e+01,1.525218369084975489e-01
1.125999999999999979e+01,9.937318713805411152e-02
1.127999999999999936e+01,3.430539281556261866e-01
1.130000000000000071e+01,1.442183013766928645e-01
1.132000000000000028e+01,1.799588420768713781e-01
1.133999999999999986e+01,-2.235322612773798373e-02
1.135999999999999943e+01,-3.005840248524799946e-02
1.138000000000000078e+01,-1.688915492941687330e-02
1.140000000000000036e+01,1.489397758811098794e-02
1.141999999999999993e+01,1.033563364913310002e-02
1.143999999999999950e+01,5.946408425072453874e-02
1.146000000000000085e+01,2.902395875541418646e-01
1.148000000000000043e+01,6.154734774884319110e-02
1.150000000000000000e+01,9.934506713932476918e-02
1.151999999999999957e+01,6.835188566276428901e-02
1.153999999999999915e+01,8.170030381036838540e-02
