# 2Theta,Intensity
1.000000000000000000e+01,6.750057359072678120e-02
1.001999999999999957e+01,2.541487649681748451e-01
1.003999999999999915e+01,-7.681979659429349905e-02
1.006000000000000050e+01,-2.426520575004801616e-01
1.008000000000000007e+01,1.805059616890296870e-01
1.009999999999999964e+01,4.814933887215137875e-02
1.011999999999999922e+01,1.725465302312344240e-01
1.014000000000000057e+01,-5.787774608774562402e-02
1.016000000000000014e+01,-5.816394343695519692e-02
1.017999999999999972e+01,2.591266026659502786e-01
1.019999999999999929e+01,1.014143721304843204e-01
1.022000000000000064e+01,-7.801332086784978741e-03
1.024000000000000021e+01,-4.275980377208410399e-02
1.025999999999999979e+01,4.946347862031436060e-02
1.027999999999999936e+01,1.493163648722257708e-01
1.030000000000000071e+01,1.108103651124480588e-01
1.032000000000000028e+01,1.962406509615963746e-01
1.033999999999999986e+01,2.768882024096573288e-02
1.035999999999999943e+01,9.266360857558914033e-02
1.038000000000000078e+01,7.667478720176801321e-02
1.040000000000000036e+01,2.779424024671481863e-01
1.041999999999999993e+01,1.296203105877734574e-01
1.043999999999999950e+01,-5.123418926952005847e-03
1.046000000000000085e+01,5.635101000774805566e-03
1.048000000000000043e+01,2.112067329759513001e-01
1.050000000000000000e+01,1.210700828328387518e-01
1.051999999999999957e+01,8.360088234665027929e-02
1.053999999999999915e+01,6.381635556662781927e-02
1.056000000000000050e+01,-1.181538041670100042e-01
1.058000000000000007e+01,7.728972033804601405e-02
1.059999999999999964e+01,-5.849654175600414729e-02
1.061999999999999922e+01,1.737862131832703660e-01
1.064000000000000057e+01,1.741531616371686797e-01
1.066000000000000014e+01,2.009239997064558303e-01
1.067999999999999972e+01,3.039202552479033925e-02
1.069999999999999929e+01,3.032623906686197218e-02
1.072000000000000064e+01,1.741258064583607254e-02
1.074000000000000021e+01,-2.249136894417829574e-02
1.075999999999999979e+01,4.206962277011619400e-02
1.077999999999999936e+01,-9.390451294338826929e-03
1.080000000000000071e+01,1.754199610032755596e-01
1.082000000000000028e+01,9.179158845710832723e-03
1.083999999999999986e+01,1.316675676363210645e-01
1.085999999999999943e+01,1.546968712495979115e-01
1.088000000000000078e+01,2.792094358109662999e-01
1.090000000000000036e+01,2.213585360939631097e-01
1.091999999999999993e+01,1.655087040876840054e-01
1.093999999999999950e+01,2.110494903378710152e-01
1.096000000000000085e+01,7.284417554032381059e-02
1.098000000000000043e+01,1.503764507050077415e-01
1.100000000000000000e+01,2.341285133934560211e-02
1.101999999999999957e+01,-8.189573640963154766e-02
1.103999999999999915e+01,5.628859062161555710e-02
1.106000000000000050e+01,5.121698003132155869e-02
1.108000000000000007e+01,-3.268255370709416407e-02
1.109999999999999964e+01,1.639572008963036120e-01
1.112000000000000099e+01,6.705281104046037499e-02
1.114000000000000057e+01,1.184781698429543534e-01
1.116000000000000014e+01,-9.614946504478844025e-02
1.117999999999999972e+01,-1.325466724804980068e-02
1.119999999999999929e+01,1.862642140144568914e-01
1.122000000000000064e+01,-1.706826030148571871e-01
1.124000000000000021e+01,2.492735460745793274e-01
1.125999999999999979e+01,-8.574610611950168881e-02
1.127999999999999936e+01,-7.817062594638059247e-02
1.130000000000000071e+01,5.216365260484306238e-02
1.132000000000000028e+01,5.105126627055796978e-02
1.133999999999999986e+01,-1.124193452903347740e-01
1.135999999999999943e+01,-1.472243971518256977e-01
1.138000000000000078e+01,2.880885789167662581e-01
1.140000000000000036e+01,-2.604486685062096935e-02
1.141999999999999993e+01,2.683065140008524668e-02
1.143999999999999950e+01,-1.145050364097198736e-01
1.146000000000000085e+01,-4.491756146426269247e-02
1.148000000000000043e+01,5.933943813430971048e-02
1.150000000000000000e+01,7.113982069677154962e-02
1.151999999999999957e+01,1.421198648160497402e-01
1.153999999999999915e+01,-4.864570765509994982e-02
1.156000000000000050e+01,1.667982817933112705e-01
1.158000000000000007e+01,1.038768472431599206e-02
1.159999999999999964e+01,1.557052186911019598e-01
1.162000000000000099e+01,-5.394397669579285154e-02
1.164000000000000057e+01,2.103663555588075607e-01
1.166000000000000014e+01,2.358950291208366801e-01
1.167999999999999972e+01,1.554598356966442052e-01
1.169999999999999929e+01,1.221031243942338612e-01
1.172000000000000064e+01,1.476183385799302583e-01
1.174000000000000021e+01,-3.688714020417242084e-02
1.175999999999999979e+01,3.276304132461477225e-02
1.177999999999999936e+01,1.823241141015070343e-01
1.180000000000000071e+01,2.123857197509398109e-01
1.182000000000000028e+01,-3.018110732102787311e-03
1.183999999999999986e+01,1.231581432168102758e-01
1.185999999999999943e+01,3.699800055114620817e-02
1.188000000000000078e+01,1.733758719955518224e-01
1.190000000000000036e+01,2.965085856602237002e-01
1.191999999999999993e+01,1.403572569527068992e-01
1.193999999999999950e+01,3.627389460756438866e-01
1.196000000000000085e+01,-1.403822197787650550e-01
1.198000000000000043e+01,1.553031979110872651e-01
1.200000000000000000e+01,2.107005815480099131e-01
1.201999999999999957e+01,3.977034742140818091e-01
1.203999999999999915e+01,1.199141979558798338e-01
1.206000000000000050e+01,3.703247667334624293e-01
1.208000000000000007e+01,2.163889149739921802e-01
1.209999999999999964e+01,3.102336249691224346e-01
1.212000000000000099e+01,6.646804823767884507e-01
1.214000000000000057e+01,5.521425461120885725e-01
1.216000000000000014e+01,7.596712442817612487e-01
1.217999999999999972e+01,8.169382139167159496e-01
1.219999999999999929e+01,8.083445275333442925e-01
1.222000000000000064e+01,1.701429905170651402e+00
1.224000000000000021e+01,1.823376679074850237e+00
1.225999999999999979e+01,3.125961998474041437e+00
1.228000000000000114e+01,7.058070991782812165e+00
1.230000000000000071e+01,2.246043878127436244e+01
1.232000000000000028e+01,6.050615929689752193e+01
1.233999999999999986e+01,1.000000000000000000e+02
1.235999999999999943e+01,8.410353288008353445e+01
1.237999999999999901e+01,4.077220995752746546e+01
1.240000000000000036e+01,1.313918749551126552e+01
1.241999999999999993e+01,4.668739961006088457e+00
1.243999999999999950e+01,2.189697187500413200e+00
1.246000000000000085e+01,1.619056675112592547e+00
1.248000000000000043e+01,1.305866444563028805e+00
1.250000000000000000e+01,8.433270747356327313e-01
1.251999999999999957e+01,7.851366957340386588e-01
1.253999999999999915e+01,5.707072283620379105e-01
1.256000000000000050e+01,4.390495936806838029e-01
