# 2Theta,Intensity
1.000000000000000000e+01,8.087146730326985611e-02
1.001999999999999957e+01,9.466631164176439461e-02
1.003999999999999915e+01,1.970538941465900806e-01
1.006000000000000050e+01,1.607215636233549905e-01
1.008000000000000007e+01,1.580715316482766974e-01
1.009999999999999964e+01,2.218412325108450600e-01
1.011999999999999922e+01,1.860568571550685335e-01
1.014000000000000057e+01,1.534819872065671942e-01
1.016000000000000014e+01,1.282766135986184997e-01
1.017999999999999972e+01,-1.328096256061232251e-02
1.019999999999999929e+01,1.842096774801276482e-01
1.022000000000000064e+01,2.775459001960717959e-02
1.024000000000000021e+01,-1.855867323560789900e-02
1.025999999999999979e+01,5.297144168886919885e-02
1.027999999999999936e+01,1.729617849371449245e-01
1.030000000000000071e+01,3.086457125789826561e-02
1.032000000000000028e+01,2.325785226340774600e-02
1.033999999999999986e+01,-1.712937750304032725e-01
1.035999999999999943e+01,9.191567748426703044e-02
1.038000000000000078e+01,-1.850178325026129167e-02
1.040000000000000036e+01,1.139108541398807864e-02
1.041999999999999993e+01,1.066631160780951437e-01
1.043999999999999950e+01,4.136889186189967454e-02
1.046000000000000085e+01,-1.891708350819534534e-01
1.048000000000000043e+01,7.605237356079620759e-02
1.050000000000000000e+01,9.650383503423476395e-02
1.051999999999999957e+01,2.755458013622872349e-01
1.053999999999999915e+01,1.447871651642694546e-01
1.056000000000000050e+01,1.770197801369413904e-01
1.058000000000000007e+01,1.025444927398909550e-01
1.059999999999999964e+01,5.374486164944052707e-02
1.061999999999999922e+01,2.145275045229930455e-01
1.064000000000000057e+01,2.396890144640099335e-02
1.066000000000000014e+01,-3.535645545571702159e-02
1.067999999999999972e+01,2.533887413258865684e-01
1.069999999999999929e+01,8.116676173863766885e-02
1.072000000000000064e+01,1.308161660545677507e-01
1.074000000000000021e+01,3.490811833518428497e-01
1.075999999999999979e+01,2.698436315336835700e-01
1.077999999999999936e+01,3.306417581486649770e-01
1.080000000000000071e+01,5.942732190180723961e-01
1.082000000000000028e+01,4.912814640683454970e-01
1.083999999999999986e+01,7.911536429280082716e-01
1.085999999999999943e+01,9.662676404120588147e-01
1.088000000000000078e+01,9.207035144609746480e-01
1.090000000000000036e+01,1.184956482657614663e+00
1.091999999999999993e+01,1.656832642119530963e+00
1.093999999999999950e+01,3.288076699524694391e+00
1.096000000000000085e+01,7.974939153811928527e+00
1.098000000000000043e+01,2.673766284740638000e+01
1.100000000000000000e+01,6.816753518853670357e+01
1.101999999999999957e+01,1.000000000000000000e+02
1.103999999999999915e+01,7.625148991929182785e+01
1.106000000000000050e+01,3.375803125461676046e+01
1.108000000000000007e+01,1.012715634615794968e+01
1.109999999999999964e+01,3.763407506973079908e+00
1.112000000000000099e+01,2.149883386212916303e+00
1.114000000000000057e+01,1.735421903740950622e+00
1.116000000000000014e+01,1.040753277498362106e+00
1.117999999999999972e+01,9.736733550018885630e-01
1.119999999999999929e+01,3.747308189349006780e-01
1.122000000000000064e+01,3.554543189058821384e-01
1.124000000000000021e+01,5.233069696685889172e-01
1.125999999999999979e+01,2.876425171330555530e-01
1.127999999999999936e+01,1.655428621218411056e-01
1.130000000000000071e+01,2.411460526066194765e-01
1.132000000000000028e+01,4.553453609256417622e-01
1.133999999999999986e+01,3.791171612348784303e-01
1.135999999999999943e+01,1.749881654613631432e-01
1.138000000000000078e+01,1.931972902173031137e-01
1.140000000000000036e+01,1.184049008914040690e-01
1.141999999999999993e+01,6.675727321885489840e-02
1.143999999999999950e+01,2.208544076348176732e-01
1.146000000000000085e+01,1.853554665204611152e-02
1.148000000000000043e+01,3.514341597982340026e-02
1.150000000000000000e+01,1.870535115726365272e-01
1.151999999999999957e+01,1.704253546172164457e-02
1.153999999999999915e+01,6.477601026505294679e-02
1.156000000000000050e+01,9.402191767269067746e-02
1.158000000000000007e+01,1.354496589419877106e-01
1.159999999999999964e+01,5.179339910243043951e-03
1.162000000000000099e+01,-1.086012330091562332e-02
1.164000000000000057e+01,1.788717438978128238e-01
1.166000000000000014e+01,1.111091236311569364e-01
1.167999999999999972e+01,1.451895638366871855e-01
1.169999999999999929e+01,2.243108053350374373e-02
1.172000000000000064e+01,1.116032138235975024e-01
1.174000000000000021e+01,1.731019073711936307e-01
1.175999999999999979e+01,1.281535695040731115e-01
1.177999999999999936e+01,1.450252836876304019e-01
1.180000000000000071e+01,1.814425364571112531e-01
1.182000000000000028e+01,1.545157844162380334e-01
1.183999999999999986e+01,-1.046026473083845193e-01
1.185999999999999943e+01,2.062297234801730716e-01
1.188000000000000078e+01,-8.256586805815926966e-02
1.190000000000000036e+01,3.304659282396309461e-01
1.191999999999999993e+01,2.398569971851769456e-01
1.193999999999999950e+01,1.302986404433789658e-01
1.196000000000000085e+01,1.331206486921339693e-01
1.198000000000000043e+01,1.143089441591465805e-01
1.200000000000000000e+01,6.393708735761849393e-02
1.201999999999999957e+01,1.179153342403949228e-01
1.203999999999999915e+01,-5.626820660748029640e-02
1.206000000000000050e+01,3.197247275335930033e-02
1.208000000000000007e+01,6.226680523945671286e-02
1.209999999999999964e+01,5.437359474375232093e-02
1.212000000000000099e+01,-2.286860922531379348e-02
1.214000000000000057e+01,5.250426071991662509e-03
1.216000000000000014e+01,-1.631293963616395684e-02
1.217999999999999972e+01,8.604085366113917166e-02
1.219999999999999929e+01,7.883276378008435836e-02
1.222000000000000064e+01,-2.785504756346127066e-03
1.224000000000000021e+01,6.391270035055007792e-02
1.225999999999999979e+01,-7.506313198554166732e-02
1.228000000000000114e+01,1.225627725363599846e-01
1.230000000000000071e+01,2.430478131946777962e-02
1.232000000000000028e+01,1.937489083566383830e-01
1.233999999999999986e+01,5.540105357975513845e-02
