# 2Theta,Intensity
1.000000000000000000e+01,5.289000749501269194e-01
1.001999999999999957e+01,3.541859796866821397e-01
1.003999999999999915e+01,4.579123420768902442e-01
1.006000000000000050e+01,6.030104960397488778e-01
1.008000000000000007e+01,2.013204038415727926e-01
1.009999999999999964e+01,3.005350772403124204e-01
1.011999999999999922e+01,4.275978700498412333e-01
1.014000000000000057e+01,5.319638357040739063e-01
1.016000000000000014e+01,3.833111459711220914e-01
1.017999999999999972e+01,4.199192611307996370e-01
1.019999999999999929e+01,4.831374584845365971e-01
1.022000000000000064e+01,1.874595895804599399e-01
1.024000000000000021e+01,5.732417470134519855e-01
1.025999999999999979e+01,5.028969237179299334e-01
1.027999999999999936e+01,3.791687001153004610e-01
1.030000000000000071e+01,4.957420625165061545e-01
1.032000000000000028e+01,3.824223943377694779e-01
1.033999999999999986e+01,6.024932409743736228e-01
1.035999999999999943e+01,7.384788658120674532e-01
1.038000000000000078e+01,4.161011148235029267e-01
1.040000000000000036e+01,4.001732077326358716e-01
1.041999999999999993e+01,3.331638914929024309e-01
1.043999999999999950e+01,3.462902592609157226e-01
1.046000000000000085e+01,2.134502279747517717e-01
1.048000000000000043e+01,4.134055048415713474e-01
1.050000000000000000e+01,5.612235480960976464e-01
1.051999999999999957e+01,3.534270639594557784e-01
1.053999999999999915e+01,6.130480882049105240e-01
1.056000000000000050e+01,5.088834813137684820e-01
1.058000000000000007e+01,5.272446397794467998e-01
1.059999999999999964e+01,3.135332772669606194e-01
1.061999999999999922e+01,2.227117749165417049e-01
1.064000000000000057e+01,5.333512732983026750e-01
1.066000000000000014e+01,4.373139960105589252e-01
1.067999999999999972e+01,3.920560776246510004e-01
1.069999999999999929e+01,2.318902929114585176e-01
1.072000000000000064e+01,4.081859674242300784e-01
1.074000000000000021e+01,3.648144004537135499e-01
1.075999999999999979e+01,4.887514477335337948e-01
1.077999999999999936e+01,4.508450580006447828e-01
1.080000000000000071e+01,4.575913789756472783e-01
1.082000000000000028e+01,2.645028546164445715e-01
1.083999999999999986e+01,4.009364183420263128e-01
1.085999999999999943e+01,5.785057795139505465e-01
1.088000000000000078e+01,6.125408623757835347e-01
1.090000000000000036e+01,5.432510901166585082e-01
1.091999999999999993e+01,4.814225719766759282e-01
1.093999999999999950e+01,2.960020984726228765e-01
1.096000000000000085e+01,4.468912457679535821e-01
1.098000000000000043e+01,3.497069334433394183e-01
1.100000000000000000e+01,4.767693940528206498e-01
1.101999999999999957e+01,4.254287791819982845e-01
1.103999999999999915e+01,5.051351936566260692e-01
1.106000000000000050e+01,2.692446081709183314e-01
1.108000000000000007e+01,3.862657906606901115e-01
1.109999999999999964e+01,4.918535395153962320e-01
1.112000000000000099e+01,3.193263191524816635e-01
1.114000000000000057e+01,5.495554807373418393e-01
1.116000000000000014e+01,1.421027382472291323e-01
1.117999999999999972e+01,3.245082038456570950e-01
1.119999999999999929e+01,3.395747733818836323e-01
1.122000000000000064e+01,5.359212580386172320e-01
1.124000000000000021e+01,4.822379548027138085e-01
1.125999999999999979e+01,5.476070009430805685e-01
1.127999999999999936e+01,4.045692975203686870e-01
1.130000000000000071e+01,3.406229332916562158e-01
1.132000000000000028e+01,4.873784526121391347e-01
1.133999999999999986e+01,5.551232885722300336e-01
1.135999999999999943e+01,2.119648313192284139e-01
1.138000000000000078e+01,4.663196531737587858e-01
1.140000000000000036e+01,5.066733231959323902e-01
1.141999999999999993e+01,3.778023051792615550e-01
1.143999999999999950e+01,4.984670427275705307e-01
1.146000000000000085e+01,2.364226783796162246e-01
1.148000000000000043e+01,8.585517741284372228e-02
1.150000000000000000e+01,4.654180410504333842e-01
1.151999999999999957e+01,4.405152027810056437e-01
1.153999999999999915e+01,5.593970412248915336e-01
1.156000000000000050e+01,3.012878777970303679e-01
1.158000000000000007e+01,6.503685057183625773e-01
1.159999999999999964e+01,3.730796796688458650e-01
1.162000000000000099e+01,6.879057668298788064e-01
1.164000000000000057e+01,2.120046914951786987e-01
1.166000000000000014e+01,4.916524048527732282e-01
1.167999999999999972e+01,5.893194359362030621e-01
1.169999999999999929e+01,3.046035883213069062e-01
1.172000000000000064e+01,6.222471938151649118e-01
1.174000000000000021e+01,4.703797880294666167e-01
1.175999999999999979e+01,4.790583750379991956e-01
1.177999999999999936e+01,4.125163965734504612e-01
1.180000000000000071e+01,3.164141015321185191e-01
1.182000000000000028e+01,4.929820840095546775e-01
1.183999999999999986e+01,4.653675715899818766e-01
1.185999999999999943e+01,3.245987800685590230e-01
1.188000000000000078e+01,6.536803645687243591e-01
1.190000000000000036e+01,4.698322714558426094e-01
1.191999999999999993e+01,6.766324733071871211e-01
1.193999999999999950e+01,4.342205696343330867e-01
1.196000000000000085e+01,4.980784894324292722e-01
1.198000000000000043e+01,4.122992441569275912e-01
1.200000000000000000e+01,4.176589631284499116e-01
1.201999999999999957e+01,4.508201129014464681e-01
1.203999999999999915e+01,5.540130721252344292e-01
1.206000000000000050e+01,1.443315037348776586e-01
1.208000000000000007e+01,4.611574152581053299e-01
1.209999999999999964e+01,4.879621375015232299e-01
1.212000000000000099e+01,2.336166995437977123e-01
1.214000000000000057e+01,3.508301802598075003e-01
1.216000000000000014e+01,5.374976900427816950e-01
1.217999999999999972e+01,1.895645592552284431e-01
1.219999999999999929e+01,3.114141632418336858e-01
1.222000000000000064e+01,4.369355199106886301e-01
1.224000000000000021e+01,4.632424075868824542e-01
1.225999999999999979e+01,5.609439484230654971e-01
1.228000000000000114e+01,3.713853182627752103e-01
1.230000000000000071e+01,2.608913768383916976e-01
1.232000000000000028e+01,3.444200615944823518e-01
1.233999999999999986e+01,3.910616040708627117e-01
1.235999999999999943e+01,3.477543119066321409e-01
1.237999999999999901e+01,2.042251989199500573e-01
1.240000000000000036e+01,3.849087849714543097e-01
1.241999999999999993e+01,3.091214674236801851e-01
1.243999999999999950e+01,3.456315162608666891e-01
1.246000000000000085e+01,2.364562528680149434e-01
1.248000000000000043e+01,5.650638214906145151e-01
1.250000000000000000e+01,5.204209169395633827e-01
1.251999999999999957e+01,2.769401475028030468e-01
1.253999999999999915e+01,1.590297001237003793e-02
1.256000000000000050e+01,4.115109954385895441e-01
1.258000000000000007e+01,3.511959612962728960e-01
1.259999999999999964e+01,3.133098229952007707e-01
1.262000000000000099e+01,4.043139586707895083e-01
1.264000000000000057e+01,6.273453718064332385e-01
1.266000000000000014e+01,4.665076275252580951e-01
1.267999999999999972e+01,4.842817724077105868e-01
1.269999999999999929e+01,5.378778320191744955e-01
1.272000000000000064e+01,5.416190322145378877e-01
1.274000000000000021e+01,3.936463471214775578e-01
1.275999999999999979e+01,3.575124444795559353e-01
1.278000000000000114e+01,4.533094532851236758e-01
1.280000000000000071e+01,2.878321518642366073e-01
1.282000000000000028e+01,5.599618149601388595e-01
1.283999999999999986e+01,4.925925258178564525e-01
1.285999999999999943e+01,7.511525374008595213e-01
1.287999999999999901e+01,3.249203595299888225e-01
1.290000000000000036e+01,3.487010987784812110e-01
1.291999999999999993e+01,3.333065475820440327e-01
1.293999999999999950e+01,4.084843960640447968e-01
1.296000000000000085e+01,3.319312001161527359e-01
