# 2Theta,Intensity
1.000000000000000000e+01,1.872829651944282747e-01
1.001999999999999957e+01,1.754417910257544955e-01
1.003999999999999915e+01,1.758432914015199688e-01
1.006000000000000050e+01,2.710144851734705984e-01
1.008000000000000007e+01,-1.777012766904554480e-02
1.009999999999999964e+01,3.815817181750854048e-01
1.011999999999999922e+01,1.106085412099126891e-01
1.014000000000000057e+01,8.144583661939751307e-02
1.016000000000000014e+01,2.212865163930001489e-01
1.017999999999999972e+01,-7.246413515742085310e-02
1.019999999999999929e+01,2.614172609482283138e-01
1.022000000000000064e+01,3.709277130308562959e-02
1.024000000000000021e+01,2.218285320118819071e-01
1.025999999999999979e+01,8.675498302353987223e-02
1.027999999999999936e+01,2.028104109067875027e-01
1.030000000000000071e+01,1.894498099983802919e-01
1.032000000000000028e+01,1.726300353898992113e-01
1.033999999999999986e+01,-9.305977035367922132e-03
1.035999999999999943e+01,2.222444867805401791e-01
1.038000000000000078e+01,2.048155597012653595e-01
1.040000000000000036e+01,3.532598380735543775e-01
1.041999999999999993e+01,2.658752985735760022e-01
1.043999999999999950e+01,1.504272489684327363e-01
1.046000000000000085e+01,1.004584756358842951e-01
1.048000000000000043e+01,2.265290226769943183e-01
1.050000000000000000e+01,3.128766196935429261e-02
1.051999999999999957e+01,2.704976182238664206e-01
1.053999999999999915e+01,3.699419822738673758e-01
1.056000000000000050e+01,2.176072077218157153e-01
1.058000000000000007e+01,2.206512675467855455e-01
1.059999999999999964e+01,2.891540715239797055e-01
1.061999999999999922e+01,2.092711718749712679e-01
1.064000000000000057e+01,4.149893676017595012e-02
1.066000000000000014e+01,4.099456154546565756e-02
1.067999999999999972e+01,1.918341510463496269e-01
1.069999999999999929e+01,2.847142066896329315e-01
1.072000000000000064e+01,4.203360028313914420e-01
1.074000000000000021e+01,1.078799888425513720e-01
1.075999999999999979e+01,2.495314167837814900e-01
1.077999999999999936e+01,1.906974126320223895e-01
1.080000000000000071e+01,1.185988454382848473e-01
1.082000000000000028e+01,2.450614699477516867e-01
1.083999999999999986e+01,2.862650440011625386e-01
1.085999999999999943e+01,1.313873944556263051e-01
1.088000000000000078e+01,6.780814775753898904e-02
1.090000000000000036e+01,1.229307746138890017e-01
1.091999999999999993e+01,2.082138471232312937e-01
1.093999999999999950e+01,2.559672268735982970e-01
1.096000000000000085e+01,3.940851848262884038e-01
1.098000000000000043e+01,1.410671905188601305e-01
1.100000000000000000e+01,1.202604634384868559e-01
1.101999999999999957e+01,2.311860791955489269e-01
1.103999999999999915e+01,3.017644816791713036e-01
1.106000000000000050e+01,2.270004920938512583e-01
1.108000000000000007e+01,4.906273423211764961e-01
1.109999999999999964e+01,2.954820199202964348e-01
1.112000000000000099e+01,3.579557754442257433e-01
1.114000000000000057e+01,1.918405434816770061e-01
1.116000000000000014e+01,6.648353804398574041e-02
1.117999999999999972e+01,-8.092427113355002422e-02
1.119999999999999929e+01,3.174215242247928059e-01
1.122000000000000064e+01,2.268703369516048007e-01
1.124000000000000021e+01,6.239934964992006894e-02
1.125999999999999979e+01,1.939265442956435714e-01
1.127999999999999936e+01,2.151765984754682726e-01
1.130000000000000071e+01,2.212767000954256602e-01
1.132000000000000028e+01,1.685645072570357561e-01
1.133999999999999986e+01,3.101023362781562542e-01
1.135999999999999943e+01,2.941443817494988622e-01
1.138000000000000078e+01,2.188528549134910184e-01
1.140000000000000036e+01,6.479360773672494800e-02
1.141999999999999993e+01,1.923829273165684473e-01
1.143999999999999950e+01,1.062753806858756228e-01
1.146000000000000085e+01,1.064661848918061066e-01
1.148000000000000043e+01,1.283037259089625237e-01
1.150000000000000000e+01,2.408260908489817109e-01
1.151999999999999957e+01,8.191524924558302168e-02
1.153999999999999915e+01,1.027341150877577325e-01
