# 2Theta,Intensity
1.000000000000000000e+01,5.972548439527987085e-01
1.001999999999999957e+01,5.479860675921109925e-01
1.003999999999999915e+01,7.247166250579426539e-01
1.006000000000000050e+01,8.278826448082570177e-01
1.008000000000000007e+01,7.303459225081735395e-01
1.009999999999999964e+01,4.287694250681616803e-01
1.011999999999999922e+01,5.708766334901240747e-01
1.014000000000000057e+01,6.069533363866965736e-01
1.016000000000000014e+01,5.104600734318605060e-01
1.017999999999999972e+01,6.512539008261259976e-01
1.019999999999999929e+01,8.788267373826631479e-01
1.022000000000000064e+01,4.067371410124185904e-01
1.024000000000000021e+01,7.159992541010606892e-01
1.025999999999999979e+01,5.724196951669300315e-01
1.027999999999999936e+01,7.392266206291014941e-01
1.030000000000000071e+01,1.036211447126564433e+00
1.032000000000000028e+01,5.974557320293959473e-01
1.033999999999999986e+01,7.737560650083491476e-01
1.035999999999999943e+01,6.195699950645051635e-01
1.038000000000000078e+01,6.138774475982031742e-01
1.040000000000000036e+01,6.437580547248495932e-01
1.041999999999999993e+01,5.440279880267607782e-01
1.043999999999999950e+01,9.815754469001047866e-01
1.046000000000000085e+01,6.855503301712214670e-01
1.048000000000000043e+01,8.252322652470358566e-01
1.050000000000000000e+01,7.090122742411848478e-01
1.051999999999999957e+01,1.229370283284916932e+00
1.053999999999999915e+01,8.612883861227608184e-01
1.056000000000000050e+01,5.051407549499417060e-01
1.058000000000000007e+01,1.125017147829226571e+00
1.059999999999999964e+01,8.885719343976975493e-01
1.061999999999999922e+01,7.144678225501341906e-01
1.064000000000000057e+01,6.358550842097386857e-01
1.066000000000000014e+01,4.825319804966918258e-01
1.067999999999999972e+01,7.813591189404892612e-01
1.069999999999999929e+01,6.484263951869055909e-01
1.072000000000000064e+01,7.247169733641996014e-01
1.074000000000000021e+01,1.103597495272397699e+00
1.075999999999999979e+01,6.760213196830677784e-01
1.077999999999999936e+01,5.278940826026963240e-01
1.080000000000000071e+01,5.343624832073566866e-01
1.082000000000000028e+01,9.569813189487544891e-01
1.083999999999999986e+01,8.135217310255271617e-01
1.085999999999999943e+01,1.106199852240268289e+00
1.088000000000000078e+01,9.469636683650213271e-01
1.090000000000000036e+01,6.950297144671696570e-01
1.091999999999999993e+01,6.327170692812635888e-01
1.093999999999999950e+01,7.627683869057581001e-01
1.096000000000000085e+01,7.322055561543540092e-01
1.098000000000000043e+01,6.965060941333852673e-01
1.100000000000000000e+01,6.651668220521318453e-01
1.101999999999999957e+01,4.854142689063153382e-01
1.103999999999999915e+01,5.901129321863591848e-01
1.106000000000000050e+01,5.517592367374785089e-01
1.108000000000000007e+01,7.659938321022763397e-01
1.109999999999999964e+01,7.340964737191456591e-01
1.112000000000000099e+01,7.112075155689906447e-01
1.114000000000000057e+01,8.623775748734957558e-01
1.116000000000000014e+01,6.073542953011696888e-01
1.117999999999999972e+01,5.325230195580008541e-01
1.119999999999999929e+01,7.269713666073200908e-01
1.122000000000000064e+01,8.222839872176788134e-01
1.124000000000000021e+01,5.819770418862451056e-01
1.125999999999999979e+01,7.006827031752449475e-01
1.127999999999999936e+01,6.277153269939172997e-01
1.130000000000000071e+01,6.617170891617421002e-01
1.132000000000000028e+01,3.835668012189845655e-01
1.133999999999999986e+01,1.056239365787888795e+00
1.135999999999999943e+01,5.438587501961817949e-01
1.138000000000000078e+01,5.914372270533032605e-01
1.140000000000000036e+01,6.800431472479032680e-01
1.141999999999999993e+01,8.050960983472650323e-01
1.143999999999999950e+01,7.583111332394758541e-01
1.146000000000000085e+01,8.764223518216240905e-01
1.148000000000000043e+01,7.789056664306532873e-01
1.150000000000000000e+01,6.319221258441798383e-01
1.151999999999999957e+01,4.583706773382505428e-01
1.153999999999999915e+01,5.846033445485383506e-01
1.156000000000000050e+01,9.937033044071034160e-01
1.158000000000000007e+01,9.186164459224374079e-01
1.159999999999999964e+01,4.800307133690230321e-01
1.162000000000000099e+01,7.139819910493429012e-01
1.164000000000000057e+01,6.479717723157214504e-01
1.166000000000000014e+01,1.056328088986279834e+00
1.167999999999999972e+01,5.981566454130237132e-01
1.169999999999999929e+01,5.727097483408515322e-01
1.172000000000000064e+01,8.010325602065762052e-01
1.174000000000000021e+01,5.135561067298279880e-01
1.175999999999999979e+01,7.620568429642865516e-01
1.177999999999999936e+01,7.593043022574695877e-01
1.180000000000000071e+01,8.854538292324922732e-01
1.182000000000000028e+01,1.080043560680905790e+00
1.183999999999999986e+01,6.691671439246109632e-01
1.185999999999999943e+01,7.351114722144496127e-01
1.188000000000000078e+01,7.232268657470982687e-01
1.190000000000000036e+01,7.118812620049421724e-01
1.191999999999999993e+01,8.283502796054310613e-01
1.193999999999999950e+01,6.774625459185918963e-01
1.196000000000000085e+01,4.402403376666526036e-01
1.198000000000000043e+01,7.545972878823344887e-01
1.200000000000000000e+01,7.312890651728158886e-01
1.201999999999999957e+01,6.799617273600185863e-01
1.203999999999999915e+01,6.565195034697207666e-01
1.206000000000000050e+01,8.734854329336074752e-01
1.208000000000000007e+01,6.629513167926710526e-01
1.209999999999999964e+01,6.054297715993445239e-01
1.212000000000000099e+01,7.739726336588221844e-01
1.214000000000000057e+01,6.054003655476460910e-01
1.216000000000000014e+01,5.862777528795879434e-01
1.217999999999999972e+01,7.022218203834744710e-01
1.219999999999999929e+01,6.355129163606859644e-01
1.222000000000000064e+01,4.744204015853024092e-01
1.224000000000000021e+01,5.481591948579250806e-01
1.225999999999999979e+01,3.850475957798988325e-01
1.228000000000000114e+01,6.412203811689647370e-01
1.230000000000000071e+01,1.004197643310289934e+00
1.232000000000000028e+01,6.285386645275748974e-01
1.233999999999999986e+01,4.455914979529489450e-01
1.235999999999999943e+01,1.020035020463296416e+00
1.237999999999999901e+01,7.857160630173368743e-01
1.240000000000000036e+01,8.498897888430269054e-01
1.241999999999999993e+01,8.011531211468130298e-01
1.243999999999999950e+01,7.187296197080279558e-01
1.246000000000000085e+01,7.117303599872885078e-01
1.248000000000000043e+01,7.105981344103300401e-01
1.250000000000000000e+01,7.996963749930726673e-01
1.251999999999999957e+01,7.277081139219278016e-01
1.253999999999999915e+01,6.042993998662878896e-01
1.256000000000000050e+01,7.581843856227526990e-01
1.258000000000000007e+01,5.072299286871898572e-01
1.259999999999999964e+01,7.719537989444427151e-01
1.262000000000000099e+01,6.263889114757984489e-01
1.264000000000000057e+01,5.106544404983451857e-01
1.266000000000000014e+01,5.367405856096942873e-01
1.267999999999999972e+01,1.109350450946506861e+00
1.269999999999999929e+01,5.494722837872387800e-01
1.272000000000000064e+01,4.306616312463251717e-01
1.274000000000000021e+01,3.740170490684514015e-01
1.275999999999999979e+01,4.872096854692699597e-01
1.278000000000000114e+01,7.661053339364015669e-01
1.280000000000000071e+01,5.468777503653851069e-01
1.282000000000000028e+01,6.611650751292337258e-01
1.283999999999999986e+01,8.165283875023056082e-01
1.285999999999999943e+01,6.048990338087889551e-01
1.287999999999999901e+01,7.677400288761908609e-01
1.290000000000000036e+01,8.986179782256716875e-01
1.291999999999999993e+01,6.968375496108241141e-01
1.293999999999999950e+01,6.836890980328582668e-01
1.296000000000000085e+01,6.419140354162892192e-01
1.298000000000000043e+01,5.085863168801304512e-01
1.300000000000000000e+01,8.542276972227859089e-01
1.301999999999999957e+01,7.271328747877047194e-01
1.303999999999999915e+01,6.534113673241571663e-01
1.306000000000000050e+01,9.563248499646924694e-01
1.308000000000000007e+01,7.731149550234464041e-01
1.309999999999999964e+01,5.884519525832990761e-01
1.312000000000000099e+01,3.134899780632428579e-01
1.314000000000000057e+01,6.798637339116061495e-01
1.316000000000000014e+01,7.261273338668698951e-01
1.317999999999999972e+01,8.723654305236645534e-01
1.319999999999999929e+01,7.787499467603975489e-01
1.322000000000000064e+01,8.236128401784037489e-01
1.324000000000000021e+01,7.552853372838391754e-01
1.325999999999999979e+01,6.966188390799900043e-01
1.328000000000000114e+01,5.058248122364322752e-01
1.330000000000000071e+01,6.231836661130263355e-01
1.332000000000000028e+01,4.289033308575054826e-01
1.333999999999999986e+01,6.226676564594102459e-01
1.335999999999999943e+01,7.240121265396040062e-01
1.337999999999999901e+01,7.669787590815246858e-01
1.340000000000000036e+01,9.167010039708545222e-01
