# 2Theta,Intensity
1.000000000000000000e+01,3.117001997509687872e+00
1.001999999999999957e+01,3.482421607593762403e+00
1.003999999999999915e+01,2.644071902881386382e+00
1.006000000000000050e+01,3.239584217155843326e+00
1.008000000000000007e+01,3.465565055330449340e+00
1.009999999999999964e+01,3.439273707196331742e+00
1.011999999999999922e+01,3.407595658728415078e+00
1.014000000000000057e+01,3.430293848157291325e+00
1.016000000000000014e+01,3.524536745822295369e+00
1.017999999999999972e+01,3.426031177600968203e+00
1.019999999999999929e+01,3.063831236167938066e+00
1.022000000000000064e+01,2.995165516523021765e+00
1.024000000000000021e+01,3.234172645445942074e+00
1.025999999999999979e+01,2.967912888730484866e+00
1.027999999999999936e+01,2.846117157260867447e+00
1.030000000000000071e+01,3.497595034994129826e+00
1.032000000000000028e+01,3.667421836840647931e+00
1.033999999999999986e+01,2.904479987263136831e+00
1.035999999999999943e+01,3.449761489892936517e+00
1.038000000000000078e+01,3.150921058801562591e+00
1.040000000000000036e+01,3.206506350210278633e+00
1.041999999999999993e+01,3.253629270406883212e+00
1.043999999999999950e+01,3.059580392924184267e+00
1.046000000000000085e+01,3.487460016678037178e+00
1.048000000000000043e+01,3.548697562316073473e+00
1.050000000000000000e+01,3.052360799132976421e+00
1.051999999999999957e+01,3.640450566535666344e+00
1.053999999999999915e+01,2.915287966035759126e+00
1.056000000000000050e+01,2.835346691333962887e+00
1.058000000000000007e+01,3.499645171322600223e+00
1.059999999999999964e+01,3.144039241885520308e+00
1.061999999999999922e+01,3.701606399126230240e+00
1.064000000000000057e+01,2.867910966154786134e+00
1.066000000000000014e+01,3.188687166040236054e+00
1.067999999999999972e+01,3.311399259456329069e+00
1.069999999999999929e+01,3.387691183338644052e+00
1.072000000000000064e+01,3.233478694706243939e+00
1.074000000000000021e+01,3.450219300566784941e+00
1.075999999999999979e+01,3.056269617538503347e+00
1.077999999999999936e+01,3.245981420870371004e+00
1.080000000000000071e+01,3.409749339340585106e+00
1.082000000000000028e+01,3.048326164744641353e+00
1.083999999999999986e+01,3.395270798221837527e+00
1.085999999999999943e+01,3.671098954353051003e+00
1.088000000000000078e+01,3.399360795377021738e+00
1.090000000000000036e+01,3.380261701331299662e+00
1.091999999999999993e+01,3.857883523702430040e+00
1.093999999999999950e+01,3.289165713842540750e+00
1.096000000000000085e+01,3.183993119756639345e+00
1.098000000000000043e+01,3.600530937547425481e+00
1.100000000000000000e+01,3.871278644340603314e+00
1.101999999999999957e+01,3.130834728673083323e+00
1.103999999999999915e+01,3.611990846861290461e+00
1.106000000000000050e+01,3.033153226298324956e+00
1.108000000000000007e+01,3.158583346405675840e+00
1.109999999999999964e+01,3.192848540736454410e+00
1.112000000000000099e+01,3.315137923916215090e+00
1.114000000000000057e+01,3.726994725415110121e+00
1.116000000000000014e+01,3.406941152722617883e+00
1.117999999999999972e+01,3.043025297632770521e+00
1.119999999999999929e+01,3.594921176066033564e+00
1.122000000000000064e+01,3.527274405840741256e+00
1.124000000000000021e+01,3.594980387664090227e+00
1.125999999999999979e+01,3.459423551026952204e+00
1.127999999999999936e+01,3.891399959591236080e+00
1.130000000000000071e+01,3.550070181199450836e+00
1.132000000000000028e+01,3.564782300003698445e+00
1.133999999999999986e+01,3.234168717468393517e+00
1.135999999999999943e+01,3.997871045934286993e+00
1.138000000000000078e+01,3.390333214686799046e+00
1.140000000000000036e+01,3.801429297599930646e+00
1.141999999999999993e+01,2.352859335550888442e+00
1.143999999999999950e+01,3.307963181832499711e+00
1.146000000000000085e+01,2.956969436632900461e+00
1.148000000000000043e+01,3.376769887105810497e+00
1.150000000000000000e+01,3.413938812914320220e+00
1.151999999999999957e+01,3.047436398574241867e+00
1.153999999999999915e+01,3.105523003138484395e+00
1.156000000000000050e+01,2.954624890321349895e+00
1.158000000000000007e+01,3.284244657927935851e+00
1.159999999999999964e+01,3.419163009757683724e+00
1.162000000000000099e+01,3.430907652075497527e+00
1.164000000000000057e+01,3.500273658666966270e+00
1.166000000000000014e+01,3.948699613942217024e+00
1.167999999999999972e+01,3.252956199681263261e+00
1.169999999999999929e+01,3.749549926217585316e+00
1.172000000000000064e+01,3.167953767463270509e+00
1.174000000000000021e+01,3.299916889971889145e+00
1.175999999999999979e+01,3.673263921332397430e+00
1.177999999999999936e+01,3.399686621636947237e+00
1.180000000000000071e+01,3.159589813506634925e+00
1.182000000000000028e+01,2.901141703759784196e+00
1.183999999999999986e+01,3.342764329333378193e+00
1.185999999999999943e+01,3.575535949655982648e+00
1.188000000000000078e+01,3.376359809400788947e+00
1.190000000000000036e+01,2.920281585158881477e+00
1.191999999999999993e+01,3.357824660361985458e+00
1.193999999999999950e+01,3.091717472148547419e+00
1.196000000000000085e+01,2.924266561857570057e+00
1.198000000000000043e+01,3.797863665721150195e+00
1.200000000000000000e+01,3.565628880697894409e+00
1.201999999999999957e+01,3.515509887542617840e+00
1.203999999999999915e+01,3.686933319545325549e+00
1.206000000000000050e+01,3.625245294654856565e+00
1.208000000000000007e+01,3.748234009991613380e+00
1.209999999999999964e+01,3.344842199571983699e+00
1.212000000000000099e+01,3.750753984274524111e+00
1.214000000000000057e+01,3.605710092666885913e+00
1.216000000000000014e+01,3.359147238478701336e+00
1.217999999999999972e+01,3.288901044868904666e+00
1.219999999999999929e+01,2.967394250524288957e+00
1.222000000000000064e+01,3.656917140152626811e+00
1.224000000000000021e+01,3.398276813708265287e+00
1.225999999999999979e+01,3.217654205356811570e+00
1.228000000000000114e+01,3.682354434497615792e+00
1.230000000000000071e+01,3.481594969296440745e+00
1.232000000000000028e+01,3.816959845694982256e+00
1.233999999999999986e+01,3.333761749200110813e+00
1.235999999999999943e+01,3.446743518749999069e+00
1.237999999999999901e+01,2.608153821776752590e+00
1.240000000000000036e+01,3.047098688613504969e+00
1.241999999999999993e+01,3.486260253566930700e+00
1.243999999999999950e+01,3.065399774698944313e+00
1.246000000000000085e+01,3.551696313374218761e+00
1.248000000000000043e+01,3.163901750502073895e+00
1.250000000000000000e+01,3.204102105383709542e+00
1.251999999999999957e+01,3.252157661420150614e+00
1.253999999999999915e+01,3.080030408194804892e+00
1.256000000000000050e+01,3.391403563910307728e+00
1.258000000000000007e+01,3.602895594672904434e+00
1.259999999999999964e+01,3.459918623693059025e+00
1.262000000000000099e+01,3.343833766276572472e+00
1.264000000000000057e+01,3.742881960887596726e+00
