# 2Theta,Intensity
1.000000000000000000e+01,3.539397120218917614e+00
1.001999999999999957e+01,3.875540353486154999e+00
1.003999999999999915e+01,4.034222918735321350e+00
1.006000000000000050e+01,3.939339905827444976e+00
1.008000000000000007e+01,3.905250872077011159e+00
1.009999999999999964e+01,3.675999025380716212e+00
1.011999999999999922e+01,4.111839354954504699e+00
1.014000000000000057e+01,3.961713316150001329e+00
1.016000000000000014e+01,4.236562236989098729e+00
1.017999999999999972e+01,4.163031816105050353e+00
1.019999999999999929e+01,3.928479902236070576e+00
1.022000000000000064e+01,3.691166983932992807e+00
1.024000000000000021e+01,3.841536543029794970e+00
1.025999999999999979e+01,3.921085330834187754e+00
1.027999999999999936e+01,4.374619256811844714e+00
1.030000000000000071e+01,3.777051376451111775e+00
1.032000000000000028e+01,4.186631897656487133e+00
1.033999999999999986e+01,4.054090569999235782e+00
1.035999999999999943e+01,4.182929430586547426e+00
1.038000000000000078e+01,3.665274705923790677e+00
1.040000000000000036e+01,4.416745162173254080e+00
1.041999999999999993e+01,3.555214876649908540e+00
1.043999999999999950e+01,4.056818409148711169e+00
1.046000000000000085e+01,3.767119632291765718e+00
1.048000000000000043e+01,3.724552206391683384e+00
1.050000000000000000e+01,4.086439392003646809e+00
1.051999999999999957e+01,4.030657772211292844e+00
1.053999999999999915e+01,4.260879848638947642e+00
1.056000000000000050e+01,4.114077969820283620e+00
1.058000000000000007e+01,4.010755978336412397e+00
1.059999999999999964e+01,3.603864016934962944e+00
1.061999999999999922e+01,3.971839356619356831e+00
1.064000000000000057e+01,3.441920407757688594e+00
1.066000000000000014e+01,3.811916395865009299e+00
1.067999999999999972e+01,3.452029200852246849e+00
1.069999999999999929e+01,4.059029971267422710e+00
1.072000000000000064e+01,4.011908873359875116e+00
1.074000000000000021e+01,4.017630999789361113e+00
1.075999999999999979e+01,3.919772879646860719e+00
1.077999999999999936e+01,4.378441309902514789e+00
1.080000000000000071e+01,4.292508873822678872e+00
1.082000000000000028e+01,3.886617463362349589e+00
1.083999999999999986e+01,4.188644183282071332e+00
1.085999999999999943e+01,3.837646486798441448e+00
1.088000000000000078e+01,3.870200636836031993e+00
1.090000000000000036e+01,3.818329179239035476e+00
1.091999999999999993e+01,3.978739152062237050e+00
1.093999999999999950e+01,3.727769839897315141e+00
1.096000000000000085e+01,4.104370572774763914e+00
1.098000000000000043e+01,3.779957760392346877e+00
1.100000000000000000e+01,4.231681945948408519e+00
1.101999999999999957e+01,4.064017617566755725e+00
1.103999999999999915e+01,4.977873574449493077e+00
1.106000000000000050e+01,4.175352227714864028e+00
1.108000000000000007e+01,4.509315981134631279e+00
1.109999999999999964e+01,5.032591584944001717e+00
1.112000000000000099e+01,5.249020047874944694e+00
1.114000000000000057e+01,5.222476033632238668e+00
1.116000000000000014e+01,6.725550145698323767e+00
1.117999999999999972e+01,1.281714879874803259e+01
1.119999999999999929e+01,3.539640531966433201e+01
1.122000000000000064e+01,6.701471423700175478e+01
1.124000000000000021e+01,7.481325503140786282e+01
1.125999999999999979e+01,4.710016729956932124e+01
1.127999999999999936e+01,2.021492728240771442e+01
1.130000000000000071e+01,9.296081465086844631e+00
1.132000000000000028e+01,5.496548248906153233e+00
1.133999999999999986e+01,5.324807114647031270e+00
1.135999999999999943e+01,4.580818584741027877e+00
1.138000000000000078e+01,4.784165691647027430e+00
1.140000000000000036e+01,4.371013602951003385e+00
1.141999999999999993e+01,4.879199987319023712e+00
1.143999999999999950e+01,4.395259441720610560e+00
1.146000000000000085e+01,4.887326918763206685e+00
1.148000000000000043e+01,3.794106287179362713e+00
1.150000000000000000e+01,3.750339944720392005e+00
1.151999999999999957e+01,3.730121353492652059e+00
1.153999999999999915e+01,3.856642998709391978e+00
1.156000000000000050e+01,3.930825141271343526e+00
1.158000000000000007e+01,4.379366554773731934e+00
1.159999999999999964e+01,4.041684381008779248e+00
1.162000000000000099e+01,3.633774648421364439e+00
1.164000000000000057e+01,4.762536489436326903e+00
1.166000000000000014e+01,3.227058493000556361e+00
1.167999999999999972e+01,4.206910699323214153e+00
1.169999999999999929e+01,3.669295760996135858e+00
1.172000000000000064e+01,3.942040590617004181e+00
1.174000000000000021e+01,3.970339785799623211e+00
1.175999999999999979e+01,3.929037796847517860e+00
1.177999999999999936e+01,3.790926296665893869e+00
1.180000000000000071e+01,3.385702703647330836e+00
1.182000000000000028e+01,3.937044898248625913e+00
1.183999999999999986e+01,3.561110911779342914e+00
1.185999999999999943e+01,3.982107388001002946e+00
1.188000000000000078e+01,4.303879181497967110e+00
1.190000000000000036e+01,3.701285387608085120e+00
1.191999999999999993e+01,4.057096272782324320e+00
1.193999999999999950e+01,3.805912787272974107e+00
1.196000000000000085e+01,3.914563889457955970e+00
1.198000000000000043e+01,3.549826917804882243e+00
1.200000000000000000e+01,4.122777333187162441e+00
1.201999999999999957e+01,3.790276596735448145e+00
1.203999999999999915e+01,3.818310494003133382e+00
1.206000000000000050e+01,4.003291160606501364e+00
1.208000000000000007e+01,3.933069041167588153e+00
1.209999999999999964e+01,3.545687508211269545e+00
1.212000000000000099e+01,3.919472755956945775e+00
1.214000000000000057e+01,4.632314824703624545e+00
1.216000000000000014e+01,3.724496118234090769e+00
1.217999999999999972e+01,3.893133218508700200e+00
1.219999999999999929e+01,4.325358491153815876e+00
1.222000000000000064e+01,3.818004049251764176e+00
1.224000000000000021e+01,4.481411817208501347e+00
1.225999999999999979e+01,3.997070125429768250e+00
1.228000000000000114e+01,4.573088224858671502e+00
1.230000000000000071e+01,4.045836960605806887e+00
1.232000000000000028e+01,4.187415778581319081e+00
1.233999999999999986e+01,4.232539818275908416e+00
1.235999999999999943e+01,3.382052462287071126e+00
1.237999999999999901e+01,3.693516975555944715e+00
1.240000000000000036e+01,3.677911774427420344e+00
1.241999999999999993e+01,3.665363420144557960e+00
1.243999999999999950e+01,4.191675600822984293e+00
1.246000000000000085e+01,4.432614101297016163e+00
1.248000000000000043e+01,4.003388022155616177e+00
1.250000000000000000e+01,4.299093965631758607e+00
1.251999999999999957e+01,4.397949849032622538e+00
1.253999999999999915e+01,4.189229144028401741e+00
1.256000000000000050e+01,4.128762694861711324e+00
1.258000000000000007e+01,3.841980160108125819e+00
1.259999999999999964e+01,3.608535829905253678e+00
1.262000000000000099e+01,4.108083989219375454e+00
1.264000000000000057e+01,4.238564778580782288e+00
1.266000000000000014e+01,3.469014685069968351e+00
1.267999999999999972e+01,3.629176618532696352e+00
1.269999999999999929e+01,3.936383352684333925e+00
1.272000000000000064e+01,3.780778233486360218e+00
1.274000000000000021e+01,3.695009740647527963e+00
1.275999999999999979e+01,4.219793611739076411e+00
1.278000000000000114e+01,4.686484654608674916e+00
1.280000000000000071e+01,3.937172727387185933e+00
1.282000000000000028e+01,4.091540097913798135e+00
1.283999999999999986e+01,3.457292511310491090e+00
1.285999999999999943e+01,3.595214983786455765e+00
1.287999999999999901e+01,3.537816489283281740e+00
1.290000000000000036e+01,3.942328986914787059e+00
1.291999999999999993e+01,4.183357081831613478e+00
1.293999999999999950e+01,3.870773648427869862e+00
1.296000000000000085e+01,3.791505458157954589e+00
1.298000000000000043e+01,3.719583575151314658e+00
1.300000000000000000e+01,3.999795930665520860e+00
1.301999999999999957e+01,4.329601714033227466e+00
1.303999999999999915e+01,3.986594915679603446e+00
1.306000000000000050e+01,4.391557453065465744e+00
1.308000000000000007e+01,3.878158666662488763e+00
1.309999999999999964e+01,4.295460739268752270e+00
1.312000000000000099e+01,3.581691032934963825e+00
1.314000000000000057e+01,4.150614316881229726e+00
1.316000000000000014e+01,3.562418690761765205e+00
1.317999999999999972e+01,3.736733081201284890e+00
1.319999999999999929e+01,3.902064872496565417e+00
1.322000000000000064e+01,3.979858768948620895e+00
1.324000000000000021e+01,3.773984043909802022e+00
1.325999999999999979e+01,4.071092023578228414e+00
1.328000000000000114e+01,4.121310184959956047e+00
1.330000000000000071e+01,4.002048744339980146e+00
1.332000000000000028e+01,4.353825741873254884e+00
1.333999999999999986e+01,3.909787658853531411e+00
1.335999999999999943e+01,3.842400463797330357e+00
1.337999999999999901e+01,4.282637112047554595e+00
1.340000000000000036e+01,4.470624882881001128e+00
1.341999999999999993e+01,4.153589538611209164e+00
1.343999999999999950e+01,3.882156904435279721e+00
1.346000000000000085e+01,3.829800071496425318e+00
1.348000000000000043e+01,4.231605552913117130e+00
1.350000000000000000e+01,3.900482321714576983e+00
1.351999999999999957e+01,3.683103253993970316e+00
1.353999999999999915e+01,3.421645740591467533e+00
1.356000000000000050e+01,3.982172941623447038e+00
1.358000000000000007e+01,4.319064581740124531e+00
1.359999999999999964e+01,3.852597409907581483e+00
1.362000000000000099e+01,4.011148527832839150e+00
1.364000000000000057e+01,4.138433811007996788e+00
1.366000000000000014e+01,3.551670183149731486e+00
1.367999999999999972e+01,3.978792200495683495e+00
1.369999999999999929e+01,3.788814507307468826e+00
1.372000000000000064e+01,3.862128957098970972e+00
1.374000000000000021e+01,4.175789712800447973e+00
1.375999999999999979e+01,3.903844235294874565e+00
1.378000000000000114e+01,3.847502176947052543e+00
1.380000000000000071e+01,4.274466871550656855e+00
1.382000000000000028e+01,4.055720337746640425e+00
1.383999999999999986e+01,3.569947201576469720e+00
1.385999999999999943e+01,3.293325142977567843e+00
1.387999999999999901e+01,3.455023042532397337e+00
1.390000000000000036e+01,4.176355143771304235e+00
1.391999999999999993e+01,4.475446604392829819e+00
1.393999999999999950e+01,3.957729488474801105e+00
1.396000000000000085e+01,3.767864831573857654e+00
1.398000000000000043e+01,3.994866878547427724e+00
1.400000000000000000e+01,4.079674447722578812e+00
1.401999999999999957e+01,4.169589413476460393e+00
1.403999999999999915e+01,3.637378023302332508e+00
1.406000000000000050e+01,4.092137022552424064e+00
1.408000000000000007e+01,3.968586180099218375e+00
1.409999999999999964e+01,3.949807868065893235e+00
1.412000000000000099e+01,3.553838312692220835e+00
1.414000000000000057e+01,4.015892954223619249e+00
1.416000000000000014e+01,4.242529710657200859e+00
1.417999999999999972e+01,4.783087720312742874e+00
1.419999999999999929e+01,4.223626462209421284e+00
1.421999999999999886e+01,4.120536580314174024e+00
1.424000000000000021e+01,3.601197916371296159e+00
1.425999999999999979e+01,3.418808826437960580e+00
1.428000000000000114e+01,3.816172870033775144e+00
1.430000000000000071e+01,4.248369697797342859e+00
1.432000000000000028e+01,4.067386839670746213e+00
1.433999999999999986e+01,3.678052815953388510e+00
1.435999999999999943e+01,3.832674663775066826e+00
1.437999999999999901e+01,3.974610752017384563e+00
1.440000000000000036e+01,3.674655336580100684e+00
1.441999999999999993e+01,4.011440987585471518e+00
1.444000000000000128e+01,4.319487466096847861e+00
1.446000000000000085e+01,4.383697625646348683e+00
1.448000000000000043e+01,4.083957702151386648e+00
1.450000000000000000e+01,3.867606063386626492e+00
1.451999999999999957e+01,4.220228517252652800e+00
1.453999999999999915e+01,3.712687392346492032e+00
1.456000000000000050e+01,4.161312173057321928e+00
1.458000000000000007e+01,4.314985971356550820e+00
1.460000000000000142e+01,3.656300086952969597e+00
1.462000000000000099e+01,3.992902655740051987e+00
1.464000000000000057e+01,3.783635805978660116e+00
1.466000000000000014e+01,3.301753616680942915e+00
1.467999999999999972e+01,3.703214963235040180e+00
1.469999999999999929e+01,3.991623717550023098e+00
1.471999999999999886e+01,3.784125244575478053e+00
1.474000000000000021e+01,4.364576536270116769e+00
1.475999999999999979e+01,3.864683953884557432e+00
1.478000000000000114e+01,3.811760953328901191e+00
1.480000000000000071e+01,4.257867667087445795e+00
1.482000000000000028e+01,4.281479318137778378e+00
1.483999999999999986e+01,3.774846787140609283e+00
1.485999999999999943e+01,3.569668315175963169e+00
1.487999999999999901e+01,3.663699131329178016e+00
1.490000000000000036e+01,3.879599780147845234e+00
1.491999999999999993e+01,4.086962500321765113e+00
1.494000000000000128e+01,3.725908188372055285e+00
1.496000000000000085e+01,3.793554177546479167e+00
1.498000000000000043e+01,4.165460999002480236e+00
1.500000000000000000e+01,4.392427937020586981e+00
1.501999999999999957e+01,3.871791522734829627e+00
1.503999999999999915e+01,3.871661994564197684e+00
1.506000000000000050e+01,3.811286390358147091e+00
1.508000000000000007e+01,4.091898536694408506e+00
1.510000000000000142e+01,4.236407345706742156e+00
1.512000000000000099e+01,3.916309326888375963e+00
1.514000000000000057e+01,4.132805232617074331e+00
1.516000000000000014e+01,3.973656445507879553e+00
1.517999999999999972e+01,3.980178934858834783e+00
1.519999999999999929e+01,4.716560034946621016e+00
1.521999999999999886e+01,3.630135787143596637e+00
1.524000000000000021e+01,3.970596692118588678e+00
1.525999999999999979e+01,4.183102440319401261e+00
1.528000000000000114e+01,4.076407103814531752e+00
1.530000000000000071e+01,3.738302478560461495e+00
1.532000000000000028e+01,4.001349154861990165e+00
1.533999999999999986e+01,3.616772369039177537e+00
1.535999999999999943e+01,4.326828402061650536e+00
1.537999999999999901e+01,3.997686245048538645e+00
1.540000000000000036e+01,3.449023428520528345e+00
1.541999999999999993e+01,4.038117890760880790e+00
1.544000000000000128e+01,3.995525586446434296e+00
1.546000000000000085e+01,4.488577836114945541e+00
1.548000000000000043e+01,3.927035980384522507e+00
1.550000000000000000e+01,3.988890513858643683e+00
1.551999999999999957e+01,3.644537101257233402e+00
1.553999999999999915e+01,3.259959832463779072e+00
1.556000000000000050e+01,3.883759224610894289e+00
1.558000000000000007e+01,4.587048673808817867e+00
1.560000000000000142e+01,3.656850383440767072e+00
1.562000000000000099e+01,3.625304110701944360e+00
1.564000000000000057e+01,3.987578319704221386e+00
1.566000000000000014e+01,3.620236177436058522e+00
1.567999999999999972e+01,3.859798880722903114e+00
1.569999999999999929e+01,3.773609073280110415e+00
1.571999999999999886e+01,4.218109834327262497e+00
1.574000000000000021e+01,4.290742949878286083e+00
1.575999999999999979e+01,3.372106850109414022e+00
1.578000000000000114e+01,4.372782118608614432e+00
1.580000000000000071e+01,4.083932400635849724e+00
1.582000000000000028e+01,4.017197084874775115e+00
1.583999999999999986e+01,4.344644344543946879e+00
1.585999999999999943e+01,4.237573339380224624e+00
1.587999999999999901e+01,3.975288147669579608e+00
1.590000000000000036e+01,4.106884206154036931e+00
1.591999999999999993e+01,4.147416351285508007e+00
1.594000000000000128e+01,4.193001500906582635e+00
1.596000000000000085e+01,3.372579385197063573e+00
1.598000000000000043e+01,3.925097959598268460e+00
1.600000000000000000e+01,3.728498877482538276e+00
1.601999999999999957e+01,3.374927285428118928e+00
1.603999999999999915e+01,3.663746600890050775e+00
1.606000000000000227e+01,3.999162774022154032e+00
1.607999999999999829e+01,3.953362543086330838e+00
1.610000000000000142e+01,3.907947262072812400e+00
1.612000000000000099e+01,3.167470558412313508e+00
