# 2Theta,Intensity
1.000000000000000000e+01,2.544547571247986473e-01
1.001999999999999957e+01,5.534326163623401462e-02
1.003999999999999915e+01,1.378687522581000524e-01
1.006000000000000050e+01,1.695676405684567456e-01
1.008000000000000007e+01,3.323530695359854792e-01
1.009999999999999964e+01,1.703984288520096757e-01
1.011999999999999922e+01,1.333972615415377760e-01
1.014000000000000057e+01,2.080274653729265733e-01
1.016000000000000014e+01,2.055006131914700052e-01
1.017999999999999972e+01,1.952984194375893823e-01
1.019999999999999929e+01,2.370933633321212208e-01
1.022000000000000064e+01,7.670373080310419200e-02
1.024000000000000021e+01,3.254892110487445644e-01
1.025999999999999979e+01,2.007665956361545656e-01
1.027999999999999936e+01,3.445122758711777755e-01
1.030000000000000071e+01,4.724707240416629039e-01
1.032000000000000028e+01,6.255806955850500284e-01
1.033999999999999986e+01,3.792898856644820738e-01
1.035999999999999943e+01,5.111878420619359042e-01
1.038000000000000078e+01,3.345106636005156786e-01
1.040000000000000036e+01,9.355104112170159469e-01
1.041999999999999993e+01,6.616207174781867373e-01
1.043999999999999950e+01,6.292992690119801891e-01
1.046000000000000085e+01,1.047832577880120963e+00
1.048000000000000043e+01,1.135259163883215239e+00
1.050000000000000000e+01,1.774048397250453268e+00
1.051999999999999957e+01,2.242789857648245899e+00
1.053999999999999915e+01,5.450432443527877702e+00
1.056000000000000050e+01,1.780676704383779452e+01
1.058000000000000007e+01,5.240733731901713099e+01
1.059999999999999964e+01,1.000000000000000000e+02
1.061999999999999922e+01,9.869477710720035191e+01
1.064000000000000057e+01,5.478086825520658465e+01
1.066000000000000014e+01,1.785824675926861005e+01
1.067999999999999972e+01,5.716457241166071235e+00
1.069999999999999929e+01,2.970348898776811186e+00
1.072000000000000064e+01,1.749890935767519196e+00
1.074000000000000021e+01,1.159232204273533018e+00
1.075999999999999979e+01,1.129052203480571892e+00
1.077999999999999936e+01,1.077588935706225381e+00
1.080000000000000071e+01,5.348742192377741178e-01
1.082000000000000028e+01,3.584515927879878272e-01
1.083999999999999986e+01,4.918736990534279263e-01
1.085999999999999943e+01,7.395032073154361729e-01
1.088000000000000078e+01,1.694386567998752424e-01
1.090000000000000036e+01,3.661342003506734555e-01
1.091999999999999993e+01,4.916900781455958436e-01
1.093999999999999950e+01,1.728234480270037232e-01
1.096000000000000085e+01,2.988409347767852497e-01
1.098000000000000043e+01,1.753973129378448570e-01
1.100000000000000000e+01,4.368208668669038564e-01
1.101999999999999957e+01,2.734715247132169513e-01
1.103999999999999915e+01,1.247627170575303923e-01
1.106000000000000050e+01,1.569993846252882852e-01
1.108000000000000007e+01,3.851646931039425237e-01
1.109999999999999964e+01,4.053198734223060207e-01
1.112000000000000099e+01,2.219440752988224852e-01
1.114000000000000057e+01,1.978784639775518495e-01
1.116000000000000014e+01,2.336066963234658955e-01
1.117999999999999972e+01,2.487435226935953980e-01
1.119999999999999929e+01,7.472252868296699879e-02
1.122000000000000064e+01,1.086122976277030111e-01
1.124000000000000021e+01,1.813075946271271444e-01
1.125999999999999979e+01,-1.103181659339907278e-02
1.127999999999999936e+01,1.489591105625255596e-01
1.130000000000000071e+01,2.696674597577446986e-01
1.132000000000000028e+01,8.401098512031657251e-02
1.133999999999999986e+01,2.568516984415917248e-01
1.135999999999999943e+01,9.854975780986925671e-02
1.138000000000000078e+01,2.778292908905534708e-01
1.140000000000000036e+01,2.045959736022992526e-01
1.141999999999999993e+01,2.175681692172918846e-01
1.143999999999999950e+01,-7.169554570019666395e-02
1.146000000000000085e+01,1.476308814045222961e-01
1.148000000000000043e+01,3.031029633523110722e-01
1.150000000000000000e+01,1.037015368868094978e-01
1.151999999999999957e+01,2.471115458361522188e-01
1.153999999999999915e+01,9.434884528692125127e-02
1.156000000000000050e+01,1.766318070562231390e-01
1.158000000000000007e+01,2.834621728516225486e-02
1.159999999999999964e+01,4.804212538842524832e-02
1.162000000000000099e+01,2.748201890046376716e-01
1.164000000000000057e+01,9.117045681634543264e-02
1.166000000000000014e+01,2.031763767910575169e-01
1.167999999999999972e+01,7.564335737739445731e-02
1.169999999999999929e+01,6.997938118930208118e-02
1.172000000000000064e+01,1.603495043515010821e-01
1.174000000000000021e+01,3.492033788557416529e-01
1.175999999999999979e+01,9.857867527307967448e-02
1.177999999999999936e+01,3.232341291543960188e-02
1.180000000000000071e+01,9.883575459463393720e-02
